nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8
 371,     1,  -6,  82,  -6, -10, -14, -22,  -6,  -6, -26
 372,     1,  -7,  -7,  -7,  -7,  -7,  -7,  73, -19, -19
 373,     0, -43, -11, -11, -43, -31, -11, -11, -15, -15
 374,     1,  -9, -13,  -5,  -5,  -5,  -5,  -5,  83,  -5
 375,     0, -11, -11, -11, -11, -43, -43, -11, -15, -43
 376,     1,  -4,  -4,  88, -12,  -4, -12,  -4, -20,  -4
 377,     1, -11,  -7, -27,  65, -15,  -7,  -7,  -7,  -7
 378,     1, -40,  -8,  -8,  80, -24,  -8, -36,  -8,  -8
 379,     1,  79,  -5,  -5,  -9,  -5,  -9,  -5,  -5,  -5
 380,     1,  71, -17,  -9,  -9,  -9,  -9, -13, -17,  -9
 381,     1,  -6,  -6, -30,  -6,  -6, -18,  -6,  74,  -6
 382,     1,  79,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5
 383,     1,  -8,  -8, -28,  76, -28,  -8, -32, -24, -16
 384,     0, -11, -11, -23, -11, -11, -35, -23, -11, -27
 385,     1,  -4,  -4,  92,  -4, -12, -16,  -4,  -4,  -4
 386,     1,  -8,  68, -32,  -8,  -8, -40, -24, -16, -12
 387,     1,  68, -40, -28,  -8,  -8,  -8, -20,  -8, -24
 388,     1,  -7, -15, -27,  -7,  89, -35,  -7, -27,  -7
 389,     1,  -6,  -6,  74,  -6,  -6,  -6,  -6,  -6,  -6
 390,     1,  -7,  65,  -7, -31, -27, -19, -31, -23,  -7
 391,     0, -10, -18, -26, -10, -22, -42, -42, -10, -10
 392,     1,  -8,  -8, -20,  84, -32, -28,  -8, -16, -40
 393,     1, -26,  -6, -26,  -6,  -6, -10, -26,  -6,  70
 394,     1,  87,  -5,  -5,  -5,  -5,  -5, -17,  -9,  -5
 395,     1,  86, -26,  -6,  -6,  -6, -10,  -6, -26,  -6
 396,     1, -42, -10, -30, -34, -10, -10, -22,  70, -10
 397,     1,  -5,  -5,  83, -25,  -5,  -5,  -5,  91,  -5
 398,     1,  -4,  -4,  -4,  -4,  -4, -12,  84,  -4,  -4
 399,     1, -41, -29, -41, -21,  71, -41, -41, -41, -37
 400,     1,  -5,  87,  -5,  -5,  -5,  -5,  -9, -21,  -5
 401,     1,  -6,  -6,  -6, -10,  74,  -6,  -6,  -6, -26
 402,     0, -18, -10, -10, -10, -10, -10, -34, -26, -14
 403,     1, -21,  -9,  -9,  71,  -9,  -9,  -9,  -9, -17
 404,     1, -35,  -7, -35, -27,  -7,  -7, -11,  -7,  73
 405,     1,  -6,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2
 406,     1,  79, -13,  -9,  -9, -25, -41, -37,  -9, -13
 407,     1,  -5,  -5,  -9,  -5,  -5,  -5,  -9,  -9,  79
 408,     1,  -9, -13, -17,  87,  91,  -5,  -5, -21, -17
 409,     1,  -9,  -9,  -9,  -9,  -9, -13,  87,  -9, -21
 410,     1, -27,  -7, -35,  77, -19, -23, -15,  -7,  -7
 411,     1,  -4,  -4,  88,  -4,  -8,  -4,  -4, -20,  -4
 412,     1,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3, -11
 413,     1,  -6,  -6,  -6, -30,  82,  -6,  -6,  -6,  -6
 414,     1,  -7,  -7,  -7,  -7, -11,  73, -35, -15,  -7
 415,     1,  -5,  -5,  -5,  79,  -9,  -5, -21,  -5,  -5
 416,     1,  -4, -16,  88,  -4,  -4,  -8, -12,  -4,  -4
 417,     1, -23,  69,  -7, -35, -31, -15, -31, -31,  -7
 418,     1, -17,  -5,  83,  -5,  -5, -21, -25,  -5,  -5
 419,     1, -17,  59, -29, -41,  -9, -41, -41, -21,  -9
 420,     1, -30,  -6,  -6, -10,  90, -18, -30,  -6,  -6
 421,     1, -24,  -8, -28,  64,  -8, -12,  -8,  -8,  -8
 422,     1,  -5,  79, -13, -13,  -5,  -5, -21,  -5, -13
 423,     1,  -8,  -4,  -4,  -4,  -4, -12, -12,  -4,  92
 424,     1,  -9,  71,  -9, -41,  -9, -29,  -9,  -9,  -9
 425,     1, -28, -32, -40, -36,  -8, -24,  80,  -8, -12
 426,     1, -12,  -8,  -8, -20, -32,  -8, -28,  84,  -8
 427,     1,  -9,  -5,  -5, -21,  -5,  -5,  -5,  87,  -5
 428,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3, -11
 429,     0, -11, -11, -43, -51, -11, -39, -11, -15, -31
 430,     1,  -9,  -9, -25,  -9, -21,  -9, -29,  71, -37
 431,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4
 432,     1,  -9,  -9, -41,  -9,  -9,  -9, -17, -13,  71
 433,     1,  -5,  -5, -21, -21,  -5,  -5,  -5,  -5,  83
 434,     1, -37, -41, -41, -37, -41, -37, -21,  -9,  83
 435,     1,  -8,  64,  -8, -28, -36,  -8, -20,  -8, -24
 436,     1,  -5,  -5, -17,  -5, -21,  -5,  -5,  -5,  87
 437,     1, -22, -18, -30, -26, -18, -14,  90,  -6, -10
 438,     1,  77, -27,  -7,  -7,  -7, -11, -31, -31,  -7
 439,     1,  -8,  84,  80, -24,  -8,  -8,  -8,  76,  -8
 440,     1,  -9, -41,  -9,  59,  -9, -41,  -9, -33,  -9
 441,     1,  -3,  -7,  -3,  -3,  -3,  93,  -3,  -3,  -3
 442,     1,  -3,  89,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 443,     1,  -6, -26, -18, -10,  -6, -14,  70,  -6,  -6
 444,     1,  -4, -20,  -4,  -4,  -4,  92,  -4,  -4, -20
 445,     1, -24,  -8, -16, -20,  -8, -24, -20,  64,  -8
 446,     1,  81,  -7,  -7, -23, -19,  -7,  -7,  -7, -27
 447,     1,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -6,  -2
 448,     1, -23,  -7,  -7,  65,  -7, -23,  -7,  -7, -15
 449,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2
 450,     1,  -8,  -8,  -8,  64,  -8,  -8,  -8, -20, -36
 451,     1, -36, -36, -16,  60,  -8,  -8,  -8,  -8, -16
 452,     1, -12,  -8,  -8,  -8,  -8, -28,  88, -24, -20
 453,     1, -12,  -8,  -4,  -4,  -4,  -4,  92, -12, -16
 454,     1, -30,  58, -10, -18, -10, -18, -18, -10, -30
 455,     1,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  88
 456,     1,  87,  -9, -13,  -9,  -9,  -9, -21,  -9, -33
 457,     1, -23,  -7,  85, -27,  -7,  -7, -31,  -7, -19
 458,     1, -25,  -5, -21,  -5, -13, -17,  -5,  91,  91
 459,     1,  -8, -32,  -8,  -8,  84,  -8,  -8, -32,  -8
 460,     1,  -3,  -3,  -3,  -3,  89, -15,  -3,  -3,  -3
 461,     1, -12,  -4,  -4,  -4,  -4,  -4, -16,  80,  -4
 462,     1,  -2, -10,  -2,  -2,  -2,  90,  -6,  -2,  -2
 463,     1,  -5,  -5,  91, -25,  -5,  -5, -21,  -5,  -5
 464,     1,  -4,  -8,  -8,  -4,  92,  -8, -16,  -4,  -4
 465,     1,  -9,  -5,  -5,  79, -13,  -5,  -5,  -5, -21
 466,     1,  -9,  -9, -13,  -9,  -9,  -9,  -9,  -9,  63
 467,     1,  -2,  -2,  -6,  -2,  -2,  -2,  94,  -2,  -2
 468,     1,  -7, -19,  -7,  -7,  89, -15, -11,  -7, -23
 469,     1,  -3,  93,  -7,  -3,  -3,  -3,  -3,  -3,  -7
 470,     1,  54, -42, -42, -10, -42, -14, -14, -10, -30
 471,     1,  -5,  -5, -21,  91, -13,  -5,  -5,  -5, -21
 472,     1,  -6,  90, -22,  -6,  -6,  -6, -18,  -6, -26
 473,     1, -19, -35,  -7,  -7,  -7, -11,  -7,  -7,  69
 474,     1, -41, -41,  -9,  -9,  87,  -9,  75,  -9, -41
 475,     1, -10, -42, -10, -10, -26, -34,  62, -42,  62
 476,     1,  -6, -10,  -6,  82,  -6,  -6, -26,  -6,  -6
 477,     1, -13, -21,  -9,  71,  -9,  -9,  -9, -41,  -9
 478,     1,  -8,  -4, -16,  80,  -8, -16,  -4,  -8, -12
 479,     1,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 480,     1, -10, -10, -10,  70, -10, -14, -30, -38, -38
 481,     1,  -4, -16,  -4, -12,  -4,  -4,  92,  -4, -16
 482,     1,  -5,  -5,  -9, -21,  -5, -17,  -5,  87,  -9
 483,     1,  -5,  -5,  -5, -21,  79,  -5,  -9, -17,  -5
 484,     1,  -4,  -4, -20,  92,  -4,  -4,  -4,  -4,  -4
 485,     1,  -7, -23,  -7,  -7, -15,  85,  -7,  -7,  -7
 486,     1, -11,  -7, -19,  -7,  -7,  -7,  -7,  -7,  65
 487,     1, -19,  -7,  77,  -7,  -7, -31, -15,  -7, -27
 488,     1,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -8,  -4
 489,     1,  -6,  82,  -6,  -6, -10, -14, -26, -18, -26
 490,     1,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4
 491,     1,  -9, -25, -13, -41,  67, -21,  -9, -37,  -9
 492,     1,  93,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3
 493,     1, -10, -10, -10, -42,  62, -10, -10, -10, -14
 494,     0, -31, -15, -11, -11, -43, -11, -11, -11, -11
 495,     0, -42, -10, -26, -26, -10, -26, -30, -10, -10
 496,     1, -22, -18, -10, -10, -10, -10,  78, -10, -14
 497,     1, -18,  82, -14,  -6,  -6, -10, -26, -30, -18
 498,     1, -22, -10, -34, -10, -10, -10,  62, -10, -10
 499,     0, -11, -31, -19, -43, -11, -11, -43, -43, -11
 500,     1,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -7
 501,     1,  -8, -24, -32, -28,  -8, -16,  80,  -8,  -8
 502,     1,  -4,  -4, -12,  -8,  92,  -4,  -4,  -4, -16
 503,     1, -11,  -3,  -3,  -3,  -3,  85,  -3,  -3, -15
 504,     1,  -5,  -5, -17,  -5,  83, -17,  -5,  -5,  -5
 505,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3
 506,     1,  -9,  -9,  67,  -9, -21, -17,  -9, -29, -17
 507,     0, -11, -35, -15, -43, -11, -23, -11, -15, -35
 508,     1,  -4,  -4,  -4,  -4,  92, -16,  -4,  -4,  -8
 509,     1,  82,  -6,  -6, -14, -26,  -6,  -6,  -6,  -6
 510,     1,  -8,  -8,  -8,  -8,  -8, -24, -16,  -8,  72
 511,     1,  -4,  -4, -12, -16,  -4,  -4,  88, -16, -12
 512,     1, -16,  -4,  92, -12,  -4,  -4,  -4,  -4, -16
 513,     1, -36, -32, -28,  -8, -28,  -8,  -8, -36,  76
 514,     1, -26, -42, -10, -10, -10, -30, -10, -10,  70
 515,     1,  79,  -5,  -5, -13, -13,  -5,  -5,  -5,  -9
 516,     1,  -5,  87,  -9,  -5,  -5, -13, -21,  91,  -9
 517,     1,  -5,  -5,  -5,  -5,  -5,  -5,  87, -13,  -5
 518,     1,  -9,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 519,     1, -10, -42, -18, -42, -10, -38, -10, -10,  66
 520,     1, -10,  54, -14, -10, -10, -10, -10, -10, -10
 521,     1,  -4,  -4, -12, -12,  -4,  88,  -8, -12,  -4
 522,     1,  70,  -6, -22,  -6, -30,  -6, -18,  -6,  -6
 523,     0, -42, -26, -10, -10, -10, -10, -10, -10, -38
 524,     1, -22, -26,  -6,  -6,  -6, -26,  -6, -30,  82
 525,     1,  -7, -31,  73, -23,  -7,  -7, -27,  -7,  -7
 526,     1,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3, -15
 527,     1, -11,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3
 528,     1,  -4,  -4,  -4,  -8,  -4,  -4, -12,  88, -16
 529,     0, -10, -30, -18, -30, -10, -10, -10, -10, -10
 530,     1,  73, -27,  -7,  -7,  -7,  -7,  -7,  -7, -35
 531,     1,  -9, -21, -21,  67, -21,  -9, -41, -41,  -9
 532,     1, -20, -16,  -8,  -8,  -8,  76, -32, -28, -32
 533,     1,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2
 534,     1, -38, -10,  62, -10, -26, -18, -10, -10, -10
 535,     1,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -9, -13
 536,     1,  -4, -12,  92,  -8,  -4,  -4,  -4,  -4,  -4
 537,     1,  -9,  -9, -41, -13,  79,  -9, -41, -29, -29
 538,     1,  -6, -30, -26,  -6,  -6,  86,  -6,  -6,  -6
 539,     1,  67,  -9, -25,  -9,  -9, -37,  -9, -41, -41
 540,     1,  -4,  -4, -20,  88,  -4,  -4,  -4,  -4, -20
 541,     1,  -5,  83,  -9,  -5,  -5,  -5, -25, -21,  -9
 542,     1,  -9,  -9,  -9, -13, -29,  -9,  71, -41,  -9
 543,     1,  -7,  -3,  -3, -15,  -3,  -3,  -3,  -3,  85
 544,     1,  79, -41,  -9,  -9, -41,  -9,  -9, -41,  -9
 545,     1,  -6,  -6,  -6, -22, -14,  -6,  70,  -6,  -6
 546,     1,  80, -16, -12,  -4,  -8,  -4,  -4,  -4, -12
 547,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 548,     1, -22, -10, -10, -10, -42, -10, -14,  58, -42
 549,     1, -34, -42,  66, -10, -26, -10, -18, -10, -42
 550,     1,  94,  -2,  -2, -10,  -2,  -2,  -2,  -2,  -2
 551,     1,  89,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3
 552,     1, -40,  60, -12, -32,  -8,  -8,  -8,  -8,  -8
 553,     0, -11, -43, -23, -23, -43, -35, -11, -11, -11
 554,     1,  89,  -3,  -7,  -3,  -3,  -3,  -7,  -3,  -3
 555,     1, -12,  -4, -12,  -4, -16,  -4,  -4,  -4,  92
 556,     1,  -4,  -4,  92,  -4,  -4, -16, -12, -16,  -4
 557,     0, -46, -26, -22, -10, -10, -10, -26, -10, -30
 558,     1, -14,  -6, -22, -18, -30, -14,  78,  -6,  -6
 559,     1, -41,  -9, -41,  67, -29,  -9,  -9,  -9, -37
 560,     1,  63, -41,  -9, -41,  -9, -33,  67,  59,  -9
 561,     1,  -5,  -5,  91, -21,  -5,  -5, -17,  -5,  -9
 562,     1,  -4,  84,  -4,  -4, -20, -16,  -4, -16,  -4
 563,     1,  -6,  -6, -10, -30, -14,  82, -22,  -6,  -6
 564,     1,  -5, -13,  83,  -5,  -5,  -5,  -5, -25, -13
 565,     1, -11, -11, -11,  -7,  -7, -19,  73,  -7,  -7
 566,     1,  -7,  81,  -7, -11,  -7,  -7, -27,  -7, -15
 567,     1, -17,  -9, -33,  63,  -9,  -9, -25, -25, -41
 568,     0, -11, -11, -43, -11, -43, -43, -15, -39, -23
 569,     1,  -2,  -2,  -6,  -6,  94,  -2,  -2,  -2,  -2
 570,     1,  59, -41, -41,  -9, -25, -33,  -9, -13,  -9
 571,     1,  -4,  -4, -12,  -4,  -8,  84,  -4,  -4,  -4
 572,     1,  -8, -24,  -8,  76, -24,  -8,  -8, -12,  -8
 573,     1,  -9, -25,  -9,  -9, -41,  67,  -9, -17,  -9
 574,     1, -10, -10, -10, -10,  62, -10, -38, -10, -10
 575,     1, -22,  86,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 576,     1,  -7,  -7,  -7,  65, -23, -27, -15,  -7,  -7
 577,     1,  -8,  80, -32, -24, -20,  84, -20, -24,  -8
 578,     1,  -6,  -6,  -6,  -6,  90, -22, -22, -18, -26
 579,     1,  -7,  -7, -15,  -7,  -7,  -7,  -7, -15,  89
 580,     0, -10, -10, -10, -10, -10, -10, -10, -10, -10
 581,     1,  -4, -16,  -4,  -4, -20,  -4,  -4,  -4,  92
 582,     1, -31,  -7, -19, -19,  -7, -27, -31,  69,  -7
 583,     1,  -9,  71,  -9,  -9, -33,  -9,  -9,  -9,  -9
 584,     1,  -9,  67, -41,  -9, -21,  -9,  -9, -33, -33
 585,     1, -40, -28,  -8, -32,  -8,  -8,  -8,  -8,  68
 586,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  86,  -6
 587,     1,  -8,  -8, -32,  68,  -8,  -8,  -8, -24, -32
 588,     1, -11,  -3,  -7,  -3,  -3,  -3,  93,  -3, -11
 589,     1, -22, -18,  -6,  90,  -6, -18,  -6, -22,  -6
 590,     1, -20, -20,  -4, -12,  -4,  -4,  88,  -8,  -4
 591,     1,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2
 592,     0, -47, -23, -27, -11, -23, -39, -11, -47, -43
 593,     1,  -7,  -7, -27,  65, -23,  -7, -15,  -7, -27
 594,     1,  -8,  -8, -32,  60, -32,  -8,  -8, -40, -12
 595,     1,  83,  -9, -21, -13, -41, -37,  -9,  -9,  -9
 596,     1, -12,  72, -32, -32,  -8, -32,  -8, -40,  -8
 597,     1,  -6,  -6,  -6,  -6,  -6, -18,  86,  -6,  -6
 598,     1,  -9,  67, -25,  -9,  -9,  -9,  -9,  -9,  -9
 599,     1,  86,  -6,  -6,  -6,  -6, -22, -10,  -6,  -6
 600,     1, -10, -22,  -6,  -6,  -6,  -6,  74,  -6,  -6
 601,     1,  -7,  -7,  -7,  -7, -27, -19,  -7,  77,  -7
 602,     1,  71,  -9,  -9, -33,  -9, -17, -25,  -9, -37
 603,     1, -10,  62, -42, -30, -10, -46, -42, -42, -14
 604,     1, -42, -38, -10, -10,  66, -10, -22, -10, -38
 605,     1, -22,  -6,  74, -10, -26,  -6,  -6,  -6, -26
 606,     1, -42, -42, -26, -10, -10,  66, -10, -42, -34
 607,     1,  -4, -12,  -4,  -4,  -4,  88,  -4,  -4, -12
 608,     0, -11, -11, -11, -39, -43, -43, -43, -11, -27
 609,     1, -32,  -8,  76, -16, -12, -32,  -8, -36,  -8
 610,     1,  -6,  -6,  82,  -6,  -6,  -6, -18, -22,  -6
 611,     1,  71,  -9,  -9, -33, -37, -41, -21, -37, -25
 612,     1,  -4,  -4,  -4,  -4,  88,  -4, -16,  -4,  -4
 613,     1,  72,  -8, -28,  -8,  -8, -28, -20, -36,  -8
 614,     0, -11, -11, -31, -15, -31, -51, -39, -11, -11
 615,     1,  -7, -31,  -7, -23, -23,  73, -35,  -7,  -7
 616,     1,  70,  -6,  -6,  -6,  -6, -22,  -6,  -6, -22
 617,     1,  -7,  -7,  -7, -27,  -7,  65, -27, -27,  -7
 618,     1, -35, -15, -11, -11, -35,  53, -51, -11, -35
 619,     1, -17, -41,  63,  -9,  -9, -33, -25, -17,  -9
 620,     1,  -3,  -3,  -3,  -7, -11,  -3, -11,  -3,  85
 621,     0, -11, -35, -11, -11, -11, -11, -19, -11, -27
 622,     1,  -6,  82,  -6, -10,  -6,  -6, -30, -14, -10
 623,     1, -26,  82, -30,  -6, -30,  -6,  -6,  -6,  -6
 624,     1,  -8, -36,  -8,  -8,  -8,  -8,  -8, -32,  72
 625,     1,  -3,  -3,  -3, -15,  89,  -3,  -3,  -3,  -7
 626,     1,  -6, -22, -26,  -6,  86,  -6,  -6,  -6,  -6
 627,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3
 628,     1,  66, -10, -14, -10, -22, -34, -10, -30,  70
 629,     1, -20, -12,  -8, -20,  92,  -4,  -8,  -4,  -4
 630,     1, -28, -28,  -8,  60,  -8,  -8, -12,  -8,  -8
 631,     1,  -7,  -7, -27, -23,  -7, -23,  -7,  85, -27
 632,     1,  -8, -24,  60, -36,  -8, -36, -24, -28,  -8
 633,     1,  -6,  -2,  -2,  -2, -10,  -2,  -2,  -2,  94
 634,     1,  -9,  -5, -21,  -5, -21,  87,  -5,  -5,  -5
 635,     1,  -8, -28,  -8,  -8,  -8,  -8,  88,  -8, -20
 636,     1, -38, -14, -42, -42, -10, -10, -10,  66, -34
 637,     1,  -5,  -9,  -5,  -5,  -9,  83,  -5, -25,  -5
 638,     1,  -6, -10,  -6, -10, -10, -22,  78, -22,  -6
 639,     1,  -3,  -3,  -3,  -7,  -3,  89,  -3,  -3,  -3
 640,     1, -30,  -6, -26,  90,  -6, -18,  -6, -10,  -6
 641,     1,  -4, -16,  80,  -8,  -8,  -8,  -4,  -4, -20
 642,     1,  -7, -27, -11, -11,  -7,  -7,  65, -11, -23
 643,     1,  -7,  -7,  -7,  -7, -15, -27, -19, -27,  81
 644,     1,  -6, -22,  -6,  -6, -14,  74,  -6, -30,  -6
 645,     1,  -6, -10,  86,  -6, -26, -18, -14, -18,  -6
 646,     1,  -7,  -7,  -7,  -7, -11,  -7,  -7, -23,  81
 647,     1, -10, -10, -30,  54, -10, -10, -42, -30, -22
 648,     1,  78, -10,  -6, -26, -22,  -6, -22,  -6,  -6
 649,     1,  70, -34, -10, -18, -42, -10, -10, -18, -10
 650,     0, -23, -43, -43, -19, -43, -11, -35, -23, -39
 651,     1, -30, -14,  -6, -18,  -6, -26,  86, -18, -26
 652,     1,  -4,  -8,  -4,  -4,  88, -16,  -4,  -4,  -4
 653,     1,  -8,  -8,  -8,  72,  -8,  -8,  -8,  -8,  -8
 654,     1,  85, -15,  -7, -27,  -7,  -7, -27, -23,  -7
 655,     1,  -5,  -9,  79, -17, -21,  -5, -21,  -5,  -5
 656,     1, -29, -25,  63, -41, -25,  -9,  -9,  -9,  -9
 657,     1,  -7,  69,  -7, -15, -31,  -7,  -7,  -7,  -7
 658,     1,  -2, -10,  -2,  -2,  90,  -2,  -2, -10,  -2
 659,     1, -21, -17,  -9,  67,  -9,  -9, -29, -33, -21
 660,     1, -41,  -9,  -9,  -9, -41, -17,  83, -25, -37
 661,     0, -11, -27, -11, -43, -11, -39, -43, -43, -11
 662,     1, -18, -42, -14, -10, -18, -10, -14, -10,  54
 663,     1,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  83,  -5
 664,     1,  86,  -6,  -6,  -6,  -6,  -6, -10, -14, -14
 665,     1, -14,  -6,  -6,  90,  -6, -26, -18, -14,  -6
 666,     1,  -5,  -5,  -5, -13, -21, -13,  91,  -9,  -5
 667,     1,  -7,  -7, -27,  -7,  69,  -7, -27, -31,  -7
 668,     1,  -8, -36,  -8,  -8, -20,  -8,  -8,  -8,  88
 669,     1,  -9,  -9,  -9,  -9,  -9,  -9, -21, -13,  59
 670,     1, -32,  -8,  -8,  -8,  72,  -8,  -8, -36, -36
 671,     0, -10, -10, -10, -10, -34, -10, -10, -10, -30
 672,     1,  89,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 673,     1, -30, -10, -10, -18, -10,  66, -38, -14, -14
 674,     1,  -8,  60,  -8, -20, -20, -12,  -8,  -8, -32
 675,     1,  -3,  93,  -7,  -3,  -3,  -3,  -3,  -3, -11
 676,     0, -43, -27, -11, -43, -19, -11, -27, -11, -11
 677,     1,  -6,  -6,  74,  -6,  -6,  -6,  -6, -14,  -6
 678,     1,  -4,  -4,  84, -20,  -4,  -8,  -4,  -4, -16
 679,     1,  -3,  -3,  -3,  -3,  89, -11,  -3,  -3,  -7
 680,     1,  -5,  -5,  -5,  -9,  -9,  -5,  -5,  -5,  83
 681,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -8,  -8
 682,     1,  -5,  -5, -21,  87,  -5, -13,  -5, -21,  -5
 683,     1, -33,  -9, -41, -17, -13, -21,  59, -37,  -9
 684,     1,  -9,  -9, -21, -29, -17, -25, -41,  71, -21
 685,     1, -21,  -5, -17,  -5, -25,  79,  -5,  -5,  -5
 686,     1, -14, -18,  90, -10,  -6,  -6,  -6,  -6,  -6
 687,     1,  -6,  -6,  86,  -6, -26,  -6,  -6,  -6,  -6
 688,     0, -11, -39, -27, -11, -31, -11, -31, -11, -43
 689,     1, -26,  86, -26, -22,  -6,  -6,  -6,  -6,  -6
 690,     1,  -9,  -9, -41,  -9, -41,  -9,  75,  -9,  -9
 691,     1,  -7,  -7, -15, -11,  77,  -7, -19, -15, -11
 692,     1,  -4,  -4,  -4,  -4,  -4,  -4, -20,  84,  -4
 693,     1,  -8, -20,  80,  -8,  -8,  -8, -40, -40,  -8
 694,     1,  -5, -13,  -5,  -5,  83, -17,  -5,  -5,  -5
 695,     1, -10, -10, -26, -10, -10,  58, -10, -10, -42
 696,     1,  58, -10, -26, -26, -42, -10, -10, -14, -34
 697,     1,  -6, -26,  -6, -26,  -6,  -6,  -6,  82,  -6
 698,     1,  -8, -12,  -8,  -8, -12,  -8,  68,  -8,  -8
 699,     1,  76, -12, -36,  -8, -16,  -8, -20,  -8, -24
 700,     1,  -9,  67,  -9, -33, -13,  -9, -41, -25, -41
 701,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4, -20
 702,     1, -12,  -4, -16,  -4,  88,  -4,  -4,  -8,  -4
 703,     1, -36,  -8,  -8,  -8, -36,  -8,  -8, -12,  76
 704,     1,  -9, -37, -17,  71,  -9, -17, -13,  -9,  -9
 705,     1,  -6, -26,  82,  -6,  -6,  -6, -18,  -6, -10
 706,     1,  77,  -7,  -7, -11,  -7, -27, -23,  -7, -23
 707,     1, -42, -30, -26, -10, -10,  54, -38, -10, -18
 708,     1,  -5,  -9,  -5,  83,  -5,  -5,  -5,  -5,  -5
 709,     1,  -3,  89,  -3,  -3,  -7,  -3, -11, -11,  -3
 710,     1,  -9,  -9,  -9, -21, -13, -33,  71, -29, -41
 711,     1,  -8, -32, -36,  -8, -24,  -8,  80,  -8,  -8
 712,     1,  -3,  -7, -11,  -3, -15,  -7,  -3,  93,  -3
 713,     1,  -3,  93, -11,  -3, -15,  -3,  -7,  -3,  -3
 714,     1,  -4,  84,  -4,  -4,  -4,  -4,  -4, -16, -20
 715,     0, -11, -31, -43, -47, -11, -15, -11, -11, -35
 716,     1,  -4, -16,  88,  -4,  -4,  -4,  -4,  -4,  -4
 717,     1,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  79
 718,     1, -25, -25,  -9, -17, -37,  -9,  -9,  63, -37
 719,     0, -43, -27, -31, -11, -15, -27, -11, -31, -27
 720,     1,  -6,  -6, -18,  -6,  82, -26, -30,  -6,  -6
 721,     1, -32, -12, -24,  68,  -8, -20, -12, -32,  -8
 722,     1,  -7, -11,  81,  -7,  -7, -31, -27,  -7,  -7
 723,     1,  -7, -11, -27,  -7, -23,  85,  -7,  -7, -15
 724,     1,  -7,  -3,  85,  -3,  -3,  -3,  -7,  -7,  -3
 725,     1, -41, -41,  63, -29,  -9,  -9,  -9, -25,  -9
 726,     1, -17, -21,  -5,  79,  -5,  -9, -21, -25, -17
 727,     1,  -8,  -8, -32,  -8,  -8,  -8,  72, -36,  -8
 728,     0, -11, -11, -43, -23, -11, -27, -11, -11, -43
 729,     1, -21,  -9,  -9,  -9, -25, -29, -21,  59, -17
 730,     1,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3
 731,     1,  -7,  -7,  -7,  81,  -7, -35,  -7,  -7, -19
 732,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94
 733,     1,  -9, -25, -37,  -9, -17,  75,  -9, -37,  -9
 734,     0, -31, -43, -39, -19, -15, -11, -11, -51, -27
 735,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3, -15,  -3
 736,     1,  -6, -26, -10,  82, -10, -30,  -6, -26,  -6
 737,     1,  49, -43, -11, -11, -11, -11, -11, -23, -11
 738,     1,  63, -21, -17, -25,  -9,  -9, -21,  -9,  -9
 739,     1,  -6,  -6,  90, -18,  -6,  70, -18,  -6, -18
 740,     1,  -4, -20,  -8,  88, -16,  -4,  -4,  -4,  -4
 741,     1,  -4, -16, -12,  -4,  -4,  -4, -16,  -4,  92
 742,     1,  -9, -29,  -9,  -9, -37, -37,  -9,  67, -33
