nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y 
 242,   10,   43,    1,   35,    1,   38,   11,   61,   11,   60,   10,   54,   10,   58,   10,   47,    1,   51
 243,    0,   63,   11,   64,   11,   65,   10,   61,    0,   40,    0,   35,    1,   21,   10,   41,    0,   53
 244,   11,   65,   11,   56,   10,   51,    0,   29,   10,   61,   11,   63,    1,   63,   10,   44,    1,   32
 245,    0,   48,   10,   60,    0,   25,    1,   23,    1,   31,    1,   39,   10,   51,   11,   54,   10,   55
 246,   11,   60,   10,   49,    0,   22,    1,   45,    1,   21,   11,   65,    1,   27,    0,   64,   10,   52
 247,    1,   55,    0,   49,   10,   64,   11,   59,   10,   51,    0,   43,   10,   63,   10,   43,   10,   56
 248,    1,   19,    0,   32,    0,   32,    0,   38,   10,   36,    0,   22,    1,   59,    1,   33,    1,   20
 249,    0,   28,    0,   36,   11,   57,   11,   60,   11,   60,   10,   59,   11,   56,    0,   26,    0,   21
 250,    0,   37,   10,   36,   10,   57,   11,   61,   10,   44,    1,   45,   11,   58,   10,   46,   10,   37
 251,    0,   49,   11,   57,   10,   59,    0,   50,    1,   22,    0,   57,   10,   48,    1,   20,   11,   60
 252,    0,   37,   11,   57,   10,   38,   11,   61,    1,   22,    1,   54,    0,   30,    1,   27,   10,   63
 253,   10,   55,    1,   37,   10,   56,    1,   37,    0,   32,   11,   65,    1,   35,    0,   51,   11,   54
 254,   10,   42,    0,   49,    1,   16,   10,   62,   10,   59,   10,   52,    1,   41,    1,   12,   10,   63
 255,    1,   35,   10,   36,    0,   54,   10,   37,    1,   44,    0,   63,    0,   47,    0,   30,    0,   54
 256,   11,   64,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49,    0,   20,    0,   59,   11,   57
 257,    0,   30,   11,   60,    0,   52,   10,   61,   11,   64,   10,   62,   10,   42,   10,   44,    0,   26
 258,    0,   31,   11,   60,   10,   39,   11,   55,   11,   56,    0,   63,    0,   31,   10,   53,   10,   45
 259,   11,   54,    0,   29,   11,   55,   10,   64,   11,   55,    1,   15,   11,   59,    1,   60,   10,   65
 260,   10,   39,    0,   23,    1,   54,   11,   54,    1,   62,   11,   57,   11,   55,    1,   23,    1,   40
 261,    0,   26,   10,   61,    0,   63,   10,   59,    0,   35,    1,   42,   11,   60,   11,   65,   11,   58
 262,   11,   57,   10,   56,   10,   63,   11,   63,    1,   59,   10,   45,    1,   24,   11,   58,    1,   32
 263,   10,   44,   11,   62,   11,   54,    1,   23,    0,   34,   11,   58,    0,   58,   11,   60,    0,   25
 264,    1,   34,    1,   53,   11,   59,    0,   39,    0,   40,    1,   65,    1,   18,   11,   62,   10,   45
 265,    0,   52,    1,   45,    0,   39,   10,   52,   10,   42,    1,   15,    0,   27,   10,   59,   10,   46
 266,    0,   51,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55,    1,   40,   10,   36,    0,   40
 267,   10,   64,   10,   56,   11,   55,    0,   40,   10,   45,    1,   58,   10,   53,   11,   61,    1,   21
 268,    0,   42,    0,   42,   11,   58,   11,   63,   11,   58,   10,   55,    0,   26,   10,   57,    0,   41
 269,    1,   34,   11,   65,    0,   62,   10,   47,    0,   46,   10,   64,   11,   63,   11,   62,   11,   60
 270,   10,   49,   11,   64,   11,   57,    0,   47,    1,   33,   11,   62,   11,   63,    1,   17,    1,   54
 271,    1,   57,    1,   56,   11,   62,    0,   62,    1,   16,    0,   59,    1,   43,   11,   65,   10,   57
 272,   10,   48,    0,   27,    1,   23,   11,   56,    0,   51,   11,   61,    1,   56,    0,   49,    1,   52
 273,    1,   45,    0,   58,   10,   41,   11,   65,   10,   61,   11,   57,    0,   33,   11,   57,    1,   57
 274,    0,   39,    1,   34,   11,   59,    0,   60,   11,   58,    0,   41,   10,   49,    0,   22,   10,   52
 275,   10,   44,    1,   30,   10,   49,    0,   50,   11,   58,    0,   44,   10,   46,   11,   65,    1,   39
 276,    1,   48,    0,   32,   11,   56,   10,   42,    0,   37,   10,   43,    1,   36,   10,   40,   10,   53
 277,   11,   61,    1,   38,   10,   51,   10,   44,    0,   64,   11,   62,   11,   65,    1,   30,   11,   62
 278,    0,   55,    0,   27,   10,   42,    1,   20,   10,   54,   11,   55,   11,   57,    0,   34,   11,   57
 279,    1,   26,   10,   47,   11,   55,   10,   65,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 280,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33,    1,   58,    0,   53,   10,   53,    1,   53
 281,   10,   48,    1,   34,   10,   43,   11,   64,    1,   40,   10,   50,    0,   48,   10,   53,   10,   50
 282,   11,   55,   11,   54,   11,   59,   10,   37,   11,   56,   11,   65,   11,   61,    0,   46,   10,   63
 283,   10,   40,    0,   56,    1,   30,    1,   61,   11,   63,    1,   65,   10,   62,   11,   61,   10,   64
 284,    0,   43,    0,   57,   11,   60,    1,   60,    0,   55,    0,   55,   11,   63,   10,   41,   11,   56
 285,   11,   61,   11,   60,    0,   62,   10,   49,    1,   42,   11,   57,    1,   22,    1,   53,    0,   58
 286,    0,   25,    0,   53,   10,   61,    0,   61,    0,   25,    1,   30,   11,   62,    0,   23,   10,   39
 287,   10,   57,   10,   36,   11,   57,    1,   40,   11,   57,   10,   61,   10,   42,    1,   19,   10,   50
 288,    1,   61,    0,   24,   10,   47,    1,   43,   10,   36,    0,   20,    0,   28,   11,   54,    0,   45
 289,    1,   47,    0,   51,    0,   34,    1,   45,    0,   19,    0,   46,    1,   49,    1,   12,    0,   62
 290,   11,   63,    1,   50,    1,   13,    1,   49,    0,   65,    1,   45,    0,   22,   11,   61,    0,   36
 291,   10,   60,    1,   36,   11,   61,   11,   60,   10,   60,   11,   56,   10,   57,    1,   28,    0,   63
 292,   10,   63,   10,   45,   11,   64,   11,   60,    1,   56,   10,   38,   11,   63,   10,   42,    1,   38
 293,   11,   59,   11,   59,    0,   37,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65,   11,   56
 294,    1,   46,    0,   37,   10,   61,    0,   33,    1,   20,    1,   65,    1,   15,   11,   65,   11,   61
 295,    1,   56,   10,   41,   10,   50,   10,   42,    1,   28,    1,   49,    1,   47,    0,   19,    1,   61
 296,    0,   22,   11,   57,    0,   21,    0,   28,   10,   37,   11,   65,    1,   56,   10,   36,   11,   65
 297,   10,   57,    1,   58,    0,   35,   11,   56,    0,   20,    0,   60,   11,   60,   11,   55,   11,   62
 298,   11,   57,    0,   47,   10,   63,    0,   28,   10,   60,    1,   33,   10,   38,    1,   26,    0,   35
 299,    1,   60,   10,   43,    1,   40,   11,   57,    1,   18,    0,   27,   10,   56,   11,   63,    1,   32
 300,   11,   60,   10,   57,   11,   58,   11,   59,    1,   51,   10,   45,   10,   39,   11,   54,    0,   51
 301,   11,   65,    1,   62,   10,   38,    1,   38,   11,   54,   10,   52,   11,   58,    1,   47,    0,   48
 302,    1,   24,    0,   46,   10,   44,    1,   64,    1,   43,    1,   34,    0,   35,   11,   59,   11,   65
 303,    1,   19,   10,   37,    0,   32,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43,   11,   58
 304,    1,   28,   11,   60,   11,   62,    1,   32,    0,   20,   11,   61,   11,   56,   10,   52,    0,   57
 305,   11,   65,    0,   46,   11,   65,    1,   59,   11,   64,   10,   64,   10,   39,    0,   28,    0,   42
 306,    1,   27,    1,   19,    1,   59,   10,   58,    1,   65,    1,   28,   10,   56,    1,   34,    0,   47
 307,    1,   40,    0,   41,   11,   58,   10,   41,    0,   30,    0,   57,    1,   64,   10,   61,    0,   37
 308,    1,   23,   11,   63,    0,   46,   11,   58,   11,   60,   10,   60,    0,   55,    1,   57,    0,   32
 309,   10,   55,    1,   48,   11,   58,    0,   35,    0,   25,   10,   44,    0,   61,    0,   34,   10,   61
 310,   11,   61,   11,   60,    0,   41,    1,   33,    1,   56,   10,   57,   11,   55,   10,   59,   10,   57
 311,    1,   17,    0,   58,    1,   21,    1,   40,    1,   13,    0,   46,    1,   53,    1,   54,   10,   45
 312,    1,   33,    0,   55,   11,   61,   10,   59,    0,   53,   10,   40,   10,   60,    0,   21,    0,   32
 313,    1,   57,    1,   53,    0,   51,   11,   58,   11,   54,    0,   19,   11,   63,   10,   62,    1,   53
 314,   11,   61,   11,   64,   10,   59,   11,   56,    0,   47,   11,   63,   11,   55,    1,   62,   10,   57
 315,   11,   62,    1,   59,    1,   63,   10,   41,   11,   63,   11,   61,    0,   21,    0,   43,    1,   43
 316,    1,   50,   10,   55,   11,   55,   11,   56,   11,   59,    1,   64,   10,   37,   11,   57,    1,   19
 317,   11,   61,   11,   61,   11,   64,   11,   63,   11,   62,   10,   63,   11,   65,    0,   46,   11,   61
 318,    0,   25,    1,   40,    1,   31,    0,   48,    1,   39,    0,   65,    1,   50,   11,   56,    1,   31
 319,    0,   49,   11,   61,   10,   38,    1,   38,   11,   59,   10,   51,    0,   18,   11,   65,    0,   25
 320,   11,   60,    0,   43,   11,   57,    1,   51,    1,   12,    1,   41,   10,   48,    1,   50,   11,   64
 321,    1,   18,   10,   42,    0,   48,    0,   52,   10,   48,   11,   59,   10,   54,   10,   62,    0,   50
 322,    0,   28,   10,   45,    0,   44,   11,   60,    0,   32,    0,   33,    0,   49,   10,   39,    0,   25
 323,   11,   65,    1,   35,    0,   52,   10,   36,    0,   18,    1,   59,   11,   61,   11,   64,   10,   47
 324,    1,   21,   10,   50,    0,   19,    0,   30,    1,   60,   11,   57,   10,   52,   11,   57,    1,   44
 325,    1,   34,    0,   53,   11,   61,   10,   62,   11,   54,   10,   36,    1,   22,    0,   38,    0,   52
 326,    1,   59,    1,   64,   11,   58,    0,   24,    0,   20,   11,   58,    1,   35,   11,   58,    1,   48
 327,    1,   47,    1,   42,    1,   25,   11,   61,   10,   44,   10,   52,   10,   52,    1,   47,    0,   32
 328,    1,   35,    0,   27,   11,   63,    0,   47,   10,   38,   10,   46,    1,   31,   10,   61,   11,   57
 329,   11,   54,   10,   57,   11,   59,    1,   45,    1,   64,    1,   19,    1,   25,   11,   64,   10,   44
 330,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31,    0,   31,    0,   35,   11,   61,   11,   59
 331,    0,   25,    1,   24,    0,   30,    1,   34,   10,   64,   10,   38,    0,   37,    0,   44,   10,   44
 332,   10,   65,    0,   62,    1,   59,    1,   61,   11,   63,    1,   26,    0,   55,    1,   37,    0,   21
 333,   11,   60,    0,   27,    1,   26,    0,   18,   11,   59,   10,   52,   10,   62,    1,   47,    0,   32
 334,    0,   39,   11,   64,   10,   61,    1,   16,    1,   50,    0,   24,   11,   59,   10,   65,   10,   48
 335,   10,   50,    1,   42,    1,   18,   11,   64,   10,   49,   11,   59,   10,   63,    0,   54,   11,   58
 336,   10,   45,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14,   10,   44,   11,   65,   10,   63
 337,   11,   58,   10,   36,   10,   65,   10,   44,   10,   47,    1,   36,    0,   40,    0,   18,    0,   38
 338,    1,   14,   11,   55,    1,   56,   10,   48,   11,   57,    1,   55,    1,   55,    1,   49,    0,   39
 339,    0,   45,    0,   63,   11,   57,    1,   12,   11,   60,    1,   65,    1,   47,    1,   18,    1,   50
 340,    0,   33,    0,   19,    0,   27,    0,   50,   11,   59,    1,   39,   10,   54,    0,   55,   11,   60
 341,   10,   53,    0,   36,   11,   54,   11,   61,   10,   50,    0,   47,   11,   60,   11,   62,    0,   57
 342,    0,   63,    0,   37,   11,   58,   10,   55,    1,   33,   10,   51,   11,   62,    0,   50,   10,   51
 343,    1,   53,   11,   57,    1,   50,   11,   57,   10,   62,    0,   57,   10,   60,   11,   62,   10,   38
 344,   10,   37,    1,   16,   10,   36,   10,   55,    0,   24,   11,   62,   11,   58,    0,   63,    1,   42
 345,    0,   56,    0,   63,    1,   20,   10,   43,    0,   41,   10,   57,   11,   56,   11,   59,    0,   54
 346,    1,   42,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55,    1,   15,   11,   62,    0,   29
 347,   10,   44,    0,   58,    1,   49,    1,   24,   11,   62,    1,   45,    0,   64,   11,   63,    0,   58
 348,    1,   30,   10,   62,   10,   44,   11,   55,   11,   62,   10,   42,    1,   34,   10,   58,   11,   59
 349,   10,   60,   10,   53,    1,   15,   11,   56,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14
 350,    0,   51,   11,   65,   11,   59,   10,   38,   10,   58,   11,   54,    1,   26,    0,   29,   11,   60
 351,   10,   42,   11,   59,   11,   59,    0,   28,   10,   41,    1,   44,    1,   13,    0,   56,    1,   17
 352,    0,   33,    0,   47,   10,   59,    1,   41,   11,   63,    1,   17,   11,   63,    0,   20,   11,   58
 353,    0,   45,   11,   65,    0,   53,    0,   57,   10,   60,   10,   60,    0,   30,    0,   23,    0,   22
 354,    1,   30,    0,   27,   10,   37,    0,   59,   11,   54,    1,   31,   10,   54,   11,   57,    1,   32
 355,   11,   56,   11,   61,    1,   50,    0,   20,   11,   58,   11,   61,   10,   62,    1,   32,   11,   64
 356,   11,   65,   10,   41,   11,   64,    1,   48,    0,   62,    1,   42,   10,   60,   10,   45,   11,   56
 357,   10,   51,    1,   39,    1,   40,    0,   30,    0,   59,    1,   58,    1,   29,   10,   48,   11,   61
 358,   10,   65,   11,   58,    1,   58,   11,   60,   10,   38,    0,   23,    1,   12,   10,   36,    1,   17
 359,    0,   49,    1,   12,   11,   60,   11,   57,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59
 360,   11,   58,    0,   38,   10,   60,   10,   38,   11,   55,    0,   28,    0,   27,    0,   43,   11,   60
 361,   10,   59,   11,   57,   11,   56,    0,   56,    0,   61,   11,   62,   10,   50,    0,   34,   11,   61
 362,    1,   21,    0,   43,   10,   64,   11,   62,   10,   65,   10,   59,    1,   19,    1,   54,   10,   50
 363,    0,   35,   10,   48,    0,   64,   11,   64,    1,   65,    0,   49,    0,   34,   10,   50,    1,   62
 364,   11,   64,   11,   56,   10,   47,   11,   58,   10,   60,    1,   18,    1,   26,    1,   64,   11,   61
 365,   11,   60,   11,   57,   11,   60,    0,   40,    1,   23,   11,   56,   10,   52,   10,   41,   10,   50
 366,   10,   63,   11,   61,   10,   65,    0,   25,   10,   45,    1,   45,    1,   43,    1,   20,   10,   40
 367,    0,   58,   11,   55,   10,   60,   11,   61,   10,   54,    1,   43,   11,   59,    0,   58,    1,   35
 368,   10,   60,   10,   47,    0,   64,    1,   35,   11,   62,   10,   65,   11,   61,    0,   57,   10,   53
 369,   10,   42,   10,   50,   11,   65,   11,   60,    1,   17,    0,   31,    0,   52,    1,   56,   11,   59
 370,    1,   40,   10,   50,   11,   57,    0,   64,    0,   27,    1,   57,    1,   47,   11,   60,    0,   42
 371,    0,   35,    0,   37,    0,   50,   10,   60,   10,   39,    0,   65,   10,   55,    1,   29,   11,   65
 372,    0,   34,    1,   65,   10,   58,    1,   29,   10,   60,    0,   60,   10,   45,    0,   63,   10,   49
 373,    1,   47,    0,   61,   10,   36,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44,   11,   54
 374,    0,   61,   10,   62,   11,   62,   11,   58,   10,   63,    0,   18,   10,   48,    1,   32,   10,   51
 375,    1,   48,    1,   38,    1,   40,   11,   55,   10,   41,   11,   63,    1,   63,    0,   47,    1,   54
 376,   11,   57,   10,   55,    1,   28,    0,   63,    1,   49,   11,   57,    0,   35,   10,   51,    0,   65
 377,   11,   64,    0,   38,   11,   65,   10,   41,   11,   57,   11,   61,    1,   44,    1,   44,   11,   62
 378,   10,   57,   11,   58,    0,   51,    0,   49,   10,   46,    0,   53,   11,   63,   11,   59,    0,   23
 379,    0,   31,   11,   55,   11,   54,   10,   53,   10,   40,    1,   57,    1,   31,    1,   33,   10,   51
 380,   11,   59,    1,   12,    1,   56,   11,   60,    1,   32,    1,   30,   11,   58,   10,   40,   11,   57
 381,    1,   25,    0,   63,   10,   63,    0,   44,   10,   64,   10,   55,    1,   60,   10,   36,   10,   61
 382,    0,   27,   10,   37,    1,   43,    0,   58,    0,   56,    0,   58,   10,   58,   10,   60,    0,   54
 383,    0,   30,    0,   39,    1,   59,    0,   54,   11,   61,    0,   18,    0,   57,   10,   63,   10,   39
 384,   10,   45,   10,   41,   11,   62,   10,   54,    1,   39,   10,   46,    1,   32,    0,   18,   11,   64
 385,    1,   27,   10,   62,    0,   26,    0,   35,   11,   54,    1,   62,   10,   45,   11,   63,    0,   60
 386,   11,   59,   10,   48,    1,   46,   11,   59,   10,   40,    1,   35,   11,   61,    1,   55,    0,   45
 387,   11,   54,   10,   59,   10,   43,   11,   61,    1,   35,   11,   62,   11,   62,    0,   41,   10,   36
 388,    0,   48,    0,   52,    0,   38,   11,   61,    0,   44,   10,   42,    0,   25,   11,   56,   11,   65
 389,   10,   60,   11,   62,   10,   36,    1,   33,   11,   63,    1,   51,    0,   59,    0,   40,    1,   57
 390,    1,   18,   10,   41,   11,   62,   10,   45,   11,   58,    1,   47,   11,   65,    1,   51,    0,   62
 391,    0,   43,    1,   33,    1,   38,   11,   59,   10,   36,    1,   56,    1,   59,    1,   27,    0,   29
 392,   10,   42,   11,   64,    1,   63,    0,   49,    1,   14,   10,   54,   10,   42,    0,   29,    1,   47
 393,   10,   45,   11,   61,    0,   64,   11,   63,   10,   44,    0,   30,   10,   48,    0,   50,   10,   40
 394,    1,   31,    1,   62,    0,   56,    0,   46,    0,   30,   11,   54,    1,   35,    1,   50,   11,   62
 395,    1,   41,   11,   58,    1,   51,    0,   52,    1,   56,   11,   59,    1,   31,   11,   55,    1,   25
 396,    0,   54,   11,   63,    0,   31,   10,   43,    1,   40,   11,   61,   11,   58,   11,   60,    0,   23
 397,    1,   22,    1,   14,    1,   32,    1,   55,   10,   45,    0,   24,   10,   62,    1,   34,   10,   39
 398,   11,   59,    0,   61,    0,   19,    0,   44,    1,   15,    0,   40,    0,   27,   10,   45,    0,   63
 399,   11,   61,   11,   65,    1,   45,   11,   54,   11,   59,   11,   58,    0,   42,   11,   60,    0,   50
 400,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24,    1,   64,   11,   62,   10,   48,   10,   58
 401,    0,   21,   10,   50,   10,   44,   10,   61,   10,   36,   11,   56,    1,   16,    1,   60,    1,   50
 402,    1,   38,    1,   48,    0,   61,   11,   57,   10,   64,   11,   55,    1,   32,   11,   65,   11,   61
 403,    1,   26,    1,   34,   10,   48,   11,   55,    0,   54,   11,   60,   10,   53,   11,   64,    1,   33
 404,   10,   56,   10,   45,   10,   59,   10,   63,    0,   29,    0,   27,    0,   49,   10,   41,   10,   44
 405,   11,   62,    1,   49,   11,   61,    1,   21,    1,   12,    1,   40,   10,   41,    1,   37,   11,   56
 406,    1,   61,    1,   41,   10,   63,   11,   57,   10,   58,    0,   54,    1,   47,    1,   22,   10,   37
 407,   10,   51,    0,   50,    1,   25,   10,   55,   10,   57,    0,   62,    1,   26,   10,   38,    0,   30
 408,   11,   55,   10,   58,   10,   42,    1,   34,    0,   34,   11,   54,    0,   58,   11,   55,   11,   64
 409,    1,   21,    1,   13,   11,   56,    1,   43,   10,   43,    1,   43,    1,   58,   10,   55,   11,   54
 410,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52,    0,   21,   10,   65,    0,   30,    0,   57
 411,    0,   52,    1,   40,    1,   23,   11,   54,    1,   54,   10,   51,    0,   28,   10,   45,   10,   53
 412,   10,   44,    1,   57,    0,   21,   11,   64,    0,   57,    0,   56,   10,   49,    1,   58,    0,   46
 413,    0,   62,    0,   62,   11,   65,   10,   64,    0,   35,   10,   52,    0,   59,    0,   24,    0,   60
 414,    0,   47,   11,   62,   10,   60,    0,   49,    1,   50,   10,   45,   10,   58,   11,   64,    0,   37
 415,   11,   61,    0,   29,    1,   50,    1,   34,   11,   54,    1,   65,   11,   63,    0,   23,    0,   20
 416,   11,   65,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55,    0,   49,    0,   49,   11,   64
 417,   11,   60,   10,   46,   10,   54,    1,   32,    1,   62,   11,   54,   11,   58,   11,   55,   11,   59
 418,    1,   61,   10,   59,    1,   29,   11,   58,    0,   49,   10,   63,   10,   45,    0,   46,   11,   55
 419,   11,   64,   10,   54,   11,   62,    1,   55,   10,   46,   11,   58,   10,   65,   11,   65,    1,   25
 420,   10,   41,   11,   57,   11,   65,   11,   58,    1,   45,    0,   65,    1,   35,    1,   62,   11,   60
 421,   10,   64,    0,   21,    0,   20,   10,   46,   11,   54,    0,   45,    0,   54,    0,   43,   10,   44
 422,   10,   52,    0,   28,    0,   41,    1,   12,   11,   57,    1,   65,    0,   33,   10,   61,    0,   34
 423,   10,   60,   10,   44,    0,   18,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57,    1,   28
 424,    1,   59,   10,   61,   11,   65,    0,   39,    0,   46,   10,   41,    0,   62,    0,   60,    1,   54
 425,   11,   59,   10,   37,    1,   35,   10,   53,    1,   34,    0,   51,    0,   49,   11,   56,    0,   37
 426,    0,   43,   11,   57,    0,   36,   10,   62,    1,   12,   11,   55,    1,   23,    1,   54,    0,   41
 427,    1,   21,    1,   49,    0,   57,    0,   39,   10,   48,   10,   49,   10,   56,    0,   31,   10,   63
 428,    1,   22,    0,   19,    0,   46,    0,   25,    1,   28,   11,   55,   10,   46,   10,   62,    0,   34
 429,   11,   56,    1,   12,    1,   54,   10,   55,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65
 430,   10,   56,    1,   26,    1,   22,   10,   38,    1,   16,   10,   61,    1,   30,   11,   59,    1,   19
 431,    1,   51,    0,   24,   11,   60,    1,   44,    1,   24,    1,   55,   11,   56,   11,   57,   11,   56
 432,   11,   63,   11,   61,    1,   48,    0,   58,    1,   47,    0,   18,    1,   24,   11,   62,   10,   60
 433,    0,   60,    0,   38,   11,   61,   10,   37,    0,   60,   10,   39,    1,   53,   11,   56,    0,   32
 434,   10,   56,   10,   57,   10,   63,    1,   44,    0,   41,   10,   63,   10,   54,    1,   43,    0,   55
 435,   11,   60,   10,   53,   11,   54,   10,   48,   11,   56,    1,   35,   10,   65,    1,   56,   10,   44
 436,   10,   39,    1,   49,    0,   53,   11,   60,   10,   47,    0,   24,   11,   59,    0,   56,    0,   29
 437,    1,   61,    0,   54,   10,   46,   11,   54,    0,   49,    1,   51,    0,   44,    0,   41,    1,   47
 438,    0,   43,   11,   56,    1,   35,   11,   54,    1,   65,   11,   59,    0,   36,   11,   55,   11,   63
 439,    1,   28,    0,   52,    1,   52,    1,   19,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37
 440,    1,   53,    0,   46,   11,   54,   10,   52,   11,   61,   11,   55,    0,   37,   10,   58,   11,   54
 441,    1,   43,    1,   12,   10,   47,   10,   64,   11,   54,    1,   21,    1,   63,   10,   38,   10,   41
 442,   11,   59,    1,   18,    0,   24,    0,   55,    1,   56,   10,   49,   11,   63,    0,   21,    0,   54
 443,   11,   59,   11,   60,   11,   60,   11,   65,    1,   25,    1,   47,   10,   38,   10,   38,   11,   54
 444,    1,   15,    1,   26,    1,   28,   10,   53,    0,   32,    0,   27,    1,   48,   11,   62,    1,   57
 445,   11,   65,   10,   53,   10,   56,    1,   29,    0,   38,   11,   54,    0,   50,   10,   46,    1,   31
 446,    0,   45,    1,   65,    1,   36,   11,   62,   10,   58,   10,   61,    0,   53,    1,   42,   11,   62
 447,   10,   64,    1,   13,   11,   58,   10,   60,   11,   56,    0,   53,    1,   45,   10,   56,   10,   45
 448,   10,   64,    0,   65,    1,   27,   10,   42,    0,   51,   10,   55,   11,   54,    1,   27,   11,   58
 449,    1,   44,   10,   39,   11,   65,   11,   57,    1,   17,    0,   59,    0,   39,    0,   50,    0,   56
 450,    0,   32,    0,   43,    1,   45,   10,   45,    0,   33,    0,   65,    1,   56,   11,   60,    1,   42
 451,   11,   56,    1,   47,   10,   36,   10,   50,   10,   58,    0,   18,    0,   35,    1,   41,   11,   58
 452,   11,   63,   11,   63,   10,   49,   11,   58,    0,   60,    1,   58,    1,   57,    0,   20,    1,   56
 453,   11,   55,    0,   49,    0,   45,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41
 454,   10,   36,   11,   62,   10,   63,    0,   42,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58
 455,    1,   29,   10,   37,   10,   50,   10,   63,   10,   45,    1,   39,   11,   61,    1,   59,    0,   26
 456,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65,    0,   30,   11,   64,   11,   62
 457,   11,   59,    0,   52,    0,   47,   10,   47,   10,   47,    0,   59,   11,   57,   10,   40,   10,   49
 458,    1,   62,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58,    1,   25,    0,   33,    0,   33
 459,    1,   16,   10,   61,   10,   39,    0,   32,    1,   51,    1,   15,   10,   42,   11,   54,   11,   60
 460,    1,   20,    0,   31,    0,   59,    0,   21,    1,   19,    1,   59,   11,   65,   10,   62,    1,   45
 461,   10,   64,   11,   65,   11,   56,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56
 462,    0,   57,    1,   48,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64,   10,   48,   10,   45
 463,    0,   46,   11,   54,    1,   37,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21,    0,   55
 464,    0,   51,   11,   65,   11,   63,   11,   58,    0,   23,    0,   25,    1,   42,    0,   54,   11,   54
 465,    1,   26,   11,   63,   10,   52,    0,   34,   11,   54,    1,   55,   10,   56,    1,   16,   10,   51
 466,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60,    1,   57,    0,   21,   10,   52
 467,   10,   42,    1,   18,   11,   64,   10,   64,   10,   64,   11,   64,    1,   17,    0,   48,   11,   59
 468,   11,   62,    0,   27,    0,   30,    1,   41,    0,   45,   10,   59,   10,   58,    1,   13,    1,   45
 469,    1,   61,    0,   19,    1,   23,   11,   60,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52
 470,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63,    0,   42,    0,   49,   10,   57,   10,   52
 471,   10,   64,    1,   27,   11,   61,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55
 472,   10,   51,    0,   45,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58,    0,   24,   10,   65
 473,    1,   62,    1,   36,    1,   52,   11,   57,   11,   56,    0,   24,    0,   38,   10,   38,   10,   43
 474,    1,   55,   11,   62,   10,   64,   10,   61,    0,   59,    0,   19,    0,   56,   10,   62,    1,   60
 475,   11,   59,   11,   57,   10,   42,    1,   52,   11,   54,   11,   64,   11,   62,    0,   63,   11,   62
 476,   10,   56,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27,   10,   48,   11,   55,   10,   60
 477,    1,   60,   11,   59,   11,   59,   11,   58,   10,   48,    1,   36,    1,   50,    0,   63,   10,   58
 478,    1,   60,   10,   62,    1,   64,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28,    1,   34
 479,    0,   53,    1,   17,   11,   56,   10,   53,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 480,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34,   11,   56,    1,   35,   10,   40,   11,   65
 481,   10,   56,    1,   22,    1,   27,    1,   40,   10,   55,    0,   25,    0,   22,    1,   25,   10,   59
 482,    1,   45,    1,   17,    1,   16,   10,   65,    0,   41,    0,   63,    1,   44,    1,   35,    0,   31
 483,   11,   59,   10,   44,   11,   61,   11,   57,    0,   30,    1,   57,   11,   55,   10,   40,   10,   50
 484,   10,   59,    1,   39,   10,   53,    1,   29,    1,   51,   11,   63,    1,   58,    0,   33,   10,   49
