nExp, valid,  A0,  A1,  A2,  A3
 734,     1,  -9, -13, -33,  63
 735,     1,  -9,  71,  -9, -41
 736,     1,  -4,  80,  -8,  -4
 737,     0, -51, -11, -11, -11
 738,     1,  -4,  92,  -4,  -4
 739,     1, -16,  64, -16,  -8
 740,     1, -37,  59,  -9,  -9
 741,     1,  -3,  -3,  89,  -3
 742,     0, -23, -19, -43, -11
 743,     1,  -5,  -5,  -5,  79
 744,     1,  78,  -6,  -6,  -6
 745,     1,  89,  -3,  -3,  -3
 746,     0, -11, -11, -11, -11
 747,     1, -25,  -9,  79, -33
 748,     1, -16,  88,  -4,  -4
 749,     1,  -4,  -4,  -4,  84
 750,     1, -26, -10, -10,  58
 751,     0, -11, -11, -27, -11
 752,     1, -36,  -8,  76,  -8
 753,     1, -20, -40,  -8,  64
 754,     0, -27, -19, -11, -27
 755,     0, -19, -11, -15, -27
 756,     0, -38, -14, -26, -18
 757,     1, -11, -23, -39,  65
 758,     0, -10, -10, -14, -10
 759,     1, -30, -22,  78,  -6
 760,     1,  -9,  -9, -33,  59
 761,     0, -43, -27, -11, -19
 762,     1, -26,  -6,  90, -18
 763,     0, -15, -11, -23, -47
 764,     1,  -3,  -7,  85,  -3
 765,     1, -16,  -4,  92,  -4
 766,     0, -15, -11, -39, -11
 767,     0, -19, -11, -11, -11
 768,     1, -31,  -7,  89, -15
 769,     1, -26, -10, -18,  78
 770,     1, -17,  59, -25,  -9
 771,     1, -24,  -8,  68, -40
 772,     1, -13,  -9,  67, -17
 773,     0, -11, -11, -11, -11
 774,     0, -11, -11, -11, -23
 775,     0, -10, -42, -10, -10
 776,     0, -43, -11, -35, -11
 777,     1, -13, -13,  71,  -9
 778,     1, -26,  -6,  90,  -6
 779,     0, -19, -11, -11, -19
 780,     1, -38,  62, -10, -10
 781,     0, -11, -11, -35, -19
 782,     1,  85,  -7,  -7,  -7
 783,     1, -11,  -7,  73,  -7
 784,     1,  -9,  -9, -41,  63
 785,     0, -11, -47, -11, -27
 786,     1, -11,  65,  -7,  -7
 787,     1, -10, -10, -38,  62
 788,     1, -10, -18,  54, -10
 789,     0, -11, -31, -11, -11
 790,     1, -14, -18,  -6,  74
 791,     1,  -3,  -3,  -3,  89
 792,     1, -30, -18,  58, -10
 793,     1,  -3,  -3,  -3,  89
 794,     1,  71, -37, -37,  -9
 795,     1,  -9,  -5, -17,  83
 796,     0, -11, -11, -39, -11
 797,     0, -35, -43, -11, -11
 798,     1,  -4,  -4,  92,  -4
 799,     1,  -4, -16,  88, -16
 800,     0, -30, -30, -42, -10
 801,     0, -11, -11, -11, -11
 802,     1,  74, -10, -18, -26
 803,     1, -28,  68,  -8, -16
 804,     1,  83,  -5,  -5,  -5
 805,     1,  -9, -21, -41,  67
 806,     1,  -4, -16,  -4,  88
 807,     0, -11, -11, -11, -27
 808,     1, -33,  -9,  71, -37
 809,     1, -35,  77,  -7, -23
 810,     0, -11, -31, -35, -11
 811,     1,  -4,  -4,  88,  -4
 812,     1, -41,  -9,  -9,  67
 813,     1,  84, -36, -32,  -8
 814,     0, -19, -11, -43, -43
 815,     1, -10,  66, -10, -14
 816,     0, -39, -11, -31, -43
 817,     0, -23, -19, -11, -39
 818,     0, -43, -11, -11, -43
 819,     0, -10, -14, -14, -10
 820,     1,  -4,  -8,  88,  -4
 821,     0, -11, -27, -31, -11
 822,     0, -15, -11, -27, -31
 823,     0, -11, -11, -11, -11
 824,     1, -12,  88,  -4, -12
 825,     1,  -3,  93,  -3,  -3
 826,     0, -11, -47, -23, -19
 827,     1,  -5,  -9,  -5,  91
 828,     0, -11, -35, -35, -11
 829,     1,  58, -10, -10, -34
 830,     0, -23, -11, -23, -11
 831,     0, -11, -27, -11, -43
 832,     0, -14, -22, -10, -26
 833,     1, -29,  -9, -21,  87
 834,     1,  -6, -18,  82,  -6
 835,     1, -10, -10,  66, -18
 836,     1, -29,  59,  -9,  -9
 837,     1, -13,  -9,  63, -13
 838,     1,  67, -37,  -9,  -9
 839,     0, -11, -19, -39, -43
 840,     1,  81,  -7,  -7, -27
 841,     1, -17, -17,  87,  -9
 842,     0, -19, -27, -11, -27
 843,     1,  -7,  -7, -11,  85
 844,     0, -19, -11, -23, -31
 845,     1, -31, -23,  85,  -7
 846,     0, -23, -11, -11, -43
 847,     1,  80, -20,  -8,  -8
 848,     1, -22,  -6,  78,  -6
 849,     1,  65, -31, -27,  -7
 850,     1, -21,  -9,  59, -37
 851,     0, -43, -23, -11, -43
 852,     1,  70, -10, -10, -14
 853,     1, -10,  -6,  -6,  74
 854,     1, -13,  -5,  91, -21
 855,     0, -27, -11, -11, -11
 856,     1,  -4,  92,  -4, -20
 857,     0, -15, -27, -15, -11
 858,     1,  85, -35, -11,  -7
 859,     1, -16,  -4,  84,  -4
 860,     1,  -9,  75, -41,  -9
 861,     0, -11, -47, -11, -19
 862,     0, -11, -19, -11, -11
 863,     1, -30, -18,  58, -14
 864,     1,  -7,  69,  -7, -27
 865,     1,  -3,  -3, -11,  93
 866,     1,  -9,  -9,  67,  -9
 867,     1, -22, -10,  74, -10
 868,     1,  -8, -32, -20,  60
 869,     1,  -5, -17, -13,  79
 870,     1,  66, -10, -10, -10
 871,     1, -18, -10,  70, -10
 872,     0, -26, -22, -10, -10
 873,     0, -11, -43, -43, -11
 874,     1, -12,  -4,  84,  -8
 875,     1,  61, -11, -43, -11
 876,     1,  79, -17,  -5, -21
 877,     1,  82,  -6, -18, -22
 878,     1,  66, -10, -10, -10
 879,     1, -36,  76,  -8, -36
 880,     1, -10, -18,  62, -10
 881,     0, -42, -18, -10, -34
 882,     0, -39, -15, -11, -11
 883,     0, -23, -35, -35, -11
 884,     0, -43, -39, -11, -43
 885,     0, -11, -39, -23, -19
 886,     0, -15, -39, -27, -11
 887,     1,  -7,  85,  -7,  -7
 888,     1, -35,  77,  -7,  -7
 889,     0, -35, -11, -11, -43
 890,     1, -21,  79, -17,  -5
 891,     1,  75, -37, -21,  -9
 892,     1, -25, -21,  -9,  71
 893,     0, -11, -11, -11, -15
 894,     0, -11, -11, -23, -27
 895,     1,  91, -25,  -5,  -5
 896,     0, -39, -23, -35, -11
 897,     1,  84, -20,  -4,  -4
 898,     1,  -9, -41,  -9,  71
 899,     1, -24, -36, -24,  84
 900,     0, -11, -19, -43, -23
 901,     0, -11, -35, -11, -27
 902,     1,  -7,  -7,  -7,  65
 903,     1, -41, -29,  63, -37
 904,     0, -11, -27, -31, -43
 905,     1,  -9,  -9,  -9,  63
 906,     1, -20,  -4,  -4,  80
 907,     1,  -8,  60,  -8, -28
 908,     0, -11, -11, -11, -43
 909,     1, -18, -38, -14,  66
 910,     0, -19, -11, -19, -43
 911,     0, -35, -11, -11, -11
 912,     0, -34, -34, -42, -30
 913,     1,  -9,  71, -25,  -9
 914,     1,  49, -11, -47, -39
 915,     1,  77,  -7,  -7,  -7
 916,     0, -11, -11, -27, -11
 917,     0, -43, -11, -11, -11
 918,     1,  -5,  -9,  -5,  83
 919,     1,  -9,  71, -33, -29
 920,     1,  62, -10, -30, -10
 921,     0, -43, -11, -11, -23
 922,     1, -41,  -9,  63,  -9
 923,     1, -27,  89,  -7,  -7
 924,     0, -11, -11, -43, -43
 925,     1,  -4,  88,  -4, -12
 926,     0, -22, -10, -30, -10
 927,     0, -31, -15, -11, -11
 928,     0, -11, -11, -11, -11
 929,     1, -42, -42,  74, -30
 930,     0, -10, -10, -10, -10
 931,     1,  -8, -24,  80,  -8
 932,     1, -27,  89,  -7,  69
 933,     1, -10, -34, -10,  58
 934,     0, -11, -43, -43, -23
 935,     0, -39, -11, -19, -11
 936,     0, -10, -10, -10, -42
 937,     1, -20,  -8,  -8,  80
 938,     0, -11, -35, -11, -11
 939,     0, -39, -11, -39, -11
 940,     0, -34, -30, -38, -30
 941,     0, -27, -11, -11, -11
 942,     0, -11, -11, -11, -27
 943,     0, -11, -11, -43, -27
 944,     1, -16,  -4,  -4,  80
 945,     0, -43, -31, -11, -11
 946,     1, -25,  -5,  83, -13
 947,     1,  -4,  -4,  -4,  88
 948,     1,  69,  -7, -31, -15
 949,     1,  77,  -7, -27,  -7
 950,     1,  -9, -33,  63, -41
 951,     1, -18,  66, -10, -42
 952,     1,  -3,  89,  -3, -11
 953,     1, -40,  -8,  88, -24
 954,     1, -38,  54, -38, -10
 955,     1,  -7,  73, -27, -15
 956,     1,  -5,  -5,  -5,  91
 957,     0, -11, -35, -11, -11
 958,     0, -11, -11, -43, -11
 959,     1,  91,  -5, -17,  -5
 960,     0, -11, -43, -11, -11
 961,     1,  -9,  75, -13,  -9
 962,     1, -13, -17,  91, -17
 963,     1,  -3,  93,  -3,  -3
 964,     1, -10, -10, -30,  58
 965,     0, -10, -22, -38, -10
 966,     1, -40,  84, -32, -36
 967,     1, -47,  53, -23, -11
 968,     1,  89,  -3,  -3,  -3
 969,     1,  -3,  -3,  89,  -3
 970,     1,  -4,  -4,  -8,  84
 971,     1, -41, -13,  67,  -9
 972,     1, -10,  70, -10, -38
 973,     1,  -3,  89,  -7,  -3
 974,     1,  -6, -10,  82,  -6
 975,     0, -11, -15, -27, -43
 976,     1,  -9, -17,  -9,  63
 977,     0, -23, -43, -11, -15
 978,     0, -10, -26, -38, -10
 979,     1,  -9,  63,  -9,  -9
 980,     1,  78,  -6,  -6,  -6
 981,     0, -35, -43, -11, -35
 982,     1, -33, -29,  59,  -9
 983,     0, -11, -43, -23, -31
 984,     0, -11, -11, -11, -43
 985,     1,  -9, -13, -41,  71
 986,     1,  87,  -5, -13, -21
 987,     1, -17,  -5,  -5,  79
 988,     0, -11, -11, -11, -11
 989,     0, -10, -38, -10, -18
 990,     1,  -9, -41,  -9,  59
 991,     0, -35, -11, -11, -11
 992,     1,  -7,  -7, -11,  73
 993,     1, -41,  59,  -9, -29
 994,     0, -11, -39, -31, -23
 995,     0, -19, -23, -11, -11
 996,     0, -23, -11, -43, -11
 997,     1,  -4,  -4,  -4,  84
 998,     0, -27, -11, -11, -31
 999,     1,  -4,  80,  -4,  -4
