nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5
 529,     0, -19, -11, -11, -11, -23, -11
 530,     1, -34,  62, -42, -30, -10, -10
 531,     1,  -4,  88,  -4,  -8,  -4,  -4
 532,     1,  -9,  -5,  91,  -5,  -5,  -5
 533,     1,  -9,  -9,  -9,  71, -41, -25
 534,     1, -34, -10,  66, -22, -10, -22
 535,     1, -18,  -6, -10,  -6,  90,  -6
 536,     1, -16, -24, -28,  -8,  64,  -8
 537,     1,  -4,  -4,  -4,  -8,  -4,  88
 538,     1,  -6,  70, -10,  -6,  -6, -22
 539,     1,  -2,  94,  -6,  -2,  -2,  -2
 540,     1, -10, -10,  54, -38, -10, -10
 541,     1,  88, -12,  -4,  -4, -12,  -4
 542,     0, -23, -43, -11, -11, -11, -11
 543,     0, -11, -15, -47, -47, -11, -19
 544,     1,  -7, -31,  -7,  -7,  69,  -7
 545,     1, -22,  -6,  -6,  86,  -6,  -6
 546,     1,  -6,  -2,  -2,  -2,  -6,  94
 547,     1, -42, -10,  62, -10, -10, -26
 548,     1,  -7,  -7,  -7,  -7,  65, -27
 549,     1, -11,  -7,  -7, -15,  69, -27
 550,     1, -42, -10, -10, -42, -26,  58
 551,     1,  66, -10, -10, -42, -10, -30
 552,     1, -25, -25,  -5,  87,  -5,  -5
 553,     0, -11, -43, -23, -11, -39, -11
 554,     1, -30, -26, -10, -42, -10,  58
 555,     1,  -8,  68, -20, -32,  -8, -36
 556,     1,  -5, -17, -13,  87,  -5,  -5
 557,     1, -46, -14,  82, -10, -10, -10
 558,     1, -25, -25, -33,  -9, -41,  83
 559,     1, -30,  -6,  -6,  -6,  -6,  74
 560,     1,  -5,  79,  -5, -25, -17,  -9
 561,     0, -43, -11, -23, -31, -15, -35
 562,     1,  -5,  91, -17,  -5, -25,  -5
 563,     0, -30, -14, -26, -42, -22, -22
 564,     1,  -8, -36,  -8,  -8,  84, -32
 565,     0, -30, -14, -10, -10, -10, -22
 566,     1, -19,  -7,  -7,  -7,  81,  -7
 567,     1, -32,  -8, -32,  -8,  -8,  80
 568,     1, -10,  62, -34, -10, -10, -18
 569,     1,  -8, -32, -40, -40,  -8,  68
 570,     1,  -6,  90, -10,  -2,  -6,  -2
 571,     1, -17, -13,  71,  -9, -29, -41
 572,     1,  -9, -21,  -9,  79, -21,  -9
 573,     0, -11, -31, -11, -11, -43, -39
 574,     1,  -6,  -6,  -6,  -6,  86,  -6
 575,     1,  76,  -8,  -8,  -8, -24,  -8
 576,     1, -22, -30,  62, -46, -10, -10
 577,     1,  -4,  -4,  -4,  -4,  -4,  88
 578,     1,  -8, -20,  -8,  68, -12, -28
 579,     0, -10, -22, -26, -10, -10, -22
 580,     0, -11, -11, -11, -11, -11, -11
 581,     1, -14, -30,  70, -10, -42, -22
 582,     1, -27,  -7,  -7, -27,  77, -23
 583,     1, -10, -26, -10, -10,  70, -10
 584,     1,  -8, -24, -40,  -8,  -8,  76
 585,     1,  85,  -3,  -3,  -3,  -3,  -3
 586,     1,  -8,  88,  -8,  -8,  -8,  -8
 587,     0, -31, -27, -43, -43, -11, -11
 588,     1,  -8,  -8, -28, -32, -12,  68
 589,     1,  -8,  -8,  -8,  64, -28, -24
 590,     1, -31,  65,  -7, -23, -15,  -7
 591,     1,  83,  -5,  -5,  -5,  83,  -9
 592,     0, -43, -43, -23, -11, -11, -43
 593,     1,  -8,  80, -24, -40,  -8,  -8
 594,     1,  -7, -27,  -7,  65,  -7, -27
 595,     1,  -3,  -3,  -3,  -3,  85,  -3
 596,     1, -17, -21, -13, -13,  91,  -5
 597,     0, -10, -10, -26, -26, -10, -10
 598,     1, -10, -14,  78, -10, -30, -10
 599,     1,  -6,  -6, -18,  90,  -6,  -6
 600,     1,  -4,  -4,  -4,  -8,  84,  -4
 601,     1,  -8, -24, -20,  -8,  72,  -8
 602,     0, -35, -11, -11, -43, -11, -43
 603,     1, -41, -41, -29, -17, -29,  59
 604,     1, -46,  66, -30, -34, -10, -10
 605,     1,  -9,  -9, -37,  59, -41, -41
 606,     1,  -4, -20,  -4, -16,  92,  -4
 607,     1, -10, -38, -34, -10, -42,  66
 608,     1,  -9, -25,  -9, -25,  -9,  71
 609,     1,  -8, -36, -32, -32,  -8,  80
 610,     1,  81,  -7, -23,  -7, -23, -19
 611,     1,  -5,  -5, -13,  -9, -17,  79
 612,     1,  -6, -22,  -6,  78,  -6,  -6
 613,     1, -18, -10,  66, -34, -42, -10
 614,     1, -17, -13,  -9,  -9,  -9,  59
 615,     1, -27, -31,  -7,  81,  -7, -19
 616,     1, -20,  -4,  -4,  -4,  -4,  92
 617,     1, -20,  76,  -8, -24,  -8, -40
 618,     1,  69,  -7,  -7,  -7,  -7, -31
 619,     1, -17, -41,  -9,  -9,  87, -37
 620,     1, -12,  -8, -16,  -8,  84,  -4
 621,     0, -11, -27, -15, -11, -11, -11
 622,     1, -42, -34, -18,  62, -10, -10
 623,     1, -20,  -8, -20,  -4,  84,  -4
 624,     1,  -8, -36,  -8,  -8, -28,  84
 625,     1,  -9, -33, -25, -41, -21,  67
 626,     1,  -9, -33,  59,  -9,  -9,  -9
 627,     0, -11, -11, -11, -11, -43, -11
 628,     1, -10, -10, -18,  70, -18, -22
 629,     1, -41, -25,  71, -41, -37, -13
 630,     1, -33,  71,  -9, -41,  -9,  -9
 631,     1, -25,  -9,  71,  -9,  -9, -29
 632,     1, -27, -15, -31,  -7,  85, -35
 633,     1,  60,  -8,  -8,  -8, -36, -32
 634,     1, -10, -42, -42,  66, -14, -10
 635,     0, -11, -43, -27, -11, -11, -11
 636,     0, -42, -22, -42, -10, -10, -30
 637,     1,  -6, -22,  -6,  -6,  -6,  82
 638,     1,  -9,  -5,  -5,  -5, -13,  91
 639,     1,  77,  -7,  -7, -11, -19, -31
 640,     1,  80,  -4, -16,  -4,  -4,  -4
 641,     1, -16,  60, -40,  -8, -12, -28
 642,     1,  84,  -4,  -4,  -4,  -4,  -4
 643,     0, -22, -10, -14, -10, -42, -38
 644,     1,  -9, -37,  67,  -9,  -9,  -9
 645,     1,  -4,  88,  -4,  -4,  -4,  -4
 646,     0, -11, -23, -11, -11, -31, -31
 647,     1,  90,  -6,  -6, -26,  -6,  -6
 648,     1,  57, -27, -19, -43, -43, -11
 649,     0, -26, -22, -10, -10, -42, -10
 650,     1,  -6, -14,  -6,  -6,  -6,  78
 651,     1, -30, -14,  -6,  90,  -6, -30
 652,     1,  -9, -37,  -9,  -9, -29,  59
 653,     0, -35, -11, -11, -11, -11, -11
 654,     1, -29,  -9,  -9,  71, -25,  -9
 655,     1, -17,  -5,  79, -13, -21,  -9
 656,     0, -15, -27, -11, -43, -27, -43
 657,     1,  -9,  67,  -9,  -9, -41,  -9
 658,     1,  -9,  59,  -9,  -9, -41, -41
 659,     1, -12,  -8,  -8, -24,  84,  -8
 660,     1, -40,  -8,  -8,  64, -36, -28
 661,     0, -19, -11, -31, -43, -35, -11
 662,     1,  -3, -11,  89,  -3,  -3,  -3
 663,     0, -11, -31, -11, -23, -43, -15
 664,     0, -23, -23, -11, -35, -11, -31
 665,     1, -25,  -9, -13, -29, -25,  59
 666,     1,  -4,  88,  -4,  -4,  -4,  -4
 667,     1,  -9, -33,  -9, -33,  63, -41
 668,     0, -10, -42, -10, -10, -10, -10
 669,     1, -10, -10, -10, -14, -10,  58
 670,     1, -10, -42, -30, -42, -10,  62
 671,     0, -10, -26, -10, -10, -10, -18
 672,     1, -46,  86, -18, -10, -10, -22
 673,     0, -35, -11, -11, -11, -11, -27
 674,     1,  -3,  85,  -3,  -3,  -3,  -3
 675,     1,  -5,  -5, -21,  -5,  83, -17
 676,     0, -43, -15, -11, -11, -15, -11
 677,     1,  -6,  -6,  -6,  -6,  90, -22
 678,     1,  -8, -12,  64, -36, -12, -36
 679,     1,  -7,  -7, -27,  -7, -31,  77
 680,     0, -23, -19, -39, -27, -27, -11
 681,     1,  -5,  -5,  -5,  -5,  79,  -5
 682,     1,  -4,  -4, -16,  92, -12,  -8
 683,     0, -47, -39, -43, -19, -11, -11
 684,     1,  75,  -9,  -9, -33, -25, -17
 685,     1, -18, -10, -38,  58, -42, -42
 686,     0, -31, -43, -11, -27, -39, -27
 687,     1, -10,  62, -10, -10, -10, -30
 688,     1,  -6,  -6,  78,  -6,  -6,  -6
 689,     1,  -2,  -2,  90,  -6,  -2,  -2
 690,     1,  -3,  -3,  -3,  -3,  85, -11
 691,     1, -18,  70, -10, -14, -10, -18
 692,     1,  63, -41,  -9,  -9, -13,  -9
 693,     0, -42, -42, -22, -10, -10, -10
 694,     1,  -8, -32,  68,  -8, -20, -12
 695,     1,  -5,  -5,  79,  -5,  -5,  -5
 696,     1, -14, -38, -18,  58, -10, -10
 697,     1,  78, -26,  -6,  -6, -22,  -6
 698,     0, -35, -15, -11, -11, -19, -11
 699,     0, -31, -19, -11, -11, -11, -47
 700,     1, -36, -24,  64, -28,  -8,  -8
 701,     1,  70, -42, -42, -10, -10, -10
 702,     1, -19, -15,  -7,  -7,  81, -31
 703,     1, -15,  -3,  -3,  -3,  89,  -3
 704,     0, -31, -11, -11, -11, -43, -19
 705,     1, -19, -35,  -7,  -7,  -7,  85
 706,     1,  81,  -7, -27, -15,  -7, -11
 707,     1, -41, -21,  -9, -21,  -9,  59
 708,     1,  63, -17,  -9,  -9, -17,  -9
 709,     1, -21, -13,  -5,  -5,  79,  -5
 710,     1,  -4,  -4,  88,  -4,  -4,  -8
 711,     1,  -3,  -3,  -3,  -3,  -7,  93
 712,     1, -10,  58, -42, -10, -42, -38
 713,     1,  76, -24,  -8, -28, -36, -32
 714,     1,  -6, -30,  78,  -6, -18,  -6
 715,     1, -10, -10,  62, -42, -10, -18
 716,     1,  -9, -13,  -9, -17, -37,  59
 717,     0, -43, -11, -43, -11, -15, -15
 718,     1,  -9, -21,  -9, -13, -37,  67
 719,     1, -28,  -8,  -8,  80,  -8,  -8
 720,     1, -22,  90, -14,  -6,  -6, -26
 721,     1,  -4,  -4,  -4, -16,  88,  -4
 722,     1,  86,  -6, -18,  -6,  -6, -14
 723,     0, -10, -30, -22, -10, -10, -42
 724,     1,  77, -11, -31,  -7, -27,  -7
 725,     1, -21,  79,  -5,  -5,  -5, -21
 726,     0, -47, -43, -39, -51, -43, -27
 727,     1,  -5,  83, -13,  -5,  -5,  -5
 728,     1,  -7,  -7,  85,  -7,  -7, -31
 729,     1, -10,  58, -30, -18, -22, -10
 730,     0, -11, -11, -19, -27, -11, -47
 731,     0, -31, -11, -11, -11, -15, -43
 732,     1,  -3,  -3,  -3,  93,  -7,  -7
 733,     0, -11, -35, -39, -11, -27, -11
 734,     1,  -3,  -7,  -3,  -3,  89,  -3
 735,     0, -11, -43, -11, -11, -11, -11
 736,     1,  -3, -15,  -3,  -3,  89, -15
 737,     1, -40,  -8,  -8,  -8,  80,  -8
 738,     1, -18, -10, -10,  58, -22, -10
 739,     1, -20,  -8, -24, -24,  -8,  60
 740,     1,  -2,  -6,  -2,  -2,  90,  -2
 741,     1, -17,  -5,  -9,  -5,  79,  -5
 742,     1,  -7, -11, -23,  -7,  81,  -7
 743,     1,  -3,  -3,  -3,  85,  -3,  -3
 744,     1,  -6,  -6,  -6,  -6, -30,  86
 745,     1,  -7, -19,  85,  -7, -35, -19
 746,     0, -19, -15, -11, -11, -27, -11
 747,     1, -10, -10, -38,  58, -10, -10
 748,     1, -36, -32, -20,  64,  -8, -20
 749,     1, -17, -37, -17,  79,  -9, -13
 750,     1,  -6,  -6, -18,  -6, -10,  74
 751,     1,  -9,  -9,  71,  -9, -13,  -9
 752,     1,  71,  -9, -17,  -9, -41,  -9
 753,     1,  -4, -20,  -4,  -4,  92,  -4
 754,     0, -11, -31, -15, -11, -35, -11
 755,     0, -10, -22, -30, -34, -10, -10
 756,     1,  93,  -3,  -3,  -3,  -3,  -3
 757,     1, -24,  72,  -8, -16, -20,  -8
 758,     1,  -7,  -7,  89,  -7,  -7,  -7
 759,     1, -20,  -4,  -4,  88, -16,  -4
 760,     1,  -4,  -4,  -8, -20,  -4,  92
 761,     1,  -8,  -8, -32,  88,  -8, -24
 762,     1,  -9,  -9,  -5,  -5,  79, -17
 763,     1, -17,  87,  -9, -41, -21,  -9
 764,     1,  -4,  -4, -16,  84,  -4,  -4
 765,     1,  79,  -5,  -5,  -5, -21,  -5
 766,     0, -39, -11, -23, -11, -11, -11
 767,     0, -11, -11, -35, -11, -23, -11
 768,     1, -11,  -3,  93,  -3,  -3,  -3
 769,     1, -30,  78,  -6,  -6, -30, -18
 770,     1, -25,  87,  -9,  -9, -29, -41
 771,     1, -22,  90,  -6, -26, -26,  -6
 772,     1,  -9,  -5,  -5,  -5,  79,  -5
 773,     0, -27, -11, -11, -11, -23, -11
 774,     1,  -9,  -9,  -9, -13,  -9,  79
 775,     0, -27, -43, -11, -11, -11, -47
 776,     0, -43, -11, -11, -15, -43, -11
 777,     1, -28,  -8,  84,  -8,  -8, -24
 778,     1, -42, -30, -10, -10,  66, -10
 779,     1,  88,  -8,  -8,  -8,  -8, -16
 780,     1,  82,  -6,  -6, -22,  -6,  -6
 781,     1,  -8,  -8, -16,  88, -24, -20
 782,     0, -10, -10, -38, -10, -26, -10
 783,     1, -24,  -8,  -8,  -8,  64,  -8
 784,     1,  -2,  -2,  90,  -2,  -6,  -2
 785,     1,  -8, -20,  -8,  -8,  -8,  60
 786,     1, -11,  53, -43, -11, -11, -27
 787,     1,  -6,  -6, -10,  -6, -26,  74
 788,     1,  -9,  -9, -41,  75,  -9,  -9
 789,     1,  -5,  -5,  -5,  87,  -5,  -5
 790,     1, -28, -32, -16,  64,  -8,  -8
 791,     1,  -3,  -7,  -3,  93,  -3,  -7
 792,     1,  -4,  -4,  -4,  -4,  84,  -4
 793,     0, -11, -11, -27, -43, -11, -11
 794,     1, -36,  -8,  -8, -20,  84, -40
 795,     1, -32,  64,  -8, -28, -32,  -8
 796,     0, -43, -11, -11, -11, -27, -15
 797,     1,  -6,  -6,  82,  -6,  -6, -26
 798,     1,  -6,  -6,  82,  -6,  -6,  -6
 799,     1, -41, -25, -33, -41,  63, -41
 800,     0, -42, -10, -42, -38, -42, -10
 801,     0, -15, -11, -11, -11, -11, -15
 802,     1,  -5,  -5,  91,  -5,  -5,  -5
 803,     1,  67,  -9, -37, -41,  -9,  -9
 804,     1, -14, -10, -10, -38, -42,  58
 805,     1,  -6,  -6, -26,  82,  -6, -26
 806,     1,  -4, -20,  -4,  -4,  88,  -4
 807,     0, -11, -11, -11, -39, -11, -19
 808,     1,  87,  -5, -17,  -5,  -5, -17
 809,     1, -30,  -6, -10,  74, -18, -22
 810,     1,  -4,  -4,  -4,  92,  -8,  -4
 811,     1, -27, -27,  -7,  77,  -7,  -7
 812,     1, -30,  -6,  -6,  -6,  -6,  74
 813,     1, -41, -41, -29,  -9,  71, -13
 814,     1, -10, -42,  62, -42, -22, -38
 815,     1,  -9, -37,  -9,  83, -17,  -9
 816,     1,  -6,  82, -14, -30, -22,  -6
 817,     1,  -8, -24, -16, -16,  -8,  76
 818,     1,  -4, -16,  -4,  -4,  84,  -4
 819,     1, -10, -10, -22, -26,  74, -10
 820,     1,  -7,  77,  -7, -23, -27,  -7
 821,     1,  -7,  85,  -7, -15, -23,  -7
 822,     1, -21,  -9, -29,  75,  -9,  -9
 823,     0, -11, -11, -11, -11, -11, -11
 824,     1,  -9,  -9,  63,  -9,  -9, -41
 825,     1, -29,  71,  -9, -41,  -9, -21
 826,     0, -35, -11, -23, -31, -11, -43
 827,     1, -10,  62, -10, -18, -10, -14
 828,     1, -28,  -8,  -8, -28,  76,  -8
 829,     1,  -3,  -3,  -3,  93, -15,  -3
 830,     1,  -8,  -8, -20,  -8,  84,  -8
 831,     1,  -9,  -9, -13,  59, -13, -25
 832,     1, -17, -25,  -9,  75,  -9, -21
 833,     1,  73,  -7,  -7,  -7, -23, -11
 834,     1,  -8,  -8,  -8,  64, -36, -20
 835,     1,  81,  -7,  -7,  -7,  -7, -11
 836,     1, -13,  -5,  -5, -21,  83, -21
 837,     1,  -7,  -7,  -7,  -7,  69, -15
 838,     1,  78,  -6,  -6,  -6,  -6, -30
 839,     1,  -7, -11,  77,  -7, -15, -27
 840,     1,  67,  -9, -25, -13,  -9, -37
 841,     1, -20, -24,  -8,  -8,  80,  -8
 842,     1, -10,  70, -30, -34, -10, -30
 843,     1,  -7, -11,  81,  -7,  -7, -23
 844,     0, -31, -11, -11, -39, -11, -15
 845,     1,  60, -32, -12,  -8,  -8,  -8
 846,     1,  -6,  -6,  -6,  -6, -10,  74
 847,     1,  -5,  -5, -13,  -5,  -5,  83
 848,     0, -47, -19, -35, -11, -51, -39
 849,     1,  54, -42, -10, -14, -10, -10
 850,     1,  94,  -2,  -2,  -2,  -2,  -2
 851,     1,  -2,  -2,  94,  -2,  -2,  -2
 852,     1,  -6,  -6,  -6,  -6,  82, -10
 853,     1,  -6,  74,  -6,  -6, -18,  -6
 854,     1,  -2,  94,  -2,  -2,  -2,  -2
 855,     0, -35, -19, -11, -11, -11, -11
 856,     1,  -5, -17,  -5,  79, -13,  -9
 857,     1, -26, -10, -22, -10, -10,  70
 858,     1,  -5, -25,  -9,  -5, -17,  87
 859,     1,  -6,  90, -26,  -6, -26, -10
 860,     1, -18,  -6, -26,  -6, -18,  78
 861,     1,  -3,  -7,  -3,  89,  -3, -15
 862,     0, -11, -31, -15, -11, -27, -11
 863,     1, -10, -10, -10, -22,  58, -30
 864,     1,  -9, -17,  -9, -25,  -9,  59
 865,     1,  58, -42, -30, -26, -10, -10
 866,     1,  87,  -5, -13,  -5,  -5,  -5
 867,     1, -14,  -6,  86,  -6,  -6,  -6
 868,     1, -14, -22,  -6,  70, -14, -26
 869,     1,  -7, -27,  77, -11,  -7, -35
 870,     0, -43, -11, -11, -11, -27, -27
 871,     0, -34, -10, -30, -10, -22, -26
 872,     0, -19, -39, -43, -11, -11, -35
 873,     1, -36, -12,  -8, -36,  -8,  84
 874,     1,  -5,  -5,  79,  -5, -21, -17
 875,     0, -43, -11, -43, -19, -43, -19
 876,     1,  -4,  -4,  -4, -20, -16,  84
 877,     0, -11, -11, -43, -11, -11, -43
 878,     1, -37,  -9,  71,  -9,  -9,  -9
 879,     1, -15,  -3,  -3,  85,  -3,  -7
 880,     1,  71, -17, -13, -21, -41, -21
 881,     1, -22, -18, -26,  82, -14,  -6
 882,     1,  -6,  -6,  -6,  -6,  82,  -6
 883,     0, -11, -11, -35, -39, -43, -11
 884,     0, -23, -11, -43, -43, -11, -43
 885,     1, -30, -18, -10, -22, -10,  62
 886,     0, -35, -11, -27, -19, -31, -43
 887,     1,  -9,  -9,  -9,  -9, -25,  63
 888,     1, -41,  67, -17, -21,  -9,  -9
 889,     1,  -4,  -4,  -4,  84,  92,  -4
 890,     1,  65,  -7,  -7, -27,  -7, -35
 891,     1,  -8, -28,  -8,  -8, -28,  60
 892,     1,  -6, -10,  86, -18,  -6,  -6
 893,     0, -11, -23, -11, -11, -23, -11
 894,     1,  75, -25,  -9,  -9, -21, -21
 895,     1,  82, -30,  -6,  -6, -22,  -6
 896,     1,  83,  -5,  -5,  -5,  -9,  -5
 897,     1, -36, -40, -16, -32, -32,  60
 898,     1,  -6, -26,  -6,  82,  -6, -18
 899,     1,  -8, -16,  -8,  -4,  -4,  80
 900,     1,  89,  -3,  -3,  -3,  -3,  -3
 901,     1,  -6,  -6,  -6,  82,  -6,  -6
 902,     1,  -2,  -2,  -2,  90,  -2,  -2
 903,     1, -26,  -6,  -6, -18,  -6,  78
 904,     1,  -8,  64, -20,  -8,  -8, -28
 905,     1,  -3,  93,  -3,  -3,  -3,  -3
 906,     1, -11,  -3,  -3,  85,  -3,  -3
 907,     1,  -6, -26,  -6, -18,  -6,  74
 908,     1,  -8,  -8,  -8,  60,  -8,  -8
 909,     0, -11, -43, -31, -11, -11, -15
 910,     0, -23, -11, -31, -27, -31, -43
 911,     1,  -4,  -4,  92,  -4,  -4,  -4
 912,     1,  93,  -3,  -3,  -3,  -7,  -7
 913,     1,  -4,  92,  -4,  -4,  -8,  -8
 914,     1, -36, -12,  88, -28,  -8,  -8
 915,     0, -43, -15, -11, -15, -11, -11
 916,     0, -31, -11, -11, -11, -11, -11
 917,     0, -11, -11, -11, -11, -47, -11
 918,     1,  85,  -7,  -7,  -7, -23, -27
 919,     1,  -9, -33,  -9,  63, -41, -17
 920,     1,  -7,  -7,  69,  -7, -23,  -7
 921,     1,  -5,  -5, -17,  -5,  79,  -5
 922,     1,  60,  -8, -16,  -8, -12,  -8
 923,     1,  -4,  -4, -16,  92,  -4,  -4
 924,     1, -31, -19, -31, -27,  -7,  69
 925,     1,  -3,  -3,  -3,  -7,  -3,  89
 926,     1, -10, -10, -10, -10,  62, -10
 927,     0, -34, -10, -10, -10, -10, -22
 928,     0, -11, -19, -19, -11, -23, -11
 929,     1,  -6,  70,  -6,  -6, -30,  -6
 930,     0, -27, -11, -11, -11, -11, -19
 931,     1,  82, -18,  -6,  -6,  -6,  -6
 932,     1,  -6, -22, -22, -18,  90,  -6
 933,     1,  -6,  78,  -6,  -6,  -6,  -6
 934,     1,  -3,  85, -11,  -3,  -3,  -3
 935,     1, -25,  -9,  -9,  -9,  63,  -9
 936,     1,  -7,  -7,  -7, -31,  89,  -7
 937,     1, -29, -29,  -9,  -9, -33,  71
 938,     1, -10, -26, -10, -10, -22,  58
 939,     1,  -6,  -6,  82,  -6, -18,  -6
 940,     1,  73,  -7, -23,  -7, -11, -27
 941,     0, -23, -11, -31, -11, -35, -15
 942,     1, -13,  -9,  -9,  71,  -9,  -9
 943,     1,  -5,  -5, -13,  -5,  83,  -5
 944,     1, -20,  -4,  -4,  80,  -4, -12
 945,     1, -28,  -8,  -8,  72, -12,  -8
 946,     1,  70,  -6, -22, -18,  78,  -6
 947,     1,  -5,  79,  -5,  -5,  -5,  -5
 948,     1, -28, -24,  60,  -8, -36, -20
 949,     1,  -9, -21, -37, -25,  59, -21
 950,     1, -11,  89,  -7,  -3,  -3,  -3
 951,     1,  -5,  -5,  -5,  -9,  -9,  79
 952,     1,  -3,  85,  -3,  -3,  -3, -11
 953,     0, -43, -43, -35, -11, -43, -11
 954,     1,  -8,  84,  -4,  -4, -16,  -8
 955,     1,  -7,  -3,  -3,  89,  -3,  -3
 956,     0, -11, -39, -11, -31, -11, -35
 957,     0, -11, -11, -11, -43, -11, -27
 958,     1, -26,  -6,  90,  -6,  -6,  -6
 959,     1,  92,  -4,  -4,  -4, -12,  -4
 960,     0, -11, -43, -11, -11, -11, -11
 961,     1,  -4,  -4,  -4,  -4,  -4,  88
 962,     1, -22, -10, -18,  78,  -6, -26
 963,     0, -11, -11, -11, -11, -11, -43
 964,     1,  -8,  -8, -24, -20,  76, -36
 965,     1,  -9, -25,  63, -13,  -9,  -9
 966,     1, -36, -36, -12,  76, -28,  -8
 967,     1,  -5,  -5, -13,  -5,  79, -25
 968,     0, -11, -11, -19, -11, -43, -11
 969,     1, -12,  -4,  -4,  -4,  88,  -8
 970,     1,  -3,  89,  -3,  -3,  -3,  -3
 971,     1,  58, -10, -10, -10, -42,  66
 972,     1,  -3,  -3,  -3,  -3,  -3,  93
 973,     1, -15, -31,  81, -27, -31, -19
 974,     1,  -5,  -5,  -5,  -5,  83, -17
 975,     1, -11,  89,  -7,  -7,  -7, -31
 976,     1,  -9,  67, -17, -13,  -9, -37
 977,     0, -11, -47, -31, -19, -19, -23
 978,     1,  -4,  -4,  -4,  -4,  88,  -4
 979,     1,  -8, -28, -12,  -8,  -8,  60
 980,     1,  -5,  -5, -17,  91, -17,  -5
 981,     1,  -6,  70, -18,  -6,  -6,  -6
 982,     1, -17, -17, -25,  -5, -17,  87
 983,     1,  -4,  -4,  -4,  -4,  -4,  80
 984,     1,  -8,  -8,  -8, -36,  -8,  84
 985,     1, -11,  -7, -31,  77,  -7,  -7
 986,     1,  73,  -7, -23, -35,  -7, -23
 987,     1,  -2,  -6,  -2,  -2,  90,  -2
 988,     0, -10, -18, -10, -10, -14, -10
 989,     1,  -8,  -8,  -8,  64,  -8, -16
 990,     1,  -6, -30,  -6,  78, -10,  -6
 991,     1,  -8,  -8,  -8,  -8,  68,  -8
 992,     1,  -8,  -8,  80, -20,  -8, -36
 993,     1, -41,  59, -21,  -9, -37,  -9
 994,     1,  -9, -17,  -9, -13, -33,  67
 995,     1, -10, -10,  74, -10, -14, -30
 996,     1, -37,  -9,  -9,  -9,  71,  -9
 997,     1,  -4,  84,  -4,  -4,  -8, -12
 998,     1,  -7,  -7,  89,  -7, -15, -23
 999,     1,  -4,  84,  -4,  -8,  -8,  -4
