nExp, valid,  A0,  A1,  A2,  A3,  A4
 615,     1, -11,  53, -11, -35, -11
 616,     1,  59, -25,  -9, -29,  -9
 617,     1, -32, -24,  -8,  -8,  76
 618,     1,  63, -41,  -9,  -9,  -9
 619,     1,  -7,  65,  -7, -19,  -7
 620,     1, -29, -17,  67, -37, -41
 621,     0, -11, -11, -27, -11, -11
 622,     1, -18, -22,  -6,  -6,  82
 623,     1,  79,  -5, -21, -13, -21
 624,     0, -35, -47, -11, -11, -19
 625,     0, -23, -35, -11, -43, -11
 626,     1, -20,  88, -40,  -8, -28
 627,     1, -10,  66, -10, -10, -10
 628,     0, -15, -23, -35, -11, -19
 629,     1,  65,  -7,  -7, -31,  -7
 630,     1,  -6,  -6,  -6,  70, -18
 631,     1, -30, -30, -10,  70, -18
 632,     1, -12,  -4,  84,  -4,  -4
 633,     1,  85,  -3,  -3,  -3, -11
 634,     0, -10, -10, -42, -42, -10
 635,     0, -11, -11, -11, -11, -39
 636,     1,  -5,  -5, -25,  91,  -5
 637,     1,  -4,  -4,  88,  -4,  -4
 638,     1,  -5,  87,  -5,  -5,  91
 639,     1,  63,  -9, -37, -21, -13
 640,     1, -42, -10, -42,  70, -18
 641,     1, -14, -26, -30, -22,  82
 642,     1,  -6, -26,  -6, -10,  82
 643,     1,  -5,  91,  -5,  -9,  -5
 644,     1, -11, -27,  53, -19, -43
 645,     0, -26, -26, -22, -42, -10
 646,     0, -27, -11, -11, -19, -27
 647,     0, -43, -11, -15, -43, -11
 648,     1,  71, -13, -37, -33,  -9
 649,     1, -10, -18, -18, -10,  54
 650,     1,  -9,  67,  -9,  -9, -29
 651,     1,  60,  -8, -24, -16,  -8
 652,     1, -42, -10, -10,  58, -10
 653,     1,  84,  -8,  -8,  -8,  -8
 654,     0, -11, -39, -11, -11, -39
 655,     1,  -9, -37,  59, -25, -41
 656,     1,  -3,  93,  -3, -15,  -3
 657,     1, -18,  -6, -10,  82,  -6
 658,     1,  -7, -35,  69, -19, -35
 659,     1, -10,  66, -14, -18, -26
 660,     1, -41,  -9, -33,  -9,  59
 661,     0, -11, -11, -31, -51, -27
 662,     1,  -8, -40,  -8,  64,  -8
 663,     1,  -9,  71, -17,  -9,  -9
 664,     0, -27, -11, -35, -19, -11
 665,     1,  89,  -3,  -3,  -3,  -3
 666,     0, -31, -15, -11, -43, -27
 667,     1, -18, -22,  -6,  82,  -6
 668,     0, -11, -43, -11, -11, -15
 669,     1, -11, -15,  61, -11, -11
 670,     1,  -7, -15, -31,  -7,  69
 671,     0, -11, -31, -11, -11, -19
 672,     0, -47, -23, -15, -11, -39
 673,     1,  -9,  87,  -9,  -9, -25
 674,     1,  -3,  89,  -3,  -3,  -3
 675,     1, -22,  78,  -6, -22,  -6
 676,     1, -31,  -7,  77,  -7,  -7
 677,     1,  -4,  88,  -4,  -4,  -4
 678,     1, -13,  63, -13, -41, -13
 679,     1, -25,  -9,  71,  -9, -41
 680,     0, -18, -26, -18, -10, -18
 681,     1,  84,  -8,  -8,  -8, -36
 682,     1,  -9, -29,  59, -25,  -9
 683,     1,  -5, -21, -25,  87,  -5
 684,     1,  71, -13,  -9,  -9, -21
 685,     1,  -4,  -8,  -4,  -4,  80
 686,     1,  -9, -17,  -9, -25,  67
 687,     1,  -4,  -4,  -4,  92,  -4
 688,     0, -11, -11, -23, -43, -11
 689,     1,  -5,  -5,  79,  -5, -21
 690,     1, -10,  62, -10, -10, -46
 691,     0, -11, -31, -23, -19, -11
 692,     1,  -5, -21,  79,  -5,  -5
 693,     1,  -4, -16,  88,  -4,  -4
 694,     1, -10, -10, -10, -38,  62
 695,     1,  -5,  -5,  -5, -21,  83
 696,     1,  -9,  -9,  -9,  67, -41
 697,     1, -17, -21,  83,  -5,  -5
 698,     1,  -6,  -6,  -6,  -6,  90
 699,     1,  -7,  77,  -7,  -7,  -7
 700,     1,  -5, -21,  -5, -21,  87
 701,     1,  -6,  -6,  -6,  78,  -6
 702,     1, -15,  73, -15, -23,  -7
 703,     1, -40,  -8,  76,  -8, -36
 704,     1,  83,  -5,  -5,  -5,  -5
 705,     1,  -4,  80,  -4,  -4,  -4
 706,     1,  -7,  -7,  -7, -23,  73
 707,     1,  79,  -5,  -5,  -5,  -5
 708,     1,  -5,  -5,  87,  -5,  -5
 709,     1, -17,  79,  -5, -13,  -9
 710,     0, -10, -10, -10, -42, -22
 711,     1, -42,  62, -18, -10, -38
 712,     1,  -8,  -4, -16,  88, -16
 713,     1,  -4,  92,  -4,  -4, -16
 714,     1,  -4, -16,  -4,  84,  -8
 715,     1,  -4,  -4,  -4,  84,  -4
 716,     1,  83, -17,  -5,  -5,  -5
 717,     1,  -3,  89,  -3,  -7,  -3
 718,     1,  -9,  71, -29,  -9,  -9
 719,     1, -10, -10, -26,  66, -10
 720,     1, -16,  88,  -4,  -4,  -4
 721,     1,  -4,  -4,  -4,  -4,  88
 722,     1,  -9,  -9,  -9,  -9,  67
 723,     0, -10, -42, -10, -10, -18
 724,     1,  -5,  -9, -25,  -9,  91
 725,     1,  53, -47, -11, -23, -11
 726,     1,  67, -37, -37, -41, -37
 727,     1,  91,  -5, -21,  -5,  -5
 728,     1,  -4,  92,  -4,  -4,  -4
 729,     1, -14, -10,  58, -18, -10
 730,     0, -19, -43, -11, -11, -11
 731,     0, -42, -10, -10, -10, -10
 732,     1, -32,  -8, -28,  -8,  88
 733,     0, -39, -19, -11, -11, -11
 734,     1, -37,  -9,  63,  -9, -25
 735,     1,  -8, -12,  68, -28,  -8
 736,     1, -12,  80,  -4,  -4,  -4
 737,     1,  65,  -7,  -7, -15,  -7
 738,     0, -11, -15, -11, -15, -43
 739,     1,  93,  -3,  -3,  -3,  -3
 740,     1,  -4,  80,  -4,  -4, -20
 741,     1,  92, -16,  -4,  -4,  -4
 742,     1,  -8, -16, -20, -16,  68
 743,     1,  -7,  85,  -7, -31,  -7
 744,     1,  -4,  -4,  -4,  -4,  84
 745,     1, -11,  89,  -7, -19, -31
 746,     0, -11, -19, -11, -15, -11
 747,     1, -24, -16,  80,  -8,  -8
 748,     1, -42, -26, -38, -38,  58
 749,     1, -10, -18,  58, -18, -18
 750,     1,  80, -28,  -8, -16,  -8
 751,     0, -10, -30, -10, -10, -10
 752,     1, -22, -10, -10,  62, -42
 753,     1, -11, -31, -31,  73,  -7
 754,     0, -11, -27, -27, -31, -11
 755,     1, -10, -10,  70, -18, -10
 756,     1,  -7,  -7, -23,  -7,  81
 757,     1,  -9,  -9,  -9,  71, -33
 758,     0, -15, -11, -27, -23, -11
 759,     1, -16,  -4,  -4,  -4,  88
 760,     1,  -6,  -6,  -6, -30,  82
 761,     1,  -7,  -7,  -7,  69, -11
 762,     1, -11,  73,  -7, -23, -31
 763,     1,  -9,  83,  -9, -41, -17
 764,     0, -27, -15, -43, -11, -43
 765,     1, -21,  -5,  83,  -5,  -5
 766,     1,  -6,  -6,  -6,  86,  -6
 767,     0, -11, -11, -31, -11, -11
 768,     1, -15,  -3,  -3,  89,  -3
 769,     1, -36,  -8,  64,  -8, -40
 770,     1,  83,  -5,  -9,  -5,  -5
 771,     1,  92,  -4,  -8, -20,  -4
 772,     1,  87,  -5,  -5, -13,  -5
 773,     0, -11, -15, -23, -11, -11
 774,     0, -27, -15, -19, -15, -11
 775,     0, -47, -43, -11, -11, -11
 776,     0, -11, -11, -43, -43, -43
 777,     1, -10, -10, -22,  66, -26
 778,     1, -35,  -7,  81,  -7, -11
 779,     0, -23, -27, -11, -11, -11
 780,     1,  -9,  -9, -37,  -9,  63
 781,     1, -13,  -9,  71, -17, -13
 782,     1,  90,  -6,  -6,  -6,  -6
 783,     1,  67,  -9, -25,  -9, -25
 784,     1,  78, -22, -30,  -6,  -6
 785,     1, -36,  88,  -8,  -8,  -8
 786,     0, -35, -43, -15, -43, -15
 787,     1,  73, -23,  -7, -19,  -7
 788,     0, -11, -11, -43, -27, -11
 789,     0, -11, -39, -11, -11, -11
 790,     1,  -3,  -3,  -7,  -3,  89
 791,     1,  -3,  -3,  93,  -3,  -3
 792,     1, -27,  81,  -7,  -7, -11
 793,     1,  -9,  -9, -25,  59, -13
 794,     1,  94,  -6,  -2,  -2,  -2
 795,     1, -27, -19,  69,  -7,  -7
 796,     0, -19, -11, -11, -43, -11
 797,     1,  93,  -3,  -3,  -3,  -3
 798,     1,  70, -10, -10, -10, -42
 799,     1,  -2,  94,  -2, -10,  -2
 800,     1,  -5,  83, -25,  -5,  -5
 801,     0, -11, -11, -11, -11, -11
 802,     0, -30, -18, -30, -10, -22
 803,     1, -10, -10,  62, -42, -42
 804,     1,  -3,  -3,  -3,  -3,  85
 805,     1,  -9, -37,  59,  -9,  -9
 806,     1,  -7,  65, -31,  -7, -15
 807,     0, -11, -11, -35, -11, -27
 808,     1, -25, -37, -37, -25,  67
 809,     1,  85,  -3,  -3,  -3,  -7
 810,     1,  -7,  85, -19,  -7,  -7
 811,     1,  -6, -26,  -6,  78,  -6
 812,     0, -43, -43, -19, -23, -11
 813,     0, -35, -43, -35, -11, -27
 814,     0, -23, -11, -43, -43, -43
 815,     0, -11, -19, -11, -43, -23
 816,     1,  -4,  -8,  -4,  84,  -4
 817,     1,  -6,  -6,  -6, -14,  86
 818,     0, -11, -23, -43, -11, -47
 819,     0, -23, -11, -11, -31, -11
 820,     1, -12,  -4,  -4,  92,  -4
 821,     0, -31, -11, -35, -31, -11
 822,     0, -22, -26, -26, -10, -10
 823,     0, -11, -11, -11, -11, -11
 824,     1,  69, -27,  -7, -27,  -7
 825,     1,  -5,  -5,  -5,  -5,  83
 826,     1,  83,  -5, -13,  -5,  -5
 827,     1,  -9,  -9,  -9,  67, -29
 828,     1,  -9, -25,  75, -29,  -9
 829,     1, -23,  -7,  -7,  85, -35
 830,     0, -11, -15, -27, -15, -27
 831,     1,  -7,  -7,  -7, -31,  85
 832,     1, -26, -22,  70, -10, -10
 833,     1,  -7,  -7,  77,  -7,  -7
 834,     1,  -7,  -3,  -3,  -3,  89
 835,     1, -18, -10, -10,  66, -10
 836,     1,  88,  -4, -12,  -4, -12
 837,     1,  88,  -4,  -4,  -4,  -4
 838,     0, -43, -19, -43, -11, -11
 839,     1,  -9,  67, -17,  -9,  63
 840,     1,  -4,  92, -12,  -4,  -4
 841,     0, -26, -10, -10, -26, -10
 842,     1,  84,  -8, -16,  -8,  -8
 843,     1,  -9, -21, -17,  71, -13
 844,     1, -21,  83, -21,  -9,  -9
 845,     1, -46, -10, -10,  62, -18
 846,     1, -12, -32, -16,  84,  -8
 847,     1,  90,  -6, -18,  -6,  -6
 848,     1,  -6, -22,  -6,  86, -30
 849,     1, -41,  59,  -9,  -9,  -9
 850,     1,  -9, -37, -41,  -9,  71
 851,     0, -35, -43, -11, -47, -43
 852,     1, -13,  71,  -9,  -9, -13
 853,     1, -10, -38,  58, -18, -22
 854,     1, -34, -26, -42,  62, -34
 855,     0, -11, -11, -11, -11, -35
 856,     1, -18,  66, -10, -42, -30
 857,     0, -10, -18, -10, -18, -26
 858,     1, -26, -42,  62, -10, -14
 859,     1, -28,  -8,  60,  -8, -40
 860,     1, -10, -10, -42,  62, -30
 861,     1,  89,  -3,  -3,  -7, -11
 862,     0, -23, -11, -27, -11, -11
 863,     1, -38,  66, -10, -26, -30
 864,     1,  63, -37,  -9, -21,  -9
 865,     1,  -7, -31,  69,  -7,  -7
 866,     1, -12,  -8,  -8,  72, -28
 867,     0, -11, -35, -11, -11, -39
 868,     1,  89,  -3,  -7, -11,  -3
 869,     1,  79,  -5, -17,  -5, -13
 870,     0, -11, -23, -43, -11, -11
 871,     1,  -8,  -8, -16,  72,  -8
 872,     1,  76,  -8,  -8,  -8, -20
 873,     1,  -8,  64,  -8, -28, -36
 874,     1,  -4,  -8, -20,  -4,  84
 875,     1, -10, -26,  78,  -6,  -6
 876,     1,  93,  -3,  -3, -15, -11
 877,     1,  -9, -33,  -9,  59, -33
 878,     1,  -5,  -5,  83,  -5,  -5
 879,     1,  80,  -4,  -8, -16,  -4
 880,     0, -43, -19, -23, -43, -11
 881,     1,  -3,  -3,  -7,  89,  -3
 882,     1,  -8,  76,  -8,  -8,  -8
 883,     0, -11, -35, -39, -11, -11
 884,     1,  -9, -37, -33,  63, -17
 885,     1, -21,  -9,  67,  -9, -13
 886,     1, -17, -13,  67,  -9, -17
 887,     1, -10, -10,  66, -10, -26
 888,     1, -41,  -9,  -9,  63, -13
 889,     1,  -9,  71,  -9, -41,  -9
 890,     1, -41,  63,  -9,  -9, -37
 891,     1, -26,  86, -14, -18,  -6
 892,     0, -43, -39, -27, -19, -31
 893,     0, -11, -19, -11, -23, -11
 894,     1,  83, -21,  -9,  -9, -21
 895,     1, -10, -42, -10,  66, -10
 896,     1,  -9, -17,  63,  -9, -25
 897,     1,  54, -42, -38, -10, -42
 898,     1,  71, -41, -21, -25,  -9
 899,     1, -37, -41, -37, -29,  67
 900,     1,  -3,  93,  -3,  -3,  -3
 901,     1,  -9,  75,  -9,  -9,  -9
 902,     0, -23, -19, -23, -51, -11
 903,     1, -36, -32,  76,  -8,  -8
 904,     1,  -5,  -5,  83,  -9,  -5
 905,     0, -11, -11, -47, -35, -27
 906,     1, -36, -12,  -8,  60, -12
 907,     1,  -3,  85,  -3,  -3,  -3
 908,     0, -10, -10, -10, -46, -10
 909,     1,  -5,  -5,  -5, -17,  91
 910,     1,  -7,  73, -11,  -7, -11
 911,     1,  71,  -9,  -9,  -9, -25
 912,     0, -11, -43, -39, -39, -11
 913,     1,  -6, -14,  86, -18,  -6
 914,     1, -41,  59,  -9, -17,  -9
 915,     1,  -9,  -9,  67,  -9,  -9
 916,     1,  84,  -8,  -8,  -8,  -8
 917,     0, -11, -11, -11, -11, -47
 918,     1,  -7,  77, -23,  -7,  -7
 919,     1,  93,  -3,  -3,  -7,  -3
 920,     1,  -7,  -7, -19,  69,  -7
 921,     1, -22, -10, -10,  58, -42
 922,     1,  84, -16,  -4,  -4,  -4
 923,     1, -15,  85,  -7, -31, -15
 924,     1, -29, -37,  59, -29,  71
 925,     1,  -8,  68, -16,  -8, -32
 926,     0, -11, -11, -35, -35, -11
 927,     0, -11, -23, -11, -19, -39
 928,     0, -11, -11, -11, -11, -11
 929,     1, -30,  54, -34, -18, -42
 930,     0, -11, -11, -23, -15, -11
 931,     1, -14, -10, -10,  62, -22
 932,     1,  -4,  -4,  84, -16,  -4
 933,     1,  -5,  -5,  79, -13,  -5
 934,     1,  -8,  60, -36,  -8,  -8
 935,     1, -10, -38, -10, -10,  70
 936,     0, -19, -11, -15, -47, -11
 937,     0, -23, -39, -11, -11, -43
 938,     1,  -8,  -8,  72,  -8,  -8
 939,     1,  -5,  -9,  -5,  -5,  87
 940,     1,  -7,  -7,  73, -19, -27
 941,     0, -11, -19, -27, -35, -11
 942,     1,  -9,  -9,  79,  -9,  -9
 943,     1,  73,  -7,  -7,  -7, -27
 944,     1,  90,  -2,  -2, -10,  -2
 945,     1,  -7, -19,  73,  -7,  -7
 946,     1, -31,  -7,  -7,  -7,  73
 947,     0, -15, -11, -43, -11, -19
 948,     0, -11, -11, -43, -11, -43
 949,     1,  -8,  -4,  -4,  88,  -4
 950,     1,  -4, -16, -12,  92,  -8
 951,     1,  -4,  88,  -8,  -4,  -4
 952,     1,  -8, -40,  64,  -8, -20
 953,     0, -43, -35, -11, -11, -51
 954,     1,  73, -35, -27, -23,  -7
 955,     1, -11,  69,  -7,  -7, -31
 956,     1,  -7,  -7,  -7,  -7,  77
 957,     0, -11, -39, -15, -11, -11
 958,     0, -15, -43, -11, -11, -11
 959,     1, -27,  -7,  77, -15,  -7
 960,     1,  -7,  -7,  -7,  73,  -7
 961,     1, -16,  -8,  76,  -8,  -8
 962,     1, -18, -22, -18,  -6,  78
 963,     1,  83,  -5,  -5,  -5,  -5
 964,     1, -10, -42,  70, -10, -14
 965,     0, -31, -11, -15, -11, -43
 966,     1, -21,  83, -17,  -5,  -5
 967,     1, -41,  -9,  83,  -9, -41
 968,     1, -11, -11, -11, -11,  49
 969,     0, -10, -42, -18, -30, -10
 970,     1, -14, -10, -42, -30,  58
 971,     0, -43, -11, -43, -11, -43
 972,     1,  -4,  88,  -8,  -4,  -4
 973,     1,  77, -31,  -7,  -7, -31
 974,     1,  92,  -4,  -8,  -4,  -4
 975,     0, -31, -43, -27, -11, -19
 976,     1, -26, -38, -10, -14,  62
 977,     0, -11, -47, -27, -19, -11
 978,     1,  68,  -8,  -8, -12,  -8
 979,     1,  94,  -2,  -2,  -2,  -2
 980,     1,  -5,  91,  -5, -17,  -5
 981,     1,  -4,  84,  -4,  -4,  -8
 982,     1,  -7,  -3, -11,  93,  -3
 983,     1, -42, -10,  74, -10, -10
 984,     1,  -2,  -2,  -2,  90,  -2
 985,     1,  71,  -9, -41, -17,  -9
 986,     1,  -4,  -4,  -8, -20,  88
 987,     1, -10,  70, -42, -26, -42
 988,     0, -10, -10, -10, -10, -10
 989,     0, -23, -11, -11, -11, -43
 990,     1, -33, -41,  63, -21, -29
 991,     1,  -4,  92,  -4,  -4,  -4
 992,     0, -11, -43, -15, -27, -11
 993,     1, -40, -36, -28, -12,  72
 994,     1,  -8,  -8,  76,  -8, -16
 995,     0, -10, -10, -26, -10, -26
 996,     0, -11, -43, -11, -31, -11
 997,     1,  -3,  93, -11,  -3,  -3
 998,     1,  -8,  -8,  88, -20,  -8
 999,     1,  -4,  84,  -4,  -4,  -4
