nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y 
 271,   10,   43,    0,   52,    1,   28,   10,   47,   11,   65,   10,   37,   10,   36,    1,   16
 272,   11,   54,   10,   49,   10,   43,    1,   35,    1,   38,   11,   61,   11,   60,   10,   54
 273,   10,   58,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65,   10,   61,    0,   40
 274,    0,   35,    1,   21,   10,   41,    0,   53,   11,   65,   11,   56,   10,   51,    0,   29
 275,   10,   61,   11,   63,    1,   63,   10,   44,    1,   32,    0,   48,   10,   60,    0,   25
 276,    1,   23,    1,   31,    1,   39,   10,   51,   11,   54,   10,   55,   11,   60,   10,   49
 277,    0,   22,    1,   45,    1,   21,   11,   65,    1,   27,    0,   64,   10,   52,    1,   55
 278,    0,   49,   10,   64,   11,   59,   10,   51,    0,   43,   10,   63,   10,   43,   10,   56
 279,    1,   19,    0,   32,    0,   32,    0,   38,   10,   36,    0,   22,    1,   59,    1,   33
 280,    1,   20,    0,   28,    0,   36,   11,   57,   11,   60,   11,   60,   10,   59,   11,   56
 281,    0,   26,    0,   21,    0,   37,   10,   36,   10,   57,   11,   61,   10,   44,    1,   45
 282,   11,   58,   10,   46,   10,   37,    0,   49,   11,   57,   10,   59,    0,   50,    1,   22
 283,    0,   57,   10,   48,    1,   20,   11,   60,    0,   37,   11,   57,   10,   38,   11,   61
 284,    1,   22,    1,   54,    0,   30,    1,   27,   10,   63,   10,   55,    1,   37,   10,   56
 285,    1,   37,    0,   32,   11,   65,    1,   35,    0,   51,   11,   54,   10,   42,    0,   49
 286,    1,   16,   10,   62,   10,   59,   10,   52,    1,   41,    1,   12,   10,   63,    1,   35
 287,   10,   36,    0,   54,   10,   37,    1,   44,    0,   63,    0,   47,    0,   30,    0,   54
 288,   11,   64,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49,    0,   20,    0,   59
 289,   11,   57,    0,   30,   11,   60,    0,   52,   10,   61,   11,   64,   10,   62,   10,   42
 290,   10,   44,    0,   26,    0,   31,   11,   60,   10,   39,   11,   55,   11,   56,    0,   63
 291,    0,   31,   10,   53,   10,   45,   11,   54,    0,   29,   11,   55,   10,   64,   11,   55
 292,    1,   15,   11,   59,    1,   60,   10,   65,   10,   39,    0,   23,    1,   54,   11,   54
 293,    1,   62,   11,   57,   11,   55,    1,   23,    1,   40,    0,   26,   10,   61,    0,   63
 294,   10,   59,    0,   35,    1,   42,   11,   60,   11,   65,   11,   58,   11,   57,   10,   56
 295,   10,   63,   11,   63,    1,   59,   10,   45,    1,   24,   11,   58,    1,   32,   10,   44
 296,   11,   62,   11,   54,    1,   23,    0,   34,   11,   58,    0,   58,   11,   60,    0,   25
 297,    1,   34,    1,   53,   11,   59,    0,   39,    0,   40,    1,   65,    1,   18,   11,   62
 298,   10,   45,    0,   52,    1,   45,    0,   39,   10,   52,   10,   42,    1,   15,    0,   27
 299,   10,   59,   10,   46,    0,   51,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55
 300,    1,   40,   10,   36,    0,   40,   10,   64,   10,   56,   11,   55,    0,   40,   10,   45
 301,    1,   58,   10,   53,   11,   61,    1,   21,    0,   42,    0,   42,   11,   58,   11,   63
 302,   11,   58,   10,   55,    0,   26,   10,   57,    0,   41,    1,   34,   11,   65,    0,   62
 303,   10,   47,    0,   46,   10,   64,   11,   63,   11,   62,   11,   60,   10,   49,   11,   64
 304,   11,   57,    0,   47,    1,   33,   11,   62,   11,   63,    1,   17,    1,   54,    1,   57
 305,    1,   56,   11,   62,    0,   62,    1,   16,    0,   59,    1,   43,   11,   65,   10,   57
 306,   10,   48,    0,   27,    1,   23,   11,   56,    0,   51,   11,   61,    1,   56,    0,   49
 307,    1,   52,    1,   45,    0,   58,   10,   41,   11,   65,   10,   61,   11,   57,    0,   33
 308,   11,   57,    1,   57,    0,   39,    1,   34,   11,   59,    0,   60,   11,   58,    0,   41
 309,   10,   49,    0,   22,   10,   52,   10,   44,    1,   30,   10,   49,    0,   50,   11,   58
 310,    0,   44,   10,   46,   11,   65,    1,   39,    1,   48,    0,   32,   11,   56,   10,   42
 311,    0,   37,   10,   43,    1,   36,   10,   40,   10,   53,   11,   61,    1,   38,   10,   51
 312,   10,   44,    0,   64,   11,   62,   11,   65,    1,   30,   11,   62,    0,   55,    0,   27
 313,   10,   42,    1,   20,   10,   54,   11,   55,   11,   57,    0,   34,   11,   57,    1,   26
 314,   10,   47,   11,   55,   10,   65,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 315,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33,    1,   58,    0,   53,   10,   53
 316,    1,   53,   10,   48,    1,   34,   10,   43,   11,   64,    1,   40,   10,   50,    0,   48
 317,   10,   53,   10,   50,   11,   55,   11,   54,   11,   59,   10,   37,   11,   56,   11,   65
 318,   11,   61,    0,   46,   10,   63,   10,   40,    0,   56,    1,   30,    1,   61,   11,   63
 319,    1,   65,   10,   62,   11,   61,   10,   64,    0,   43,    0,   57,   11,   60,    1,   60
 320,    0,   55,    0,   55,   11,   63,   10,   41,   11,   56,   11,   61,   11,   60,    0,   62
 321,   10,   49,    1,   42,   11,   57,    1,   22,    1,   53,    0,   58,    0,   25,    0,   53
 322,   10,   61,    0,   61,    0,   25,    1,   30,   11,   62,    0,   23,   10,   39,   10,   57
 323,   10,   36,   11,   57,    1,   40,   11,   57,   10,   61,   10,   42,    1,   19,   10,   50
 324,    1,   61,    0,   24,   10,   47,    1,   43,   10,   36,    0,   20,    0,   28,   11,   54
 325,    0,   45,    1,   47,    0,   51,    0,   34,    1,   45,    0,   19,    0,   46,    1,   49
 326,    1,   12,    0,   62,   11,   63,    1,   50,    1,   13,    1,   49,    0,   65,    1,   45
 327,    0,   22,   11,   61,    0,   36,   10,   60,    1,   36,   11,   61,   11,   60,   10,   60
 328,   11,   56,   10,   57,    1,   28,    0,   63,   10,   63,   10,   45,   11,   64,   11,   60
 329,    1,   56,   10,   38,   11,   63,   10,   42,    1,   38,   11,   59,   11,   59,    0,   37
 330,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65,   11,   56,    1,   46,    0,   37
 331,   10,   61,    0,   33,    1,   20,    1,   65,    1,   15,   11,   65,   11,   61,    1,   56
 332,   10,   41,   10,   50,   10,   42,    1,   28,    1,   49,    1,   47,    0,   19,    1,   61
 333,    0,   22,   11,   57,    0,   21,    0,   28,   10,   37,   11,   65,    1,   56,   10,   36
 334,   11,   65,   10,   57,    1,   58,    0,   35,   11,   56,    0,   20,    0,   60,   11,   60
 335,   11,   55,   11,   62,   11,   57,    0,   47,   10,   63,    0,   28,   10,   60,    1,   33
 336,   10,   38,    1,   26,    0,   35,    1,   60,   10,   43,    1,   40,   11,   57,    1,   18
 337,    0,   27,   10,   56,   11,   63,    1,   32,   11,   60,   10,   57,   11,   58,   11,   59
 338,    1,   51,   10,   45,   10,   39,   11,   54,    0,   51,   11,   65,    1,   62,   10,   38
 339,    1,   38,   11,   54,   10,   52,   11,   58,    1,   47,    0,   48,    1,   24,    0,   46
 340,   10,   44,    1,   64,    1,   43,    1,   34,    0,   35,   11,   59,   11,   65,    1,   19
 341,   10,   37,    0,   32,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43,   11,   58
 342,    1,   28,   11,   60,   11,   62,    1,   32,    0,   20,   11,   61,   11,   56,   10,   52
 343,    0,   57,   11,   65,    0,   46,   11,   65,    1,   59,   11,   64,   10,   64,   10,   39
 344,    0,   28,    0,   42,    1,   27,    1,   19,    1,   59,   10,   58,    1,   65,    1,   28
 345,   10,   56,    1,   34,    0,   47,    1,   40,    0,   41,   11,   58,   10,   41,    0,   30
 346,    0,   57,    1,   64,   10,   61,    0,   37,    1,   23,   11,   63,    0,   46,   11,   58
 347,   11,   60,   10,   60,    0,   55,    1,   57,    0,   32,   10,   55,    1,   48,   11,   58
 348,    0,   35,    0,   25,   10,   44,    0,   61,    0,   34,   10,   61,   11,   61,   11,   60
 349,    0,   41,    1,   33,    1,   56,   10,   57,   11,   55,   10,   59,   10,   57,    1,   17
 350,    0,   58,    1,   21,    1,   40,    1,   13,    0,   46,    1,   53,    1,   54,   10,   45
 351,    1,   33,    0,   55,   11,   61,   10,   59,    0,   53,   10,   40,   10,   60,    0,   21
 352,    0,   32,    1,   57,    1,   53,    0,   51,   11,   58,   11,   54,    0,   19,   11,   63
 353,   10,   62,    1,   53,   11,   61,   11,   64,   10,   59,   11,   56,    0,   47,   11,   63
 354,   11,   55,    1,   62,   10,   57,   11,   62,    1,   59,    1,   63,   10,   41,   11,   63
 355,   11,   61,    0,   21,    0,   43,    1,   43,    1,   50,   10,   55,   11,   55,   11,   56
 356,   11,   59,    1,   64,   10,   37,   11,   57,    1,   19,   11,   61,   11,   61,   11,   64
 357,   11,   63,   11,   62,   10,   63,   11,   65,    0,   46,   11,   61,    0,   25,    1,   40
 358,    1,   31,    0,   48,    1,   39,    0,   65,    1,   50,   11,   56,    1,   31,    0,   49
 359,   11,   61,   10,   38,    1,   38,   11,   59,   10,   51,    0,   18,   11,   65,    0,   25
 360,   11,   60,    0,   43,   11,   57,    1,   51,    1,   12,    1,   41,   10,   48,    1,   50
 361,   11,   64,    1,   18,   10,   42,    0,   48,    0,   52,   10,   48,   11,   59,   10,   54
 362,   10,   62,    0,   50,    0,   28,   10,   45,    0,   44,   11,   60,    0,   32,    0,   33
 363,    0,   49,   10,   39,    0,   25,   11,   65,    1,   35,    0,   52,   10,   36,    0,   18
 364,    1,   59,   11,   61,   11,   64,   10,   47,    1,   21,   10,   50,    0,   19,    0,   30
 365,    1,   60,   11,   57,   10,   52,   11,   57,    1,   44,    1,   34,    0,   53,   11,   61
 366,   10,   62,   11,   54,   10,   36,    1,   22,    0,   38,    0,   52,    1,   59,    1,   64
 367,   11,   58,    0,   24,    0,   20,   11,   58,    1,   35,   11,   58,    1,   48,    1,   47
 368,    1,   42,    1,   25,   11,   61,   10,   44,   10,   52,   10,   52,    1,   47,    0,   32
 369,    1,   35,    0,   27,   11,   63,    0,   47,   10,   38,   10,   46,    1,   31,   10,   61
 370,   11,   57,   11,   54,   10,   57,   11,   59,    1,   45,    1,   64,    1,   19,    1,   25
 371,   11,   64,   10,   44,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31,    0,   31
 372,    0,   35,   11,   61,   11,   59,    0,   25,    1,   24,    0,   30,    1,   34,   10,   64
 373,   10,   38,    0,   37,    0,   44,   10,   44,   10,   65,    0,   62,    1,   59,    1,   61
 374,   11,   63,    1,   26,    0,   55,    1,   37,    0,   21,   11,   60,    0,   27,    1,   26
 375,    0,   18,   11,   59,   10,   52,   10,   62,    1,   47,    0,   32,    0,   39,   11,   64
 376,   10,   61,    1,   16,    1,   50,    0,   24,   11,   59,   10,   65,   10,   48,   10,   50
 377,    1,   42,    1,   18,   11,   64,   10,   49,   11,   59,   10,   63,    0,   54,   11,   58
 378,   10,   45,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14,   10,   44,   11,   65
 379,   10,   63,   11,   58,   10,   36,   10,   65,   10,   44,   10,   47,    1,   36,    0,   40
 380,    0,   18,    0,   38,    1,   14,   11,   55,    1,   56,   10,   48,   11,   57,    1,   55
 381,    1,   55,    1,   49,    0,   39,    0,   45,    0,   63,   11,   57,    1,   12,   11,   60
 382,    1,   65,    1,   47,    1,   18,    1,   50,    0,   33,    0,   19,    0,   27,    0,   50
 383,   11,   59,    1,   39,   10,   54,    0,   55,   11,   60,   10,   53,    0,   36,   11,   54
 384,   11,   61,   10,   50,    0,   47,   11,   60,   11,   62,    0,   57,    0,   63,    0,   37
 385,   11,   58,   10,   55,    1,   33,   10,   51,   11,   62,    0,   50,   10,   51,    1,   53
 386,   11,   57,    1,   50,   11,   57,   10,   62,    0,   57,   10,   60,   11,   62,   10,   38
 387,   10,   37,    1,   16,   10,   36,   10,   55,    0,   24,   11,   62,   11,   58,    0,   63
 388,    1,   42,    0,   56,    0,   63,    1,   20,   10,   43,    0,   41,   10,   57,   11,   56
 389,   11,   59,    0,   54,    1,   42,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55
 390,    1,   15,   11,   62,    0,   29,   10,   44,    0,   58,    1,   49,    1,   24,   11,   62
 391,    1,   45,    0,   64,   11,   63,    0,   58,    1,   30,   10,   62,   10,   44,   11,   55
 392,   11,   62,   10,   42,    1,   34,   10,   58,   11,   59,   10,   60,   10,   53,    1,   15
 393,   11,   56,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14,    0,   51,   11,   65
 394,   11,   59,   10,   38,   10,   58,   11,   54,    1,   26,    0,   29,   11,   60,   10,   42
 395,   11,   59,   11,   59,    0,   28,   10,   41,    1,   44,    1,   13,    0,   56,    1,   17
 396,    0,   33,    0,   47,   10,   59,    1,   41,   11,   63,    1,   17,   11,   63,    0,   20
 397,   11,   58,    0,   45,   11,   65,    0,   53,    0,   57,   10,   60,   10,   60,    0,   30
 398,    0,   23,    0,   22,    1,   30,    0,   27,   10,   37,    0,   59,   11,   54,    1,   31
 399,   10,   54,   11,   57,    1,   32,   11,   56,   11,   61,    1,   50,    0,   20,   11,   58
 400,   11,   61,   10,   62,    1,   32,   11,   64,   11,   65,   10,   41,   11,   64,    1,   48
 401,    0,   62,    1,   42,   10,   60,   10,   45,   11,   56,   10,   51,    1,   39,    1,   40
 402,    0,   30,    0,   59,    1,   58,    1,   29,   10,   48,   11,   61,   10,   65,   11,   58
 403,    1,   58,   11,   60,   10,   38,    0,   23,    1,   12,   10,   36,    1,   17,    0,   49
 404,    1,   12,   11,   60,   11,   57,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59
 405,   11,   58,    0,   38,   10,   60,   10,   38,   11,   55,    0,   28,    0,   27,    0,   43
 406,   11,   60,   10,   59,   11,   57,   11,   56,    0,   56,    0,   61,   11,   62,   10,   50
 407,    0,   34,   11,   61,    1,   21,    0,   43,   10,   64,   11,   62,   10,   65,   10,   59
 408,    1,   19,    1,   54,   10,   50,    0,   35,   10,   48,    0,   64,   11,   64,    1,   65
 409,    0,   49,    0,   34,   10,   50,    1,   62,   11,   64,   11,   56,   10,   47,   11,   58
 410,   10,   60,    1,   18,    1,   26,    1,   64,   11,   61,   11,   60,   11,   57,   11,   60
 411,    0,   40,    1,   23,   11,   56,   10,   52,   10,   41,   10,   50,   10,   63,   11,   61
 412,   10,   65,    0,   25,   10,   45,    1,   45,    1,   43,    1,   20,   10,   40,    0,   58
 413,   11,   55,   10,   60,   11,   61,   10,   54,    1,   43,   11,   59,    0,   58,    1,   35
 414,   10,   60,   10,   47,    0,   64,    1,   35,   11,   62,   10,   65,   11,   61,    0,   57
 415,   10,   53,   10,   42,   10,   50,   11,   65,   11,   60,    1,   17,    0,   31,    0,   52
 416,    1,   56,   11,   59,    1,   40,   10,   50,   11,   57,    0,   64,    0,   27,    1,   57
 417,    1,   47,   11,   60,    0,   42,    0,   35,    0,   37,    0,   50,   10,   60,   10,   39
 418,    0,   65,   10,   55,    1,   29,   11,   65,    0,   34,    1,   65,   10,   58,    1,   29
 419,   10,   60,    0,   60,   10,   45,    0,   63,   10,   49,    1,   47,    0,   61,   10,   36
 420,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44,   11,   54,    0,   61,   10,   62
 421,   11,   62,   11,   58,   10,   63,    0,   18,   10,   48,    1,   32,   10,   51,    1,   48
 422,    1,   38,    1,   40,   11,   55,   10,   41,   11,   63,    1,   63,    0,   47,    1,   54
 423,   11,   57,   10,   55,    1,   28,    0,   63,    1,   49,   11,   57,    0,   35,   10,   51
 424,    0,   65,   11,   64,    0,   38,   11,   65,   10,   41,   11,   57,   11,   61,    1,   44
 425,    1,   44,   11,   62,   10,   57,   11,   58,    0,   51,    0,   49,   10,   46,    0,   53
 426,   11,   63,   11,   59,    0,   23,    0,   31,   11,   55,   11,   54,   10,   53,   10,   40
 427,    1,   57,    1,   31,    1,   33,   10,   51,   11,   59,    1,   12,    1,   56,   11,   60
 428,    1,   32,    1,   30,   11,   58,   10,   40,   11,   57,    1,   25,    0,   63,   10,   63
 429,    0,   44,   10,   64,   10,   55,    1,   60,   10,   36,   10,   61,    0,   27,   10,   37
 430,    1,   43,    0,   58,    0,   56,    0,   58,   10,   58,   10,   60,    0,   54,    0,   30
 431,    0,   39,    1,   59,    0,   54,   11,   61,    0,   18,    0,   57,   10,   63,   10,   39
 432,   10,   45,   10,   41,   11,   62,   10,   54,    1,   39,   10,   46,    1,   32,    0,   18
 433,   11,   64,    1,   27,   10,   62,    0,   26,    0,   35,   11,   54,    1,   62,   10,   45
 434,   11,   63,    0,   60,   11,   59,   10,   48,    1,   46,   11,   59,   10,   40,    1,   35
 435,   11,   61,    1,   55,    0,   45,   11,   54,   10,   59,   10,   43,   11,   61,    1,   35
 436,   11,   62,   11,   62,    0,   41,   10,   36,    0,   48,    0,   52,    0,   38,   11,   61
 437,    0,   44,   10,   42,    0,   25,   11,   56,   11,   65,   10,   60,   11,   62,   10,   36
 438,    1,   33,   11,   63,    1,   51,    0,   59,    0,   40,    1,   57,    1,   18,   10,   41
 439,   11,   62,   10,   45,   11,   58,    1,   47,   11,   65,    1,   51,    0,   62,    0,   43
 440,    1,   33,    1,   38,   11,   59,   10,   36,    1,   56,    1,   59,    1,   27,    0,   29
 441,   10,   42,   11,   64,    1,   63,    0,   49,    1,   14,   10,   54,   10,   42,    0,   29
 442,    1,   47,   10,   45,   11,   61,    0,   64,   11,   63,   10,   44,    0,   30,   10,   48
 443,    0,   50,   10,   40,    1,   31,    1,   62,    0,   56,    0,   46,    0,   30,   11,   54
 444,    1,   35,    1,   50,   11,   62,    1,   41,   11,   58,    1,   51,    0,   52,    1,   56
 445,   11,   59,    1,   31,   11,   55,    1,   25,    0,   54,   11,   63,    0,   31,   10,   43
 446,    1,   40,   11,   61,   11,   58,   11,   60,    0,   23,    1,   22,    1,   14,    1,   32
 447,    1,   55,   10,   45,    0,   24,   10,   62,    1,   34,   10,   39,   11,   59,    0,   61
 448,    0,   19,    0,   44,    1,   15,    0,   40,    0,   27,   10,   45,    0,   63,   11,   61
 449,   11,   65,    1,   45,   11,   54,   11,   59,   11,   58,    0,   42,   11,   60,    0,   50
 450,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24,    1,   64,   11,   62,   10,   48
 451,   10,   58,    0,   21,   10,   50,   10,   44,   10,   61,   10,   36,   11,   56,    1,   16
 452,    1,   60,    1,   50,    1,   38,    1,   48,    0,   61,   11,   57,   10,   64,   11,   55
 453,    1,   32,   11,   65,   11,   61,    1,   26,    1,   34,   10,   48,   11,   55,    0,   54
 454,   11,   60,   10,   53,   11,   64,    1,   33,   10,   56,   10,   45,   10,   59,   10,   63
 455,    0,   29,    0,   27,    0,   49,   10,   41,   10,   44,   11,   62,    1,   49,   11,   61
 456,    1,   21,    1,   12,    1,   40,   10,   41,    1,   37,   11,   56,    1,   61,    1,   41
 457,   10,   63,   11,   57,   10,   58,    0,   54,    1,   47,    1,   22,   10,   37,   10,   51
 458,    0,   50,    1,   25,   10,   55,   10,   57,    0,   62,    1,   26,   10,   38,    0,   30
 459,   11,   55,   10,   58,   10,   42,    1,   34,    0,   34,   11,   54,    0,   58,   11,   55
 460,   11,   64,    1,   21,    1,   13,   11,   56,    1,   43,   10,   43,    1,   43,    1,   58
 461,   10,   55,   11,   54,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52,    0,   21
 462,   10,   65,    0,   30,    0,   57,    0,   52,    1,   40,    1,   23,   11,   54,    1,   54
 463,   10,   51,    0,   28,   10,   45,   10,   53,   10,   44,    1,   57,    0,   21,   11,   64
 464,    0,   57,    0,   56,   10,   49,    1,   58,    0,   46,    0,   62,    0,   62,   11,   65
 465,   10,   64,    0,   35,   10,   52,    0,   59,    0,   24,    0,   60,    0,   47,   11,   62
 466,   10,   60,    0,   49,    1,   50,   10,   45,   10,   58,   11,   64,    0,   37,   11,   61
 467,    0,   29,    1,   50,    1,   34,   11,   54,    1,   65,   11,   63,    0,   23,    0,   20
 468,   11,   65,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55,    0,   49,    0,   49
 469,   11,   64,   11,   60,   10,   46,   10,   54,    1,   32,    1,   62,   11,   54,   11,   58
 470,   11,   55,   11,   59,    1,   61,   10,   59,    1,   29,   11,   58,    0,   49,   10,   63
 471,   10,   45,    0,   46,   11,   55,   11,   64,   10,   54,   11,   62,    1,   55,   10,   46
 472,   11,   58,   10,   65,   11,   65,    1,   25,   10,   41,   11,   57,   11,   65,   11,   58
 473,    1,   45,    0,   65,    1,   35,    1,   62,   11,   60,   10,   64,    0,   21,    0,   20
 474,   10,   46,   11,   54,    0,   45,    0,   54,    0,   43,   10,   44,   10,   52,    0,   28
 475,    0,   41,    1,   12,   11,   57,    1,   65,    0,   33,   10,   61,    0,   34,   10,   60
 476,   10,   44,    0,   18,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57,    1,   28
 477,    1,   59,   10,   61,   11,   65,    0,   39,    0,   46,   10,   41,    0,   62,    0,   60
 478,    1,   54,   11,   59,   10,   37,    1,   35,   10,   53,    1,   34,    0,   51,    0,   49
 479,   11,   56,    0,   37,    0,   43,   11,   57,    0,   36,   10,   62,    1,   12,   11,   55
 480,    1,   23,    1,   54,    0,   41,    1,   21,    1,   49,    0,   57,    0,   39,   10,   48
 481,   10,   49,   10,   56,    0,   31,   10,   63,    1,   22,    0,   19,    0,   46,    0,   25
 482,    1,   28,   11,   55,   10,   46,   10,   62,    0,   34,   11,   56,    1,   12,    1,   54
 483,   10,   55,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65,   10,   56,    1,   26
 484,    1,   22,   10,   38,    1,   16,   10,   61,    1,   30,   11,   59,    1,   19,    1,   51
 485,    0,   24,   11,   60,    1,   44,    1,   24,    1,   55,   11,   56,   11,   57,   11,   56
 486,   11,   63,   11,   61,    1,   48,    0,   58,    1,   47,    0,   18,    1,   24,   11,   62
 487,   10,   60,    0,   60,    0,   38,   11,   61,   10,   37,    0,   60,   10,   39,    1,   53
 488,   11,   56,    0,   32,   10,   56,   10,   57,   10,   63,    1,   44,    0,   41,   10,   63
 489,   10,   54,    1,   43,    0,   55,   11,   60,   10,   53,   11,   54,   10,   48,   11,   56
 490,    1,   35,   10,   65,    1,   56,   10,   44,   10,   39,    1,   49,    0,   53,   11,   60
 491,   10,   47,    0,   24,   11,   59,    0,   56,    0,   29,    1,   61,    0,   54,   10,   46
 492,   11,   54,    0,   49,    1,   51,    0,   44,    0,   41,    1,   47,    0,   43,   11,   56
 493,    1,   35,   11,   54,    1,   65,   11,   59,    0,   36,   11,   55,   11,   63,    1,   28
 494,    0,   52,    1,   52,    1,   19,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37
 495,    1,   53,    0,   46,   11,   54,   10,   52,   11,   61,   11,   55,    0,   37,   10,   58
 496,   11,   54,    1,   43,    1,   12,   10,   47,   10,   64,   11,   54,    1,   21,    1,   63
 497,   10,   38,   10,   41,   11,   59,    1,   18,    0,   24,    0,   55,    1,   56,   10,   49
 498,   11,   63,    0,   21,    0,   54,   11,   59,   11,   60,   11,   60,   11,   65,    1,   25
 499,    1,   47,   10,   38,   10,   38,   11,   54,    1,   15,    1,   26,    1,   28,   10,   53
 500,    0,   32,    0,   27,    1,   48,   11,   62,    1,   57,   11,   65,   10,   53,   10,   56
 501,    1,   29,    0,   38,   11,   54,    0,   50,   10,   46,    1,   31,    0,   45,    1,   65
 502,    1,   36,   11,   62,   10,   58,   10,   61,    0,   53,    1,   42,   11,   62,   10,   64
 503,    1,   13,   11,   58,   10,   60,   11,   56,    0,   53,    1,   45,   10,   56,   10,   45
 504,   10,   64,    0,   65,    1,   27,   10,   42,    0,   51,   10,   55,   11,   54,    1,   27
 505,   11,   58,    1,   44,   10,   39,   11,   65,   11,   57,    1,   17,    0,   59,    0,   39
 506,    0,   50,    0,   56,    0,   32,    0,   43,    1,   45,   10,   45,    0,   33,    0,   65
 507,    1,   56,   11,   60,    1,   42,   11,   56,    1,   47,   10,   36,   10,   50,   10,   58
 508,    0,   18,    0,   35,    1,   41,   11,   58,   11,   63,   11,   63,   10,   49,   11,   58
 509,    0,   60,    1,   58,    1,   57,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45
 510,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41,   10,   36,   11,   62
 511,   10,   63,    0,   42,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58,    1,   29
 512,   10,   37,   10,   50,   10,   63,   10,   45,    1,   39,   11,   61,    1,   59,    0,   26
 513,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65,    0,   30,   11,   64
 514,   11,   62,   11,   59,    0,   52,    0,   47,   10,   47,   10,   47,    0,   59,   11,   57
 515,   10,   40,   10,   49,    1,   62,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58
 516,    1,   25,    0,   33,    0,   33,    1,   16,   10,   61,   10,   39,    0,   32,    1,   51
 517,    1,   15,   10,   42,   11,   54,   11,   60,    1,   20,    0,   31,    0,   59,    0,   21
 518,    1,   19,    1,   59,   11,   65,   10,   62,    1,   45,   10,   64,   11,   65,   11,   56
 519,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56,    0,   57,    1,   48
 520,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64,   10,   48,   10,   45,    0,   46
 521,   11,   54,    1,   37,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21,    0,   55
 522,    0,   51,   11,   65,   11,   63,   11,   58,    0,   23,    0,   25,    1,   42,    0,   54
 523,   11,   54,    1,   26,   11,   63,   10,   52,    0,   34,   11,   54,    1,   55,   10,   56
 524,    1,   16,   10,   51,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 525,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18,   11,   64,   10,   64,   10,   64
 526,   11,   64,    1,   17,    0,   48,   11,   59,   11,   62,    0,   27,    0,   30,    1,   41
 527,    0,   45,   10,   59,   10,   58,    1,   13,    1,   45,    1,   61,    0,   19,    1,   23
 528,   11,   60,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52,   10,   57,   10,   60
 529,   10,   62,    0,   55,   11,   63,    0,   42,    0,   49,   10,   57,   10,   52,   10,   64
 530,    1,   27,   11,   61,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55
 531,   10,   51,    0,   45,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58,    0,   24
 532,   10,   65,    1,   62,    1,   36,    1,   52,   11,   57,   11,   56,    0,   24,    0,   38
 533,   10,   38,   10,   43,    1,   55,   11,   62,   10,   64,   10,   61,    0,   59,    0,   19
 534,    0,   56,   10,   62,    1,   60,   11,   59,   11,   57,   10,   42,    1,   52,   11,   54
 535,   11,   64,   11,   62,    0,   63,   11,   62,   10,   56,   10,   51,    0,   36,    1,   36
 536,   11,   57,    0,   27,   10,   48,   11,   55,   10,   60,    1,   60,   11,   59,   11,   59
 537,   11,   58,   10,   48,    1,   36,    1,   50,    0,   63,   10,   58,    1,   60,   10,   62
 538,    1,   64,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28,    1,   34,    0,   53
 539,    1,   17,   11,   56,   10,   53,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 540,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34,   11,   56,    1,   35,   10,   40
 541,   11,   65,   10,   56,    1,   22,    1,   27,    1,   40,   10,   55,    0,   25,    0,   22
 542,    1,   25,   10,   59,    1,   45,    1,   17,    1,   16,   10,   65,    0,   41,    0,   63
