nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y 
 218,    1,   38,   11,   61,   11,   60,   10,   54,   10,   58,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65
 219,   10,   61,    0,   40,    0,   35,    1,   21,   10,   41,    0,   53,   11,   65,   11,   56,   10,   51,    0,   29
 220,   10,   61,   11,   63,    1,   63,   10,   44,    1,   32,    0,   48,   10,   60,    0,   25,    1,   23,    1,   31
 221,    1,   39,   10,   51,   11,   54,   10,   55,   11,   60,   10,   49,    0,   22,    1,   45,    1,   21,   11,   65
 222,    1,   27,    0,   64,   10,   52,    1,   55,    0,   49,   10,   64,   11,   59,   10,   51,    0,   43,   10,   63
 223,   10,   43,   10,   56,    1,   19,    0,   32,    0,   32,    0,   38,   10,   36,    0,   22,    1,   59,    1,   33
 224,    1,   20,    0,   28,    0,   36,   11,   57,   11,   60,   11,   60,   10,   59,   11,   56,    0,   26,    0,   21
 225,    0,   37,   10,   36,   10,   57,   11,   61,   10,   44,    1,   45,   11,   58,   10,   46,   10,   37,    0,   49
 226,   11,   57,   10,   59,    0,   50,    1,   22,    0,   57,   10,   48,    1,   20,   11,   60,    0,   37,   11,   57
 227,   10,   38,   11,   61,    1,   22,    1,   54,    0,   30,    1,   27,   10,   63,   10,   55,    1,   37,   10,   56
 228,    1,   37,    0,   32,   11,   65,    1,   35,    0,   51,   11,   54,   10,   42,    0,   49,    1,   16,   10,   62
 229,   10,   59,   10,   52,    1,   41,    1,   12,   10,   63,    1,   35,   10,   36,    0,   54,   10,   37,    1,   44
 230,    0,   63,    0,   47,    0,   30,    0,   54,   11,   64,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49
 231,    0,   20,    0,   59,   11,   57,    0,   30,   11,   60,    0,   52,   10,   61,   11,   64,   10,   62,   10,   42
 232,   10,   44,    0,   26,    0,   31,   11,   60,   10,   39,   11,   55,   11,   56,    0,   63,    0,   31,   10,   53
 233,   10,   45,   11,   54,    0,   29,   11,   55,   10,   64,   11,   55,    1,   15,   11,   59,    1,   60,   10,   65
 234,   10,   39,    0,   23,    1,   54,   11,   54,    1,   62,   11,   57,   11,   55,    1,   23,    1,   40,    0,   26
 235,   10,   61,    0,   63,   10,   59,    0,   35,    1,   42,   11,   60,   11,   65,   11,   58,   11,   57,   10,   56
 236,   10,   63,   11,   63,    1,   59,   10,   45,    1,   24,   11,   58,    1,   32,   10,   44,   11,   62,   11,   54
 237,    1,   23,    0,   34,   11,   58,    0,   58,   11,   60,    0,   25,    1,   34,    1,   53,   11,   59,    0,   39
 238,    0,   40,    1,   65,    1,   18,   11,   62,   10,   45,    0,   52,    1,   45,    0,   39,   10,   52,   10,   42
 239,    1,   15,    0,   27,   10,   59,   10,   46,    0,   51,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55
 240,    1,   40,   10,   36,    0,   40,   10,   64,   10,   56,   11,   55,    0,   40,   10,   45,    1,   58,   10,   53
 241,   11,   61,    1,   21,    0,   42,    0,   42,   11,   58,   11,   63,   11,   58,   10,   55,    0,   26,   10,   57
 242,    0,   41,    1,   34,   11,   65,    0,   62,   10,   47,    0,   46,   10,   64,   11,   63,   11,   62,   11,   60
 243,   10,   49,   11,   64,   11,   57,    0,   47,    1,   33,   11,   62,   11,   63,    1,   17,    1,   54,    1,   57
 244,    1,   56,   11,   62,    0,   62,    1,   16,    0,   59,    1,   43,   11,   65,   10,   57,   10,   48,    0,   27
 245,    1,   23,   11,   56,    0,   51,   11,   61,    1,   56,    0,   49,    1,   52,    1,   45,    0,   58,   10,   41
 246,   11,   65,   10,   61,   11,   57,    0,   33,   11,   57,    1,   57,    0,   39,    1,   34,   11,   59,    0,   60
 247,   11,   58,    0,   41,   10,   49,    0,   22,   10,   52,   10,   44,    1,   30,   10,   49,    0,   50,   11,   58
 248,    0,   44,   10,   46,   11,   65,    1,   39,    1,   48,    0,   32,   11,   56,   10,   42,    0,   37,   10,   43
 249,    1,   36,   10,   40,   10,   53,   11,   61,    1,   38,   10,   51,   10,   44,    0,   64,   11,   62,   11,   65
 250,    1,   30,   11,   62,    0,   55,    0,   27,   10,   42,    1,   20,   10,   54,   11,   55,   11,   57,    0,   34
 251,   11,   57,    1,   26,   10,   47,   11,   55,   10,   65,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 252,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33,    1,   58,    0,   53,   10,   53,    1,   53,   10,   48
 253,    1,   34,   10,   43,   11,   64,    1,   40,   10,   50,    0,   48,   10,   53,   10,   50,   11,   55,   11,   54
 254,   11,   59,   10,   37,   11,   56,   11,   65,   11,   61,    0,   46,   10,   63,   10,   40,    0,   56,    1,   30
 255,    1,   61,   11,   63,    1,   65,   10,   62,   11,   61,   10,   64,    0,   43,    0,   57,   11,   60,    1,   60
 256,    0,   55,    0,   55,   11,   63,   10,   41,   11,   56,   11,   61,   11,   60,    0,   62,   10,   49,    1,   42
 257,   11,   57,    1,   22,    1,   53,    0,   58,    0,   25,    0,   53,   10,   61,    0,   61,    0,   25,    1,   30
 258,   11,   62,    0,   23,   10,   39,   10,   57,   10,   36,   11,   57,    1,   40,   11,   57,   10,   61,   10,   42
 259,    1,   19,   10,   50,    1,   61,    0,   24,   10,   47,    1,   43,   10,   36,    0,   20,    0,   28,   11,   54
 260,    0,   45,    1,   47,    0,   51,    0,   34,    1,   45,    0,   19,    0,   46,    1,   49,    1,   12,    0,   62
 261,   11,   63,    1,   50,    1,   13,    1,   49,    0,   65,    1,   45,    0,   22,   11,   61,    0,   36,   10,   60
 262,    1,   36,   11,   61,   11,   60,   10,   60,   11,   56,   10,   57,    1,   28,    0,   63,   10,   63,   10,   45
 263,   11,   64,   11,   60,    1,   56,   10,   38,   11,   63,   10,   42,    1,   38,   11,   59,   11,   59,    0,   37
 264,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65,   11,   56,    1,   46,    0,   37,   10,   61,    0,   33
 265,    1,   20,    1,   65,    1,   15,   11,   65,   11,   61,    1,   56,   10,   41,   10,   50,   10,   42,    1,   28
 266,    1,   49,    1,   47,    0,   19,    1,   61,    0,   22,   11,   57,    0,   21,    0,   28,   10,   37,   11,   65
 267,    1,   56,   10,   36,   11,   65,   10,   57,    1,   58,    0,   35,   11,   56,    0,   20,    0,   60,   11,   60
 268,   11,   55,   11,   62,   11,   57,    0,   47,   10,   63,    0,   28,   10,   60,    1,   33,   10,   38,    1,   26
 269,    0,   35,    1,   60,   10,   43,    1,   40,   11,   57,    1,   18,    0,   27,   10,   56,   11,   63,    1,   32
 270,   11,   60,   10,   57,   11,   58,   11,   59,    1,   51,   10,   45,   10,   39,   11,   54,    0,   51,   11,   65
 271,    1,   62,   10,   38,    1,   38,   11,   54,   10,   52,   11,   58,    1,   47,    0,   48,    1,   24,    0,   46
 272,   10,   44,    1,   64,    1,   43,    1,   34,    0,   35,   11,   59,   11,   65,    1,   19,   10,   37,    0,   32
 273,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43,   11,   58,    1,   28,   11,   60,   11,   62,    1,   32
 274,    0,   20,   11,   61,   11,   56,   10,   52,    0,   57,   11,   65,    0,   46,   11,   65,    1,   59,   11,   64
 275,   10,   64,   10,   39,    0,   28,    0,   42,    1,   27,    1,   19,    1,   59,   10,   58,    1,   65,    1,   28
 276,   10,   56,    1,   34,    0,   47,    1,   40,    0,   41,   11,   58,   10,   41,    0,   30,    0,   57,    1,   64
 277,   10,   61,    0,   37,    1,   23,   11,   63,    0,   46,   11,   58,   11,   60,   10,   60,    0,   55,    1,   57
 278,    0,   32,   10,   55,    1,   48,   11,   58,    0,   35,    0,   25,   10,   44,    0,   61,    0,   34,   10,   61
 279,   11,   61,   11,   60,    0,   41,    1,   33,    1,   56,   10,   57,   11,   55,   10,   59,   10,   57,    1,   17
 280,    0,   58,    1,   21,    1,   40,    1,   13,    0,   46,    1,   53,    1,   54,   10,   45,    1,   33,    0,   55
 281,   11,   61,   10,   59,    0,   53,   10,   40,   10,   60,    0,   21,    0,   32,    1,   57,    1,   53,    0,   51
 282,   11,   58,   11,   54,    0,   19,   11,   63,   10,   62,    1,   53,   11,   61,   11,   64,   10,   59,   11,   56
 283,    0,   47,   11,   63,   11,   55,    1,   62,   10,   57,   11,   62,    1,   59,    1,   63,   10,   41,   11,   63
 284,   11,   61,    0,   21,    0,   43,    1,   43,    1,   50,   10,   55,   11,   55,   11,   56,   11,   59,    1,   64
 285,   10,   37,   11,   57,    1,   19,   11,   61,   11,   61,   11,   64,   11,   63,   11,   62,   10,   63,   11,   65
 286,    0,   46,   11,   61,    0,   25,    1,   40,    1,   31,    0,   48,    1,   39,    0,   65,    1,   50,   11,   56
 287,    1,   31,    0,   49,   11,   61,   10,   38,    1,   38,   11,   59,   10,   51,    0,   18,   11,   65,    0,   25
 288,   11,   60,    0,   43,   11,   57,    1,   51,    1,   12,    1,   41,   10,   48,    1,   50,   11,   64,    1,   18
 289,   10,   42,    0,   48,    0,   52,   10,   48,   11,   59,   10,   54,   10,   62,    0,   50,    0,   28,   10,   45
 290,    0,   44,   11,   60,    0,   32,    0,   33,    0,   49,   10,   39,    0,   25,   11,   65,    1,   35,    0,   52
 291,   10,   36,    0,   18,    1,   59,   11,   61,   11,   64,   10,   47,    1,   21,   10,   50,    0,   19,    0,   30
 292,    1,   60,   11,   57,   10,   52,   11,   57,    1,   44,    1,   34,    0,   53,   11,   61,   10,   62,   11,   54
 293,   10,   36,    1,   22,    0,   38,    0,   52,    1,   59,    1,   64,   11,   58,    0,   24,    0,   20,   11,   58
 294,    1,   35,   11,   58,    1,   48,    1,   47,    1,   42,    1,   25,   11,   61,   10,   44,   10,   52,   10,   52
 295,    1,   47,    0,   32,    1,   35,    0,   27,   11,   63,    0,   47,   10,   38,   10,   46,    1,   31,   10,   61
 296,   11,   57,   11,   54,   10,   57,   11,   59,    1,   45,    1,   64,    1,   19,    1,   25,   11,   64,   10,   44
 297,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31,    0,   31,    0,   35,   11,   61,   11,   59,    0,   25
 298,    1,   24,    0,   30,    1,   34,   10,   64,   10,   38,    0,   37,    0,   44,   10,   44,   10,   65,    0,   62
 299,    1,   59,    1,   61,   11,   63,    1,   26,    0,   55,    1,   37,    0,   21,   11,   60,    0,   27,    1,   26
 300,    0,   18,   11,   59,   10,   52,   10,   62,    1,   47,    0,   32,    0,   39,   11,   64,   10,   61,    1,   16
 301,    1,   50,    0,   24,   11,   59,   10,   65,   10,   48,   10,   50,    1,   42,    1,   18,   11,   64,   10,   49
 302,   11,   59,   10,   63,    0,   54,   11,   58,   10,   45,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14
 303,   10,   44,   11,   65,   10,   63,   11,   58,   10,   36,   10,   65,   10,   44,   10,   47,    1,   36,    0,   40
 304,    0,   18,    0,   38,    1,   14,   11,   55,    1,   56,   10,   48,   11,   57,    1,   55,    1,   55,    1,   49
 305,    0,   39,    0,   45,    0,   63,   11,   57,    1,   12,   11,   60,    1,   65,    1,   47,    1,   18,    1,   50
 306,    0,   33,    0,   19,    0,   27,    0,   50,   11,   59,    1,   39,   10,   54,    0,   55,   11,   60,   10,   53
 307,    0,   36,   11,   54,   11,   61,   10,   50,    0,   47,   11,   60,   11,   62,    0,   57,    0,   63,    0,   37
 308,   11,   58,   10,   55,    1,   33,   10,   51,   11,   62,    0,   50,   10,   51,    1,   53,   11,   57,    1,   50
 309,   11,   57,   10,   62,    0,   57,   10,   60,   11,   62,   10,   38,   10,   37,    1,   16,   10,   36,   10,   55
 310,    0,   24,   11,   62,   11,   58,    0,   63,    1,   42,    0,   56,    0,   63,    1,   20,   10,   43,    0,   41
 311,   10,   57,   11,   56,   11,   59,    0,   54,    1,   42,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55
 312,    1,   15,   11,   62,    0,   29,   10,   44,    0,   58,    1,   49,    1,   24,   11,   62,    1,   45,    0,   64
 313,   11,   63,    0,   58,    1,   30,   10,   62,   10,   44,   11,   55,   11,   62,   10,   42,    1,   34,   10,   58
 314,   11,   59,   10,   60,   10,   53,    1,   15,   11,   56,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14
 315,    0,   51,   11,   65,   11,   59,   10,   38,   10,   58,   11,   54,    1,   26,    0,   29,   11,   60,   10,   42
 316,   11,   59,   11,   59,    0,   28,   10,   41,    1,   44,    1,   13,    0,   56,    1,   17,    0,   33,    0,   47
 317,   10,   59,    1,   41,   11,   63,    1,   17,   11,   63,    0,   20,   11,   58,    0,   45,   11,   65,    0,   53
 318,    0,   57,   10,   60,   10,   60,    0,   30,    0,   23,    0,   22,    1,   30,    0,   27,   10,   37,    0,   59
 319,   11,   54,    1,   31,   10,   54,   11,   57,    1,   32,   11,   56,   11,   61,    1,   50,    0,   20,   11,   58
 320,   11,   61,   10,   62,    1,   32,   11,   64,   11,   65,   10,   41,   11,   64,    1,   48,    0,   62,    1,   42
 321,   10,   60,   10,   45,   11,   56,   10,   51,    1,   39,    1,   40,    0,   30,    0,   59,    1,   58,    1,   29
 322,   10,   48,   11,   61,   10,   65,   11,   58,    1,   58,   11,   60,   10,   38,    0,   23,    1,   12,   10,   36
 323,    1,   17,    0,   49,    1,   12,   11,   60,   11,   57,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59
 324,   11,   58,    0,   38,   10,   60,   10,   38,   11,   55,    0,   28,    0,   27,    0,   43,   11,   60,   10,   59
 325,   11,   57,   11,   56,    0,   56,    0,   61,   11,   62,   10,   50,    0,   34,   11,   61,    1,   21,    0,   43
 326,   10,   64,   11,   62,   10,   65,   10,   59,    1,   19,    1,   54,   10,   50,    0,   35,   10,   48,    0,   64
 327,   11,   64,    1,   65,    0,   49,    0,   34,   10,   50,    1,   62,   11,   64,   11,   56,   10,   47,   11,   58
 328,   10,   60,    1,   18,    1,   26,    1,   64,   11,   61,   11,   60,   11,   57,   11,   60,    0,   40,    1,   23
 329,   11,   56,   10,   52,   10,   41,   10,   50,   10,   63,   11,   61,   10,   65,    0,   25,   10,   45,    1,   45
 330,    1,   43,    1,   20,   10,   40,    0,   58,   11,   55,   10,   60,   11,   61,   10,   54,    1,   43,   11,   59
 331,    0,   58,    1,   35,   10,   60,   10,   47,    0,   64,    1,   35,   11,   62,   10,   65,   11,   61,    0,   57
 332,   10,   53,   10,   42,   10,   50,   11,   65,   11,   60,    1,   17,    0,   31,    0,   52,    1,   56,   11,   59
 333,    1,   40,   10,   50,   11,   57,    0,   64,    0,   27,    1,   57,    1,   47,   11,   60,    0,   42,    0,   35
 334,    0,   37,    0,   50,   10,   60,   10,   39,    0,   65,   10,   55,    1,   29,   11,   65,    0,   34,    1,   65
 335,   10,   58,    1,   29,   10,   60,    0,   60,   10,   45,    0,   63,   10,   49,    1,   47,    0,   61,   10,   36
 336,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44,   11,   54,    0,   61,   10,   62,   11,   62,   11,   58
 337,   10,   63,    0,   18,   10,   48,    1,   32,   10,   51,    1,   48,    1,   38,    1,   40,   11,   55,   10,   41
 338,   11,   63,    1,   63,    0,   47,    1,   54,   11,   57,   10,   55,    1,   28,    0,   63,    1,   49,   11,   57
 339,    0,   35,   10,   51,    0,   65,   11,   64,    0,   38,   11,   65,   10,   41,   11,   57,   11,   61,    1,   44
 340,    1,   44,   11,   62,   10,   57,   11,   58,    0,   51,    0,   49,   10,   46,    0,   53,   11,   63,   11,   59
 341,    0,   23,    0,   31,   11,   55,   11,   54,   10,   53,   10,   40,    1,   57,    1,   31,    1,   33,   10,   51
 342,   11,   59,    1,   12,    1,   56,   11,   60,    1,   32,    1,   30,   11,   58,   10,   40,   11,   57,    1,   25
 343,    0,   63,   10,   63,    0,   44,   10,   64,   10,   55,    1,   60,   10,   36,   10,   61,    0,   27,   10,   37
 344,    1,   43,    0,   58,    0,   56,    0,   58,   10,   58,   10,   60,    0,   54,    0,   30,    0,   39,    1,   59
 345,    0,   54,   11,   61,    0,   18,    0,   57,   10,   63,   10,   39,   10,   45,   10,   41,   11,   62,   10,   54
 346,    1,   39,   10,   46,    1,   32,    0,   18,   11,   64,    1,   27,   10,   62,    0,   26,    0,   35,   11,   54
 347,    1,   62,   10,   45,   11,   63,    0,   60,   11,   59,   10,   48,    1,   46,   11,   59,   10,   40,    1,   35
 348,   11,   61,    1,   55,    0,   45,   11,   54,   10,   59,   10,   43,   11,   61,    1,   35,   11,   62,   11,   62
 349,    0,   41,   10,   36,    0,   48,    0,   52,    0,   38,   11,   61,    0,   44,   10,   42,    0,   25,   11,   56
 350,   11,   65,   10,   60,   11,   62,   10,   36,    1,   33,   11,   63,    1,   51,    0,   59,    0,   40,    1,   57
 351,    1,   18,   10,   41,   11,   62,   10,   45,   11,   58,    1,   47,   11,   65,    1,   51,    0,   62,    0,   43
 352,    1,   33,    1,   38,   11,   59,   10,   36,    1,   56,    1,   59,    1,   27,    0,   29,   10,   42,   11,   64
 353,    1,   63,    0,   49,    1,   14,   10,   54,   10,   42,    0,   29,    1,   47,   10,   45,   11,   61,    0,   64
 354,   11,   63,   10,   44,    0,   30,   10,   48,    0,   50,   10,   40,    1,   31,    1,   62,    0,   56,    0,   46
 355,    0,   30,   11,   54,    1,   35,    1,   50,   11,   62,    1,   41,   11,   58,    1,   51,    0,   52,    1,   56
 356,   11,   59,    1,   31,   11,   55,    1,   25,    0,   54,   11,   63,    0,   31,   10,   43,    1,   40,   11,   61
 357,   11,   58,   11,   60,    0,   23,    1,   22,    1,   14,    1,   32,    1,   55,   10,   45,    0,   24,   10,   62
 358,    1,   34,   10,   39,   11,   59,    0,   61,    0,   19,    0,   44,    1,   15,    0,   40,    0,   27,   10,   45
 359,    0,   63,   11,   61,   11,   65,    1,   45,   11,   54,   11,   59,   11,   58,    0,   42,   11,   60,    0,   50
 360,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24,    1,   64,   11,   62,   10,   48,   10,   58,    0,   21
 361,   10,   50,   10,   44,   10,   61,   10,   36,   11,   56,    1,   16,    1,   60,    1,   50,    1,   38,    1,   48
 362,    0,   61,   11,   57,   10,   64,   11,   55,    1,   32,   11,   65,   11,   61,    1,   26,    1,   34,   10,   48
 363,   11,   55,    0,   54,   11,   60,   10,   53,   11,   64,    1,   33,   10,   56,   10,   45,   10,   59,   10,   63
 364,    0,   29,    0,   27,    0,   49,   10,   41,   10,   44,   11,   62,    1,   49,   11,   61,    1,   21,    1,   12
 365,    1,   40,   10,   41,    1,   37,   11,   56,    1,   61,    1,   41,   10,   63,   11,   57,   10,   58,    0,   54
 366,    1,   47,    1,   22,   10,   37,   10,   51,    0,   50,    1,   25,   10,   55,   10,   57,    0,   62,    1,   26
 367,   10,   38,    0,   30,   11,   55,   10,   58,   10,   42,    1,   34,    0,   34,   11,   54,    0,   58,   11,   55
 368,   11,   64,    1,   21,    1,   13,   11,   56,    1,   43,   10,   43,    1,   43,    1,   58,   10,   55,   11,   54
 369,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52,    0,   21,   10,   65,    0,   30,    0,   57,    0,   52
 370,    1,   40,    1,   23,   11,   54,    1,   54,   10,   51,    0,   28,   10,   45,   10,   53,   10,   44,    1,   57
 371,    0,   21,   11,   64,    0,   57,    0,   56,   10,   49,    1,   58,    0,   46,    0,   62,    0,   62,   11,   65
 372,   10,   64,    0,   35,   10,   52,    0,   59,    0,   24,    0,   60,    0,   47,   11,   62,   10,   60,    0,   49
 373,    1,   50,   10,   45,   10,   58,   11,   64,    0,   37,   11,   61,    0,   29,    1,   50,    1,   34,   11,   54
 374,    1,   65,   11,   63,    0,   23,    0,   20,   11,   65,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55
 375,    0,   49,    0,   49,   11,   64,   11,   60,   10,   46,   10,   54,    1,   32,    1,   62,   11,   54,   11,   58
 376,   11,   55,   11,   59,    1,   61,   10,   59,    1,   29,   11,   58,    0,   49,   10,   63,   10,   45,    0,   46
 377,   11,   55,   11,   64,   10,   54,   11,   62,    1,   55,   10,   46,   11,   58,   10,   65,   11,   65,    1,   25
 378,   10,   41,   11,   57,   11,   65,   11,   58,    1,   45,    0,   65,    1,   35,    1,   62,   11,   60,   10,   64
 379,    0,   21,    0,   20,   10,   46,   11,   54,    0,   45,    0,   54,    0,   43,   10,   44,   10,   52,    0,   28
 380,    0,   41,    1,   12,   11,   57,    1,   65,    0,   33,   10,   61,    0,   34,   10,   60,   10,   44,    0,   18
 381,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57,    1,   28,    1,   59,   10,   61,   11,   65,    0,   39
 382,    0,   46,   10,   41,    0,   62,    0,   60,    1,   54,   11,   59,   10,   37,    1,   35,   10,   53,    1,   34
 383,    0,   51,    0,   49,   11,   56,    0,   37,    0,   43,   11,   57,    0,   36,   10,   62,    1,   12,   11,   55
 384,    1,   23,    1,   54,    0,   41,    1,   21,    1,   49,    0,   57,    0,   39,   10,   48,   10,   49,   10,   56
 385,    0,   31,   10,   63,    1,   22,    0,   19,    0,   46,    0,   25,    1,   28,   11,   55,   10,   46,   10,   62
 386,    0,   34,   11,   56,    1,   12,    1,   54,   10,   55,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65
 387,   10,   56,    1,   26,    1,   22,   10,   38,    1,   16,   10,   61,    1,   30,   11,   59,    1,   19,    1,   51
 388,    0,   24,   11,   60,    1,   44,    1,   24,    1,   55,   11,   56,   11,   57,   11,   56,   11,   63,   11,   61
 389,    1,   48,    0,   58,    1,   47,    0,   18,    1,   24,   11,   62,   10,   60,    0,   60,    0,   38,   11,   61
 390,   10,   37,    0,   60,   10,   39,    1,   53,   11,   56,    0,   32,   10,   56,   10,   57,   10,   63,    1,   44
 391,    0,   41,   10,   63,   10,   54,    1,   43,    0,   55,   11,   60,   10,   53,   11,   54,   10,   48,   11,   56
 392,    1,   35,   10,   65,    1,   56,   10,   44,   10,   39,    1,   49,    0,   53,   11,   60,   10,   47,    0,   24
 393,   11,   59,    0,   56,    0,   29,    1,   61,    0,   54,   10,   46,   11,   54,    0,   49,    1,   51,    0,   44
 394,    0,   41,    1,   47,    0,   43,   11,   56,    1,   35,   11,   54,    1,   65,   11,   59,    0,   36,   11,   55
 395,   11,   63,    1,   28,    0,   52,    1,   52,    1,   19,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37
 396,    1,   53,    0,   46,   11,   54,   10,   52,   11,   61,   11,   55,    0,   37,   10,   58,   11,   54,    1,   43
 397,    1,   12,   10,   47,   10,   64,   11,   54,    1,   21,    1,   63,   10,   38,   10,   41,   11,   59,    1,   18
 398,    0,   24,    0,   55,    1,   56,   10,   49,   11,   63,    0,   21,    0,   54,   11,   59,   11,   60,   11,   60
 399,   11,   65,    1,   25,    1,   47,   10,   38,   10,   38,   11,   54,    1,   15,    1,   26,    1,   28,   10,   53
 400,    0,   32,    0,   27,    1,   48,   11,   62,    1,   57,   11,   65,   10,   53,   10,   56,    1,   29,    0,   38
 401,   11,   54,    0,   50,   10,   46,    1,   31,    0,   45,    1,   65,    1,   36,   11,   62,   10,   58,   10,   61
 402,    0,   53,    1,   42,   11,   62,   10,   64,    1,   13,   11,   58,   10,   60,   11,   56,    0,   53,    1,   45
 403,   10,   56,   10,   45,   10,   64,    0,   65,    1,   27,   10,   42,    0,   51,   10,   55,   11,   54,    1,   27
 404,   11,   58,    1,   44,   10,   39,   11,   65,   11,   57,    1,   17,    0,   59,    0,   39,    0,   50,    0,   56
 405,    0,   32,    0,   43,    1,   45,   10,   45,    0,   33,    0,   65,    1,   56,   11,   60,    1,   42,   11,   56
 406,    1,   47,   10,   36,   10,   50,   10,   58,    0,   18,    0,   35,    1,   41,   11,   58,   11,   63,   11,   63
 407,   10,   49,   11,   58,    0,   60,    1,   58,    1,   57,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45
 408,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41,   10,   36,   11,   62,   10,   63,    0,   42
 409,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58,    1,   29,   10,   37,   10,   50,   10,   63,   10,   45
 410,    1,   39,   11,   61,    1,   59,    0,   26,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65
 411,    0,   30,   11,   64,   11,   62,   11,   59,    0,   52,    0,   47,   10,   47,   10,   47,    0,   59,   11,   57
 412,   10,   40,   10,   49,    1,   62,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58,    1,   25,    0,   33
 413,    0,   33,    1,   16,   10,   61,   10,   39,    0,   32,    1,   51,    1,   15,   10,   42,   11,   54,   11,   60
 414,    1,   20,    0,   31,    0,   59,    0,   21,    1,   19,    1,   59,   11,   65,   10,   62,    1,   45,   10,   64
 415,   11,   65,   11,   56,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56,    0,   57,    1,   48
 416,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64,   10,   48,   10,   45,    0,   46,   11,   54,    1,   37
 417,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21,    0,   55,    0,   51,   11,   65,   11,   63,   11,   58
 418,    0,   23,    0,   25,    1,   42,    0,   54,   11,   54,    1,   26,   11,   63,   10,   52,    0,   34,   11,   54
 419,    1,   55,   10,   56,    1,   16,   10,   51,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 420,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18,   11,   64,   10,   64,   10,   64,   11,   64,    1,   17
 421,    0,   48,   11,   59,   11,   62,    0,   27,    0,   30,    1,   41,    0,   45,   10,   59,   10,   58,    1,   13
 422,    1,   45,    1,   61,    0,   19,    1,   23,   11,   60,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52
 423,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63,    0,   42,    0,   49,   10,   57,   10,   52,   10,   64
 424,    1,   27,   11,   61,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55,   10,   51,    0,   45
 425,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58,    0,   24,   10,   65,    1,   62,    1,   36,    1,   52
 426,   11,   57,   11,   56,    0,   24,    0,   38,   10,   38,   10,   43,    1,   55,   11,   62,   10,   64,   10,   61
 427,    0,   59,    0,   19,    0,   56,   10,   62,    1,   60,   11,   59,   11,   57,   10,   42,    1,   52,   11,   54
 428,   11,   64,   11,   62,    0,   63,   11,   62,   10,   56,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27
 429,   10,   48,   11,   55,   10,   60,    1,   60,   11,   59,   11,   59,   11,   58,   10,   48,    1,   36,    1,   50
 430,    0,   63,   10,   58,    1,   60,   10,   62,    1,   64,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28
 431,    1,   34,    0,   53,    1,   17,   11,   56,   10,   53,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 432,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34,   11,   56,    1,   35,   10,   40,   11,   65,   10,   56
 433,    1,   22,    1,   27,    1,   40,   10,   55,    0,   25,    0,   22,    1,   25,   10,   59,    1,   45,    1,   17
 434,    1,   16,   10,   65,    0,   41,    0,   63,    1,   44,    1,   35,    0,   31,   11,   59,   10,   44,   11,   61
 435,   11,   57,    0,   30,    1,   57,   11,   55,   10,   40,   10,   50,   10,   59,    1,   39,   10,   53,    1,   29
 436,    1,   51,   11,   63,    1,   58,    0,   33,   10,   49,   10,   56,   10,   50,    0,   59,    1,   14,   10,   51
 437,    0,   42,   11,   60,   10,   44,   10,   58,    0,   24,   11,   62,   10,   44,    1,   38,    0,   23,    0,   20
