nExp,  A0x,  A0y,  A1x,  A1y 
 930,   11,   59,    1,   54
 931,   10,   52,   11,   63
 932,    1,   61,   10,   61
 933,    0,   24,    0,   29
 934,    0,   19,   10,   53
 935,   10,   54,    1,   36
 936,    0,   47,   10,   54
 937,   11,   62,    0,   47
 938,   10,   56,   10,   58
 939,    1,   42,   11,   57
 940,   10,   58,   11,   60
 941,   11,   65,   10,   49
 942,    0,   46,    1,   49
 943,   10,   61,   10,   60
 944,   11,   65,    1,   43
 945,   10,   53,   10,   64
 946,    0,   32,    1,   39
 947,   11,   59,    0,   59
 948,   10,   59,    1,   63
 949,    1,   36,    1,   29
 950,   11,   60,   10,   54
 951,    1,   30,    0,   36
 952,    1,   30,   10,   56
 953,   10,   42,    0,   64
 954,    1,   37,    0,   50
 955,    0,   20,    1,   64
 956,    1,   15,   10,   41
 957,    1,   37,   10,   45
 958,   11,   63,   10,   38
 959,   11,   63,   11,   63
 960,    0,   61,    1,   26
 961,    0,   25,    1,   24
 962,   11,   54,    1,   32
 963,   11,   64,    1,   48
 964,    1,   25,   10,   49
 965,   10,   58,   10,   43
 966,    0,   18,    1,   47
 967,   11,   57,    0,   41
 968,    1,   30,    0,   42
 969,    1,   50,   10,   47
 970,    0,   64,    0,   53
 971,   10,   36,   10,   65
 972,    0,   52,   10,   52
 973,    1,   36,    0,   35
 974,   10,   61,   10,   54
 975,    0,   18,   11,   63
 976,   11,   55,   11,   57
 977,   10,   36,   11,   65
 978,   11,   55,    0,   44
 979,    1,   13,    1,   54
 980,   11,   56,   11,   58
 981,   11,   58,   11,   62
 982,    1,   15,    0,   63
 983,   10,   59,    0,   43
 984,   10,   64,   10,   63
 985,    1,   43,   10,   38
 986,    0,   30,    1,   21
 987,    1,   17,    0,   59
 988,    0,   39,    0,   56
 989,    1,   47,   11,   58
 990,    0,   25,    1,   44
 991,   10,   53,    0,   18
 992,    0,   39,   11,   60
 993,   11,   64,   11,   57
 994,   10,   48,   11,   61
 995,    1,   62,   11,   59
 996,    1,   33,    1,   28
 997,    0,   57,    0,   47
 998,    0,   59,    0,   24
 999,    0,   61,   11,   57
