nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y 
 307,    0,   43,    1,   58,   10,   50,   10,   65,   10,   60,   11,   57,    1,   22
 308,   10,   59,    1,   29,    1,   50,    0,   62,   10,   53,    0,   22,    0,   47
 309,   10,   40,   11,   57,    0,   32,   11,   59,   10,   44,   10,   43,    0,   52
 310,    1,   28,   10,   47,   11,   65,   10,   37,   10,   36,    1,   16,   11,   54
 311,   10,   49,   10,   43,    1,   35,    1,   38,   11,   61,   11,   60,   10,   54
 312,   10,   58,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65,   10,   61
 313,    0,   40,    0,   35,    1,   21,   10,   41,    0,   53,   11,   65,   11,   56
 314,   10,   51,    0,   29,   10,   61,   11,   63,    1,   63,   10,   44,    1,   32
 315,    0,   48,   10,   60,    0,   25,    1,   23,    1,   31,    1,   39,   10,   51
 316,   11,   54,   10,   55,   11,   60,   10,   49,    0,   22,    1,   45,    1,   21
 317,   11,   65,    1,   27,    0,   64,   10,   52,    1,   55,    0,   49,   10,   64
 318,   11,   59,   10,   51,    0,   43,   10,   63,   10,   43,   10,   56,    1,   19
 319,    0,   32,    0,   32,    0,   38,   10,   36,    0,   22,    1,   59,    1,   33
 320,    1,   20,    0,   28,    0,   36,   11,   57,   11,   60,   11,   60,   10,   59
 321,   11,   56,    0,   26,    0,   21,    0,   37,   10,   36,   10,   57,   11,   61
 322,   10,   44,    1,   45,   11,   58,   10,   46,   10,   37,    0,   49,   11,   57
 323,   10,   59,    0,   50,    1,   22,    0,   57,   10,   48,    1,   20,   11,   60
 324,    0,   37,   11,   57,   10,   38,   11,   61,    1,   22,    1,   54,    0,   30
 325,    1,   27,   10,   63,   10,   55,    1,   37,   10,   56,    1,   37,    0,   32
 326,   11,   65,    1,   35,    0,   51,   11,   54,   10,   42,    0,   49,    1,   16
 327,   10,   62,   10,   59,   10,   52,    1,   41,    1,   12,   10,   63,    1,   35
 328,   10,   36,    0,   54,   10,   37,    1,   44,    0,   63,    0,   47,    0,   30
 329,    0,   54,   11,   64,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49
 330,    0,   20,    0,   59,   11,   57,    0,   30,   11,   60,    0,   52,   10,   61
 331,   11,   64,   10,   62,   10,   42,   10,   44,    0,   26,    0,   31,   11,   60
 332,   10,   39,   11,   55,   11,   56,    0,   63,    0,   31,   10,   53,   10,   45
 333,   11,   54,    0,   29,   11,   55,   10,   64,   11,   55,    1,   15,   11,   59
 334,    1,   60,   10,   65,   10,   39,    0,   23,    1,   54,   11,   54,    1,   62
 335,   11,   57,   11,   55,    1,   23,    1,   40,    0,   26,   10,   61,    0,   63
 336,   10,   59,    0,   35,    1,   42,   11,   60,   11,   65,   11,   58,   11,   57
 337,   10,   56,   10,   63,   11,   63,    1,   59,   10,   45,    1,   24,   11,   58
 338,    1,   32,   10,   44,   11,   62,   11,   54,    1,   23,    0,   34,   11,   58
 339,    0,   58,   11,   60,    0,   25,    1,   34,    1,   53,   11,   59,    0,   39
 340,    0,   40,    1,   65,    1,   18,   11,   62,   10,   45,    0,   52,    1,   45
 341,    0,   39,   10,   52,   10,   42,    1,   15,    0,   27,   10,   59,   10,   46
 342,    0,   51,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55,    1,   40
 343,   10,   36,    0,   40,   10,   64,   10,   56,   11,   55,    0,   40,   10,   45
 344,    1,   58,   10,   53,   11,   61,    1,   21,    0,   42,    0,   42,   11,   58
 345,   11,   63,   11,   58,   10,   55,    0,   26,   10,   57,    0,   41,    1,   34
 346,   11,   65,    0,   62,   10,   47,    0,   46,   10,   64,   11,   63,   11,   62
 347,   11,   60,   10,   49,   11,   64,   11,   57,    0,   47,    1,   33,   11,   62
 348,   11,   63,    1,   17,    1,   54,    1,   57,    1,   56,   11,   62,    0,   62
 349,    1,   16,    0,   59,    1,   43,   11,   65,   10,   57,   10,   48,    0,   27
 350,    1,   23,   11,   56,    0,   51,   11,   61,    1,   56,    0,   49,    1,   52
 351,    1,   45,    0,   58,   10,   41,   11,   65,   10,   61,   11,   57,    0,   33
 352,   11,   57,    1,   57,    0,   39,    1,   34,   11,   59,    0,   60,   11,   58
 353,    0,   41,   10,   49,    0,   22,   10,   52,   10,   44,    1,   30,   10,   49
 354,    0,   50,   11,   58,    0,   44,   10,   46,   11,   65,    1,   39,    1,   48
 355,    0,   32,   11,   56,   10,   42,    0,   37,   10,   43,    1,   36,   10,   40
 356,   10,   53,   11,   61,    1,   38,   10,   51,   10,   44,    0,   64,   11,   62
 357,   11,   65,    1,   30,   11,   62,    0,   55,    0,   27,   10,   42,    1,   20
 358,   10,   54,   11,   55,   11,   57,    0,   34,   11,   57,    1,   26,   10,   47
 359,   11,   55,   10,   65,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 360,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33,    1,   58,    0,   53
 361,   10,   53,    1,   53,   10,   48,    1,   34,   10,   43,   11,   64,    1,   40
 362,   10,   50,    0,   48,   10,   53,   10,   50,   11,   55,   11,   54,   11,   59
 363,   10,   37,   11,   56,   11,   65,   11,   61,    0,   46,   10,   63,   10,   40
 364,    0,   56,    1,   30,    1,   61,   11,   63,    1,   65,   10,   62,   11,   61
 365,   10,   64,    0,   43,    0,   57,   11,   60,    1,   60,    0,   55,    0,   55
 366,   11,   63,   10,   41,   11,   56,   11,   61,   11,   60,    0,   62,   10,   49
 367,    1,   42,   11,   57,    1,   22,    1,   53,    0,   58,    0,   25,    0,   53
 368,   10,   61,    0,   61,    0,   25,    1,   30,   11,   62,    0,   23,   10,   39
 369,   10,   57,   10,   36,   11,   57,    1,   40,   11,   57,   10,   61,   10,   42
 370,    1,   19,   10,   50,    1,   61,    0,   24,   10,   47,    1,   43,   10,   36
 371,    0,   20,    0,   28,   11,   54,    0,   45,    1,   47,    0,   51,    0,   34
 372,    1,   45,    0,   19,    0,   46,    1,   49,    1,   12,    0,   62,   11,   63
 373,    1,   50,    1,   13,    1,   49,    0,   65,    1,   45,    0,   22,   11,   61
 374,    0,   36,   10,   60,    1,   36,   11,   61,   11,   60,   10,   60,   11,   56
 375,   10,   57,    1,   28,    0,   63,   10,   63,   10,   45,   11,   64,   11,   60
 376,    1,   56,   10,   38,   11,   63,   10,   42,    1,   38,   11,   59,   11,   59
 377,    0,   37,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65,   11,   56
 378,    1,   46,    0,   37,   10,   61,    0,   33,    1,   20,    1,   65,    1,   15
 379,   11,   65,   11,   61,    1,   56,   10,   41,   10,   50,   10,   42,    1,   28
 380,    1,   49,    1,   47,    0,   19,    1,   61,    0,   22,   11,   57,    0,   21
 381,    0,   28,   10,   37,   11,   65,    1,   56,   10,   36,   11,   65,   10,   57
 382,    1,   58,    0,   35,   11,   56,    0,   20,    0,   60,   11,   60,   11,   55
 383,   11,   62,   11,   57,    0,   47,   10,   63,    0,   28,   10,   60,    1,   33
 384,   10,   38,    1,   26,    0,   35,    1,   60,   10,   43,    1,   40,   11,   57
 385,    1,   18,    0,   27,   10,   56,   11,   63,    1,   32,   11,   60,   10,   57
 386,   11,   58,   11,   59,    1,   51,   10,   45,   10,   39,   11,   54,    0,   51
 387,   11,   65,    1,   62,   10,   38,    1,   38,   11,   54,   10,   52,   11,   58
 388,    1,   47,    0,   48,    1,   24,    0,   46,   10,   44,    1,   64,    1,   43
 389,    1,   34,    0,   35,   11,   59,   11,   65,    1,   19,   10,   37,    0,   32
 390,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43,   11,   58,    1,   28
 391,   11,   60,   11,   62,    1,   32,    0,   20,   11,   61,   11,   56,   10,   52
 392,    0,   57,   11,   65,    0,   46,   11,   65,    1,   59,   11,   64,   10,   64
 393,   10,   39,    0,   28,    0,   42,    1,   27,    1,   19,    1,   59,   10,   58
 394,    1,   65,    1,   28,   10,   56,    1,   34,    0,   47,    1,   40,    0,   41
 395,   11,   58,   10,   41,    0,   30,    0,   57,    1,   64,   10,   61,    0,   37
 396,    1,   23,   11,   63,    0,   46,   11,   58,   11,   60,   10,   60,    0,   55
 397,    1,   57,    0,   32,   10,   55,    1,   48,   11,   58,    0,   35,    0,   25
 398,   10,   44,    0,   61,    0,   34,   10,   61,   11,   61,   11,   60,    0,   41
 399,    1,   33,    1,   56,   10,   57,   11,   55,   10,   59,   10,   57,    1,   17
 400,    0,   58,    1,   21,    1,   40,    1,   13,    0,   46,    1,   53,    1,   54
 401,   10,   45,    1,   33,    0,   55,   11,   61,   10,   59,    0,   53,   10,   40
 402,   10,   60,    0,   21,    0,   32,    1,   57,    1,   53,    0,   51,   11,   58
 403,   11,   54,    0,   19,   11,   63,   10,   62,    1,   53,   11,   61,   11,   64
 404,   10,   59,   11,   56,    0,   47,   11,   63,   11,   55,    1,   62,   10,   57
 405,   11,   62,    1,   59,    1,   63,   10,   41,   11,   63,   11,   61,    0,   21
 406,    0,   43,    1,   43,    1,   50,   10,   55,   11,   55,   11,   56,   11,   59
 407,    1,   64,   10,   37,   11,   57,    1,   19,   11,   61,   11,   61,   11,   64
 408,   11,   63,   11,   62,   10,   63,   11,   65,    0,   46,   11,   61,    0,   25
 409,    1,   40,    1,   31,    0,   48,    1,   39,    0,   65,    1,   50,   11,   56
 410,    1,   31,    0,   49,   11,   61,   10,   38,    1,   38,   11,   59,   10,   51
 411,    0,   18,   11,   65,    0,   25,   11,   60,    0,   43,   11,   57,    1,   51
 412,    1,   12,    1,   41,   10,   48,    1,   50,   11,   64,    1,   18,   10,   42
 413,    0,   48,    0,   52,   10,   48,   11,   59,   10,   54,   10,   62,    0,   50
 414,    0,   28,   10,   45,    0,   44,   11,   60,    0,   32,    0,   33,    0,   49
 415,   10,   39,    0,   25,   11,   65,    1,   35,    0,   52,   10,   36,    0,   18
 416,    1,   59,   11,   61,   11,   64,   10,   47,    1,   21,   10,   50,    0,   19
 417,    0,   30,    1,   60,   11,   57,   10,   52,   11,   57,    1,   44,    1,   34
 418,    0,   53,   11,   61,   10,   62,   11,   54,   10,   36,    1,   22,    0,   38
 419,    0,   52,    1,   59,    1,   64,   11,   58,    0,   24,    0,   20,   11,   58
 420,    1,   35,   11,   58,    1,   48,    1,   47,    1,   42,    1,   25,   11,   61
 421,   10,   44,   10,   52,   10,   52,    1,   47,    0,   32,    1,   35,    0,   27
 422,   11,   63,    0,   47,   10,   38,   10,   46,    1,   31,   10,   61,   11,   57
 423,   11,   54,   10,   57,   11,   59,    1,   45,    1,   64,    1,   19,    1,   25
 424,   11,   64,   10,   44,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31
 425,    0,   31,    0,   35,   11,   61,   11,   59,    0,   25,    1,   24,    0,   30
 426,    1,   34,   10,   64,   10,   38,    0,   37,    0,   44,   10,   44,   10,   65
 427,    0,   62,    1,   59,    1,   61,   11,   63,    1,   26,    0,   55,    1,   37
 428,    0,   21,   11,   60,    0,   27,    1,   26,    0,   18,   11,   59,   10,   52
 429,   10,   62,    1,   47,    0,   32,    0,   39,   11,   64,   10,   61,    1,   16
 430,    1,   50,    0,   24,   11,   59,   10,   65,   10,   48,   10,   50,    1,   42
 431,    1,   18,   11,   64,   10,   49,   11,   59,   10,   63,    0,   54,   11,   58
 432,   10,   45,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14,   10,   44
 433,   11,   65,   10,   63,   11,   58,   10,   36,   10,   65,   10,   44,   10,   47
 434,    1,   36,    0,   40,    0,   18,    0,   38,    1,   14,   11,   55,    1,   56
 435,   10,   48,   11,   57,    1,   55,    1,   55,    1,   49,    0,   39,    0,   45
 436,    0,   63,   11,   57,    1,   12,   11,   60,    1,   65,    1,   47,    1,   18
 437,    1,   50,    0,   33,    0,   19,    0,   27,    0,   50,   11,   59,    1,   39
 438,   10,   54,    0,   55,   11,   60,   10,   53,    0,   36,   11,   54,   11,   61
 439,   10,   50,    0,   47,   11,   60,   11,   62,    0,   57,    0,   63,    0,   37
 440,   11,   58,   10,   55,    1,   33,   10,   51,   11,   62,    0,   50,   10,   51
 441,    1,   53,   11,   57,    1,   50,   11,   57,   10,   62,    0,   57,   10,   60
 442,   11,   62,   10,   38,   10,   37,    1,   16,   10,   36,   10,   55,    0,   24
 443,   11,   62,   11,   58,    0,   63,    1,   42,    0,   56,    0,   63,    1,   20
 444,   10,   43,    0,   41,   10,   57,   11,   56,   11,   59,    0,   54,    1,   42
 445,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55,    1,   15,   11,   62
 446,    0,   29,   10,   44,    0,   58,    1,   49,    1,   24,   11,   62,    1,   45
 447,    0,   64,   11,   63,    0,   58,    1,   30,   10,   62,   10,   44,   11,   55
 448,   11,   62,   10,   42,    1,   34,   10,   58,   11,   59,   10,   60,   10,   53
 449,    1,   15,   11,   56,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14
 450,    0,   51,   11,   65,   11,   59,   10,   38,   10,   58,   11,   54,    1,   26
 451,    0,   29,   11,   60,   10,   42,   11,   59,   11,   59,    0,   28,   10,   41
 452,    1,   44,    1,   13,    0,   56,    1,   17,    0,   33,    0,   47,   10,   59
 453,    1,   41,   11,   63,    1,   17,   11,   63,    0,   20,   11,   58,    0,   45
 454,   11,   65,    0,   53,    0,   57,   10,   60,   10,   60,    0,   30,    0,   23
 455,    0,   22,    1,   30,    0,   27,   10,   37,    0,   59,   11,   54,    1,   31
 456,   10,   54,   11,   57,    1,   32,   11,   56,   11,   61,    1,   50,    0,   20
 457,   11,   58,   11,   61,   10,   62,    1,   32,   11,   64,   11,   65,   10,   41
 458,   11,   64,    1,   48,    0,   62,    1,   42,   10,   60,   10,   45,   11,   56
 459,   10,   51,    1,   39,    1,   40,    0,   30,    0,   59,    1,   58,    1,   29
 460,   10,   48,   11,   61,   10,   65,   11,   58,    1,   58,   11,   60,   10,   38
 461,    0,   23,    1,   12,   10,   36,    1,   17,    0,   49,    1,   12,   11,   60
 462,   11,   57,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59,   11,   58
 463,    0,   38,   10,   60,   10,   38,   11,   55,    0,   28,    0,   27,    0,   43
 464,   11,   60,   10,   59,   11,   57,   11,   56,    0,   56,    0,   61,   11,   62
 465,   10,   50,    0,   34,   11,   61,    1,   21,    0,   43,   10,   64,   11,   62
 466,   10,   65,   10,   59,    1,   19,    1,   54,   10,   50,    0,   35,   10,   48
 467,    0,   64,   11,   64,    1,   65,    0,   49,    0,   34,   10,   50,    1,   62
 468,   11,   64,   11,   56,   10,   47,   11,   58,   10,   60,    1,   18,    1,   26
 469,    1,   64,   11,   61,   11,   60,   11,   57,   11,   60,    0,   40,    1,   23
 470,   11,   56,   10,   52,   10,   41,   10,   50,   10,   63,   11,   61,   10,   65
 471,    0,   25,   10,   45,    1,   45,    1,   43,    1,   20,   10,   40,    0,   58
 472,   11,   55,   10,   60,   11,   61,   10,   54,    1,   43,   11,   59,    0,   58
 473,    1,   35,   10,   60,   10,   47,    0,   64,    1,   35,   11,   62,   10,   65
 474,   11,   61,    0,   57,   10,   53,   10,   42,   10,   50,   11,   65,   11,   60
 475,    1,   17,    0,   31,    0,   52,    1,   56,   11,   59,    1,   40,   10,   50
 476,   11,   57,    0,   64,    0,   27,    1,   57,    1,   47,   11,   60,    0,   42
 477,    0,   35,    0,   37,    0,   50,   10,   60,   10,   39,    0,   65,   10,   55
 478,    1,   29,   11,   65,    0,   34,    1,   65,   10,   58,    1,   29,   10,   60
 479,    0,   60,   10,   45,    0,   63,   10,   49,    1,   47,    0,   61,   10,   36
 480,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44,   11,   54,    0,   61
 481,   10,   62,   11,   62,   11,   58,   10,   63,    0,   18,   10,   48,    1,   32
 482,   10,   51,    1,   48,    1,   38,    1,   40,   11,   55,   10,   41,   11,   63
 483,    1,   63,    0,   47,    1,   54,   11,   57,   10,   55,    1,   28,    0,   63
 484,    1,   49,   11,   57,    0,   35,   10,   51,    0,   65,   11,   64,    0,   38
 485,   11,   65,   10,   41,   11,   57,   11,   61,    1,   44,    1,   44,   11,   62
 486,   10,   57,   11,   58,    0,   51,    0,   49,   10,   46,    0,   53,   11,   63
 487,   11,   59,    0,   23,    0,   31,   11,   55,   11,   54,   10,   53,   10,   40
 488,    1,   57,    1,   31,    1,   33,   10,   51,   11,   59,    1,   12,    1,   56
 489,   11,   60,    1,   32,    1,   30,   11,   58,   10,   40,   11,   57,    1,   25
 490,    0,   63,   10,   63,    0,   44,   10,   64,   10,   55,    1,   60,   10,   36
 491,   10,   61,    0,   27,   10,   37,    1,   43,    0,   58,    0,   56,    0,   58
 492,   10,   58,   10,   60,    0,   54,    0,   30,    0,   39,    1,   59,    0,   54
 493,   11,   61,    0,   18,    0,   57,   10,   63,   10,   39,   10,   45,   10,   41
 494,   11,   62,   10,   54,    1,   39,   10,   46,    1,   32,    0,   18,   11,   64
 495,    1,   27,   10,   62,    0,   26,    0,   35,   11,   54,    1,   62,   10,   45
 496,   11,   63,    0,   60,   11,   59,   10,   48,    1,   46,   11,   59,   10,   40
 497,    1,   35,   11,   61,    1,   55,    0,   45,   11,   54,   10,   59,   10,   43
 498,   11,   61,    1,   35,   11,   62,   11,   62,    0,   41,   10,   36,    0,   48
 499,    0,   52,    0,   38,   11,   61,    0,   44,   10,   42,    0,   25,   11,   56
 500,   11,   65,   10,   60,   11,   62,   10,   36,    1,   33,   11,   63,    1,   51
 501,    0,   59,    0,   40,    1,   57,    1,   18,   10,   41,   11,   62,   10,   45
 502,   11,   58,    1,   47,   11,   65,    1,   51,    0,   62,    0,   43,    1,   33
 503,    1,   38,   11,   59,   10,   36,    1,   56,    1,   59,    1,   27,    0,   29
 504,   10,   42,   11,   64,    1,   63,    0,   49,    1,   14,   10,   54,   10,   42
 505,    0,   29,    1,   47,   10,   45,   11,   61,    0,   64,   11,   63,   10,   44
 506,    0,   30,   10,   48,    0,   50,   10,   40,    1,   31,    1,   62,    0,   56
 507,    0,   46,    0,   30,   11,   54,    1,   35,    1,   50,   11,   62,    1,   41
 508,   11,   58,    1,   51,    0,   52,    1,   56,   11,   59,    1,   31,   11,   55
 509,    1,   25,    0,   54,   11,   63,    0,   31,   10,   43,    1,   40,   11,   61
 510,   11,   58,   11,   60,    0,   23,    1,   22,    1,   14,    1,   32,    1,   55
 511,   10,   45,    0,   24,   10,   62,    1,   34,   10,   39,   11,   59,    0,   61
 512,    0,   19,    0,   44,    1,   15,    0,   40,    0,   27,   10,   45,    0,   63
 513,   11,   61,   11,   65,    1,   45,   11,   54,   11,   59,   11,   58,    0,   42
 514,   11,   60,    0,   50,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24
 515,    1,   64,   11,   62,   10,   48,   10,   58,    0,   21,   10,   50,   10,   44
 516,   10,   61,   10,   36,   11,   56,    1,   16,    1,   60,    1,   50,    1,   38
 517,    1,   48,    0,   61,   11,   57,   10,   64,   11,   55,    1,   32,   11,   65
 518,   11,   61,    1,   26,    1,   34,   10,   48,   11,   55,    0,   54,   11,   60
 519,   10,   53,   11,   64,    1,   33,   10,   56,   10,   45,   10,   59,   10,   63
 520,    0,   29,    0,   27,    0,   49,   10,   41,   10,   44,   11,   62,    1,   49
 521,   11,   61,    1,   21,    1,   12,    1,   40,   10,   41,    1,   37,   11,   56
 522,    1,   61,    1,   41,   10,   63,   11,   57,   10,   58,    0,   54,    1,   47
 523,    1,   22,   10,   37,   10,   51,    0,   50,    1,   25,   10,   55,   10,   57
 524,    0,   62,    1,   26,   10,   38,    0,   30,   11,   55,   10,   58,   10,   42
 525,    1,   34,    0,   34,   11,   54,    0,   58,   11,   55,   11,   64,    1,   21
 526,    1,   13,   11,   56,    1,   43,   10,   43,    1,   43,    1,   58,   10,   55
 527,   11,   54,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52,    0,   21
 528,   10,   65,    0,   30,    0,   57,    0,   52,    1,   40,    1,   23,   11,   54
 529,    1,   54,   10,   51,    0,   28,   10,   45,   10,   53,   10,   44,    1,   57
 530,    0,   21,   11,   64,    0,   57,    0,   56,   10,   49,    1,   58,    0,   46
 531,    0,   62,    0,   62,   11,   65,   10,   64,    0,   35,   10,   52,    0,   59
 532,    0,   24,    0,   60,    0,   47,   11,   62,   10,   60,    0,   49,    1,   50
 533,   10,   45,   10,   58,   11,   64,    0,   37,   11,   61,    0,   29,    1,   50
 534,    1,   34,   11,   54,    1,   65,   11,   63,    0,   23,    0,   20,   11,   65
 535,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55,    0,   49,    0,   49
 536,   11,   64,   11,   60,   10,   46,   10,   54,    1,   32,    1,   62,   11,   54
 537,   11,   58,   11,   55,   11,   59,    1,   61,   10,   59,    1,   29,   11,   58
 538,    0,   49,   10,   63,   10,   45,    0,   46,   11,   55,   11,   64,   10,   54
 539,   11,   62,    1,   55,   10,   46,   11,   58,   10,   65,   11,   65,    1,   25
 540,   10,   41,   11,   57,   11,   65,   11,   58,    1,   45,    0,   65,    1,   35
 541,    1,   62,   11,   60,   10,   64,    0,   21,    0,   20,   10,   46,   11,   54
 542,    0,   45,    0,   54,    0,   43,   10,   44,   10,   52,    0,   28,    0,   41
 543,    1,   12,   11,   57,    1,   65,    0,   33,   10,   61,    0,   34,   10,   60
 544,   10,   44,    0,   18,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57
 545,    1,   28,    1,   59,   10,   61,   11,   65,    0,   39,    0,   46,   10,   41
 546,    0,   62,    0,   60,    1,   54,   11,   59,   10,   37,    1,   35,   10,   53
 547,    1,   34,    0,   51,    0,   49,   11,   56,    0,   37,    0,   43,   11,   57
 548,    0,   36,   10,   62,    1,   12,   11,   55,    1,   23,    1,   54,    0,   41
 549,    1,   21,    1,   49,    0,   57,    0,   39,   10,   48,   10,   49,   10,   56
 550,    0,   31,   10,   63,    1,   22,    0,   19,    0,   46,    0,   25,    1,   28
 551,   11,   55,   10,   46,   10,   62,    0,   34,   11,   56,    1,   12,    1,   54
 552,   10,   55,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65,   10,   56
 553,    1,   26,    1,   22,   10,   38,    1,   16,   10,   61,    1,   30,   11,   59
 554,    1,   19,    1,   51,    0,   24,   11,   60,    1,   44,    1,   24,    1,   55
 555,   11,   56,   11,   57,   11,   56,   11,   63,   11,   61,    1,   48,    0,   58
 556,    1,   47,    0,   18,    1,   24,   11,   62,   10,   60,    0,   60,    0,   38
 557,   11,   61,   10,   37,    0,   60,   10,   39,    1,   53,   11,   56,    0,   32
 558,   10,   56,   10,   57,   10,   63,    1,   44,    0,   41,   10,   63,   10,   54
 559,    1,   43,    0,   55,   11,   60,   10,   53,   11,   54,   10,   48,   11,   56
 560,    1,   35,   10,   65,    1,   56,   10,   44,   10,   39,    1,   49,    0,   53
 561,   11,   60,   10,   47,    0,   24,   11,   59,    0,   56,    0,   29,    1,   61
 562,    0,   54,   10,   46,   11,   54,    0,   49,    1,   51,    0,   44,    0,   41
 563,    1,   47,    0,   43,   11,   56,    1,   35,   11,   54,    1,   65,   11,   59
 564,    0,   36,   11,   55,   11,   63,    1,   28,    0,   52,    1,   52,    1,   19
 565,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37,    1,   53,    0,   46
 566,   11,   54,   10,   52,   11,   61,   11,   55,    0,   37,   10,   58,   11,   54
 567,    1,   43,    1,   12,   10,   47,   10,   64,   11,   54,    1,   21,    1,   63
 568,   10,   38,   10,   41,   11,   59,    1,   18,    0,   24,    0,   55,    1,   56
 569,   10,   49,   11,   63,    0,   21,    0,   54,   11,   59,   11,   60,   11,   60
 570,   11,   65,    1,   25,    1,   47,   10,   38,   10,   38,   11,   54,    1,   15
 571,    1,   26,    1,   28,   10,   53,    0,   32,    0,   27,    1,   48,   11,   62
 572,    1,   57,   11,   65,   10,   53,   10,   56,    1,   29,    0,   38,   11,   54
 573,    0,   50,   10,   46,    1,   31,    0,   45,    1,   65,    1,   36,   11,   62
 574,   10,   58,   10,   61,    0,   53,    1,   42,   11,   62,   10,   64,    1,   13
 575,   11,   58,   10,   60,   11,   56,    0,   53,    1,   45,   10,   56,   10,   45
 576,   10,   64,    0,   65,    1,   27,   10,   42,    0,   51,   10,   55,   11,   54
 577,    1,   27,   11,   58,    1,   44,   10,   39,   11,   65,   11,   57,    1,   17
 578,    0,   59,    0,   39,    0,   50,    0,   56,    0,   32,    0,   43,    1,   45
 579,   10,   45,    0,   33,    0,   65,    1,   56,   11,   60,    1,   42,   11,   56
 580,    1,   47,   10,   36,   10,   50,   10,   58,    0,   18,    0,   35,    1,   41
 581,   11,   58,   11,   63,   11,   63,   10,   49,   11,   58,    0,   60,    1,   58
 582,    1,   57,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45,    0,   38
 583,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41,   10,   36,   11,   62
 584,   10,   63,    0,   42,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58
 585,    1,   29,   10,   37,   10,   50,   10,   63,   10,   45,    1,   39,   11,   61
 586,    1,   59,    0,   26,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63
 587,   11,   65,    0,   30,   11,   64,   11,   62,   11,   59,    0,   52,    0,   47
 588,   10,   47,   10,   47,    0,   59,   11,   57,   10,   40,   10,   49,    1,   62
 589,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58,    1,   25,    0,   33
 590,    0,   33,    1,   16,   10,   61,   10,   39,    0,   32,    1,   51,    1,   15
 591,   10,   42,   11,   54,   11,   60,    1,   20,    0,   31,    0,   59,    0,   21
 592,    1,   19,    1,   59,   11,   65,   10,   62,    1,   45,   10,   64,   11,   65
 593,   11,   56,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56
 594,    0,   57,    1,   48,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64
 595,   10,   48,   10,   45,    0,   46,   11,   54,    1,   37,   10,   64,   11,   65
 596,    1,   34,   11,   56,    1,   21,    0,   55,    0,   51,   11,   65,   11,   63
 597,   11,   58,    0,   23,    0,   25,    1,   42,    0,   54,   11,   54,    1,   26
 598,   11,   63,   10,   52,    0,   34,   11,   54,    1,   55,   10,   56,    1,   16
 599,   10,   51,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 600,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18,   11,   64,   10,   64
 601,   10,   64,   11,   64,    1,   17,    0,   48,   11,   59,   11,   62,    0,   27
 602,    0,   30,    1,   41,    0,   45,   10,   59,   10,   58,    1,   13,    1,   45
 603,    1,   61,    0,   19,    1,   23,   11,   60,   10,   55,    0,   37,   11,   56
 604,   11,   63,   10,   52,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63
 605,    0,   42,    0,   49,   10,   57,   10,   52,   10,   64,    1,   27,   11,   61
 606,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55,   10,   51
 607,    0,   45,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58,    0,   24
 608,   10,   65,    1,   62,    1,   36,    1,   52,   11,   57,   11,   56,    0,   24
 609,    0,   38,   10,   38,   10,   43,    1,   55,   11,   62,   10,   64,   10,   61
 610,    0,   59,    0,   19,    0,   56,   10,   62,    1,   60,   11,   59,   11,   57
 611,   10,   42,    1,   52,   11,   54,   11,   64,   11,   62,    0,   63,   11,   62
 612,   10,   56,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27,   10,   48
 613,   11,   55,   10,   60,    1,   60,   11,   59,   11,   59,   11,   58,   10,   48
 614,    1,   36,    1,   50,    0,   63,   10,   58,    1,   60,   10,   62,    1,   64
 615,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28,    1,   34,    0,   53
