nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9
 338,     1,  -8,  -8, -32,  -8,  -8,  72,  -8,  -8,  -8, -16
 339,     1,  -7, -15,  -7,  -7,  -7,  -7,  65,  -7, -27, -35
 340,     1, -12, -24,  -8,  -8,  -8, -32,  64,  -8, -28,  -8
 341,     1, -13,  83, -13, -21,  -5,  -5, -25,  -5,  -5,  -5
 342,     1,  -5,  -5, -25,  -5,  83,  -5,  -5,  -5, -21,  -5
 343,     1, -16, -32, -32,  -8,  72, -28,  -8,  -8, -12, -24
 344,     1, -13,  -5,  -5,  -5,  -5,  -5,  -5,  91,  -5, -21
 345,     0, -11, -47, -11, -43, -27, -27, -11, -31, -11, -11
 346,     1, -10, -10, -30, -10,  58, -18, -10, -10, -10, -34
 347,     1, -23,  -7,  -7, -19,  -7, -19,  -7,  -7,  65, -35
 348,     1,  -5,  -5,  -9, -17,  -5, -25,  -5,  91,  -9, -21
 349,     1,  -4,  -4,  -4,  -8,  -4,  -8,  -4,  -4,  84,  -4
 350,     1,  -6,  -6,  -6, -14,  -6,  -6,  -6,  -6,  86,  -6
 351,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7
 352,     1,  79,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 353,     1,  -5,  -9,  -5,  -5,  -5,  91,  -5,  -5,  -5,  -5
 354,     1,  -6, -30, -10, -10,  -6,  70,  -6,  -6, -10, -18
 355,     1,  87,  -5, -17, -25,  -5, -17,  -5, -13,  -5,  -5
 356,     1,  -5,  87, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 357,     1,  -7,  -3,  89,  -3,  -3,  -3,  -7,  -3,  -3, -11
 358,     1, -10, -30,  66, -34, -10, -42, -10, -26, -10, -34
 359,     1, -22,  -6,  -6, -26, -10,  -6, -26,  86,  -6, -18
 360,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4, -20,  -4,  84
 361,     1,  -9, -25,  -9, -33,  63,  -9, -41,  -9, -17,  -9
 362,     1,  -5,  -9,  -5,  -5,  -5, -13, -13,  -5,  79, -21
 363,     1, -22, -10, -10, -10, -42, -14, -22, -38, -10,  66
 364,     1, -10, -10, -10, -18, -10, -26, -10,  62, -10, -10
 365,     1, -26,  -6,  78, -14, -14,  -6,  -6,  -6, -30,  -6
 366,     1, -20,  -4,  -4,  -4,  -4,  84,  -8, -16,  -4,  -4
 367,     1, -25,  -5, -17, -25,  -5,  87, -21, -13,  -9,  -5
 368,     1,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 369,     1,  -4,  -4,  -4,  -4,  -4,  84, -16,  -4,  -4,  -4
 370,     1, -31, -11,  -7,  -7,  -7, -15,  -7, -15,  69,  -7
 371,     1, -20, -12,  -8,  -8,  64,  -8,  -8,  -8, -36, -32
 372,     1,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4
 373,     1, -25,  -5, -21,  -5,  -5,  -5,  -5,  -5,  79,  -5
 374,     1,  -9,  -9,  -9,  -9,  -9, -33,  -9, -33,  67,  -9
 375,     1,  -5,  -9,  -5,  -5, -21,  -5,  83,  -5,  -5,  -5
 376,     1, -13,  -5, -21,  -5,  79,  -9,  -5, -25,  -5, -13
 377,     1, -30, -42, -10, -42, -10, -34, -10, -10,  66, -30
 378,     1,  65,  -7,  -7,  -7,  -7,  -7, -35,  -7,  -7, -23
 379,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 380,     1, -18, -10, -10, -10, -22, -10, -10,  58, -10, -22
 381,     0, -11, -31, -51, -27, -11, -11, -43, -11, -11, -23
 382,     1, -41,  -9,  83,  -9, -33,  -9,  -9,  -9, -17,  -9
 383,     1, -14,  -6, -18,  90,  -6, -22,  -6,  -6, -10, -18
 384,     1, -20,  -8, -12,  -8,  -8,  88,  -8,  -8, -12,  -8
 385,     1,  -3,  -3,  -3,  93,  -7,  -3,  -3,  -3,  -3,  -3
 386,     1,  82,  -6, -14, -18,  -6, -26,  -6,  -6,  -6, -26
 387,     1,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -8, -20
 388,     1,  -7, -27,  77,  -7, -15, -31, -27, -19,  -7, -15
 389,     1,  89, -27,  -7,  -7, -11,  -7,  -7,  -7,  -7, -15
 390,     1,  -6, -26,  74, -26, -14,  -6, -30,  -6,  -6, -26
 391,     0, -11, -11, -11, -43, -15, -11, -51, -27, -11, -31
 392,     1,  -8, -12, -32,  -8,  -8,  -8,  -8, -32,  60, -16
 393,     1,  -5,  -5,  79,  -5,  -5, -21,  -5,  -5, -25, -21
 394,     1,  -5,  -5,  -5,  -5,  83,  -5,  -5, -13,  91,  -5
 395,     1,  -4, -20,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4
 396,     0, -43, -11, -31, -39, -11, -11, -31, -11, -39, -43
 397,     1, -37, -21,  -9,  59,  -9, -13,  -9,  -9,  -9,  -9
 398,     1, -34, -10, -10, -34,  58, -10, -42, -10, -10, -10
 399,     1,  -6,  -6, -10,  -2,  -2,  -6,  90, -10,  -2,  -2
 400,     1, -17,  -9,  -9, -29,  87,  -9, -41,  -9,  -9, -37
 401,     1,  -5,  -5,  -5,  79,  -5,  -5,  -5, -17,  -9,  -5
 402,     0, -22, -10, -30, -14, -10, -10, -14, -10, -10, -10
 403,     1,  67, -17,  -9,  -9, -25,  -9,  -9,  -9,  -9,  -9
 404,     1, -31, -27,  65,  -7,  -7,  -7, -23,  -7, -15,  -7
 405,     1,  79,  -5,  -5, -21,  -5,  -5,  -5,  -9,  -5,  -5
 406,     1, -18, -30, -10, -22, -38, -42, -22, -10, -22,  70
 407,     1,  -8,  -8, -20, -24,  -8, -12,  88,  -8, -36,  -8
 408,     1, -13,  87,  -5,  -5,  -5,  -5,  -5, -21, -17,  -5
 409,     0, -11, -11, -11, -31, -11, -11, -11, -27, -27, -11
 410,     1,  -4,  -8, -20,  92,  -4,  -4,  -4,  -4,  -4, -16
 411,     1,  92,  -4,  -4,  -4,  -4,  -8,  -4, -20,  -4,  -4
 412,     1,  -8,  72, -40,  -8,  -8, -16, -28,  -8, -40,  -8
 413,     1,  91,  -5, -17, -25,  -5,  -9,  -5,  -5,  -5,  -5
 414,     1,  -7, -11,  -7, -23,  -7,  -7, -31,  -7,  85,  -7
 415,     1,  -3,  -3,  -7,  -3,  -3,  -3,  85,  -3,  -3,  -3
 416,     1, -12, -36, -24, -32, -20,  64, -24,  -8, -20,  -8
 417,     1, -42,  70, -42, -42, -18, -10, -42, -42, -42, -22
 418,     1,  92,  -4,  -8,  -4, -12, -16, -16,  -4, -12,  -4
 419,     1,  -6,  -2,  94,  -2,  -6,  -6,  -6,  -2,  -2,  -2
 420,     1, -15,  -3,  -3,  -7,  -3,  -3, -15,  -3,  -3,  85
 421,     1, -23,  -7, -27,  -7,  -7,  -7,  81,  -7,  -7, -15
 422,     0, -43, -43, -11, -27, -15, -11, -43, -11, -11, -19
 423,     1, -15,  -7, -15, -23, -23,  81,  -7, -27, -19,  -7
 424,     0, -10, -30, -10, -42, -10, -14, -18, -34, -22, -10
 425,     1,  -9, -21, -41,  -9,  -9,  -9,  -9,  87, -41, -41
 426,     1,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 427,     1,  -9,  -9,  -9, -41,  87, -33, -29, -29,  -9,  -9
 428,     1, -17, -41,  -9, -33,  -9,  -9,  -9,  -9,  59, -29
 429,     1,  -6, -10, -30, -30,  -6,  -6,  -6,  -6,  86,  -6
 430,     1,  -5,  -5,  -9,  -5, -13,  -5,  87,  -5,  -5,  -5
 431,     1,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  92
 432,     0, -23, -11, -47, -11, -35, -11, -23, -11, -23, -31
 433,     1,  -6,  -6, -30,  -6,  -6,  -6,  -6, -26,  90,  -6
 434,     1,  89, -11,  -3,  -3, -15,  -3,  -3,  -3, -11,  -3
 435,     1, -22,  -6, -22,  -6,  70,  -6,  -6,  -6,  -6,  -6
 436,     1,  -6, -22,  -6,  78,  -6,  -6, -22,  -6,  -6,  -6
 437,     1,  -3,  -3, -15, -15,  -3,  -3,  -3,  -3,  -7,  93
 438,     1,  93,  -3,  -3,  -3,  -3,  -3, -11, -15, -11,  -3
 439,     1, -13,  -9,  -9,  -9,  67,  -9, -25, -29,  -9, -29
 440,     1,  -8, -36, -36,  -8,  76, -36,  -8,  -8,  -8,  -8
 441,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93
 442,     1,  89,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 443,     1, -18, -26,  -6,  -6,  -6,  -6,  70, -14,  -6, -18
 444,     1,  -5, -21,  -5, -17,  -5,  -5,  -5, -21, -21,  87
 445,     1,  -6,  -6,  86,  -6,  -6,  -6, -22, -18, -10,  -6
 446,     1,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 447,     1, -37,  -9,  -9, -17,  -9,  -9, -37,  71,  -9,  -9
 448,     1,  -9,  -9,  67, -41, -29, -29,  -9, -37, -25,  -9
 449,     1, -16,  68,  -8, -32,  -8,  -8,  -8, -28,  -8,  -8
 450,     1,  -4,  -4, -16,  -4,  -4,  -8,  -4,  88,  -4,  -4
 451,     1, -36,  -8,  -8, -40, -20,  80, -16,  -8,  -8,  -8
 452,     0, -11, -11, -39, -35, -39, -11, -11, -11, -11, -31
 453,     1,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -6,  -2, -10
 454,     1,  83,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5
 455,     1,  -4,  -4,  -4,  -4, -16,  -4,  -4,  88,  -4,  -4
 456,     1,  -8,  84,  -8,  -8,  -8,  -8, -32,  -8,  -8,  -8
 457,     1,  -5, -17,  -5,  -5,  -9,  -5,  79,  -5, -17,  -5
 458,     1, -30,  90, -26, -22, -22, -18,  -6,  -6,  -6, -26
 459,     1,  -7,  -7,  85,  -7,  -7,  -7, -27, -11, -15, -31
 460,     1,  -4,  -4,  -4, -16,  -4,  80,  -4,  -4,  -4,  -4
 461,     1,  -4,  -4,  92,  -4,  -8, -12,  -4, -16, -16,  -4
 462,     1,  -6, -26,  -6,  -6,  -6, -26, -30,  -6,  90,  -6
 463,     1, -34, -10, -18, -46, -10, -10, -42, -10,  62, -30
 464,     1, -28,  -8,  72, -28,  -8, -36, -16,  -8,  -8, -32
 465,     1, -14,  -6, -22, -30,  -6, -10, -18,  74,  -6, -10
 466,     1,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3
 467,     1, -10, -10, -42, -30, -10,  58, -18, -10, -10,  58
 468,     1, -16,  -8,  -8,  -8,  -8, -28, -20,  -8, -32,  76
 469,     1, -12,  -4,  -8,  -4,  92,  -4,  -8,  -4, -12,  -4
 470,     1, -31,  -7,  -7, -27,  -7, -15, -19,  77,  -7, -31
 471,     1, -12,  -8, -16,  -4,  -4,  -4,  -4,  -4,  80,  -4
 472,     1,  -6, -26,  -6, -18,  -6,  -6,  -6,  74,  -6,  -6
 473,     0, -31, -43, -11, -27, -31, -35, -39, -43, -11, -11
 474,     1, -21, -21,  -9,  -5,  -9,  -5, -17, -13,  79,  -5
 475,     1,  -3, -15,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3
 476,     1,  87,  -5,  -5,  -5,  -5, -21,  -9,  -5,  -5,  -5
 477,     1, -33,  -9, -17,  -9,  -9,  -9, -29,  59,  -9,  -9
 478,     1,  -3,  89,  -7, -11,  -3, -15,  -7,  -3,  -3,  -3
 479,     1,  83,  -5,  -9,  -9,  -5, -13,  -5,  -5,  -5,  -5
 480,     1, -10, -30, -10, -34, -38, -22,  62, -18, -30, -18
 481,     1, -21, -17,  -5,  -5,  87,  -5,  -5, -21,  -5,  -5
 482,     1,  71,  -9, -37,  -9, -37, -29,  -9,  -9, -29,  -9
 483,     1,  -6,  -6,  90, -30, -26, -22,  -6,  -6,  -6,  -6
 484,     1,  92,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 485,     1,  -8, -20,  -8,  -8,  -8,  -8,  -8,  -8, -28,  80
 486,     1,  -6,  -6,  -6,  -6, -14,  90, -18,  -6, -30,  -6
 487,     1, -21, -17, -29, -37,  63, -25, -33,  -9,  -9, -33
 488,     1,  -7,  -7,  -7,  -7, -27, -23,  -7, -11,  -7,  89
 489,     1,  -3,  -3,  -3,  -3,  -7,  89,  -3,  -3, -15,  -3
 490,     1,  -7,  -7, -19,  -7,  -7, -27,  -7, -23,  85, -19
 491,     1,  -5,  -5,  83,  -5,  -5,  -5, -17,  -5,  -5,  -5
 492,     1,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  88,  -4
 493,     1,  -5,  87, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 494,     1,  -8,  -8,  -8,  -8, -36, -20,  -8,  -8,  80,  -8
 495,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5
 496,     0, -31, -11, -11, -27, -11, -11, -19, -11, -11, -11
 497,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3,  85, -11,  -3
 498,     1, -10, -10, -34, -22, -38, -10, -10, -10,  66, -10
 499,     1,  -8, -28,  -8, -24, -12,  84,  -8, -36, -12, -16
 500,     1, -12,  -4,  -4,  -4,  -4, -12,  88, -12,  -4,  -4
 501,     1,  -6,  78, -10,  -6,  -6,  -6,  -6,  -6, -18, -10
 502,     1,  -6, -22, -22,  -6,  -6,  82,  -6, -14, -30,  -6
 503,     1,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2, -10,  -6
 504,     1,  67,  -9, -13, -41,  -9,  -9,  -9,  -9, -21, -33
 505,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  93,  -3
 506,     1, -42, -10, -26, -18,  66, -10, -10, -10, -26, -30
 507,     1,  72,  -8, -16, -16,  -8,  -8, -24, -24, -12,  -8
 508,     1,  -5, -13,  83,  -5,  -5, -25,  -5,  -5,  -5,  -5
 509,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3, -11,  -3
 510,     0, -10, -30, -22, -10, -30, -34, -10, -14, -10, -10
 511,     1,  -4, -12,  88,  -4, -12,  -8, -12,  -4,  -8,  -4
 512,     1,  70, -18,  -6,  -6,  -6,  -6,  -6, -22, -30, -14
 513,     1, -16,  -4,  -8,  -4,  -4,  -4,  -4, -20,  -4,  88
 514,     1,  63, -29,  -9, -13, -25,  -9,  -9,  -9, -21, -25
 515,     1,  82, -18,  -6,  -6, -10, -14,  -6,  -6,  -6, -30
 516,     1,  -4,  -4,  -4, -12,  -8,  -4,  80,  -4, -12,  -4
 517,     1,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4
 518,     1,  58, -10, -18, -10, -10, -10, -38, -10, -10, -18
 519,     1,  -9, -41, -37, -17,  -9,  71,  -9,  -9,  -9,  -9
 520,     0, -11, -51, -11, -11, -27, -11, -11, -11, -11, -11
 521,     1,  78, -22,  -6, -18,  -6, -18, -22,  -6,  -6,  -6
 522,     1, -40, -32,  -8, -24, -40,  76, -12,  -8,  -8,  -8
 523,     0, -18, -10, -10, -10, -10, -38, -10, -10, -10, -42
 524,     1,  -6, -30,  -6,  -6, -22, -18,  82, -30,  -6, -26
 525,     1, -41,  -9,  -9,  -9, -33, -13,  -9,  71, -13, -17
 526,     1, -11,  -7, -35, -15, -11,  -7,  -7, -31, -35,  77
 527,     1, -11, -11, -15, -23, -27,  -7,  -7,  -7,  -7,  65
 528,     1,  -9,  -9,  -5,  -5,  -5, -21, -13, -21,  87,  -5
 529,     1,  -6,  -6,  -6,  -6,  -6,  -6,  90,  -6, -10,  -6
 530,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93, -11,  -7
 531,     1,  72,  -8,  -8,  -8, -16, -32, -24, -36,  -8, -24
 532,     1,  -5,  -9,  -5,  -5, -13,  -5,  83,  -5,  -5,  -5
 533,     1,  -3,  -3,  93,  -3, -11,  -3,  -3,  -3,  -3,  -7
 534,     1,  73,  -7,  -7,  -7,  -7, -19,  -7, -15, -27,  -7
 535,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2
 536,     1, -32, -16,  -8,  88, -12,  -8, -16,  -8,  -8, -32
 537,     1,  -5,  79,  -5, -13,  -5, -17,  -5,  -5,  -5,  -5
 538,     1,  -9,  59, -29,  -9,  -9,  -9,  -9,  -9, -17,  -9
 539,     1,  -7,  -7, -15, -15, -27,  -7, -27,  65, -35,  -7
 540,     1,  -8,  72, -36,  -8,  -8,  -8, -32,  -8, -40, -16
 541,     1, -36,  -8, -20,  -8,  76,  -8, -36, -40, -24,  -8
 542,     1, -22, -34, -34, -10, -10, -10, -22, -42, -10,  78
 543,     1,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2, -10,  90
 544,     1, -27,  -7,  -7, -27,  -7, -15,  -7,  65,  -7, -27
 545,     1, -20,  68,  -8,  -8, -28,  -8, -36,  -8,  -8,  -8
 546,     1,  84, -16,  -4,  -4,  -4,  -4,  -8, -12,  -8,  -4
 547,     1, -25,  -9,  -5,  -5,  79, -13,  -5,  -5,  -5,  -5
 548,     1,  -9,  -9,  -9,  -9, -41,  -9, -37, -37,  87,  -9
 549,     1, -41,  -9,  -9,  -9,  -9, -13, -29, -37, -13,  67
 550,     1,  -6,  -6, -26,  70, -14, -18,  -6, -22, -10, -26
 551,     1, -10, -10, -30, -42, -10,  66, -10, -10, -42, -42
 552,     1, -30, -30,  -6,  -6,  -6,  -6,  90, -14,  -6,  -6
 553,     1, -21,  -9,  -9, -41, -21, -17,  83,  -9,  67,  -9
 554,     1,  -5,  79,  -9,  -5, -17, -17,  -5, -13,  -5, -25
 555,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 556,     1,  -3,  -3,  -3,  -3, -11,  -7,  -3, -11,  -3,  93
 557,     1,  54, -10, -10, -10, -30, -30, -34, -10, -10, -18
 558,     1, -17, -13,  -5,  -5, -21,  -5,  87,  -5, -13,  -5
 559,     1, -26, -22,  -6,  -6,  -6,  -6,  -6, -22,  -6,  90
 560,     1, -11, -43, -11,  53, -31, -39, -43, -31, -23,  49
 561,     1,  -8, -12, -36,  72, -32, -24, -12,  -8,  -8, -28
 562,     1, -31,  85,  -7, -15, -35, -27, -27,  -7,  -7,  -7
 563,     1, -10,  -6, -18, -30,  82, -26,  -6, -14,  -6,  -6
 564,     1,  -3,  93,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11
 565,     1,  -6, -14, -10,  -6,  82, -10, -10,  -6,  -6,  -6
 566,     1,  -5,  -5,  -5,  -5,  83,  -5,  -5,  -5, -17,  -5
 567,     1,  -8,  -4,  88,  -4,  -4,  -4,  -4,  -4, -20,  -8
 568,     1, -13,  -5, -13,  79,  -5,  -5,  -5,  -9,  -5,  -5
 569,     1,  -9,  -9, -41, -41,  -9,  -9,  83, -37, -21, -41
 570,     1, -15,  85, -15,  -7,  -3,  -3,  -3,  -3,  -3,  -3
 571,     1, -17,  -5, -17,  -5,  -5,  79,  -9,  -5,  -5,  -9
 572,     1, -25,  79,  -9,  -9,  -9,  -9,  -9, -33,  -9, -29
 573,     1,  -3,  -3,  -3,  93, -15,  -3,  -3,  -3,  -3,  -3
 574,     0, -11, -11, -43, -39, -11, -11, -15, -11, -27, -11
 575,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4
 576,     1, -15, -19, -15, -31,  69,  -7,  -7,  -7,  -7,  -7
 577,     1,  -5,  79,  -5,  -9,  -5,  -5,  -5, -13,  -5, -13
 578,     1,  -5,  -5,  -5, -17,  -5, -17,  -5,  83,  -5,  -5
 579,     1,  -8,  -8, -16, -24,  -8,  -8,  -8,  76, -24,  -8
 580,     0, -11, -11, -11, -19, -11, -11, -11, -11, -19, -11
 581,     1,  89,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3
 582,     1,  -5,  -9,  -5, -17,  -5,  -5, -25,  -5,  91, -21
 583,     1,  -9,  67,  -9,  -9,  -9,  -9, -29, -17, -33,  -9
 584,     1,  -7,  -7, -35,  -7,  -7, -27,  -7,  -7,  -7,  69
 585,     1,  84, -12,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -16
 586,     1, -18, -10, -10,  70, -18, -18, -18, -14, -10, -10
 587,     1, -17,  87,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -5
 588,     1, -12, -12,  -4,  -4,  -4,  88,  -4, -16,  -4, -20
 589,     1,  -7,  -7,  -7, -27,  -7,  -7, -27,  -7,  73, -31
 590,     1, -31, -31,  69,  -7, -23, -23, -11,  -7, -27,  -7
 591,     1,  83,  -5, -17, -13,  -5,  -9,  -5,  -5, -17,  -5
 592,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3
 593,     1,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2
 594,     1,  -3, -11,  -3, -15,  -3,  -3,  -3,  89,  -3,  -3
 595,     1, -10, -10, -10, -14, -42, -22, -10,  66, -10, -10
 596,     1, -22, -18,  74,  -6, -26, -22,  -6, -30, -22,  -6
 597,     1,  80,  -8, -24, -24,  -8,  -8,  -8,  -8,  -8,  -8
 598,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  82,  -6
 599,     1,  -7,  89,  -7,  -7, -27,  -7,  -7, -27,  -7,  -7
 600,     1,  83,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5
 601,     1,  -9,  -9,  63,  -9,  -9, -33,  -9,  -9,  -9,  -9
 602,     1,  -9, -17,  -5,  -5,  -5,  -5,  -5,  83,  -5,  -5
 603,     1, -28,  -8,  -8,  -8,  -8,  60, -36, -36, -32, -32
 604,     1, -11,  -3,  -3,  -3,  -3,  -3,  -7,  93,  -3, -11
 605,     1,  -2,  -6,  -2,  -2,  90,  -2,  -2,  -2,  -6, -10
 606,     1,  -4, -20,  -8,  -4,  -4,  -8, -12,  -4, -12,  84
 607,     1, -42, -22, -10,  62, -30, -10, -38, -10, -10, -42
 608,     1, -10, -34, -22,  62, -10, -10, -10, -10, -10, -38
 609,     1,  -4,  -4,  -4,  -4, -12,  -4,  -4,  80,  -4, -16
 610,     1,  -3,  -3,  -3,  -3,  93,  -3, -11,  -3,  -3,  -7
 611,     1,  -4,  -4,  -8,  -4, -12,  84, -16,  -8,  -4,  -4
 612,     1,  -8,  -8,  -8,  64, -20,  64, -12, -12,  -8, -12
 613,     1,  -8,  -4,  -8,  -4,  -4,  -4, -12,  88,  -4,  -4
 614,     1,  -9,  -9,  71,  -9,  -9, -41,  -9, -25,  -9,  75
 615,     1,  -8, -36,  -8,  72,  -8,  -8, -36,  -8, -12,  -8
 616,     1,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 617,     1,  -7,  77,  -7,  -7, -27, -31,  -7,  -7,  -7,  -7
 618,     0, -11, -11, -19, -31, -11, -43, -43, -11, -11, -39
 619,     1, -25, -41,  71, -37,  -9, -25, -29,  -9,  -9,  -9
 620,     1,  -5, -13,  83, -17, -25, -17,  -5,  -5, -21,  -5
 621,     0, -11, -11, -31, -23, -11, -11, -11, -43, -11, -11
 622,     1,  -7,  -7, -11,  81, -15, -31, -31,  -7, -19, -27
 623,     1, -26,  -6, -26,  78, -30, -10, -10, -18, -18,  -6
 624,     1,  -9, -41,  -9,  -9,  71, -33, -37, -13,  -9,  -9
 625,     1, -20,  -8,  -8, -40,  88,  -8, -28,  -8,  -8,  -8
 626,     1, -38, -34, -42, -22, -10, -10, -10, -18, -10,  58
 627,     0, -11, -23, -23, -11, -11, -11, -47, -11, -23, -11
 628,     1,  -9, -29, -21,  -9, -29, -25,  -9,  67,  -9,  -9
 629,     1, -41, -33,  -9, -41, -25,  -9, -33,  79, -17,  -9
 630,     1,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4, -16, -12
 631,     1,  -7,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3
 632,     1,  -4,  -4,  80,  -4,  -4, -16,  -4,  -4, -12,  -4
 633,     0, -43, -11, -19, -35, -47, -23, -11, -43, -15, -23
 634,     1,  -6,  -6, -26, -26,  -6,  -6,  -6,  78,  -6,  -6
 635,     1,  -7,  -7,  -7,  -7,  85,  -7, -11,  -7,  -7, -27
 636,     1, -10, -10, -42,  70, -18, -38, -34, -10, -42, -10
 637,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3, -11,  -3,  -3
 638,     1,  -7,  -7,  -7, -27, -27,  -7, -27, -19,  81, -15
 639,     1,  -6,  -6,  74,  -6,  -6, -26,  -6,  -6, -18, -18
 640,     0, -43, -27, -43, -43, -11, -11, -15, -15, -11, -39
 641,     1,  -3, -15, -15,  -7,  -3,  -3,  -3,  -3,  85, -11
 642,     1,  -8,  -8, -20,  -8, -12, -24, -36, -20,  72, -36
 643,     1, -19,  -7, -19,  73,  -7, -19, -31,  -7,  -7,  -7
 644,     1,  -7, -19,  -7, -19, -27,  -7,  -7, -35, -11,  69
 645,     1,  -5,  -9,  -9,  83,  -5, -13,  -5, -13, -13,  -5
 646,     1, -10, -10, -10,  70, -38, -34, -10, -10, -30, -10
 647,     1, -14,  -6,  -6, -30,  -6, -22,  -6,  86,  -6,  -6
 648,     1,  89,  -7, -27,  -7,  -7, -27, -23, -23, -31,  -7
 649,     1,  -4,  -4,  -4,  -4, -16,  -4,  -4,  92,  -4,  -4
 650,     1,  -7, -31, -15, -11,  81, -15,  -7,  -7,  -7, -27
 651,     1, -35,  -7,  -7, -23, -11, -31,  -7,  69, -11,  -7
 652,     1,  -6,  -6,  -6,  78,  -6, -30,  -6,  -6, -18,  -6
 653,     1,  71,  -9,  -9,  -9,  -9, -17, -17,  -9,  -9,  -9
 654,     1,  -8,  68,  -8,  -8, -32,  -8, -24,  -8,  -8, -12
 655,     1,  -5, -17, -25,  -5, -25,  -5, -25,  -5, -17,  83
 656,     1,  -2,  -6,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2
 657,     1, -11,  -3,  93, -11,  -3,  -3,  -3,  -3,  -3,  -3
 658,     1,  -3, -11,  -3,  -3, -15,  -3,  -3, -11,  93,  -3
 659,     1,  -7, -23, -15,  85, -19, -15,  -7,  -7,  -7,  -7
 660,     1,  65,  -7,  -7, -19, -35, -19,  -7, -27,  -7, -31
 661,     1,  -9,  -9,  71, -41, -29,  -9,  -9,  -9, -29,  -9
 662,     1,  -9,  59, -17, -13,  -9,  -9, -17,  -9, -41,  -9
 663,     1,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2
 664,     1,  -8,  88, -20, -20,  -8, -28, -12, -28, -12,  -8
 665,     1,  84,  -8, -24, -32, -28, -40,  -8, -28, -16, -24
 666,     1,  92,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -8
 667,     1,  -6,  74,  -6, -22,  -6, -22, -22,  -6, -10,  -6
 668,     1,  -8,  60, -16,  -8,  -8,  -8,  -8, -12,  -8, -20
 669,     0, -31, -35, -11, -11, -11, -11, -11, -43, -11, -11
 670,     1, -13,  71,  -9,  -9,  -9,  -9, -37, -41,  -9, -41
 671,     1,  -7, -23,  -7, -15,  -7,  -7,  -7,  -7,  -7,  81
 672,     1, -30,  -6,  -6,  -6, -22,  -6, -14,  86,  -6, -10
 673,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3
 674,     1,  -5, -21,  -5,  -5,  -5,  -5,  87,  -5,  -5,  -9
