nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14,  A15,  A16,  A17,  A18,  A19
 173,     1,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20
 174,     1, -22, -10, -26,  -6,  -6, -26,  -6,  -6, -22,  -6,  -6,  -6, -10,  -6,  78, -14, -26,  -6,  -6,  -6
 175,     1,  -3, -15,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 176,     1, -20,  -8,  -4,  -4,  -4,  -8,  -4,  92,  -4,  -4, -16,  -4,  -4, -16,  -4,  -4, -16,  -8,  -4, -16
 177,     1,  -5, -17,  91,  -5,  -5, -25,  -5,  -5, -13,  -5,  -5,  -9, -21, -25,  -5,  -5,  -5,  -5,  -5,  -9
 178,     1,  -5,  -9,  -5,  -5,  -5, -17,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -9,  -5,  87,  -9,  -5,  -5,  -5
 179,     1,  -2,  -2,  -2,  -6,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 180,     1, -26, -10, -14,  -6,  -6,  -6, -26, -18, -26, -14,  -6,  -6, -18,  -6,  -6,  -6, -26, -18,  90, -30
 181,     1,  -5,  -5, -21,  -9,  -5,  -9,  -5,  -5,  87,  -5,  -5, -21,  -9, -13,  -5,  -5,  -5,  -5,  -5,  -5
 182,     1,  -5,  -5,  -5,  -9,  -5,  -5,  -5, -13,  -9,  -5, -17,  -5,  87, -21, -17,  -5,  -5,  -5, -17,  -5
 183,     1,  -4,  -4, -20,  -4,  -4,  88,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4, -16, -16,  -4,  -4
 184,     1,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2, -10,  -2,  -2,  -2, -10,  -2,  -2,  -2
 185,     1,  -4,  92,  -4,  -4,  -4,  -4,  -4, -20,  -4, -12,  88,  -4,  -4, -16,  -4,  -4,  -8,  -4,  -4,  -4
 186,     0, -10, -22, -34, -10, -10, -42, -10, -22, -10, -18, -10, -10, -30, -10, -10, -10, -30, -10, -42, -10
 187,     1, -20,  -8,  -8, -24, -36, -24,  -8, -24, -24,  -8,  -8,  -8,  -8,  -8,  68,  -8, -36, -16, -16,  -8
 188,     1,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -27,  -7,  89,  -7, -23,  -7,  -7,  -7,  -7,  -7,  -7, -23,  -7
 189,     1,  -3,  -3,  -3,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -7,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 190,     1, -26,  -6, -18,  -6,  -6,  -6, -10, -14,  -6,  -6, -26,  -6, -30,  -6,  -6,  -6, -30,  -6,  -6,  86
 191,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -6,  94,  -2
 192,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 193,     1,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4
 194,     1, -10, -42, -42, -22, -10, -14, -30, -30, -26,  66, -10, -34, -10, -34, -18, -26, -14, -10, -14, -10
 195,     1,  -8, -36,  -8,  -8, -32,  -8,  -8,  -8, -16, -16, -12,  -8, -32, -32,  -8,  -8, -32, -20,  68,  -8
 196,     1,  -6,  -6,  -6, -10,  74,  -6, -18,  -6, -14, -14, -18,  -6,  -6, -22,  -6,  -6, -10, -14, -30,  -6
 197,     1,  -8,  -8, -36,  -8,  -8, -20, -12,  -8,  -8, -24,  -8,  -8,  88,  -8,  -8,  -8,  84, -28,  -8,  -8
 198,     1, -10,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 199,     1,  -7,  -7,  -7,  73, -31,  -7, -15,  -7,  -7, -19, -23,  -7,  -7,  -7,  -7,  -7, -15, -23,  -7,  -7
 200,     1, -21,  -5,  -5,  -5,  -9,  -5, -25,  -5,  91, -21,  -5,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5, -13
 201,     1,  -6,  -2,  -6,  -2,  94,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 202,     1, -10, -26,  -6,  -6,  -6, -14,  -6,  78, -26, -18, -10, -22,  -6,  -6, -10,  -6,  -6,  -6,  -6, -14
 203,     1, -40,  -8,  64, -20, -28,  -8, -36,  -8,  -8,  -8, -16, -20, -32,  -8,  -8, -24, -20,  -8,  -8,  -8
 204,     1,  -5, -25,  -5,  -5,  -5,  -5,  -5,  -5, -21, -21,  79,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5
 205,     1,  -8,  -8,  -8,  -8, -16,  -8, -20,  -8, -12,  -8, -16,  -8,  -8, -12, -28,  -8,  -8,  60,  -8,  -8
 206,     1, -25,  -5,  -5,  -5,  -5, -13,  -5,  -9,  -5, -17,  -5,  -5,  -5,  -5,  83, -21,  -9, -17,  -5,  -5
 207,     1, -20, -16,  -8, -24,  -8, -28,  -8,  -8, -16, -40,  -8, -20, -24,  -8,  -8,  -8, -28,  88,  -8, -40
 208,     1,  -6, -18, -30, -18,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -18,  78,  -6,  -6,  -6,  -6, -10,  -6, -10
 209,     1,  -4,  84,  -4,  -4,  -8,  84,  -4,  -4,  -4,  -4,  -4, -20,  -4, -16, -20,  -4,  -4,  -4,  -4,  -4
 210,     1,  -4,  -4,  -4,  -4,  -4, -16,  -4, -20,  -4,  -4,  -4, -12, -12,  84,  -4,  -4,  -4,  -4,  -4,  -4
 211,     1,  -7,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -7,  -3
 212,     1, -10, -10, -10, -42, -30, -18, -42, -10, -10, -10, -10, -10, -46, -10,  54, -22, -42, -42, -42, -38
 213,     1,  -4,  -4,  84,  -4,  -4,  -4, -16,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4, -12,  -4,  -4
 214,     1, -32, -20, -24,  -8,  -8,  -8, -36,  -8, -20,  -8,  -8, -32, -36,  -8,  -8, -36,  -8,  64,  -8,  -8
 215,     1, -16,  -4,  -4,  -4, -20,  80,  -8,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  88
 216,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  93,  -3,  -7, -15,  -3,  -3,  -3,  -3,  -3,  -3
 217,     1,  -8,  -8, -12, -20, -16,  -8,  -8,  -8,  -8,  -8,  -8,  -8, -40,  -8,  -8,  60, -12,  -8,  -8, -40
 218,     1,  -4,  -8,  -4,  -4,  -4,  -8, -20,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -8,  -4,  -8,  -4,  88
 219,     1,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3, -15, -11,  -3,  -3,  -3,  -3, -15,  -3,  -7,  -3,  93, -11
 220,     1,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -8,  92,  -4,  -4, -16
 221,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -7, -11,  -3,  -3
 222,     1, -26, -10, -26, -30, -10,  -6, -22, -30, -26, -10, -30,  -6,  -6,  -6, -18,  -6,  86, -14,  -6,  -6
 223,     1,  -9, -29, -21,  -9,  -9, -33,  -9, -13, -37, -21, -17, -37, -37, -13,  -9,  -9,  -9,  67, -41,  -9
 224,     1, -25,  -9, -25,  -5,  -5,  -9,  79,  -5, -21, -21,  -5, -21,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -9
 225,     1,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -7, -11,  -3, -11,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3
 226,     1,  -8,  -4,  -4,  -4, -16,  -4,  -4, -16,  -4,  -4,  -8,  92,  -4, -20,  -4,  -4,  -4,  -4, -12,  -4
 227,     1,  -3,  -3,  -7, -15,  89,  -3,  -3,  -7,  -3,  -3, -15,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3
 228,     1,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -12
 229,     1,  -7,  -7, -19, -15,  89,  -7,  -7,  -7, -23, -19, -11,  -7,  -7,  -7,  -7,  -7,  -7, -35,  -7, -35
 230,     1, -23,  -7,  -7,  -7,  -7,  -7, -31,  -7,  -7,  -7,  -7,  -7,  -7, -11,  65,  -7, -23, -31,  -7,  -7
 231,     1,  -9,  -9,  -5,  -5, -17,  -5,  -5,  -5, -17,  -5,  -5, -17,  -5,  -5,  -5,  -5,  87,  -5,  -5,  -5
 232,     1,  -3,  -3, -11,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -7,  -7,  93,  -3,  -3,  -7
 233,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 234,     1, -13, -13,  -9,  -5,  -5,  -5,  -5, -13, -17, -13,  -5,  -5, -17,  -5,  -5, -17,  -5,  -5,  -5,  79
 235,     1,  -2,  -2, -10,  -6, -10,  -2,  90,  -6,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -6,  -2,  -2
 236,     1, -17, -21,  -5, -25,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13,  79,  -5
 237,     1,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -8,  -4, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -8,  -4,  80
 238,     1,  -5, -25,  -5, -21, -17,  91,  -5,  -9, -17, -25,  -5,  -5, -25,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 239,     1, -12,  -8, -28, -20, -40,  -8, -40, -24,  -8,  -8,  -8,  -8, -36, -36, -32,  72,  -8,  -8,  -8,  -8
 240,     1,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 241,     1,  -5,  -5, -17,  -5, -13,  -5,  -5,  -5,  -5, -17,  -5,  91, -17, -21, -17,  -5,  -5, -13,  -9,  -9
 242,     1,  84,  -4,  -4, -16,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4
 243,     1,  -4,  -4, -12,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4,  84,  -4, -16, -16,  -4
 244,     1,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  93, -11,  -3,  -3,  -3
 245,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -7,  -7
 246,     1,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11
 247,     1,  -4,  84,  -4,  -4,  -4,  -4,  -4, -20,  -4, -16,  -4,  -8,  -4,  -4, -12,  -4, -16,  -8,  -4,  -4
 248,     1,  -4,  -4,  -4,  -4, -12,  -4,  -8,  -4, -12,  -4, -16,  -4, -12,  -4,  -4,  88,  -4,  -4, -16,  -4
 249,     1,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4, -12,  -4,  -4, -12,  -4,  -4,  -4,  88,  -4,  -4,  -4
 250,     1,  -4,  -4,  -4,  84, -16,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -12,  -4,  -4
 251,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  88,  -4,  -4,  -4,  -4, -20,  -4,  -8
 252,     1,  -3, -15,  -3,  -3, -11,  -3,  -3,  -3,  93,  -3,  -7,  -3,  -3,  -3,  -7,  -3, -11,  -3,  -3,  -3
 253,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  90,  -2,  -6,  -2,  -2,  -2,  -6,  -2,  -2
 254,     1,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  87,  -9,  -5, -25, -25,  -5,  -9,  -5,  -5, -21,  -5,  -5, -21
 255,     1,  90,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 256,     1,  -4,  -4,  -4, -16, -12,  -4,  -4,  -4, -12,  -4,  -4, -20,  -4,  -4,  -4, -16,  -4,  -4,  -8,  92
 257,     1,  -4, -12,  -4,  -4,  84,  -4,  -4,  -4,  -8,  -8,  -4, -12,  -4,  -4,  -4,  -4, -16,  -4, -12,  -4
 258,     1,  -7, -35,  -7,  -7,  -7,  -7,  -7, -23,  85, -11,  -7,  -7, -27, -31,  -7,  -7,  -7,  -7,  -7,  -7
 259,     1, -36, -24, -32, -16,  -8,  -8, -40,  -8,  -8,  -8,  -8,  -8, -32,  -8,  -8, -28,  -8,  68,  -8,  -8
 260,     1, -30, -10, -38, -10, -10, -26, -10, -10, -10, -10, -46, -30, -18, -34, -10, -26, -10,  58, -22, -18
 261,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -8,  92,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4, -12
 262,     1, -41, -37,  -9, -37,  -9, -17, -41, -21, -33,  -9, -29,  -9,  -9,  -9,  -9,  -9, -25,  67,  -9, -17
 263,     1, -11, -11,  -7,  -7, -27,  -7,  -7,  -7,  -7,  -7,  -7, -31,  -7, -31, -15,  -7,  -7,  -7,  -7,  69
 264,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3
 265,     1,  -4,  -4,  -4, -12, -16,  -8,  -4,  -4,  -4,  -4, -20, -12, -12,  -4,  -4,  -4,  92,  -8,  -4, -12
 266,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20, -12, -16,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -8,  -4,  -4
 267,     1,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  89,  -3,  -3,  -3
 268,     1, -12,  -8, -32,  84, -24,  -8, -16,  -8, -16, -20,  -8,  -8, -12, -32, -20,  -8,  -8,  -8, -12,  -8
 269,     1, -26, -14,  -6,  -6,  -6,  -6,  -6,  -6, -26,  90,  -6,  -6, -18, -30, -26,  -6, -14,  -6,  -6,  -6
 270,     1,  -6, -22, -26, -14, -10, -10,  74,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14, -14, -22,  -6
 271,     1,  -7, -11,  -7,  -7,  -7, -15,  -7, -31,  -7, -23,  -7,  -7, -11, -19,  -7,  77,  -7,  -7, -11,  -7
 272,     1,  -6,  -6,  -6,  -6, -22, -14,  -6,  -6, -14,  -6,  -6,  -6,  90, -26,  -6, -22,  -6,  -6,  -6,  -6
 273,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3
 274,     1,  -6,  -6, -30,  -6,  -6,  -6,  -6,  -6, -26,  -6,  -6, -30,  82, -22, -22,  -6,  -6,  -6,  -6,  -6
 275,     1,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4, -16
 276,     1,  -6,  -6,  -6,  -6,  -6, -22,  -6,  -6, -10,  74,  -6, -30,  -6, -26, -14,  -6, -26,  -6, -18, -10
 277,     1, -27,  -7, -27, -31, -27,  -7,  -7,  -7,  -7,  -7,  -7, -27,  -7, -23, -15,  -7, -11,  -7,  73,  -7
 278,     1,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  93
 279,     1,  -2,  -2, -10,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  -2,  -2,  94,  -2
 280,     1,  -5,  -5,  -9, -17,  83,  -5, -13,  -5,  -5, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 281,     1, -30,  -6,  -6, -14,  -6,  -6, -26,  -6,  -6,  -6, -26, -30, -14,  -6,  -6, -22, -26,  -6,  86,  -6
 282,     1,  -7,  -7,  81,  -7, -19, -27,  -7, -31, -19, -15,  -7,  -7, -19,  -7, -11, -19, -11,  -7, -19, -15
 283,     1,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -5,  -5,  83,  -9,  -9,  -5, -13,  -5,  -5,  -5
 284,     1, -31, -23,  -7,  -7, -19,  -7,  89, -31, -19, -11, -35, -15,  -7,  -7, -23, -27,  -7, -11,  -7,  -7
 285,     1,  -6,  -6,  -6,  78, -18, -14, -26,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -18,  86,  -6
 286,     1, -12, -12, -16, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92, -12,  -4, -12, -20
 287,     1,  -5,  -5,  -5,  -5,  -5,  -5, -25,  -5,  91,  -9,  -5, -17, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 288,     1,  -4,  -4,  -4,  -4, -12,  -4,  -4, -16,  -4,  -4,  -4,  84,  -4,  -4,  -4, -12,  -4,  -4,  -8,  -4
 289,     1,  -5,  -5, -21, -25, -25, -21,  -5,  83,  -5, -17,  -5,  -5, -17, -21,  -5, -13,  -5, -25, -21,  -5
 290,     1,  -6,  -6,  -6, -30,  -6, -10,  82,  -6, -14, -26,  -6,  -6, -18, -26,  -6, -18, -22, -10, -14,  -6
 291,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3
 292,     1,  -4,  -4,  -4,  88,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -16,  -4, -16,  -4, -16
 293,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -7,  -3, -11
 294,     1, -17,  -9, -29,  -9,  -9,  -9,  -9,  -9, -17, -21, -37, -29,  -9, -37,  -9, -37,  -9,  -9, -21,  71
 295,     1, -17,  -5,  -5,  -5,  -5,  -5, -21,  -5, -13, -13,  79,  -5,  -5,  -5,  -5,  -5, -17, -21,  -5,  -5
 296,     1,  84,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -20,  -4, -12,  -8,  -4, -16,  -4,  -4, -12,  -4,  -4
 297,     1,  -3,  -3,  -3, -15,  -7,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 298,     1, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -12,  -4,  84
 299,     1,  -7,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -7,  -7, -11, -11,  93,  -3,  -3,  -3,  -3, -11,  -3,  -3
 300,     1,  91,  -5, -21,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  91, -13,  -5,  -5,  -5,  -5
 301,     1, -13,  -5,  -5,  -5,  -5,  -5, -13,  83,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5, -21,  -5
 302,     1,  87,  -5, -13,  -5,  -5, -25, -17,  -5,  -5, -21,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -9
 303,     1, -30,  -6,  -6,  -6, -14, -14,  -6,  -6,  -6,  -6, -18,  -6,  -6,  -6,  -6,  82,  -6,  -6, -22,  -6
 304,     1,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3, -11,  -7,  -7,  -3, -11,  -3,  -3
 305,     1,  -9, -29,  -9,  67,  -9,  -9, -17,  -9,  -9,  -9,  -9, -41, -25,  -9,  -9, -13, -25, -13, -29,  -9
 306,     1,  -3,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  -3, -15,  -3, -15,  -3, -11,  -3,  89,  -3,  -3,  -3,  -3
 307,     1,  -6,  -6,  -6,  -6,  -6, -30, -22, -22,  78, -22,  -6,  -6,  -6, -18,  -6,  -6, -18, -30,  -6,  -6
 308,     1, -23,  -7,  -7,  -7, -11,  -7,  -7,  -7,  -7, -11,  -7,  -7, -31, -35, -23,  -7,  81, -27,  -7, -11
 309,     1, -10, -10,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  90
 310,     1,  -8,  72,  -8, -20, -24,  -8,  -8, -12,  -8, -36,  -8,  -8,  -8,  -8, -20, -12, -12, -20, -16, -28
 311,     1,  91,  -5, -25,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5, -17, -17
 312,     1, -34, -22, -42, -10, -26, -10, -10, -10, -10, -10, -10, -10, -10, -42, -10, -10,  62, -10, -26, -10
 313,     1, -13,  -5,  -5,  -5, -13,  -5,  79, -21,  -5,  -5,  -5,  -5, -17, -13,  -5, -21,  -5, -13, -17,  -5
 314,     1,  -3,  -3, -11,  -3,  -3,  -3,  -7,  -3,  -3,  -7,  -3,  -3, -11, -11,  -7,  -3,  -3,  -3,  89,  -3
 315,     1,  -3,  -3, -11,  93, -15,  -3,  -7,  -3, -11, -11, -15,  -3,  -3, -11,  -3,  -3,  -3,  -3, -11, -11
 316,     1, -15,  -3,  85,  -3,  -7,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 317,     1, -17,  -5,  -5,  -5,  91,  -5, -17, -21,  -5, -17,  -9,  -5,  -5,  -5, -21,  -5, -13, -21,  -5,  -9
 318,     1,  -3, -15, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  89
 319,     1, -18, -22,  -6,  -6,  -6, -14,  -6,  -6, -26,  90,  -6,  -6, -14,  -6,  -6, -10, -18,  -6, -14, -18
 320,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3
 321,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -9, -13,  83, -25,  -5,  -5
 322,     1,  -8,  -8, -12,  60, -28, -24,  -8,  -8,  -8,  -8, -12,  -8,  -8,  -8, -28, -32, -16,  -8,  -8,  -8
 323,     1, -14,  -6,  -6,  -6,  -6, -18,  -6,  -6,  -6, -22, -14, -14, -26,  -6,  -6, -26,  -6,  82,  -6, -30
 324,     1,  -4,  -4,  -4, -12, -16,  -4, -20,  -4,  -4,  -4,  -4, -12,  -4,  -8, -12,  88,  -4,  -4,  -4,  -4
 325,     1,  -4,  -4,  -4,  -4,  -4, -12, -12,  -4, -12,  -4,  -4, -12,  -4, -12,  -4,  -4,  -4,  -4,  80,  -4
 326,     1,  -5,  -5, -21,  -5,  87,  -5,  -9,  -5,  -9,  91,  -5,  -5,  -9,  87,  -5,  -5, -25,  -5,  -5, -13
 327,     1,  -8, -24, -24, -16, -36, -28, -24, -32,  -8,  68,  -8, -40, -40, -24,  -8, -24, -40,  -8, -32, -12
 328,     1,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 329,     1,  -5,  -5,  -5,  -5,  87,  -5,  -5,  -9,  -5, -21,  -9,  -5, -17,  -5,  -5, -21,  -5, -17,  -5,  -5
 330,     1,  -8,  -8,  -8, -24, -40,  -8, -12, -28,  -8,  -8,  -8, -40,  -8,  -8, -16, -40, -16, -40,  60,  -8
 331,     1,  -6,  -6,  -6,  -6, -14,  -6, -18, -10, -18, -26,  -6, -22, -14,  -6,  -6,  -6,  -6, -30, -14,  78
 332,     1,  -7,  -7, -23, -15, -15, -35,  89,  -7,  -7,  -7,  -7,  -7, -27,  -7,  -7,  -7,  -7,  -7, -27,  -7
 333,     1,  -4,  -4, -16, -20, -12,  -4,  -4, -12,  -4,  -4,  -4,  -8, -16, -12, -12,  -4,  -4,  -4,  -8,  88
 334,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2
 335,     1,  -5,  -5,  -5, -21,  -9,  -5, -13, -25,  -5,  -5,  -5,  -5,  -5,  91,  -5,  -5,  -5,  -5,  -5,  -5
 336,     1, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11, -15,  -3,  -3,  -3,  93,  -3,  -3,  -7
 337,     1,  -5,  -9, -13, -21,  -5,  87,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9
 338,     1,  -6,  -6, -26,  -6,  -6,  -6,  -6,  -6, -14,  86,  -6,  -6, -26, -10,  -6, -22,  -6,  -6,  -6, -22
 339,     1, -18,  -6,  -6, -10,  -6,  -6, -30,  -6,  -6, -30,  -6, -18, -10, -14,  -6,  -6,  -6,  -6, -26,  82
 340,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  94,  -2,  -2,  -2, -10,  -6,  -2,  -2,  -2
 341,     1, -12,  -4, -16, -16,  -4,  -4,  84,  -4,  -8,  -4, -12, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8
 342,     1,  -3,  -3, -11,  -3,  93,  -3,  -3,  -3, -15,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -15,  -3
 343,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  93,  -3, -11,  -3, -11,  -7,  -3,  -3,  -3,  -3
 344,     1,  -8,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12, -12,  -4,  -8,  -4,  -4,  -4,  84,  -4, -16
 345,     1,  -5, -25,  -5, -21,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  91,  -5,  -5,  -5,  -5
 346,     1,  -6,  -6,  -6, -10, -10, -14,  -6,  -6,  -6,  -6,  -6, -10, -18,  -6, -30,  -6,  -6,  86,  -6, -22
