nExp, Time,  AVy,  A0x,  A0y 
 255,    4,   21,    7,   55
 255,    5,   27,    6,   55
 255,    6,   33,    5,   55
 255,    7,   39,    4,   55
 255,    8,   45,    3,   55
 255,    9,   51,    2,   55
   0,  256,    0,    0,   35
 256,    1,    2,    0,   34
 256,    2,    8,    0,   33
 256,    3,   14,    0,   32
 256,    4,   20,    1,   32
 256,    5,   26,    2,   32
   0,  257,    0,    0,   47
 257,    1,    0,    0,   46
 257,    2,    6,    0,   45
 257,    3,   12,    0,   44
 257,    4,   18,    0,   43
 257,    5,   24,    1,   43
 257,    6,   30,    2,   43
 257,    7,   36,    3,   43
 257,    8,   42,    4,   43
   0,  258,    0,   11,   56
 258,    1,    5,   11,   55
 258,    2,   11,   10,   55
 258,    3,   17,    9,   55
 258,    4,   23,    8,   55
 258,    5,   29,    7,   55
 258,    6,   35,    6,   55
 258,    7,   41,    5,   55
 258,    8,   47,    4,   55
 258,    9,   53,    3,   55
   0,  259,    0,    0,   34
 259,    1,    4,    1,   34
 259,    2,   10,    2,   34
 259,    3,   16,    3,   34
 259,    4,   22,    4,   34
 259,    5,   28,    5,   34
   0,  260,    0,   11,   55
 260,    1,    0,   11,   54
 260,    2,    6,   11,   53
 260,    3,   12,   11,   52
 260,    4,   18,   11,   51
 260,    5,   24,   11,   50
 260,    6,   30,   11,   49
 260,    7,   36,   11,   48
 260,    8,   42,   11,   47
 260,    9,   48,   11,   46
 260,   10,   54,   11,   45
 260,   11,   60,   10,   45
   0,  261,    0,   11,   58
 261,    1,    1,   11,   57
 261,    2,    7,   11,   56
 261,    3,   13,   11,   55
 261,    4,   19,   10,   55
 261,    5,   25,    9,   55
 261,    6,   31,    8,   55
 261,    7,   37,    7,   55
 261,    8,   43,    6,   55
 261,    9,   49,    5,   55
   0,  262,    0,    1,   27
 262,    1,    0,    1,   26
 262,    2,    6,    1,   25
 262,    3,   12,    1,   24
 262,    4,   18,    1,   23
 262,    5,   24,    1,   22
 262,    6,   30,    1,   21
 262,    7,   36,    2,   21
 262,    8,   42,    3,   21
 262,    9,   48,    4,   21
 262,   10,   54,    5,   21
 262,   11,   60,    6,   21
   0,  263,    0,   11,   65
 263,    1,    1,   11,   64
 263,    2,    7,   11,   63
 263,    3,   13,   11,   62
 263,    4,   19,   11,   61
 263,    5,   25,   11,   60
 263,    6,   31,   11,   59
 263,    7,   37,   11,   58
 263,    8,   43,   11,   57
 263,    9,   49,   11,   56
 263,   10,   55,   11,   55
 263,   11,   61,   11,   54
   0,  264,    0,   10,   41
 264,    1,    2,   10,   40
 264,    2,    8,   10,   39
 264,    3,   14,   10,   38
 264,    4,   20,   10,   37
 264,    5,   26,   10,   36
 264,    6,   32,   10,   35
 264,    7,   38,   10,   34
 264,    8,   44,   10,   33
 264,    9,   50,   10,   32
 264,   10,   56,   10,   31
 264,   11,   62,   10,   30
   0,  265,    0,   11,   55
 265,    1,    3,   11,   54
 265,    2,    9,   11,   53
 265,    3,   15,   11,   52
 265,    4,   21,   11,   51
 265,    5,   27,   11,   50
 265,    6,   33,   11,   49
 265,    7,   39,   11,   48
 265,    8,   45,   11,   47
 265,    9,   51,   11,   46
 265,   10,   57,   11,   45
 265,   11,   63,   10,   45
   0,  266,    0,   10,   40
 266,    1,    4,   10,   39
 266,    2,   10,   10,   38
 266,    3,   16,   10,   37
 266,    4,   22,   10,   36
 266,    5,   28,   10,   35
 266,    6,   34,   10,   34
 266,    7,   40,   10,   33
 266,    8,   46,    9,   33
 266,    9,   52,    8,   33
 266,   10,   58,    7,   33
 266,   11,   64,    6,   33
   0,  267,    0,   11,   65
 267,    1,    5,   11,   64
 267,    2,   11,   11,   63
 267,    3,   17,   11,   62
 267,    4,   23,   11,   61
 267,    5,   29,   11,   60
 267,    6,   35,   10,   60
 267,    7,   41,    9,   60
 267,    8,   47,    8,   60
 267,    9,   53,    7,   60
 267,   10,   59,    6,   60
   0,  268,    0,   11,   57
 268,    1,    0,   11,   56
 268,    2,    6,   11,   55
 268,    3,   12,   11,   54
 268,    4,   18,   11,   53
 268,    5,   24,   11,   52
 268,    6,   30,   11,   51
 268,    7,   36,   11,   50
 268,    8,   42,   11,   49
 268,    9,   48,   11,   48
 268,   10,   54,   11,   47
 268,   11,   60,   11,   46
   0,  269,    0,    0,   54
 269,    1,    1,    1,   54
 269,    2,    7,    2,   54
 269,    3,   13,    3,   54
 269,    4,   19,    4,   54
 269,    5,   25,    5,   54
 269,    6,   31,    6,   54
 269,    7,   37,    7,   54
 269,    8,   43,    8,   54
 269,    9,   49,    9,   54
 269,   10,   55,   10,   54
 269,   11,   61,   11,   54
   0,  270,    0,    1,   34
 270,    1,    2,    1,   33
 270,    2,    8,    1,   32
 270,    3,   14,    2,   32
 270,    4,   20,    3,   32
 270,    5,   26,    4,   32
   0,  271,    0,    0,   24
 271,    1,    0,    0,   23
 271,    2,    6,    0,   22
 271,    3,   12,    0,   21
 271,    4,   18,    0,   20
 271,    5,   24,    0,   19
 271,    6,   30,    0,   18
 271,    7,   36,    0,   17
 271,    8,   42,    1,   17
 271,    9,   48,    2,   17
 271,   10,   54,    3,   17
 271,   11,   60,    4,   17
   0,  272,    0,    0,   21
 272,    1,    1,    0,   20
 272,    2,    7,    0,   19
 272,    3,   13,    0,   18
 272,    4,   19,    0,   17
 272,    5,   25,    0,   16
 272,    6,   31,    0,   15
 272,    7,   37,    0,   14
 272,    8,   43,    0,   13
 272,    9,   49,    0,   12
 272,   10,   55,    0,   11
 272,   11,   61,    0,   10
   0,  273,    0,    0,   38
 273,    1,    2,    0,   37
 273,    2,    8,    0,   36
 273,    3,   14,    0,   35
 273,    4,   20,    0,   34
 273,    5,   26,    0,   33
 273,    6,   32,    0,   32
 273,    7,   38,    0,   31
 273,    8,   44,    0,   30
 273,    9,   50,    0,   29
 273,   10,   56,    0,   28
 273,   11,   62,    0,   27
   0,  274,    0,   10,   58
 274,    1,    3,   10,   57
 274,    2,    9,   10,   56
 274,    3,   15,    9,   56
 274,    4,   21,    8,   56
 274,    5,   27,    7,   56
 274,    6,   33,    6,   56
 274,    7,   39,    5,   56
 274,    8,   45,    4,   56
 274,    9,   51,    3,   56
   0,  275,    0,    0,   38
 275,    1,    1,    0,   37
 275,    2,    7,    0,   36
 275,    3,   13,    0,   35
 275,    4,   19,    0,   34
 275,    5,   25,    0,   33
 275,    6,   31,    0,   32
 275,    7,   37,    0,   31
 275,    8,   43,    0,   30
 275,    9,   49,    0,   29
 275,   10,   55,    0,   28
 275,   11,   61,    0,   27
   0,  276,    0,   10,   38
 276,    1,    2,   10,   37
 276,    2,    8,   10,   36
 276,    3,   14,   10,   35
 276,    4,   20,   10,   34
 276,    5,   26,   10,   33
 276,    6,   32,   10,   32
 276,    7,   38,   10,   31
 276,    8,   44,   10,   30
 276,    9,   50,   10,   29
 276,   10,   56,   10,   28
 276,   11,   62,   10,   27
   0,  277,    0,    1,   31
 277,    1,    3,    1,   30
 277,    2,    9,    1,   29
 277,    3,   15,    1,   28
 277,    4,   21,    2,   28
 277,    5,   27,    3,   28
   0,  278,    0,   11,   54
 278,    1,    5,   11,   53
 278,    2,   11,   11,   52
 278,    3,   17,   10,   52
 278,    4,   23,    9,   52
 278,    5,   29,    8,   52
 278,    6,   35,    7,   52
 278,    7,   41,    6,   52
 278,    8,   47,    5,   52
   0,  279,    0,    1,   34
 279,    1,    1,    1,   33
 279,    2,    7,    1,   32
 279,    3,   13,    2,   32
 279,    4,   19,    3,   32
 279,    5,   25,    4,   32
 279,    6,   31,    5,   32
   0,  280,    0,   10,   45
 280,    1,    5,   10,   44
 280,    2,   11,   10,   43
 280,    3,   17,   10,   42
 280,    4,   23,   10,   41
 280,    5,   29,   10,   40
 280,    6,   35,   10,   39
 280,    7,   41,   10,   38
 280,    8,   47,   10,   37
 280,    9,   53,   10,   36
 280,   10,   59,   10,   35
   0,  281,    0,    0,   32
 281,    1,    0,    1,   32
 281,    2,    6,    2,   32
 281,    3,   12,    3,   32
 281,    4,   18,    4,   32
 281,    5,   24,    5,   32
 281,    6,   30,    6,   32
 281,    7,   36,    7,   32
 281,    8,   42,    8,   32
 281,    9,   48,    9,   32
 281,   10,   54,   10,   32
 281,   11,   60,    9,   32
   0,  282,    0,    1,   63
 282,    1,    1,    1,   62
 282,    2,    7,    1,   61
 282,    3,   13,    1,   60
 282,    4,   19,    1,   59
 282,    5,   25,    1,   58
 282,    6,   31,    1,   57
 282,    7,   37,    1,   56
 282,    8,   43,    2,   56
 282,    9,   49,    3,   56
 282,   10,   55,    4,   56
   0,  283,    0,   11,   57
 283,    1,    5,   11,   56
 283,    2,   11,   11,   55
 283,    3,   17,   11,   54
 283,    4,   23,   11,   53
 283,    5,   29,   11,   52
 283,    6,   35,   11,   51
 283,    7,   41,   11,   50
 283,    8,   47,   11,   49
 283,    9,   53,   11,   48
 283,   10,   59,   11,   47
   0,  284,    0,   10,   56
 284,    1,    0,    9,   56
 284,    2,    6,    8,   56
 284,    3,   12,    7,   56
 284,    4,   18,    6,   56
 284,    5,   24,    5,   56
 284,    6,   30,    4,   56
 284,    7,   36,    3,   56
 284,    8,   42,    2,   56
 284,    9,   48,    1,   56
 284,   10,   54,    2,   56
   0,  285,    0,   11,   59
 285,    1,    4,   11,   58
 285,    2,   10,   11,   57
 285,    3,   16,   11,   56
 285,    4,   22,   11,   55
 285,    5,   28,   11,   54
 285,    6,   34,   11,   53
 285,    7,   40,   10,   53
 285,    8,   46,    9,   53
 285,    9,   52,    8,   53
 285,   10,   58,    7,   53
 285,   11,   64,    6,   53
   0,  286,    0,    1,   53
 286,    1,    5,    1,   52
 286,    2,   11,    1,   51
 286,    3,   17,    2,   51
 286,    4,   23,    3,   51
 286,    5,   29,    4,   51
 286,    6,   35,    5,   51
 286,    7,   41,    6,   51
 286,    8,   47,    7,   51
 286,    9,   53,    8,   51
 286,   10,   59,    9,   51
   0,  287,    0,    1,   25
 287,    1,    0,    1,   24
 287,    2,    6,    1,   23
 287,    3,   12,    1,   22
 287,    4,   18,    1,   21
 287,    5,   24,    1,   20
 287,    6,   30,    1,   19
 287,    7,   36,    2,   19
 287,    8,   42,    3,   19
 287,    9,   48,    4,   19
 287,   10,   54,    5,   19
 287,   11,   60,    6,   19
   0,  288,    0,    1,   62
 288,    1,    1,    1,   61
 288,    2,    7,    1,   60
 288,    3,   13,    1,   59
 288,    4,   19,    1,   58
 288,    5,   25,    1,   57
 288,    6,   31,    1,   56
 288,    7,   37,    1,   55
 288,    8,   43,    2,   55
 288,    9,   49,    3,   55
   0,  289,    0,    0,   40
 289,    1,    0,    0,   39
 289,    2,    6,    0,   38
 289,    3,   12,    0,   37
 289,    4,   18,    1,   37
 289,    5,   24,    2,   37
 289,    6,   30,    3,   37
 289,    7,   36,    4,   37
   0,  290,    0,   10,   50
 290,    1,    5,   10,   49
 290,    2,   11,   10,   48
 290,    3,   17,   10,   47
 290,    4,   23,    9,   47
 290,    5,   29,    8,   47
 290,    6,   35,    7,   47
 290,    7,   41,    6,   47
 290,    8,   47,    5,   47
 290,    9,   53,    4,   47
 290,   10,   59,    3,   47
   0,  291,    0,    0,   18
 291,    1,    0,    0,   17
 291,    2,    6,    0,   16
 291,    3,   12,    0,   15
 291,    4,   18,    0,   14
 291,    5,   24,    0,   13
 291,    6,   30,    0,   12
 291,    7,   36,    0,   11
 291,    8,   42,    0,   10
 291,    9,   48,    0,    9
 291,   10,   54,    0,    8
 291,   11,   60,    0,    7
   0,  292,    0,   10,   54
 292,    1,    1,   10,   53
 292,    2,    7,   10,   52
 292,    3,   13,   10,   51
 292,    4,   19,   10,   50
 292,    5,   25,   10,   49
 292,    6,   31,   10,   48
 292,    7,   37,   10,   47
 292,    8,   43,   10,   46
 292,    9,   49,   10,   45
 292,   10,   55,   10,   44
 292,   11,   61,   10,   43
   0,  293,    0,    0,   32
 293,    1,    2,    0,   31
 293,    2,    8,    0,   30
 293,    3,   14,    0,   29
 293,    4,   20,    0,   28
 293,    5,   26,    0,   27
 293,    6,   32,    0,   26
 293,    7,   38,    0,   25
 293,    8,   44,    0,   24
 293,    9,   50,    0,   23
 293,   10,   56,    0,   22
 293,   11,   62,    0,   21
   0,  294,    0,   11,   61
 294,    1,    3,   11,   60
 294,    2,    9,   11,   59
 294,    3,   15,   11,   58
 294,    4,   21,   11,   57
 294,    5,   27,   11,   56
 294,    6,   33,   11,   55
 294,    7,   39,   11,   54
 294,    8,   45,   11,   53
 294,    9,   51,   11,   52
 294,   10,   57,   11,   51
 294,   11,   63,   11,   50
   0,  295,    0,   10,   40
 295,    1,    4,   10,   39
 295,    2,   10,   10,   38
 295,    3,   16,   10,   37
 295,    4,   22,   10,   36
 295,    5,   28,   10,   35
 295,    6,   34,   10,   34
 295,    7,   40,    9,   34
 295,    8,   46,    8,   34
 295,    9,   52,    7,   34
 295,   10,   58,    6,   34
 295,   11,   64,    5,   34
   0,  296,    0,   10,   50
 296,    1,    5,    9,   50
 296,    2,   11,    8,   50
 296,    3,   17,    7,   50
 296,    4,   23,    6,   50
 296,    5,   29,    5,   50
 296,    6,   35,    4,   50
 296,    7,   41,    3,   50
 296,    8,   47,    2,   50
   0,  297,    0,   10,   58
 297,    1,    3,   10,   57
 297,    2,    9,   10,   56
 297,    3,   15,   10,   55
 297,    4,   21,    9,   55
 297,    5,   27,    8,   55
 297,    6,   33,    7,   55
 297,    7,   39,    6,   55
 297,    8,   45,    5,   55
 297,    9,   51,    4,   55
   0,  298,    0,    0,   54
 298,    1,    2,    0,   53
 298,    2,    8,    0,   52
 298,    3,   14,    0,   51
 298,    4,   20,    0,   50
 298,    5,   26,    0,   49
 298,    6,   32,    0,   48
 298,    7,   38,    0,   47
 298,    8,   44,    0,   46
 298,    9,   50,    0,   45
 298,   10,   56,    0,   44
 298,   11,   62,    0,   43
   0,  299,    0,    1,   65
 299,    1,    3,    1,   64
 299,    2,    9,    1,   63
 299,    3,   15,    2,   63
 299,    4,   21,    3,   63
 299,    5,   27,    4,   63
 299,    6,   33,    5,   63
 299,    7,   39,    6,   63
 299,    8,   45,    7,   63
 299,    9,   51,    8,   63
 299,   10,   57,    9,   63
 299,   11,   63,   10,   63
   0,  300,    0,    0,   60
 300,    1,    4,    0,   59
 300,    2,   10,    0,   58
 300,    3,   16,    1,   58
 300,    4,   22,    2,   58
 300,    5,   28,    3,   58
 300,    6,   34,    4,   58
 300,    7,   40,    5,   58
 300,    8,   46,    6,   58
 300,    9,   52,    7,   58
 300,   10,   58,    8,   58
 300,   11,   64,    9,   58
   0,  301,    0,    0,   30
 301,    1,    5,    0,   29
 301,    2,   11,    0,   28
 301,    3,   17,    0,   27
 301,    4,   23,    0,   26
 301,    5,   29,    0,   25
 301,    6,   35,    0,   24
 301,    7,   41,    0,   23
 301,    8,   47,    0,   22
 301,    9,   53,    0,   21
 301,   10,   59,    0,   20
   0,  302,    0,   10,   53
 302,    1,    0,   10,   52
 302,    2,    6,   10,   51
 302,    3,   12,   10,   50
 302,    4,   18,   10,   49
 302,    5,   24,   10,   48
 302,    6,   30,    9,   48
 302,    7,   36,    8,   48
 302,    8,   42,    7,   48
 302,    9,   48,    6,   48
 302,   10,   54,    5,   48
 302,   11,   60,    4,   48
   0,  303,    0,    1,   17
 303,    1,    1,    2,   17
 303,    2,    7,    3,   17
 303,    3,   13,    4,   17
   0,  304,    0,    1,   27
 304,    1,    2,    1,   26
 304,    2,    8,    1,   25
 304,    3,   14,    1,   24
 304,    4,   20,    1,   23
 304,    5,   26,    1,   22
 304,    6,   32,    1,   21
 304,    7,   38,    1,   20
 304,    8,   44,    1,   19
 304,    9,   50,    1,   18
 304,   10,   56,    1,   17
 304,   11,   62,    2,   17
   0,  305,    0,   11,   64
 305,    1,    3,   11,   63
 305,    2,    9,   11,   62
 305,    3,   15,   11,   61
 305,    4,   21,   11,   60
 305,    5,   27,   11,   59
 305,    6,   33,   11,   58
 305,    7,   39,   11,   57
 305,    8,   45,   11,   56
 305,    9,   51,   11,   55
 305,   10,   57,   11,   54
 305,   11,   63,   11,   53
   0,  306,    0,   10,   37
 306,    1,    4,   10,   36
 306,    2,   10,   10,   35
 306,    3,   16,   10,   34
 306,    4,   22,   10,   33
 306,    5,   28,   10,   32
 306,    6,   34,   10,   31
 306,    7,   40,   10,   30
 306,    8,   46,   10,   29
 306,    9,   52,   10,   28
 306,   10,   58,    9,   28
 306,   11,   64,    8,   28
   0,  307,    0,   11,   57
 307,    1,    5,   11,   56
 307,    2,   11,   11,   55
 307,    3,   17,   11,   54
 307,    4,   23,   11,   53
 307,    5,   29,   11,   52
 307,    6,   35,   10,   52
 307,    7,   41,    9,   52
 307,    8,   47,    8,   52
 307,    9,   53,    7,   52
 307,   10,   59,    6,   52
   0,  308,    0,    1,   40
 308,    1,    0,    1,   39
 308,    2,    6,    1,   38
 308,    3,   12,    1,   37
 308,    4,   18,    1,   36
 308,    5,   24,    1,   35
 308,    6,   30,    1,   34
 308,    7,   36,    1,   33
 308,    8,   42,    1,   32
 308,    9,   48,    1,   31
 308,   10,   54,    1,   30
 308,   11,   60,    1,   29
   0,  309,    0,    0,   62
 309,    1,    1,    1,   62
 309,    2,    7,    2,   62
 309,    3,   13,    3,   62
 309,    4,   19,    4,   62
 309,    5,   25,    5,   62
 309,    6,   31,    6,   62
 309,    7,   37,    7,   62
 309,    8,   43,    8,   62
 309,    9,   49,    9,   62
 309,   10,   55,   10,   62
 309,   11,   61,   11,   62
   0,  310,    0,    0,   37
 310,    1,    2,    0,   36
 310,    2,    8,    0,   35
 310,    3,   14,    0,   34
 310,    4,   20,    0,   33
 310,    5,   26,    0,   32
 310,    6,   32,    0,   31
 310,    7,   38,    0,   30
 310,    8,   44,    0,   29
 310,    9,   50,    0,   28
 310,   10,   56,    0,   27
 310,   11,   62,    0,   26
   0,  311,    0,    1,   40
 311,    1,    3,    1,   39
 311,    2,    9,    1,   38
 311,    3,   15,    2,   38
 311,    4,   21,    3,   38
 311,    5,   27,    4,   38
 311,    6,   33,    5,   38
   0,  312,    0,   10,   54
 312,    1,    1,   10,   53
 312,    2,    7,   10,   52
 312,    3,   13,    9,   52
 312,    4,   19,    8,   52
 312,    5,   25,    7,   52
 312,    6,   31,    6,   52
 312,    7,   37,    5,   52
 312,    8,   43,    4,   52
 312,    9,   49,    3,   52
   0,  313,    0,   10,   48
 313,    1,    3,   10,   47
 313,    2,    9,   10,   46
 313,    3,   15,   10,   45
 313,    4,   21,   10,   44
 313,    5,   27,   10,   43
 313,    6,   33,   10,   42
 313,    7,   39,   10,   41
 313,    8,   45,    9,   41
 313,    9,   51,    8,   41
 313,   10,   57,    7,   41
 313,   11,   63,    6,   41
   0,  314,    0,   10,   48
 314,    1,    4,   10,   47
 314,    2,   10,   10,   46
 314,    3,   16,    9,   46
 314,    4,   22,    8,   46
 314,    5,   28,    7,   46
 314,    6,   34,    6,   46
 314,    7,   40,    5,   46
   0,  315,    0,   11,   63
 315,    1,    0,   11,   62
 315,    2,    6,   11,   61
 315,    3,   12,   10,   61
 315,    4,   18,    9,   61
 315,    5,   24,    8,   61
 315,    6,   30,    7,   61
 315,    7,   36,    6,   61
 315,    8,   42,    5,   61
 315,    9,   48,    4,   61
 315,   10,   54,    3,   61
 315,   11,   60,    2,   61
   0,  316,    0,    1,   32
 316,    1,    5,    2,   32
 316,    2,   11,    3,   32
 316,    3,   17,    4,   32
 316,    4,   23,    5,   32
 316,    5,   29,    6,   32
 316,    6,   35,    7,   32
 316,    7,   41,    8,   32
 316,    8,   47,    9,   32
 316,    9,   53,   10,   32
 316,   10,   59,   11,   32
   0,  317,    0,   10,   40
 317,    1,    0,   10,   39
 317,    2,    6,   10,   38
 317,    3,   12,   10,   37
 317,    4,   18,   10,   36
 317,    5,   24,   10,   35
 317,    6,   30,   10,   34
 317,    7,   36,   10,   33
 317,    8,   42,   10,   32
 317,    9,   48,   10,   31
 317,   10,   54,   10,   30
 317,   11,   60,   10,   29
   0,  318,    0,   10,   47
 318,    1,    1,   10,   46
 318,    2,    7,    9,   46
 318,    3,   13,    8,   46
 318,    4,   19,    7,   46
 318,    5,   25,    6,   46
 318,    6,   31,    5,   46
 318,    7,   37,    4,   46
 318,    8,   43,    3,   46
   0,  319,    0,   10,   40
 319,    1,    3,   10,   39
 319,    2,    9,   10,   38
 319,    3,   15,   10,   37
 319,    4,   21,   10,   36
 319,    5,   27,   10,   35
 319,    6,   33,   10,   34
 319,    7,   39,   10,   33
 319,    8,   45,   10,   32
 319,    9,   51,   10,   31
 319,   10,   57,   10,   30
 319,   11,   63,   10,   29
   0,  320,    0,   10,   46
 320,    1,    4,   10,   45
 320,    2,   10,   10,   44
 320,    3,   16,   10,   43
 320,    4,   22,   10,   42
 320,    5,   28,   10,   41
 320,    6,   34,    9,   41
 320,    7,   40,    8,   41
 320,    8,   46,    7,   41
 320,    9,   52,    6,   41
 320,   10,   58,    5,   41
 320,   11,   64,    4,   41
   0,  321,    0,    1,   34
 321,    1,    5,    1,   33
 321,    2,   11,    1,   32
 321,    3,   17,    1,   31
 321,    4,   23,    1,   30
 321,    5,   29,    1,   29
 321,    6,   35,    1,   28
 321,    7,   41,    1,   27
 321,    8,   47,    1,   26
 321,    9,   53,    1,   25
 321,   10,   59,    1,   24
   0,  322,    0,    1,   49
 322,    1,    0,    1,   48
 322,    2,    6,    1,   47
 322,    3,   12,    1,   46
 322,    4,   18,    2,   46
 322,    5,   24,    3,   46
 322,    6,   30,    4,   46
 322,    7,   36,    5,   46
 322,    8,   42,    6,   46
 322,    9,   48,    7,   46
 322,   10,   54,    8,   46
 322,   11,   60,    9,   46
   0,  323,    0,    1,   47
 323,    1,    1,    1,   46
 323,    2,    7,    1,   45
 323,    3,   13,    1,   44
 323,    4,   19,    1,   43
 323,    5,   25,    1,   42
 323,    6,   31,    1,   41
 323,    7,   37,    1,   40
 323,    8,   43,    1,   39
 323,    9,   49,    1,   38
 323,   10,   55,    1,   37
 323,   11,   61,    1,   36
   0,  324,    0,    0,   32
 324,    1,    2,    0,   31
 324,    2,    8,    0,   30
 324,    3,   14,    0,   29
 324,    4,   20,    0,   28
 324,    5,   26,    0,   27
 324,    6,   32,    0,   26
 324,    7,   38,    1,   26
 324,    8,   44,    2,   26
 324,    9,   50,    3,   26
 324,   10,   56,    4,   26
 324,   11,   62,    5,   26
   0,  325,    0,   10,   37
 325,    1,    3,   10,   36
 325,    2,    9,   10,   35
 325,    3,   15,   10,   34
 325,    4,   21,   10,   33
 325,    5,   27,   10,   32
 325,    6,   33,   10,   31
 325,    7,   39,   10,   30
 325,    8,   45,   10,   29
 325,    9,   51,   10,   28
 325,   10,   57,   10,   27
 325,   11,   63,   10,   26
   0,  326,    0,   10,   36
 326,    1,    4,   10,   35
 326,    2,   10,   10,   34
 326,    3,   16,   10,   33
 326,    4,   22,   10,   32
 326,    5,   28,   10,   31
 326,    6,   34,   10,   30
 326,    7,   40,   10,   29
 326,    8,   46,   10,   28
 326,    9,   52,   10,   27
 326,   10,   58,   10,   26
 326,   11,   64,   10,   25
   0,  327,    0,    1,   59
 327,    1,    5,    1,   58
 327,    2,   11,    1,   57
 327,    3,   17,    1,   56
 327,    4,   23,    1,   55
 327,    5,   29,    1,   54
 327,    6,   35,    1,   53
 327,    7,   41,    1,   52
 327,    8,   47,    1,   51
 327,    9,   53,    1,   50
 327,   10,   59,    1,   49
   0,  328,    0,    0,   43
 328,    1,    0,    0,   42
 328,    2,    6,    0,   41
 328,    3,   12,    0,   40
 328,    4,   18,    0,   39
 328,    5,   24,    0,   38
 328,    6,   30,    0,   37
 328,    7,   36,    0,   36
 328,    8,   42,    0,   35
 328,    9,   48,    0,   34
 328,   10,   54,    0,   33
 328,   11,   60,    0,   32
   0,  329,    0,    0,   59
 329,    1,    1,    0,   58
 329,    2,    7,    0,   57
 329,    3,   13,    0,   56
 329,    4,   19,    0,   55
 329,    5,   25,    0,   54
 329,    6,   31,    0,   53
 329,    7,   37,    0,   52
 329,    8,   43,    0,   51
 329,    9,   49,    0,   50
 329,   10,   55,    1,   50
 329,   11,   61,    2,   50
   0,  330,    0,   10,   58
 330,    1,    2,   10,   57
 330,    2,    8,   10,   56
 330,    3,   14,   10,   55
 330,    4,   20,   10,   54
 330,    5,   26,    9,   54
 330,    6,   32,    8,   54
 330,    7,   38,    7,   54
 330,    8,   44,    6,   54
 330,    9,   50,    5,   54
   0,  331,    0,   10,   36
 331,    1,    2,   10,   35
 331,    2,    8,   10,   34
 331,    3,   14,   10,   33
 331,    4,   20,   10,   32
 331,    5,   26,   10,   31
 331,    6,   32,   10,   30
 331,    7,   38,   10,   29
 331,    8,   44,   10,   28
 331,    9,   50,   10,   27
 331,   10,   56,   10,   26
 331,   11,   62,   10,   25
   0,  332,    0,    0,   47
 332,    1,    3,    0,   46
 332,    2,    9,    0,   45
 332,    3,   15,    0,   44
 332,    4,   21,    0,   43
 332,    5,   27,    0,   42
 332,    6,   33,    1,   42
 332,    7,   39,    2,   42
   0,  333,    0,   11,   64
 333,    1,    3,   11,   63
 333,    2,    9,   11,   62
 333,    3,   15,   11,   61
 333,    4,   21,   10,   61
 333,    5,   27,    9,   61
 333,    6,   33,    8,   61
 333,    7,   39,    7,   61
 333,    8,   45,    6,   61
 333,    9,   51,    5,   61
 333,   10,   57,    4,   61
   0,  334,    0,   10,   57
 334,    1,    2,   10,   56
 334,    2,    8,   10,   55
 334,    3,   14,   10,   54
 334,    4,   20,   10,   53
 334,    5,   26,   10,   52
 334,    6,   32,   10,   51
 334,    7,   38,   10,   50
 334,    8,   44,   10,   49
 334,    9,   50,   10,   48
 334,   10,   56,   10,   47
 334,   11,   62,   10,   46
   0,  335,    0,    0,   54
 335,    1,    3,    0,   53
 335,    2,    9,    0,   52
 335,    3,   15,    0,   51
 335,    4,   21,    0,   50
 335,    5,   27,    0,   49
 335,    6,   33,    0,   48
 335,    7,   39,    0,   47
 335,    8,   45,    1,   47
 335,    9,   51,    2,   47
 335,   10,   57,    3,   47
 335,   11,   63,    4,   47
   0,  336,    0,    1,   17
 336,    1,    4,    2,   17
 336,    2,   10,    3,   17
 336,    3,   16,    4,   17
   0,  337,    0,    1,   29
 337,    1,    5,    1,   28
 337,    2,   11,    1,   27
 337,    3,   17,    1,   26
 337,    4,   23,    2,   26
   0,  338,    0,    0,   38
 338,    1,    3,    0,   37
 338,    2,    9,    0,   36
 338,    3,   15,    0,   35
 338,    4,   21,    0,   34
 338,    5,   27,    0,   33
 338,    6,   33,    0,   32
 338,    7,   39,    0,   31
 338,    8,   45,    0,   30
 338,    9,   51,    0,   29
 338,   10,   57,    0,   28
 338,   11,   63,    0,   27
   0,  339,    0,   11,   59
 339,    1,    4,   11,   58
 339,    2,   10,   11,   57
 339,    3,   16,   11,   56
 339,    4,   22,   11,   55
 339,    5,   28,   11,   54
 339,    6,   34,   11,   53
 339,    7,   40,   10,   53
 339,    8,   46,    9,   53
 339,    9,   52,    8,   53
 339,   10,   58,    7,   53
 339,   11,   64,    6,   53
   0,  340,    0,    1,   50
 340,    1,    5,    1,   49
 340,    2,   11,    1,   48
 340,    3,   17,    1,   47
 340,    4,   23,    1,   46
 340,    5,   29,    1,   45
 340,    6,   35,    1,   44
 340,    7,   41,    1,   43
 340,    8,   47,    1,   42
 340,    9,   53,    1,   41
 340,   10,   59,    1,   40
   0,  341,    0,   10,   39
 341,    1,    0,   10,   38
 341,    2,    6,   10,   37
 341,    3,   12,   10,   36
 341,    4,   18,    9,   36
 341,    5,   24,    8,   36
 341,    6,   30,    7,   36
 341,    7,   36,    6,   36
 341,    8,   42,    5,   36
 341,    9,   48,    4,   36
 341,   10,   54,    3,   36
 341,   11,   60,    2,   36
   0,  342,    0,   11,   59
 342,    1,    1,   11,   58
