nExp, valid,  A0,  A1,  A2
 895,     1, -22,  54, -10
 896,     0, -39, -27, -15
 897,     1, -35,  65, -31
 898,     1,  -3,  85,  -3
 899,     1,  -9, -21,  79
 900,     1,  62, -10, -10
 901,     0, -23, -15, -11
 902,     1,  74,  -6,  -6
 903,     1,  53, -11, -43
 904,     1,  -9,  67, -17
 905,     0, -11, -43, -23
 906,     1,  80,  -4,  -4
 907,     1,  -5, -25,  87
 908,     1,  83,  -5,  -5
 909,     0, -11, -39, -11
 910,     0, -11, -11, -43
 911,     0, -23, -11, -27
 912,     1,  88,  -4,  -4
 913,     0, -27, -35, -31
 914,     1,  59,  -9,  -9
 915,     1,  65, -11, -11
 916,     0, -10, -10, -10
 917,     1,  -5,  83,  -5
 918,     0, -15, -35, -43
 919,     0, -35, -43, -11
 920,     1,  -7,  -7,  77
 921,     1,  -9, -37,  67
 922,     1,  65,  -7,  -7
 923,     1,  -6,  -6,  82
 924,     1,  88,  -4, -16
 925,     1,  71,  -9, -33
 926,     1,  -8,  88,  -8
 927,     0, -23, -11, -11
 928,     0, -11, -11, -11
 929,     1,  -5,  79,  -5
 930,     0, -11, -11, -11
 931,     0, -31, -39, -11
 932,     1, -13, -37,  63
 933,     0, -11, -43, -11
 934,     1,  -2,  90,  -6
 935,     1,  -8,  80,  -8
 936,     0, -43, -11, -11
 937,     1,  -8,  84,  -8
 938,     0, -11, -11, -31
 939,     1,  -8, -20,  80
 940,     0, -35, -11, -35
 941,     0, -11, -19, -15
 942,     0, -10, -10, -10
 943,     1,  -8,  76, -20
 944,     1, -41,  -9,  67
 945,     0, -35, -11, -11
 946,     1,  70, -14, -10
 947,     1,  -7,  77,  -7
 948,     1,  76, -36, -36
 949,     1,  -9,  71, -37
 950,     1, -37,  67, -29
 951,     1, -15, -15,  61
 952,     1, -10, -42,  62
 953,     0, -42, -42, -14
 954,     0, -35, -43, -35
 955,     0, -43, -31, -11
 956,     0, -11, -27, -19
 957,     0, -23, -11, -11
 958,     1,  78,  -6,  -6
 959,     1, -30,  66, -10
 960,     1,  -7,  85,  -7
 961,     1,  -6,  -6,  90
 962,     1, -38, -10,  66
 963,     0, -11, -11, -43
 964,     1,  -9, -17,  71
 965,     1,  -8,  -8,  80
 966,     1,  84, -12,  -4
 967,     1,  -5,  83, -17
 968,     1,  -7,  69,  -7
 969,     1,  62, -30, -18
 970,     0, -11, -43, -39
 971,     1,  70, -42, -14
 972,     0, -10, -10, -34
 973,     1,  91, -25,  -5
 974,     1,  -6, -14,  90
 975,     1, -10, -10,  66
 976,     0, -11, -27, -43
 977,     0, -11, -43, -11
 978,     0, -11, -43, -11
 979,     1,  -9, -25,  63
 980,     0, -19, -31, -43
 981,     0, -11, -43, -31
 982,     1, -20, -28,  60
 983,     1,  -6,  -6,  78
 984,     1,  79,  -5,  -5
 985,     1,  89,  -7, -35
 986,     1,  79,  -5,  -5
 987,     0, -23, -47, -31
 988,     0, -11, -11, -11
 989,     1,  92,  -4,  -4
 990,     1, -15,  65,  -7
 991,     0, -10, -26, -10
 992,     1, -10, -10,  66
 993,     1, -16,  80,  -4
 994,     0, -11, -27, -35
 995,     0, -10, -10, -14
 996,     0, -43, -15, -11
 997,     1,  -4,  -8,  92
 998,     0, -11, -19, -23
 999,     1,  -4,  84,  -4
