nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y 
 663,   11,   61,    1,   62,   11,   59
 664,    1,   33,    1,   28,    0,   57
 665,    0,   47,    0,   59,    0,   24
 666,    0,   61,   11,   57,   11,   60
 667,    0,   45,    0,   51,    1,   32
 668,   11,   61,   11,   56,    0,   58
 669,   10,   39,    1,   63,   10,   52
 670,   11,   64,    1,   56,   11,   65
 671,    1,   60,   11,   59,   10,   40
 672,   10,   47,   11,   58,   11,   57
 673,    1,   33,   11,   56,   11,   63
 674,   11,   62,    1,   62,    0,   61
 675,   10,   42,    1,   58,    0,   30
 676,    0,   28,    0,   34,   11,   61
 677,    0,   23,   11,   57,    1,   22
 678,    1,   63,    1,   34,    1,   44
 679,   10,   43,    0,   44,   10,   37
 680,    1,   34,    1,   29,   10,   60
 681,    0,   38,   10,   53,   11,   64
 682,   10,   62,   11,   55,    0,   36
 683,    1,   13,   11,   60,   11,   64
 684,   11,   58,   11,   62,    0,   44
 685,    0,   48,    1,   14,   11,   65
 686,   10,   42,    1,   49,    0,   27
 687,    0,   62,   11,   55,    0,   49
 688,   11,   56,   11,   59,   11,   54
 689,   10,   48,   11,   65,    0,   54
 690,    1,   59,   11,   65,   10,   50
 691,    0,   20,   11,   55,    1,   17
 692,    0,   33,    0,   31,   11,   56
 693,   11,   63,    0,   36,    0,   33
 694,    0,   24,   10,   37,    1,   41
 695,    1,   25,   10,   38,    0,   32
 696,    1,   22,   10,   43,    1,   55
 697,   10,   54,   11,   58,    1,   33
 698,    0,   46,    1,   55,   10,   46
 699,   11,   57,    1,   58,   11,   56
 700,    0,   45,    0,   57,    1,   51
 701,    0,   56,   10,   36,    0,   37
 702,   10,   49,   10,   63,    1,   34
 703,   11,   54,    1,   15,   10,   56
 704,   10,   54,   10,   36,   10,   54
 705,   11,   63,    0,   46,    1,   27
 706,    0,   23,    0,   29,    1,   44
 707,    1,   23,   10,   50,    0,   28
 708,    1,   62,    1,   25,   11,   65
 709,    0,   59,    1,   25,   11,   60
 710,   10,   56,    1,   49,   10,   60
 711,    0,   32,   10,   55,   10,   60
 712,    1,   46,   10,   61,    1,   40
 713,    0,   62,   11,   57,   11,   59
 714,    1,   32,   10,   65,   11,   64
 715,    1,   22,    0,   63,    0,   28
 716,   11,   64,    0,   43,    1,   58
 717,   10,   50,   10,   65,   10,   60
 718,   11,   57,    1,   22,   10,   59
 719,    1,   29,    1,   50,    0,   62
 720,   10,   53,    0,   22,    0,   47
 721,   10,   40,   11,   57,    0,   32
 722,   11,   59,   10,   44,   10,   43
 723,    0,   52,    1,   28,   10,   47
 724,   11,   65,   10,   37,   10,   36
 725,    1,   16,   11,   54,   10,   49
 726,   10,   43,    1,   35,    1,   38
 727,   11,   61,   11,   60,   10,   54
 728,   10,   58,   10,   47,    1,   51
 729,    0,   63,   11,   64,   11,   65
 730,   10,   61,    0,   40,    0,   35
 731,    1,   21,   10,   41,    0,   53
 732,   11,   65,   11,   56,   10,   51
 733,    0,   29,   10,   61,   11,   63
 734,    1,   63,   10,   44,    1,   32
 735,    0,   48,   10,   60,    0,   25
 736,    1,   23,    1,   31,    1,   39
 737,   10,   51,   11,   54,   10,   55
 738,   11,   60,   10,   49,    0,   22
 739,    1,   45,    1,   21,   11,   65
 740,    1,   27,    0,   64,   10,   52
 741,    1,   55,    0,   49,   10,   64
 742,   11,   59,   10,   51,    0,   43
 743,   10,   63,   10,   43,   10,   56
 744,    1,   19,    0,   32,    0,   32
 745,    0,   38,   10,   36,    0,   22
 746,    1,   59,    1,   33,    1,   20
 747,    0,   28,    0,   36,   11,   57
 748,   11,   60,   11,   60,   10,   59
 749,   11,   56,    0,   26,    0,   21
 750,    0,   37,   10,   36,   10,   57
 751,   11,   61,   10,   44,    1,   45
 752,   11,   58,   10,   46,   10,   37
 753,    0,   49,   11,   57,   10,   59
 754,    0,   50,    1,   22,    0,   57
 755,   10,   48,    1,   20,   11,   60
 756,    0,   37,   11,   57,   10,   38
 757,   11,   61,    1,   22,    1,   54
 758,    0,   30,    1,   27,   10,   63
 759,   10,   55,    1,   37,   10,   56
 760,    1,   37,    0,   32,   11,   65
 761,    1,   35,    0,   51,   11,   54
 762,   10,   42,    0,   49,    1,   16
 763,   10,   62,   10,   59,   10,   52
 764,    1,   41,    1,   12,   10,   63
 765,    1,   35,   10,   36,    0,   54
 766,   10,   37,    1,   44,    0,   63
 767,    0,   47,    0,   30,    0,   54
 768,   11,   64,    0,   48,   11,   61
 769,    0,   39,    1,   46,    0,   49
 770,    0,   20,    0,   59,   11,   57
 771,    0,   30,   11,   60,    0,   52
 772,   10,   61,   11,   64,   10,   62
 773,   10,   42,   10,   44,    0,   26
 774,    0,   31,   11,   60,   10,   39
 775,   11,   55,   11,   56,    0,   63
 776,    0,   31,   10,   53,   10,   45
 777,   11,   54,    0,   29,   11,   55
 778,   10,   64,   11,   55,    1,   15
 779,   11,   59,    1,   60,   10,   65
 780,   10,   39,    0,   23,    1,   54
 781,   11,   54,    1,   62,   11,   57
 782,   11,   55,    1,   23,    1,   40
 783,    0,   26,   10,   61,    0,   63
 784,   10,   59,    0,   35,    1,   42
 785,   11,   60,   11,   65,   11,   58
 786,   11,   57,   10,   56,   10,   63
 787,   11,   63,    1,   59,   10,   45
 788,    1,   24,   11,   58,    1,   32
 789,   10,   44,   11,   62,   11,   54
 790,    1,   23,    0,   34,   11,   58
 791,    0,   58,   11,   60,    0,   25
 792,    1,   34,    1,   53,   11,   59
 793,    0,   39,    0,   40,    1,   65
 794,    1,   18,   11,   62,   10,   45
 795,    0,   52,    1,   45,    0,   39
 796,   10,   52,   10,   42,    1,   15
 797,    0,   27,   10,   59,   10,   46
 798,    0,   51,   11,   54,   10,   46
 799,    1,   51,    1,   41,   10,   55
 800,    1,   40,   10,   36,    0,   40
 801,   10,   64,   10,   56,   11,   55
 802,    0,   40,   10,   45,    1,   58
 803,   10,   53,   11,   61,    1,   21
 804,    0,   42,    0,   42,   11,   58
 805,   11,   63,   11,   58,   10,   55
 806,    0,   26,   10,   57,    0,   41
 807,    1,   34,   11,   65,    0,   62
 808,   10,   47,    0,   46,   10,   64
 809,   11,   63,   11,   62,   11,   60
 810,   10,   49,   11,   64,   11,   57
 811,    0,   47,    1,   33,   11,   62
 812,   11,   63,    1,   17,    1,   54
 813,    1,   57,    1,   56,   11,   62
 814,    0,   62,    1,   16,    0,   59
 815,    1,   43,   11,   65,   10,   57
 816,   10,   48,    0,   27,    1,   23
 817,   11,   56,    0,   51,   11,   61
 818,    1,   56,    0,   49,    1,   52
 819,    1,   45,    0,   58,   10,   41
 820,   11,   65,   10,   61,   11,   57
 821,    0,   33,   11,   57,    1,   57
 822,    0,   39,    1,   34,   11,   59
 823,    0,   60,   11,   58,    0,   41
 824,   10,   49,    0,   22,   10,   52
 825,   10,   44,    1,   30,   10,   49
 826,    0,   50,   11,   58,    0,   44
 827,   10,   46,   11,   65,    1,   39
 828,    1,   48,    0,   32,   11,   56
 829,   10,   42,    0,   37,   10,   43
 830,    1,   36,   10,   40,   10,   53
 831,   11,   61,    1,   38,   10,   51
 832,   10,   44,    0,   64,   11,   62
 833,   11,   65,    1,   30,   11,   62
 834,    0,   55,    0,   27,   10,   42
 835,    1,   20,   10,   54,   11,   55
 836,   11,   57,    0,   34,   11,   57
 837,    1,   26,   10,   47,   11,   55
 838,   10,   65,    1,   40,   11,   55
 839,    1,   58,   11,   60,   11,   60
 840,   10,   60,    0,   22,    0,   61
 841,    0,   42,    1,   33,    1,   58
 842,    0,   53,   10,   53,    1,   53
 843,   10,   48,    1,   34,   10,   43
 844,   11,   64,    1,   40,   10,   50
 845,    0,   48,   10,   53,   10,   50
 846,   11,   55,   11,   54,   11,   59
 847,   10,   37,   11,   56,   11,   65
 848,   11,   61,    0,   46,   10,   63
 849,   10,   40,    0,   56,    1,   30
 850,    1,   61,   11,   63,    1,   65
 851,   10,   62,   11,   61,   10,   64
 852,    0,   43,    0,   57,   11,   60
 853,    1,   60,    0,   55,    0,   55
 854,   11,   63,   10,   41,   11,   56
 855,   11,   61,   11,   60,    0,   62
 856,   10,   49,    1,   42,   11,   57
 857,    1,   22,    1,   53,    0,   58
 858,    0,   25,    0,   53,   10,   61
 859,    0,   61,    0,   25,    1,   30
 860,   11,   62,    0,   23,   10,   39
 861,   10,   57,   10,   36,   11,   57
 862,    1,   40,   11,   57,   10,   61
 863,   10,   42,    1,   19,   10,   50
 864,    1,   61,    0,   24,   10,   47
 865,    1,   43,   10,   36,    0,   20
 866,    0,   28,   11,   54,    0,   45
 867,    1,   47,    0,   51,    0,   34
 868,    1,   45,    0,   19,    0,   46
 869,    1,   49,    1,   12,    0,   62
 870,   11,   63,    1,   50,    1,   13
 871,    1,   49,    0,   65,    1,   45
 872,    0,   22,   11,   61,    0,   36
 873,   10,   60,    1,   36,   11,   61
 874,   11,   60,   10,   60,   11,   56
 875,   10,   57,    1,   28,    0,   63
 876,   10,   63,   10,   45,   11,   64
 877,   11,   60,    1,   56,   10,   38
 878,   11,   63,   10,   42,    1,   38
 879,   11,   59,   11,   59,    0,   37
 880,   11,   61,   11,   62,   10,   63
 881,   10,   52,   11,   65,   11,   56
 882,    1,   46,    0,   37,   10,   61
 883,    0,   33,    1,   20,    1,   65
 884,    1,   15,   11,   65,   11,   61
 885,    1,   56,   10,   41,   10,   50
 886,   10,   42,    1,   28,    1,   49
 887,    1,   47,    0,   19,    1,   61
 888,    0,   22,   11,   57,    0,   21
 889,    0,   28,   10,   37,   11,   65
 890,    1,   56,   10,   36,   11,   65
 891,   10,   57,    1,   58,    0,   35
 892,   11,   56,    0,   20,    0,   60
 893,   11,   60,   11,   55,   11,   62
 894,   11,   57,    0,   47,   10,   63
 895,    0,   28,   10,   60,    1,   33
 896,   10,   38,    1,   26,    0,   35
 897,    1,   60,   10,   43,    1,   40
 898,   11,   57,    1,   18,    0,   27
 899,   10,   56,   11,   63,    1,   32
 900,   11,   60,   10,   57,   11,   58
 901,   11,   59,    1,   51,   10,   45
 902,   10,   39,   11,   54,    0,   51
 903,   11,   65,    1,   62,   10,   38
 904,    1,   38,   11,   54,   10,   52
 905,   11,   58,    1,   47,    0,   48
 906,    1,   24,    0,   46,   10,   44
 907,    1,   64,    1,   43,    1,   34
 908,    0,   35,   11,   59,   11,   65
 909,    1,   19,   10,   37,    0,   32
 910,    0,   40,   11,   59,    1,   21
 911,   10,   36,    0,   43,   11,   58
 912,    1,   28,   11,   60,   11,   62
 913,    1,   32,    0,   20,   11,   61
 914,   11,   56,   10,   52,    0,   57
 915,   11,   65,    0,   46,   11,   65
 916,    1,   59,   11,   64,   10,   64
 917,   10,   39,    0,   28,    0,   42
 918,    1,   27,    1,   19,    1,   59
 919,   10,   58,    1,   65,    1,   28
 920,   10,   56,    1,   34,    0,   47
 921,    1,   40,    0,   41,   11,   58
 922,   10,   41,    0,   30,    0,   57
 923,    1,   64,   10,   61,    0,   37
 924,    1,   23,   11,   63,    0,   46
 925,   11,   58,   11,   60,   10,   60
 926,    0,   55,    1,   57,    0,   32
 927,   10,   55,    1,   48,   11,   58
 928,    0,   35,    0,   25,   10,   44
 929,    0,   61,    0,   34,   10,   61
 930,   11,   61,   11,   60,    0,   41
 931,    1,   33,    1,   56,   10,   57
 932,   11,   55,   10,   59,   10,   57
 933,    1,   17,    0,   58,    1,   21
 934,    1,   40,    1,   13,    0,   46
 935,    1,   53,    1,   54,   10,   45
 936,    1,   33,    0,   55,   11,   61
 937,   10,   59,    0,   53,   10,   40
 938,   10,   60,    0,   21,    0,   32
 939,    1,   57,    1,   53,    0,   51
 940,   11,   58,   11,   54,    0,   19
 941,   11,   63,   10,   62,    1,   53
 942,   11,   61,   11,   64,   10,   59
 943,   11,   56,    0,   47,   11,   63
 944,   11,   55,    1,   62,   10,   57
 945,   11,   62,    1,   59,    1,   63
 946,   10,   41,   11,   63,   11,   61
 947,    0,   21,    0,   43,    1,   43
 948,    1,   50,   10,   55,   11,   55
 949,   11,   56,   11,   59,    1,   64
 950,   10,   37,   11,   57,    1,   19
 951,   11,   61,   11,   61,   11,   64
 952,   11,   63,   11,   62,   10,   63
 953,   11,   65,    0,   46,   11,   61
 954,    0,   25,    1,   40,    1,   31
 955,    0,   48,    1,   39,    0,   65
 956,    1,   50,   11,   56,    1,   31
 957,    0,   49,   11,   61,   10,   38
 958,    1,   38,   11,   59,   10,   51
 959,    0,   18,   11,   65,    0,   25
 960,   11,   60,    0,   43,   11,   57
 961,    1,   51,    1,   12,    1,   41
 962,   10,   48,    1,   50,   11,   64
 963,    1,   18,   10,   42,    0,   48
 964,    0,   52,   10,   48,   11,   59
 965,   10,   54,   10,   62,    0,   50
 966,    0,   28,   10,   45,    0,   44
 967,   11,   60,    0,   32,    0,   33
 968,    0,   49,   10,   39,    0,   25
 969,   11,   65,    1,   35,    0,   52
 970,   10,   36,    0,   18,    1,   59
 971,   11,   61,   11,   64,   10,   47
 972,    1,   21,   10,   50,    0,   19
 973,    0,   30,    1,   60,   11,   57
 974,   10,   52,   11,   57,    1,   44
 975,    1,   34,    0,   53,   11,   61
 976,   10,   62,   11,   54,   10,   36
 977,    1,   22,    0,   38,    0,   52
 978,    1,   59,    1,   64,   11,   58
 979,    0,   24,    0,   20,   11,   58
 980,    1,   35,   11,   58,    1,   48
 981,    1,   47,    1,   42,    1,   25
 982,   11,   61,   10,   44,   10,   52
 983,   10,   52,    1,   47,    0,   32
 984,    1,   35,    0,   27,   11,   63
 985,    0,   47,   10,   38,   10,   46
 986,    1,   31,   10,   61,   11,   57
 987,   11,   54,   10,   57,   11,   59
 988,    1,   45,    1,   64,    1,   19
 989,    1,   25,   11,   64,   10,   44
 990,    1,   20,   10,   42,    0,   61
 991,    1,   45,    0,   31,    0,   31
 992,    0,   35,   11,   61,   11,   59
 993,    0,   25,    1,   24,    0,   30
 994,    1,   34,   10,   64,   10,   38
 995,    0,   37,    0,   44,   10,   44
 996,   10,   65,    0,   62,    1,   59
 997,    1,   61,   11,   63,    1,   26
 998,    0,   55,    1,   37,    0,   21
 999,   11,   60,    0,   27,    1,   26
