nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7
 414,     1, -10, -10,  82, -30, -10, -10, -42, -38
 415,     1,  -5,  -5,  -5,  -5, -17,  -5,  79,  -9
 416,     1,  -6, -26,  90, -26,  -6,  -6,  -6, -26
 417,     1,  -6,  -6, -22, -26,  78, -22, -30, -30
 418,     1,  -4,  -4,  88,  -4,  -8,  -4, -20, -16
 419,     1,  -6,  -6, -26,  -6, -26, -30, -26,  74
 420,     1, -26,  78,  -6,  -6,  -6,  -6, -26, -22
 421,     1,  -7,  -7,  -7,  -7,  69,  -7,  -7,  -7
 422,     1,  -9, -41,  71, -21, -33,  -9, -41,  -9
 423,     1, -19,  -7, -11, -19,  89,  -7,  -7, -27
 424,     1, -11, -31, -11,  53, -19, -35, -15, -15
 425,     1,  81,  -7, -35, -23, -27,  -7,  -7,  -7
 426,     1, -12, -20,  -8,  -8,  -8,  -8,  68,  -8
 427,     1,  -5,  87,  -5, -25,  -5,  -5,  -5,  -5
 428,     1,  79, -25,  -5,  -5,  -5,  -5,  -5, -17
 429,     1,  85, -15, -35, -35,  -7,  -7,  -7,  -7
 430,     0, -11, -11, -39, -11, -11, -11, -11, -31
 431,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3
 432,     0, -10, -10, -42, -10, -30, -18, -18, -10
 433,     1,  -5,  83, -25,  -5, -17,  -5,  -5,  -5
 434,     1,  -5,  -5, -17, -21, -25, -13,  -5,  83
 435,     1, -10, -10, -42, -22,  54, -14,  62, -10
 436,     1,  -6,  -6, -14,  74,  -6, -22,  -6,  -6
 437,     1,  -4,  -4,  84, -16,  -4,  -4,  -8,  -4
 438,     1,  -3,  -3, -11,  -3,  -3,  -3,  85, -15
 439,     1,  -6,  -6, -10,  -6,  -6,  -6,  -6,  90
 440,     1, -10, -42,  70, -10, -42, -42, -10, -10
 441,     1,  -4,  -4,  -4,  -8,  -8,  -4,  -4,  92
 442,     1,  -5,  -5, -17,  -5,  -5,  -5,  87,  -5
 443,     1,  -5, -25,  -5,  -5, -13,  -5,  79,  -5
 444,     1,  79, -25,  -5,  -5,  -5,  -5,  -5, -17
 445,     1,  -8,  -4,  -4,  92,  -4,  -4,  -4,  -4
 446,     1,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3
 447,     1, -12,  -4,  88,  -4,  -4,  -4,  -4,  -4
 448,     1, -30, -10, -10, -42, -26, -30,  78, -10
 449,     1,  -8,  -8, -12,  -8,  -8, -32,  -8,  76
 450,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3
 451,     1, -40,  -8, -36,  60,  -8, -20, -12,  -8
 452,     1,  -9,  -5,  91,  -5,  -5,  -5,  -5,  -5
 453,     1, -12, -12,  -4,  88,  -4,  -4,  -4,  -4
 454,     0, -11, -11, -43, -11, -35, -35, -11, -11
 455,     1,  -4,  92,  -4,  -4,  -4,  -4, -16,  -4
 456,     1,  -7,  -7,  77, -11,  -7,  -7,  -7,  -7
 457,     1,  -3,  -3,  -7,  -3,  -3,  93, -15,  -3
 458,     1, -16,  84, -20,  -4,  -4,  -4, -16,  -8
 459,     1, -13,  -5,  -5,  83,  -5,  -5,  -5,  -5
 460,     1,  -7, -19,  -7, -11,  -7,  65,  -7, -15
 461,     1,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  84
 462,     1,  -4, -16,  -4,  -4,  -4,  80, -16,  -4
 463,     1,  -3,  -3,  -3, -15,  -3,  -3,  89,  -3
 464,     0, -11, -11, -23, -43, -43, -11, -43, -43
 465,     1,  -6,  82,  -6, -26, -10,  -6, -18,  -6
 466,     1,  -7,  -7,  77,  -7,  -7,  -7,  -7,  -7
 467,     1,  -4,  -4, -20,  -8,  -4,  -4,  -4,  88
 468,     1,  -7,  -7,  -7, -15, -19,  -7,  89,  -7
 469,     1,  -5,  -5, -21,  -5,  83,  -5,  -5,  -5
 470,     1, -16, -12, -16,  -8,  88, -12,  -4,  -4
 471,     1, -36,  -8, -36,  -8, -32,  -8, -28,  72
 472,     1,  -4, -12,  -4,  84,  -4,  -4,  -4,  -4
 473,     0, -18, -42, -26, -10, -30, -10, -10, -22
 474,     1, -35, -31, -27, -19,  89,  -7, -15,  -7
 475,     1,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2
 476,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84
 477,     0, -19, -11, -19, -11, -11, -15, -39, -43
 478,     0, -15, -11, -43, -51, -15, -43, -43, -11
 479,     0, -35, -11, -43, -35, -11, -11, -43, -11
 480,     1,  -6,  -6,  86, -10, -10,  -6,  -6,  -6
 481,     1, -13, -17,  83,  -5,  -5, -13,  -5,  -5
 482,     1,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2
 483,     1,  -8,  76, -16, -40, -40,  -8,  -8,  -8
 484,     1,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3
 485,     0, -10, -26, -10, -10, -38, -10, -10, -10
 486,     1, -27,  -7, -23,  -7,  85, -11, -19,  -7
 487,     1,  -6,  -6,  86,  -6, -14, -14, -26, -22
 488,     1,  -9,  91,  -5,  -5,  -5,  -5,  -5,  -5
 489,     1, -36,  -8, -20,  -8,  72, -16, -20, -32
 490,     1,  -9, -21,  75, -33,  -9, -17,  -9, -37
 491,     1, -17,  -5,  -5,  -5,  83,  -5, -13,  -5
 492,     1,  -6,  -6, -22,  -6, -26, -10,  90,  -6
 493,     1,  -9,  -9,  -9,  -9,  -9,  67, -33,  -9
 494,     0, -15, -11, -27, -11, -43, -31, -11, -11
 495,     1,  84,  -8, -28, -16,  -8,  -8,  -8, -20
 496,     1,  -9,  -9,  -9,  -9, -17,  -9,  -9,  83
 497,     1,  -8, -20, -28, -24, -24, -24,  88,  60
 498,     1, -24,  -8,  84,  -8,  -8,  -8, -20, -12
 499,     1,  -4,  -4,  -4,  -4,  -4,  88,  -4, -20
 500,     1,  -9,  -9, -41, -29,  -9, -17, -25,  59
 501,     1,  -5,  -5,  -5, -17, -13,  83,  -5,  -5
 502,     1, -36,  -8,  -8, -36,  88, -32, -28, -20
 503,     1,  94,  -2,  -2,  -2,  -2, -10,  -2,  -2
 504,     1,  -4,  -4,  -4,  -4,  -8, -16,  -4,  88
 505,     0, -11, -11, -43, -23, -11, -31, -11, -43
 506,     0, -11, -11, -35, -23, -43, -11, -23, -11
 507,     1,  -8,  -8,  -8,  -8,  -8, -24,  72,  -8
 508,     1,  -8,  -8,  -8, -20,  -8, -36,  68, -24
 509,     1,  -7,  -7, -27,  -7,  -7, -27,  81,  -7
 510,     0, -15, -35, -11, -35, -31, -11, -11, -19
 511,     1, -27,  81, -19, -27, -27,  -7, -15,  -7
 512,     1,  70,  -6,  -6, -18,  78, -18,  -6, -10
 513,     1, -20,  -4,  -4,  -8, -12,  -4,  92, -16
 514,     1,  -9, -21, -37, -13, -25,  -9,  83,  -9
 515,     1,  -8,  64,  -8, -20,  -8,  -8, -24, -24
 516,     1, -10, -18, -30, -18,  62, -30, -42, -42
 517,     0, -43, -27, -35, -23, -11, -23, -11, -11
 518,     1,  -7,  -7, -27,  -7,  81,  -7,  -7,  -7
 519,     1,  -3, -15,  -3,  -3,  89,  -3,  -3,  -3
 520,     0, -11, -43, -19, -11, -11, -11, -11, -11
 521,     1, -13, -13,  -5,  -5,  83, -13,  -5, -13
 522,     1, -16,  -4,  -4, -12,  84,  -4,  -4,  -4
 523,     1,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4
 524,     1, -18, -46, -38, -30, -10, -10, -42,  54
 525,     1,  -3,  -3, -11,  -3,  93,  -3,  -3,  -3
 526,     1, -22, -22, -26,  -6,  -6,  -6,  -6,  86
 527,     1,  81, -31, -19, -11,  -7,  -7,  -7, -19
 528,     1, -17,  63,  -9,  71, -25,  -9, -33, -41
 529,     0, -31, -19, -19, -11, -11, -11, -35, -11
 530,     1,  84,  -4,  -8, -12,  -4,  -4,  -4,  -4
 531,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  84
 532,     1, -18, -10,  82,  -6, -10,  -6,  -6,  -6
 533,     1,  -9,  -9,  -9, -29, -41,  67, -33, -21
 534,     1,  -9,  -9, -37,  -9,  67, -25,  -9, -21
 535,     0, -11, -11, -43, -11, -11, -27, -15, -19
 536,     1,  -8, -12,  64, -28, -32,  -8, -24,  -8
 537,     0, -11, -39, -27, -43, -11, -19, -11, -47
 538,     1,  -4,  80,  -4, -12,  -4,  -4,  -4,  -4
 539,     1,  94,  -2,  -2,  -2,  -2,  -2,  -2, -10
 540,     1,  63,  -9, -41,  -9,  -9,  67,  -9, -13
 541,     1,  -4,  -4,  84,  -4,  -4,  -4, -16, -16
 542,     1,  -7,  -7,  85,  -7,  -7,  -7,  -7, -31
 543,     1, -21,  79,  -5, -21,  -5,  -5,  -5,  -5
 544,     1,  -7,  -7,  69, -27,  -7, -31,  -7, -35
 545,     1, -28,  -8,  -8,  -8,  -8, -32,  60,  -8
 546,     1,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 547,     1, -30,  90,  -6, -10,  -6,  -6, -26,  -6
 548,     1, -28, -32,  -8,  -8, -40,  -8,  88,  -8
 549,     1,  -7,  77, -31, -23, -15, -23,  -7,  -7
 550,     1,  -3,  -7,  -3,  85,  -7,  -3,  -3,  -3
 551,     1,  -4, -12,  92, -16,  -4,  -4,  -4,  -4
 552,     1,  84, -20,  -4,  -4,  -4, -12,  -8,  -4
 553,     1,  -5,  -5,  -5,  -5, -13,  83,  -5,  -5
 554,     1, -23, -31, -11, -31,  -7, -15,  -7,  69
 555,     1,  -9, -37, -33,  59,  -9, -37,  -9,  -9
 556,     1, -14, -18, -10, -10, -10, -38,  58, -42
 557,     1, -36,  -8,  -8,  -8, -24,  -8,  -8,  88
 558,     1, -33,  75,  -9,  -9, -41,  -9, -29, -33
 559,     1, -26,  82,  -6, -22,  -6,  -6, -14,  -6
 560,     1,  63, -41,  -9, -41,  -9, -25,  -9, -37
 561,     1, -24, -24,  -8,  -8,  64, -24,  -8,  -8
 562,     1,  62, -38, -42, -26, -42, -10, -42, -22
 563,     1,  -9,  -5,  -5,  79,  -5,  -5,  -5, -17
 564,     0, -26, -10, -10, -42, -22, -14, -14, -42
 565,     1,  86,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 566,     0, -39, -27, -15, -11, -43, -31, -19, -11
 567,     1,  89,  -3,  -3,  -3,  -7,  -3,  -3,  -3
 568,     1,  -4,  -4,  -4,  -4, -12,  88,  -4,  -4
 569,     1,  -4,  -8, -20, -20,  -4,  88,  -4,  -4
 570,     1,  79, -21, -21,  -5,  -5,  -9,  -5, -13
 571,     1, -21,  83, -21,  -9, -33, -41, -37,  -9
 572,     1, -26, -10, -10, -10, -10, -30, -14,  66
 573,     1,  -7,  -7,  -7,  -7, -31, -15,  -7,  77
 574,     1,  -7, -19,  -7,  -7,  -7,  -7,  73,  -7
 575,     1,  -8,  -8, -32,  -8,  72, -16, -20,  -8
 576,     1,  -5,  -5,  -5, -25,  -5,  -5, -21,  91
 577,     1,  -9, -17, -21, -37,  -9,  75,  -9, -29
 578,     1, -26, -38, -10, -10, -10, -10, -10,  58
 579,     1, -10, -10, -10, -30, -10, -10,  66, -30
 580,     0, -10, -10, -10, -10, -10, -10, -10, -10
 581,     1, -17,  83, -37, -13, -41, -21,  -9, -29
 582,     1,  93, -11,  -3,  -3,  -3,  -3, -15,  -7
 583,     1,  -9,  -9,  -9, -13,  71,  -9, -25, -33
 584,     1,  -6,  86, -26, -18,  -6, -14,  -6,  -6
 585,     1, -36,  -8,  76, -28,  -8, -32,  -8,  -8
 586,     1,  -9,  -9,  -9,  75,  -9,  -9,  -9,  -9
 587,     1,  -8,  -8, -28, -16, -28, -32,  72,  -8
 588,     1,  -4, -12,  -4,  -4,  88,  -8,  -4, -16
 589,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -7
 590,     1,  90, -10,  -2,  -2,  -2,  -2,  -2,  -2
 591,     1,  -5,  -5, -17,  -9, -21,  -5, -17,  83
 592,     1,  84, -12,  -4,  -4,  -4,  -4,  -4, -20
 593,     1,  -3,  -3,  -3, -11,  -3,  93,  -3,  -3
 594,     1,  -4,  -4,  -4, -20,  -4, -16,  -4,  80
 595,     1,  -3,  -3,  -3,  -3, -15,  -3,  89,  -3
 596,     1,  -4,  -8,  -4,  -4, -16, -12, -12,  84
 597,     0, -39, -35, -31, -11, -11, -11, -11, -11
 598,     1,  -6,  -6,  -6,  -6, -14,  -6,  90,  -6
 599,     1,  -8,  -8,  -8,  72,  -8,  -8, -36,  -8
 600,     0, -10, -10, -42, -10, -10, -30, -10, -42
 601,     1, -10, -18,  -6,  -6,  -6,  -6,  82,  -6
 602,     1, -10, -42, -26,  66, -10,  58,  66, -10
 603,     1,  -5,  -5,  -5, -17, -13, -25, -21,  79
 604,     1, -21,  -5,  91, -17,  -5,  -5,  -5, -13
 605,     1, -16,  88,  -4, -16, -20,  -4,  -4,  -4
 606,     1,  92, -20,  -4,  -4,  -4,  -4,  -4,  -4
 607,     1,  -5,  -5, -17, -13,  -5,  -5,  -5,  83
 608,     1,  -6,  90,  -6,  -6,  -6,  -6,  -6, -22
 609,     1,  -6,  74,  -6,  -6,  -6, -18, -26, -26
 610,     1, -38, -22, -18, -18,  58,  66, -10, -10
 611,     1,  87,  -5,  -5, -13,  -5, -21, -21,  -5
 612,     1,  -5,  -5,  -5,  -5,  -5,  83,  -5, -17
 613,     1, -28,  -8, -16,  76, -32,  -8, -16,  -8
 614,     1,  -8, -16, -20,  -8,  -8, -36,  -8,  80
 615,     1,  -6, -26,  -6,  -6,  -6, -18,  70, -18
 616,     1,  84,  -4,  -8,  -4,  -4,  -4,  -4,  -8
 617,     1,  -9, -13,  -5,  -5,  -5,  79,  -5,  -5
 618,     1,  -2,  -2,  -2,  -2,  -2, -10,  90,  -2
 619,     1,  -4, -20,  -4, -12,  -4,  -4,  -4,  88
 620,     1, -11,  -3,  -3,  -3, -15, -11,  -3,  93
 621,     0, -10, -14, -10, -10, -10, -30, -22, -10
 622,     1, -21,  -9, -17,  67, -21,  -9, -41, -37
 623,     1, -16,  -4,  80,  -8, -16, -12, -12,  -4
 624,     1,  -8,  84,  -4,  -4,  -4,  -4,  -4,  -4
 625,     1,  -4,  -4,  -8,  84,  -4, -12,  -4, -12
 626,     1,  -6,  -6, -26,  82, -18,  -6,  -6, -14
 627,     1,  62, -10, -10, -10, -10, -10, -14, -10
 628,     1,  -6,  90,  -6, -18, -10,  -6,  -6,  -6
 629,     1, -10,  -2,  -6,  90,  -2,  -2,  -2,  -2
 630,     1,  -4,  -4,  88, -20,  -4,  -4,  -4,  -4
 631,     1,  -5,  -5,  -9,  -5, -17,  -5,  87, -17
 632,     1,  -4,  -8,  84,  -4, -16, -20,  -4,  -4
 633,     1, -41,  63,  -9,  -9,  59, -21,  -9,  -9
 634,     1,  86,  -6, -26, -14,  -6, -22,  -6,  -6
 635,     1,  -8,  -8,  -8,  68, -20,  -8,  -8,  -8
 636,     0, -31, -19, -51, -39, -47, -11, -11, -11
 637,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84
 638,     1, -18,  -6,  -6,  -6,  -6, -14,  -6,  82
 639,     0, -11, -27, -15, -19, -43, -43, -11, -39
 640,     1,  70,  -6, -26,  -6,  -6,  -6,  -6, -22
 641,     1,  79, -21, -21, -17, -13,  -5,  -9, -13
 642,     1,  -5,  -5,  -5,  87,  -9,  -5, -25,  -5
 643,     1,  92,  -4,  -4,  -4,  -4,  -4,  -4, -12
 644,     1,  -6,  -6,  -6, -18,  -6,  -6, -22,  70
 645,     1, -24,  72,  -8,  -8, -12, -36, -24, -28
 646,     1, -10, -18,  70, -34, -10, -10, -10, -26
 647,     1,  -9,  -9,  -9, -41,  -9,  -9, -29,  63
 648,     1,  -6,  -6, -22,  -6,  74, -10, -18, -22
 649,     0, -11, -31, -23, -11, -43, -39, -19, -11
 650,     1,  -5,  -5,  -5,  83,  -5,  -5,  -5, -13
 651,     1,  59, -33,  -9,  -9,  -9,  59, -33, -21
 652,     0, -11, -11, -11, -11, -43, -43, -11, -11
 653,     1,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4
 654,     1, -24,  -8,  76,  -8, -24, -28, -20,  -8
 655,     1,  -7,  -7, -31,  -7, -31,  73, -31,  -7
 656,     1, -11,  -7,  -7,  65,  -7, -15,  -7,  -7
 657,     1,  -4,  -4, -12,  -4,  -4,  88, -12,  -4
 658,     1, -23, -43, -11, -43, -43, -11, -11,  53
 659,     1,  -8,  -8, -24, -20,  -8, -32,  88, -16
 660,     0, -47, -43, -11, -31, -43, -35, -11, -27
 661,     1,  91,  -5,  -9, -25,  -5,  -5,  -5,  -5
 662,     1,  78, -26,  -6,  -6,  -6,  -6,  -6,  -6
 663,     1,  78,  -6,  -6,  -6,  -6, -10, -10,  -6
 664,     1, -10, -10, -30,  66, -18, -18, -10, -22
 665,     1, -29,  -9, -29, -29, -17, -41,  -9,  63
 666,     1,  -6, -10, -14,  -6,  -6,  74, -14, -18
 667,     1,  -2,  -2,  -2,  94,  -2,  -6,  -2,  -2
 668,     1,  -8,  60,  -8,  -8,  -8,  -8,  -8,  -8
 669,     1, -10, -42, -10,  78, -18, -10, -18, -10
 670,     1,  -9, -37,  71,  -9,  -9,  -9, -13, -41
 671,     1,  -9,  83,  -9,  -9,  -9, -21,  -9, -29
 672,     1, -30,  -6,  -6,  -6,  90,  -6,  -6, -10
 673,     1, -34, -26, -10, -14,  70, -10, -22, -10
 674,     1,  -8,  60, -24,  -8,  -8,  -8,  -8, -24
 675,     1,  89,  -3,  -7,  -7,  -3,  -3,  -3,  -3
 676,     0, -43, -11, -23, -11, -43, -15, -11, -31
 677,     0, -19, -11, -35, -43, -11, -11, -11, -11
 678,     1, -12,  -4,  -4, -16,  -4,  -4,  -4,  92
 679,     1,  -3,  -3,  -3,  -3, -11,  -3,  89,  -3
 680,     1, -11,  -7,  81,  -7,  -7,  -7,  -7, -19
 681,     0, -10, -34, -10, -34, -42, -10, -18, -18
 682,     1, -33,  -9, -41,  -9,  -9, -37,  -9,  67
 683,     1, -10, -38, -42,  78, -10, -18, -46, -10
 684,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  88
 685,     1, -26, -42, -30, -42, -42, -10, -42,  70
 686,     1,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4
 687,     1,  -9,  -9, -13,  -9,  -9,  59,  -9, -21
 688,     1, -42, -10, -18, -10, -22,  70, -10, -10
 689,     1,  -5, -17, -25,  -5,  91, -17,  -5,  -5
 690,     1, -17,  -9,  -9,  63, -41,  -9,  -9,  -9
 691,     1,  -8, -12, -16, -20,  -8,  84,  -8, -24
 692,     1,  -5,  -5,  -5,  -5,  -5,  -5, -25,  79
 693,     0, -27, -11, -11, -11, -11, -39, -47, -43
 694,     1,  -4,  -4,  -4,  -4,  -8,  88, -16,  -4
 695,     1, -31,  -7, -11,  -7,  -7,  -7,  69, -11
 696,     1,  -3,  89,  -3,  -3,  -3,  -7,  -3,  -3
 697,     1,  -6, -26,  74,  -6, -26,  -6,  -6,  -6
 698,     1,  61, -11, -27, -11, -11, -11, -11, -27
 699,     1,  -6,  -6,  -6, -26,  90,  -6,  -6,  -6
 700,     1, -42, -10, -10,  62, -26, -42, -42, -14
 701,     1, -36,  -8,  -8,  -8,  -8,  64, -28, -12
 702,     1,  -8, -24, -28, -32,  -8,  -8,  68,  -8
 703,     1, -41,  -9,  -9, -29, -41, -17,  67,  -9
 704,     1,  -6,  -6, -22,  -6,  -6,  -6,  86,  -6
 705,     1,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3
 706,     1,  -6, -14, -18, -14,  -6,  -6,  78,  -6
 707,     1,  85,  -3,  -3,  -3,  -3, -15,  -3,  -3
 708,     0, -11, -11, -11, -11, -47, -35, -31, -23
 709,     1,  -8,  -4,  88,  -8,  -4, -16, -20,  -4
 710,     1,  78, -14, -14,  -6,  -6,  -6,  -6, -22
 711,     1, -16,  -8,  64, -36,  -8,  -8,  -8,  -8
 712,     1,  -3,  -3, -15,  -7, -15,  89,  -3,  -7
 713,     1, -13,  -5,  -5,  79, -21,  -5,  -5,  79
 714,     1, -11,  85,  -3,  -3,  -3,  -3,  -3,  -3
 715,     1, -11, -11, -11, -47,  57, -27, -11, -35
 716,     1,  -5,  -5,  83, -21,  -5,  -5,  -5,  -5
 717,     1,  69,  -7,  -7,  -7,  -7,  -7, -31,  -7
 718,     1, -18, -22,  -6,  -6,  -6, -10,  82,  -6
 719,     1,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4
 720,     1,  -7,  -7,  -7,  -7, -27, -31, -31,  81
 721,     1,  92, -12,  -4,  -4,  -4, -12,  -4,  -4
 722,     1,  66, -14, -22, -10, -10, -34, -42, -26
 723,     1,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -9
 724,     1, -27,  -7, -31,  89,  -7, -19,  -7,  -7
 725,     1, -21, -25,  -5, -21,  -5,  -5,  91,  -5
 726,     1,  -3, -11,  89,  89,  -3,  -3, -11, -11
 727,     1,  -8, -24,  -8, -20, -32, -28,  -8,  60
 728,     1, -10, -10,  62, -42, -10, -34, -10, -10
 729,     1,  86,  -6,  -6, -10,  -6,  -6,  -6, -26
 730,     1,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3
 731,     1,  -8,  -8,  -8,  76,  -8, -40, -28,  -8
 732,     1,  -6, -22,  74,  -6,  -6,  -6,  -6, -22
 733,     1,  -7,  81,  -7,  -7, -27,  -7, -15,  -7
 734,     1,  -8,  -8, -32,  -8,  -8, -24, -16,  60
 735,     1,  -4,  -4,  -4,  -4,  -4,  88,  -4, -20
 736,     1, -22, -30,  74,  -6,  -6, -30, -18,  -6
 737,     1, -36,  -8,  -8,  -8,  76,  -8,  -8,  -8
 738,     1, -17,  63,  -9, -17,  -9,  -9, -21,  -9
 739,     1,  71,  -9, -33,  -9,  -9, -41,  -9, -25
 740,     1,  -8,  60,  -8, -20, -36, -28,  -8, -16
 741,     1, -16,  -8,  68, -24, -28,  -8, -36,  -8
 742,     1,  -5,  -5, -13,  -5, -13,  91, -21,  -5
 743,     1,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -3
 744,     1,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3
 745,     1,  -8, -24, -28,  -8, -40,  -8,  -8,  68
 746,     0, -31, -11, -11, -19, -15, -11, -31, -27
 747,     1,  -4,  -4,  -8,  92, -12,  -4,  -4, -16
 748,     1, -26, -22, -18,  -6,  78, -26,  -6,  -6
 749,     0, -23, -11, -11, -23, -35, -31, -39, -47
 750,     1,  -9,  -9,  -9,  63, -33,  -9,  -9,  -9
 751,     1,  -7,  -7,  77, -11,  -7,  -7, -11,  -7
 752,     1,  -4,  -4,  92,  -4, -16,  -4,  -4,  -4
 753,     1,  -8,  80,  -4,  -4,  -4, -16,  -4, -16
 754,     1, -12,  -8,  -8, -20,  76, -20,  -8, -24
 755,     1,  90,  -6,  -6, -14,  -6,  -6, -14,  -6
 756,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2
 757,     1,  -4,  -4,  92, -12,  -4,  -4,  -4,  -4
 758,     0, -11, -11, -23, -31, -19, -35, -39, -31
 759,     1, -26, -22, -26,  86,  -6, -18,  -6,  -6
 760,     0, -10, -10, -10, -42, -10, -10, -42, -42
 761,     1, -31,  -7,  -7,  -7,  89, -19,  -7, -19
 762,     1,  -4,  -8,  -8,  88, -16,  -4,  -4,  -4
 763,     1, -11, -11, -39,  53, -39, -11, -11, -11
 764,     1,  -6,  78, -26,  -6,  -6, -14, -14,  -6
 765,     1,  79,  -9, -17,  -5, -21,  -5,  -5,  -5
 766,     1,  -5,  -5, -13,  -5,  -9,  -5,  91,  -5
 767,     0, -30, -10, -14, -10, -22, -10, -18, -10
 768,     1, -46, -30, -10, -38, -10, -10,  62, -10
 769,     1, -11,  -3, -11,  -3, -11,  -3,  -3,  89
 770,     1, -23,  -7,  -7, -11,  -7,  65, -23,  -7
 771,     1,  -9,  -5,  79, -21, -17,  -9, -13,  -9
 772,     1,  -4,  -4, -12,  -4,  92,  -4,  -4,  -4
 773,     1,  -7,  -7,  89,  -7,  -7,  -7, -15,  -7
 774,     0, -11, -11, -11, -39, -11, -27, -11, -35
 775,     1,  -8,  60,  -8,  -8, -24, -36,  -8, -16
 776,     1, -15, -27, -43, -23,  49, -15, -11, -11
 777,     1,  -4,  -4,  88,  -4,  -4,  -8,  -4,  -4
 778,     1, -31,  -7, -15,  -7,  -7,  -7, -23,  77
 779,     0, -11, -11, -11, -35, -35, -31, -11, -11
 780,     1, -34,  58, -10, -10, -42, -22, -10, -18
 781,     1,  -6,  -6,  -6,  90,  -6, -10, -18,  -6
 782,     1,  -9,  -9,  71,  -9, -33,  -9,  -9, -21
 783,     1, -24,  -8, -36,  -8,  84,  -8, -28,  -8
 784,     0, -11, -11, -47, -43, -11, -15, -15, -11
 785,     1,  -9,  -9,  -9,  -9,  -9, -41, -13,  71
 786,     1,  -3,  85,  -3,  -3,  -3, -11,  -3,  -3
 787,     1,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -3
 788,     0, -14, -34, -42, -10, -10, -10, -10, -10
 789,     1,  -6,  -6,  -6,  -6,  -6,  78,  -6,  -6
 790,     1, -10,  58, -10, -10, -42, -10, -34, -42
 791,     1,  -6, -18,  86,  -6, -22,  -6,  -6, -26
 792,     1, -23,  -7,  69,  -7,  -7, -19,  -7,  -7
 793,     1,  -8,  -8,  -8, -40,  84, -20,  -8,  -8
 794,     1,  -7, -19,  77,  -7, -31, -35, -31,  -7
 795,     1, -25, -29, -41,  -9, -37, -37, -21,  59
 796,     1, -30, -18,  58, -10, -10, -10, -10, -10
 797,     1,  -9,  -9,  -9,  -9, -37,  59,  -9,  -9
 798,     1,  -8,  -8,  -8,  -8, -32,  -8, -36,  88
 799,     1, -37, -17,  -9, -41,  63, -41, -41,  67
 800,     0, -43, -11, -43, -11, -15, -43, -43, -19
 801,     0, -11, -19, -11, -23, -11, -15, -27, -11
 802,     1,  -7,  -7, -19,  77, -23,  -7,  -7,  -7
 803,     1, -37, -37,  -9, -29,  63, -13,  -9,  -9
 804,     1, -11,  73,  -7,  -7, -35, -27,  -7, -23
 805,     1,  -7,  -7, -31,  69,  -7, -27,  -7, -15
 806,     1, -18, -30,  -6,  -6,  -6,  86,  -6, -26
 807,     0, -10, -10, -10, -34, -10, -22, -10, -30
 808,     1,  -8, -20,  -8, -32,  64, -12, -32, -32
 809,     1, -16,  84,  -8, -12,  -4,  -4,  -4,  -4
 810,     1,  -7,  -7,  -7,  -7,  -7, -23,  73,  -7
 811,     1,  -6,  86,  -6,  -6,  -6, -22, -26, -14
 812,     1, -26,  -6,  -6, -26,  -6,  -6,  -6,  90
 813,     1,  -2,  90,  -2,  -2,  -2,  -2, -10,  -2
 814,     1,  -4,  -4,  -4, -16,  -4,  -4,  84, -16
 815,     0, -10, -10, -10, -10, -10, -42, -30, -30
 816,     1, -28,  -8, -24,  60,  -8, -12, -12,  -8
 817,     1, -19, -15,  -7, -27,  -7,  -7,  -7,  73
 818,     1,  -8, -12,  -8,  -8,  60,  -8,  -8, -40
 819,     0, -30, -34, -10, -10, -10, -10, -34, -10
 820,     1,  -4,  92, -16,  -4,  -4, -12,  -4,  -4
 821,     1,  -6,  82,  -6,  -6,  -6,  -6, -18,  -6
 822,     1,  -7,  -7, -19, -23, -19,  -7,  81,  -7
 823,     0, -11, -15, -11, -11, -11, -15, -11, -11
 824,     1,  63, -13, -13,  59, -25, -41,  -9, -25
 825,     1, -33,  59,  -9, -37,  -9,  -9, -17,  -9
