nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y,  A10x,  A10y,  A11x,  A11y,  A12x,  A12y,  A13x,  A13y,  A14x,  A14y,  A15x,  A15y,  A16x,  A16y,  A17x,  A17y,  A18x,  A18y,  A19x,  A19y 
 203,    1,   47,   10,   36,   10,   50,   10,   58,    0,   18,    0,   35,    1,   41,   11,   58,   11,   63,   11,   63,   10,   49,   11,   58,    0,   60,    1,   58,    1,   57,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45
 204,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41,   10,   36,   11,   62,   10,   63,    0,   42,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58,    1,   29,   10,   37,   10,   50,   10,   63,   10,   45
 205,    1,   39,   11,   61,    1,   59,    0,   26,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65,    0,   30,   11,   64,   11,   62,   11,   59,    0,   52,    0,   47,   10,   47,   10,   47,    0,   59,   11,   57
 206,   10,   40,   10,   49,    1,   62,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58,    1,   25,    0,   33,    0,   33,    1,   16,   10,   61,   10,   39,    0,   32,    1,   51,    1,   15,   10,   42,   11,   54,   11,   60
 207,    1,   20,    0,   31,    0,   59,    0,   21,    1,   19,    1,   59,   11,   65,   10,   62,    1,   45,   10,   64,   11,   65,   11,   56,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56,    0,   57,    1,   48
 208,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64,   10,   48,   10,   45,    0,   46,   11,   54,    1,   37,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21,    0,   55,    0,   51,   11,   65,   11,   63,   11,   58
 209,    0,   23,    0,   25,    1,   42,    0,   54,   11,   54,    1,   26,   11,   63,   10,   52,    0,   34,   11,   54,    1,   55,   10,   56,    1,   16,   10,   51,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 210,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18,   11,   64,   10,   64,   10,   64,   11,   64,    1,   17,    0,   48,   11,   59,   11,   62,    0,   27,    0,   30,    1,   41,    0,   45,   10,   59,   10,   58,    1,   13
 211,    1,   45,    1,   61,    0,   19,    1,   23,   11,   60,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63,    0,   42,    0,   49,   10,   57,   10,   52,   10,   64
 212,    1,   27,   11,   61,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55,   10,   51,    0,   45,   11,   64,   11,   57,   10,   59,    0,   61,   10,   58,    0,   24,   10,   65,    1,   62,    1,   36,    1,   52
 213,   11,   57,   11,   56,    0,   24,    0,   38,   10,   38,   10,   43,    1,   55,   11,   62,   10,   64,   10,   61,    0,   59,    0,   19,    0,   56,   10,   62,    1,   60,   11,   59,   11,   57,   10,   42,    1,   52,   11,   54
 214,   11,   64,   11,   62,    0,   63,   11,   62,   10,   56,   10,   51,    0,   36,    1,   36,   11,   57,    0,   27,   10,   48,   11,   55,   10,   60,    1,   60,   11,   59,   11,   59,   11,   58,   10,   48,    1,   36,    1,   50
 215,    0,   63,   10,   58,    1,   60,   10,   62,    1,   64,    1,   23,    0,   35,   11,   54,   10,   45,    1,   28,    1,   34,    0,   53,    1,   17,   11,   56,   10,   53,    0,   63,   11,   62,    0,   51,    0,   40,    1,   25
 216,   11,   55,    1,   44,   11,   64,   10,   65,    0,   34,   11,   56,    1,   35,   10,   40,   11,   65,   10,   56,    1,   22,    1,   27,    1,   40,   10,   55,    0,   25,    0,   22,    1,   25,   10,   59,    1,   45,    1,   17
 217,    1,   16,   10,   65,    0,   41,    0,   63,    1,   44,    1,   35,    0,   31,   11,   59,   10,   44,   11,   61,   11,   57,    0,   30,    1,   57,   11,   55,   10,   40,   10,   50,   10,   59,    1,   39,   10,   53,    1,   29
 218,    1,   51,   11,   63,    1,   58,    0,   33,   10,   49,   10,   56,   10,   50,    0,   59,    1,   14,   10,   51,    0,   42,   11,   60,   10,   44,   10,   58,    0,   24,   11,   62,   10,   44,    1,   38,    0,   23,    0,   20
 219,    0,   19,    1,   22,   10,   44,   10,   54,   11,   61,    1,   48,   11,   64,   10,   39,   10,   53,   11,   60,    0,   56,    1,   43,    1,   34,    0,   42,   10,   60,    1,   22,   11,   64,    1,   63,    0,   23,   11,   54
 220,    0,   64,    0,   53,    1,   42,    1,   19,    0,   47,    0,   44,    0,   56,   10,   62,    1,   19,   11,   61,    0,   28,    0,   51,   11,   57,    0,   25,   11,   62,    0,   58,    0,   23,   10,   52,    0,   37,    0,   22
 221,    1,   20,    1,   51,   10,   60,   11,   57,   10,   41,    1,   34,    0,   56,   10,   54,    1,   19,    0,   27,   11,   54,   11,   59,   10,   61,   10,   54,    0,   28,   10,   64,   10,   36,   11,   64,    0,   37,   10,   48
 222,    1,   55,   11,   60,   10,   45,   10,   54,    1,   13,   11,   58,   11,   55,   10,   65,    0,   42,    1,   33,    1,   32,   11,   54,    0,   36,    1,   47,   11,   60,    1,   50,    0,   42,   11,   62,   11,   65,    0,   57
 223,    1,   23,    1,   21,   10,   51,    0,   56,   10,   36,    1,   54,   10,   53,   11,   59,   10,   61,    0,   37,    0,   61,   10,   59,    0,   45,    0,   41,    1,   41,    0,   45,    0,   47,   11,   56,   11,   63,   10,   61
 224,   10,   57,    1,   61,   10,   55,    1,   48,   10,   49,   10,   62,    1,   30,   10,   38,   11,   64,   10,   62,   11,   56,   10,   52,   10,   49,   11,   58,    0,   19,    0,   54,   11,   62,    1,   58,    1,   64,   11,   55
 225,    0,   64,    0,   21,    1,   51,   10,   38,   11,   62,   10,   40,    0,   58,    0,   26,   10,   54,    0,   26,   11,   58,   11,   62,   11,   56,   10,   53,   10,   44,    0,   50,   11,   55,    0,   54,    0,   58,    1,   35
 226,    0,   39,   11,   63,    0,   27,   10,   53,    0,   29,    0,   22,    0,   57,   10,   63,    0,   21,   10,   59,    0,   45,    1,   25,    1,   17,   10,   51,    1,   29,    1,   32,    1,   15,   10,   38,    1,   44,    1,   55
 227,    0,   31,   10,   64,    0,   27,   10,   55,    1,   18,    0,   39,   10,   62,    0,   29,   10,   41,    0,   29,    1,   48,   10,   45,    1,   19,    0,   65,    1,   45,   10,   61,   11,   56,    0,   26,   10,   55,    0,   35
 228,    0,   30,    0,   55,    0,   65,    1,   27,   11,   58,    1,   24,   10,   38,    0,   36,   11,   59,    0,   55,   11,   57,   10,   55,   11,   62,   10,   50,   10,   58,   11,   61,    0,   28,   11,   55,   11,   57,    0,   64
 229,    1,   56,    0,   37,   11,   54,   10,   65,    0,   47,   10,   55,   11,   57,    1,   24,    0,   61,   11,   61,    0,   29,    0,   43,    1,   48,    1,   23,    1,   52,    1,   22,    0,   18,   10,   52,   10,   48,    1,   50
 230,    0,   18,   11,   59,   10,   65,   10,   42,   10,   47,    1,   28,    1,   32,   10,   38,   11,   61,    0,   50,    0,   23,   10,   60,    1,   23,   11,   59,   10,   41,    0,   36,    0,   48,   11,   55,   10,   52,   11,   62
 231,   11,   54,    0,   60,   11,   57,   10,   46,   11,   60,    0,   52,   10,   48,    1,   40,    0,   39,   11,   59,   10,   45,   11,   57,    0,   24,   10,   58,   11,   65,    1,   29,    1,   34,    0,   38,   10,   63,   10,   50
 232,   11,   62,   11,   60,   11,   55,   11,   56,   11,   62,    1,   38,   10,   64,   10,   56,    0,   27,    0,   58,   11,   54,    0,   38,   10,   51,   10,   65,    0,   55,   11,   62,    1,   17,   10,   36,   11,   64,    0,   29
 233,    1,   32,   11,   63,    1,   25,    1,   32,    0,   56,    1,   23,    1,   18,    1,   31,   11,   61,    1,   25,    1,   14,   10,   46,   11,   64,    0,   35,    0,   52,   11,   63,   10,   44,   11,   56,    1,   64,   11,   63
 234,    0,   38,   10,   60,    0,   55,   11,   61,    0,   55,    1,   16,    0,   30,    0,   19,    1,   15,    1,   53,    0,   53,    1,   58,   10,   53,   11,   55,    1,   23,    1,   13,   11,   54,   10,   51,   10,   36,    0,   31
 235,   11,   65,    1,   62,   10,   48,   11,   57,    1,   57,   11,   62,    1,   12,    0,   47,    1,   27,   11,   61,    1,   33,    1,   59,    0,   56,    1,   21,    1,   31,   10,   48,   11,   63,   11,   63,    1,   22,   10,   41
 236,    1,   12,   10,   50,    0,   29,    1,   44,    0,   37,   11,   60,   10,   43,   10,   40,    1,   51,    1,   46,   11,   65,    1,   56,    1,   51,   11,   56,   10,   48,    1,   34,    0,   21,    1,   34,    0,   28,   10,   42
 237,   11,   56,    0,   51,    1,   33,   10,   49,    1,   29,   11,   55,   10,   58,   11,   63,    0,   26,    1,   21,   11,   62,    1,   57,    0,   48,    0,   27,    0,   32,    1,   39,    1,   23,    1,   32,    0,   42,    1,   22
 238,    1,   33,    1,   34,   10,   50,    0,   59,   10,   56,    1,   34,    1,   19,   10,   65,    0,   54,   10,   53,   10,   42,   10,   50,   10,   53,   10,   37,   11,   62,    0,   28,   10,   48,   11,   54,   10,   59,    1,   63
 239,    0,   33,    1,   15,   10,   56,   11,   55,    1,   43,   10,   55,    1,   58,   11,   63,    0,   24,    0,   60,    0,   36,   11,   65,   11,   60,    1,   51,   10,   56,   10,   51,    1,   58,    0,   47,   10,   53,    0,   38
 240,    1,   47,    1,   16,    0,   45,   10,   40,    1,   53,    1,   18,   11,   58,    0,   55,   11,   57,   10,   55,   10,   56,    1,   41,    0,   65,    0,   37,    0,   34,    0,   35,    0,   51,    1,   63,   11,   54,   11,   64
 241,   11,   57,   10,   63,   11,   64,   11,   62,   11,   65,   11,   58,    0,   23,   10,   38,   11,   65,   10,   63,   11,   64,    0,   29,    0,   42,    1,   39,    0,   37,    1,   61,   11,   56,    1,   61,    0,   41,    1,   42
 242,    1,   27,    0,   22,    1,   59,    1,   44,   10,   64,   10,   48,    1,   44,    0,   39,    0,   29,    1,   55,   10,   54,   11,   57,   11,   59,   11,   61,   10,   58,    1,   59,   11,   63,   10,   36,    0,   58,    0,   47
 243,    0,   26,    1,   30,   10,   46,    1,   28,   10,   37,    0,   42,    0,   49,   10,   39,    1,   56,    1,   47,    0,   27,   10,   41,   10,   61,   10,   36,   11,   57,    1,   27,    0,   49,   10,   37,    1,   51,   11,   65
 244,    0,   23,    0,   20,   11,   56,    0,   30,   10,   63,   11,   64,   11,   63,    0,   40,    0,   34,    1,   49,   10,   49,    1,   50,   10,   51,    0,   61,   10,   41,    1,   18,    0,   54,    1,   36,   10,   48,    1,   32
 245,    1,   51,    0,   28,   10,   55,   11,   54,    0,   21,   11,   54,    0,   24,    0,   50,    1,   48,   10,   64,    1,   45,   10,   39,    0,   29,    1,   21,    1,   23,    1,   47,   11,   58,    0,   64,    1,   63,    1,   56
 246,    0,   18,    0,   45,    0,   35,    1,   14,   11,   62,   11,   59,   10,   37,    0,   43,    0,   24,   10,   36,   10,   41,    0,   35,   11,   63,   10,   52,    1,   24,    0,   60,   11,   62,    1,   37,   11,   64,   11,   58
 247,    1,   52,    0,   27,    0,   61,   11,   63,    0,   60,   11,   54,   11,   56,    1,   28,    1,   51,    1,   56,    1,   12,   11,   59,   11,   54,    1,   43,   11,   60,   11,   60,    1,   29,   11,   63,    0,   33,    1,   24
 248,   10,   46,    0,   54,    0,   34,   11,   63,    1,   35,    1,   49,   11,   63,    0,   19,    1,   63,   10,   47,   11,   60,   10,   52,    0,   51,    0,   23,   10,   36,    1,   26,    1,   34,    1,   16,   10,   43,   11,   55
 249,   11,   61,    1,   41,   10,   52,   11,   60,    0,   53,    0,   55,    1,   21,    1,   48,   11,   61,   11,   56,   10,   40,   11,   65,    0,   50,    0,   26,   10,   43,    0,   57,    0,   24,   11,   65,   10,   45,   10,   53
 250,   11,   61,   10,   38,   10,   57,    0,   25,    0,   29,   11,   55,    1,   23,   10,   52,   10,   65,    1,   34,    0,   43,    0,   36,   11,   65,   10,   56,   10,   36,   11,   62,   11,   60,   10,   59,    0,   50,   10,   53
 251,    1,   32,   11,   60,    1,   12,    0,   18,    1,   41,    1,   42,   10,   43,   10,   50,    1,   38,   11,   63,    0,   34,    0,   33,    1,   22,   10,   61,   10,   53,    1,   13,    0,   43,   10,   55,   10,   49,   11,   64
 252,   11,   54,   10,   58,    1,   25,   10,   60,   10,   49,   11,   63,   10,   56,   10,   54,    0,   22,    0,   64,    0,   55,    0,   38,   10,   48,   11,   65,    1,   37,   10,   48,   11,   61,   10,   41,    0,   20,    1,   22
 253,    1,   44,   10,   63,   10,   54,    1,   58,   11,   63,   10,   57,   11,   60,    1,   27,   11,   55,    1,   14,   10,   50,    1,   13,    1,   42,   11,   54,    0,   40,   11,   63,   10,   45,   11,   61,    0,   31,    1,   14
 254,   11,   59,   10,   36,    1,   31,   10,   51,   10,   41,   10,   47,   10,   57,    1,   31,   10,   60,   10,   58,   10,   53,   10,   40,   10,   57,    0,   18,   10,   61,    0,   45,   10,   62,    1,   33,   10,   55,    0,   40
 255,    1,   12,   11,   58,   10,   57,    0,   23,   11,   58,    0,   65,   11,   57,    0,   44,    1,   16,   10,   36,   11,   60,    0,   39,    0,   20,    1,   32,    1,   46,   11,   57,    0,   40,    1,   48,    1,   17,   10,   37
 256,   10,   37,   11,   56,    0,   55,    0,   30,   11,   64,    1,   12,    0,   38,    1,   48,    1,   32,    0,   46,   11,   57,    1,   52,   11,   63,    0,   34,   11,   65,   11,   62,    0,   37,   10,   60,   10,   59,    0,   29
 257,   11,   55,   10,   61,    1,   44,   11,   64,    0,   24,   10,   44,    0,   31,   11,   63,   10,   62,   10,   38,    1,   38,    1,   50,    1,   17,    0,   32,   10,   56,    0,   44,   11,   60,    1,   63,   11,   65,   10,   39
 258,    1,   62,   10,   52,   11,   57,   10,   57,   10,   54,    1,   34,    1,   25,   10,   56,    1,   42,    1,   22,   11,   63,   10,   36,   10,   47,   10,   63,    0,   25,   10,   51,    0,   37,   11,   58,   11,   59,   11,   62
 259,   11,   57,   11,   65,   11,   63,   11,   55,   10,   65,   10,   41,    1,   50,   10,   40,   10,   38,   11,   54,   11,   57,   11,   64,   11,   61,   10,   58,    0,   56,   11,   60,    1,   33,   10,   51,    0,   57,    1,   13
 260,   10,   51,   10,   51,   10,   47,    0,   29,    1,   40,    1,   34,    0,   37,    1,   57,   11,   54,   11,   63,    1,   40,   10,   37,   11,   64,   11,   54,    1,   24,   11,   54,    0,   43,   11,   61,    0,   28,    1,   47
 261,    1,   64,    0,   42,   10,   58,   11,   64,    1,   31,    1,   48,    0,   32,   11,   57,    1,   38,   11,   61,    1,   31,   10,   38,   11,   63,   10,   39,    1,   50,    1,   61,   10,   62,    0,   21,    1,   53,    0,   40
 262,    1,   54,    1,   62,   11,   54,    1,   50,   11,   54,   10,   47,    0,   34,    1,   33,   11,   57,   11,   65,    1,   54,   10,   41,   10,   36,   11,   57,    0,   65,   11,   60,   11,   64,   11,   56,   11,   55,    1,   26
 263,   11,   62,    0,   24,   10,   56,    0,   63,    1,   56,    1,   29,   11,   65,    1,   41,    1,   45,    1,   47,   11,   60,   11,   63,    0,   60,   10,   49,    1,   54,    1,   27,   10,   36,    1,   14,    0,   55,   10,   42
 264,   11,   60,    1,   38,    1,   45,   11,   61,    1,   42,   10,   56,   10,   52,    1,   43,    1,   34,    0,   38,   10,   49,   10,   61,   10,   36,   11,   57,    1,   64,   11,   57,    0,   37,    0,   54,    0,   18,    1,   12
 265,   10,   57,    0,   62,    1,   65,   11,   59,    1,   41,   10,   39,    0,   64,    1,   23,   11,   58,   11,   65,   10,   51,   10,   37,   11,   56,    0,   33,   10,   50,   11,   62,    1,   25,   11,   57,   10,   56,   10,   58
 266,    0,   24,    1,   51,    1,   16,    0,   58,   11,   57,    0,   44,    1,   32,   10,   58,   11,   59,   11,   54,   10,   45,    0,   43,    1,   22,   10,   36,    0,   65,    0,   44,    1,   54,    0,   28,    0,   30,    1,   13
 267,   10,   39,   10,   53,    0,   29,    0,   64,   11,   54,   10,   48,   10,   61,    0,   52,   11,   60,   10,   50,   11,   59,   10,   52,    1,   22,    1,   53,    0,   36,    0,   63,    0,   18,   11,   61,    1,   14,    0,   52
 268,   11,   62,    0,   56,   11,   57,    0,   53,    1,   60,   10,   50,   10,   52,   11,   59,   11,   57,    0,   63,    1,   40,    1,   32,   10,   52,   10,   53,   10,   38,   11,   56,    1,   34,    0,   64,    1,   14,    0,   35
 269,    0,   42,   11,   57,   11,   54,   10,   58,   11,   62,   11,   55,    1,   51,   10,   45,   11,   61,    0,   40,   11,   59,    0,   41,   10,   43,   10,   51,   11,   58,   11,   64,   11,   62,   10,   38,   10,   40,    1,   24
 270,    1,   19,   11,   55,   11,   55,   11,   60,    0,   21,   11,   54,   10,   37,   11,   63,    1,   41,    1,   37,   10,   62,   11,   61,    0,   62,   10,   57,    0,   49,    1,   13,    0,   45,   10,   64,   11,   56,    1,   40
 271,    0,   37,    0,   62,    1,   60,    0,   35,   11,   62,   10,   47,   11,   61,    0,   48,   11,   64,    1,   65,    0,   31,    0,   23,   10,   53,    0,   50,   11,   62,    0,   48,   11,   58,   11,   62,    1,   22,    1,   16
 272,   11,   60,   10,   60,    0,   42,   11,   57,   11,   63,   11,   62,   10,   58,   10,   40,   10,   36,    0,   65,   11,   54,   10,   48,    0,   36,   11,   55,   11,   61,    1,   48,   11,   64,   11,   64,   11,   59,   11,   62
 273,    0,   27,    1,   59,   11,   63,   11,   54,    0,   35,    1,   57,    0,   35,    0,   64,    1,   24,    1,   15,    1,   31,    1,   39,    0,   22,   10,   47,    1,   31,   10,   42,    1,   63,    1,   55,    1,   18,    0,   27
 274,   11,   59,   11,   64,   10,   41,    0,   55,    0,   40,    1,   42,    0,   53,   11,   62,    0,   58,    0,   33,    1,   41,    1,   28,    0,   36,   10,   58,   11,   61,   10,   37,   11,   59,    0,   65,    0,   40,   11,   56
 275,    0,   24,   10,   55,   10,   57,   10,   37,   11,   62,   10,   51,   11,   59,   11,   62,    1,   50,   11,   62,   10,   43,    0,   57,    0,   23,    0,   44,   10,   48,   11,   62,    0,   32,   10,   54,    1,   35,   11,   63
 276,   10,   62,   10,   52,   10,   45,   11,   59,   10,   59,   11,   63,    1,   43,    0,   47,   11,   65,   10,   41,    0,   29,   10,   55,   10,   49,    1,   53,   10,   48,   11,   58,    0,   61,    1,   17,   11,   57,   10,   59
 277,   10,   42,    1,   28,    1,   45,    0,   31,   10,   41,   11,   65,   11,   54,   10,   62,    1,   45,   10,   39,   11,   58,    0,   62,   10,   44,   11,   57,   11,   61,    1,   21,    1,   42,    0,   25,   10,   40,    1,   12
 278,   10,   61,   11,   58,   10,   45,    0,   62,    1,   30,    0,   59,   10,   40,   11,   63,   10,   56,    1,   20,   10,   61,    1,   17,   10,   61,   11,   55,   11,   54,   10,   36,    0,   20,   11,   65,   10,   41,    1,   22
 279,    1,   39,   10,   46,    1,   16,    0,   32,   11,   64,   11,   60,    1,   36,    0,   40,    1,   19,    1,   16,   11,   58,   11,   55,   10,   37,   11,   59,    0,   65,    1,   56,    0,   40,   11,   57,    1,   14,    0,   40
 280,    0,   49,    1,   53,   11,   57,   11,   63,    1,   32,    1,   18,   11,   63,   11,   59,    1,   39,   10,   63,   11,   56,    1,   50,    1,   43,   10,   49,   10,   56,    1,   57,   10,   43,   11,   62,   11,   58,   11,   65
 281,    1,   47,    0,   50,   10,   53,    0,   58,   10,   52,    1,   51,    0,   57,   10,   58,   10,   52,    1,   18,   11,   55,    1,   34,   10,   37,   10,   65,    0,   38,   10,   52,    0,   37,    1,   19,    0,   39,    1,   24
 282,   10,   42,    0,   19,    0,   44,   10,   62,   11,   60,   10,   60,    1,   24,    0,   37,   11,   60,    1,   56,    0,   20,   10,   57,   11,   62,    0,   43,    0,   35,   10,   61,    1,   21,    1,   17,   11,   55,   10,   50
 283,   11,   63,    1,   60,    0,   28,   11,   60,    1,   32,    1,   26,    1,   33,    1,   27,   10,   58,    0,   64,    0,   18,   11,   58,    0,   28,   10,   47,    0,   23,   11,   62,   10,   39,    1,   44,   10,   40,   11,   61
 284,    0,   40,   10,   65,    1,   19,    1,   32,   11,   61,    1,   21,    1,   49,   10,   54,   11,   55,   11,   60,   10,   48,   10,   62,   11,   59,    0,   35,   10,   64,   11,   60,    0,   58,   11,   59,   10,   53,   10,   59
 285,    1,   26,    1,   20,   10,   58,    1,   38,   10,   53,    1,   15,    0,   52,    1,   30,    0,   47,    1,   19,   10,   52,    1,   30,   10,   42,    1,   19,   11,   65,    0,   27,    0,   54,    1,   24,    0,   39,    1,   53
 286,    0,   62,    1,   58,    0,   55,   11,   58,   11,   65,    0,   24,   11,   58,    1,   62,   10,   39,   11,   60,    0,   29,   10,   62,    0,   64,    1,   21,    1,   49,    1,   26,   10,   44,    0,   26,    1,   34,   10,   58
 287,    1,   41,   11,   54,    0,   55,    0,   62,   11,   57,    1,   13,   10,   44,   10,   53,    1,   35,   11,   62,    0,   41,   11,   63,   11,   58,    1,   20,    0,   26,   11,   61,    0,   20,   11,   56,    0,   26,    0,   20
 288,   10,   53,    0,   55,   11,   65,    0,   38,   10,   46,   11,   54,    0,   48,    0,   45,    0,   27,   11,   60,   11,   56,    1,   28,    1,   12,   10,   47,   11,   60,    0,   37,   11,   62,   10,   39,   11,   61,   10,   59
 289,   11,   54,    0,   20,   10,   64,    1,   38,   10,   39,   11,   60,   10,   51,    0,   31,    0,   53,    1,   60,    0,   20,    0,   26,   10,   53,   10,   49,    0,   42,    0,   45,    0,   60,    1,   53,    0,   62,    0,   50
 290,   11,   63,   10,   36,   11,   54,   10,   39,   10,   44,    1,   58,    0,   34,    1,   42,   11,   56,   10,   45,    1,   19,    0,   18,    0,   53,   11,   56,    0,   46,   11,   55,    0,   62,    1,   19,    1,   25,   10,   61
 291,    1,   65,    1,   20,    0,   42,   10,   48,    0,   22,   10,   40,   10,   60,    0,   60,    0,   32,    0,   63,   11,   62,   10,   62,    1,   40,    0,   38,    1,   49,   10,   55,   10,   39,    0,   18,    0,   58,    0,   51
 292,    0,   44,   11,   64,    1,   57,    1,   23,    0,   45,    1,   58,    1,   34,    1,   13,    0,   34,   10,   41,    0,   21,    1,   49,    0,   41,   10,   53,   10,   42,   10,   56,   11,   61,   10,   54,   10,   40,   10,   60
 293,   10,   63,   11,   63,   10,   60,   11,   64,    0,   45,    0,   41,   11,   65,   10,   59,    1,   43,   10,   55,    1,   59,    0,   34,    0,   27,   11,   59,   11,   56,    0,   20,    0,   22,   11,   60,   10,   38,   10,   51
 294,   10,   48,    1,   63,   11,   54,    1,   29,    1,   33,    0,   26,    0,   44,   10,   37,    1,   63,   10,   57,   10,   36,   10,   39,   10,   38,    1,   47,    1,   52,   11,   58,    0,   47,    0,   31,   10,   43,   11,   57
 295,    0,   49,    0,   53,   10,   41,    1,   29,   11,   65,   11,   56,   11,   57,    0,   40,    0,   61,    0,   52,    0,   32,   11,   60,   11,   57,    0,   41,   10,   45,    0,   58,   10,   43,    1,   38,   11,   60,   10,   54
 296,    0,   20,   10,   46,   11,   65,   10,   61,    0,   58,   11,   63,    1,   12,    1,   40,   11,   59,   10,   44,   11,   54,   10,   54,   11,   65,    1,   13,   11,   54,    1,   60,   10,   50,   10,   48,    1,   13,   11,   59
 297,    1,   35,    1,   33,   10,   52,    1,   37,    1,   61,    0,   49,    1,   62,    0,   19,    0,   43,   11,   65,   10,   47,   10,   49,    0,   42,    0,   48,    0,   53,   10,   45,    1,   14,   10,   60,    1,   53,   11,   58
 298,   10,   64,   11,   56,   10,   36,   11,   63,   10,   52,   10,   58,   10,   59,   10,   52,   10,   63,   11,   56,    1,   56,   11,   62,    0,   60,   11,   60,    0,   29,   11,   62,    0,   44,   10,   51,   10,   54,    1,   27
 299,   10,   59,    1,   49,   11,   65,    1,   29,   11,   62,   11,   55,   10,   45,    0,   53,    0,   38,    1,   53,    0,   47,    0,   46,    0,   18,   10,   59,    0,   58,    0,   19,    0,   35,   10,   44,   10,   48,    0,   56
 300,    0,   33,    0,   54,   11,   63,   11,   55,   11,   62,    0,   64,    0,   23,   10,   43,    0,   62,   11,   56,    1,   45,   10,   62,   10,   54,   11,   56,    0,   33,   11,   61,    1,   15,    1,   13,    0,   28,    1,   54
 301,    0,   52,   10,   56,    0,   63,    0,   37,    0,   50,    1,   25,    0,   57,    0,   30,   11,   58,   10,   59,   11,   60,    0,   57,   10,   52,    0,   47,   10,   46,   10,   49,    0,   50,   11,   63,    1,   53,   11,   54
 302,    0,   36,   10,   46,    1,   41,    0,   58,   11,   62,   10,   54,   10,   58,    1,   19,    0,   18,   10,   59,    0,   52,    1,   39,    1,   14,   11,   64,    1,   14,   10,   48,   10,   48,    0,   59,    0,   27,   10,   53
 303,   10,   44,    1,   47,   10,   60,   11,   65,   11,   58,    1,   60,    0,   37,   10,   50,   10,   63,    0,   23,    1,   65,   10,   59,   11,   60,   11,   60,   10,   37,    1,   39,    0,   20,   11,   56,   10,   52,   11,   65
 304,    1,   17,    0,   27,    0,   23,   11,   65,    0,   40,   11,   63,    0,   47,    1,   64,   10,   41,   10,   37,    0,   31,   10,   65,    1,   45,   11,   62,    0,   58,   10,   38,   10,   42,    1,   23,    0,   31,    0,   24
 305,   11,   64,   11,   62,   10,   39,   11,   56,    1,   22,    1,   25,   10,   40,   11,   65,   10,   43,    1,   44,   11,   62,   10,   61,   11,   62,    0,   41,   11,   58,    0,   22,   10,   57,    0,   29,   11,   63,    0,   40
 306,    0,   28,   11,   54,   11,   55,   10,   48,    1,   63,   10,   48,   11,   57,    1,   58,    1,   31,    1,   30,   11,   60,   10,   54,   10,   48,    0,   23,    0,   31,    1,   19,   11,   60,    1,   28,   10,   57,    0,   49
 307,   11,   56,    0,   33,   10,   55,   11,   64,   10,   60,   10,   55,   10,   50,    0,   57,    0,   37,    0,   55,   11,   57,   11,   57,   11,   62,   11,   54,   10,   36,    1,   25,    0,   40,   10,   59,   11,   57,    0,   19
 308,    1,   19,   11,   54,    1,   64,   11,   57,    0,   30,   10,   44,   11,   61,    0,   46,    0,   57,    1,   29,    1,   28,    0,   40,    0,   40,   10,   62,   10,   37,    0,   60,    1,   45,   11,   56,   11,   62,    1,   48
 309,    1,   30,    1,   63,   11,   57,    0,   43,   10,   36,    0,   39,    0,   46,   10,   57,   11,   65,   10,   48,   10,   63,   10,   63,   10,   58,    1,   57,   11,   64,   10,   37,   10,   45,    0,   23,   10,   36,    1,   15
 310,    1,   63,   10,   51,    0,   35,   11,   64,   10,   46,   11,   64,   11,   62,   10,   44,   11,   55,    1,   35,    0,   62,    1,   43,   10,   63,    0,   52,   10,   64,    0,   22,    1,   63,    1,   19,    1,   30,    1,   19
 311,    0,   33,    1,   48,   10,   50,    1,   43,   11,   63,    1,   64,   11,   62,    0,   61,   10,   44,   11,   54,   11,   58,    1,   42,   11,   60,    0,   39,    1,   54,    0,   23,   11,   60,   11,   61,    0,   61,    0,   52
 312,    1,   58,   11,   60,   11,   63,   10,   65,   10,   61,   11,   63,   11,   65,   10,   45,    0,   30,   11,   63,    0,   30,    0,   43,    0,   26,    1,   65,    0,   54,   11,   54,   11,   60,    0,   45,   10,   59,   10,   47
 313,   11,   62,    0,   57,   11,   63,    1,   32,   11,   64,   11,   62,    1,   35,   11,   59,    1,   55,   11,   58,   11,   55,    1,   35,    1,   13,   11,   63,    0,   46,    1,   62,    1,   56,   11,   55,   11,   60,    1,   15
 314,    0,   39,   10,   37,   11,   54,    0,   18,    1,   25,   11,   63,   11,   55,   11,   57,   10,   49,    1,   19,   11,   61,    1,   53,   11,   57,    1,   51,    1,   36,    0,   39,   10,   63,    0,   62,    1,   14,   11,   61
