nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y 
 355,   10,   56,    1,   49,   10,   60,    0,   32,   10,   55,   10,   60
 356,    1,   46,   10,   61,    1,   40,    0,   62,   11,   57,   11,   59
 357,    1,   32,   10,   65,   11,   64,    1,   22,    0,   63,    0,   28
 358,   11,   64,    0,   43,    1,   58,   10,   50,   10,   65,   10,   60
 359,   11,   57,    1,   22,   10,   59,    1,   29,    1,   50,    0,   62
 360,   10,   53,    0,   22,    0,   47,   10,   40,   11,   57,    0,   32
 361,   11,   59,   10,   44,   10,   43,    0,   52,    1,   28,   10,   47
 362,   11,   65,   10,   37,   10,   36,    1,   16,   11,   54,   10,   49
 363,   10,   43,    1,   35,    1,   38,   11,   61,   11,   60,   10,   54
 364,   10,   58,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65
 365,   10,   61,    0,   40,    0,   35,    1,   21,   10,   41,    0,   53
 366,   11,   65,   11,   56,   10,   51,    0,   29,   10,   61,   11,   63
 367,    1,   63,   10,   44,    1,   32,    0,   48,   10,   60,    0,   25
 368,    1,   23,    1,   31,    1,   39,   10,   51,   11,   54,   10,   55
 369,   11,   60,   10,   49,    0,   22,    1,   45,    1,   21,   11,   65
 370,    1,   27,    0,   64,   10,   52,    1,   55,    0,   49,   10,   64
 371,   11,   59,   10,   51,    0,   43,   10,   63,   10,   43,   10,   56
 372,    1,   19,    0,   32,    0,   32,    0,   38,   10,   36,    0,   22
 373,    1,   59,    1,   33,    1,   20,    0,   28,    0,   36,   11,   57
 374,   11,   60,   11,   60,   10,   59,   11,   56,    0,   26,    0,   21
 375,    0,   37,   10,   36,   10,   57,   11,   61,   10,   44,    1,   45
 376,   11,   58,   10,   46,   10,   37,    0,   49,   11,   57,   10,   59
 377,    0,   50,    1,   22,    0,   57,   10,   48,    1,   20,   11,   60
 378,    0,   37,   11,   57,   10,   38,   11,   61,    1,   22,    1,   54
 379,    0,   30,    1,   27,   10,   63,   10,   55,    1,   37,   10,   56
 380,    1,   37,    0,   32,   11,   65,    1,   35,    0,   51,   11,   54
 381,   10,   42,    0,   49,    1,   16,   10,   62,   10,   59,   10,   52
 382,    1,   41,    1,   12,   10,   63,    1,   35,   10,   36,    0,   54
 383,   10,   37,    1,   44,    0,   63,    0,   47,    0,   30,    0,   54
 384,   11,   64,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49
 385,    0,   20,    0,   59,   11,   57,    0,   30,   11,   60,    0,   52
 386,   10,   61,   11,   64,   10,   62,   10,   42,   10,   44,    0,   26
 387,    0,   31,   11,   60,   10,   39,   11,   55,   11,   56,    0,   63
 388,    0,   31,   10,   53,   10,   45,   11,   54,    0,   29,   11,   55
 389,   10,   64,   11,   55,    1,   15,   11,   59,    1,   60,   10,   65
 390,   10,   39,    0,   23,    1,   54,   11,   54,    1,   62,   11,   57
 391,   11,   55,    1,   23,    1,   40,    0,   26,   10,   61,    0,   63
 392,   10,   59,    0,   35,    1,   42,   11,   60,   11,   65,   11,   58
 393,   11,   57,   10,   56,   10,   63,   11,   63,    1,   59,   10,   45
 394,    1,   24,   11,   58,    1,   32,   10,   44,   11,   62,   11,   54
 395,    1,   23,    0,   34,   11,   58,    0,   58,   11,   60,    0,   25
 396,    1,   34,    1,   53,   11,   59,    0,   39,    0,   40,    1,   65
 397,    1,   18,   11,   62,   10,   45,    0,   52,    1,   45,    0,   39
 398,   10,   52,   10,   42,    1,   15,    0,   27,   10,   59,   10,   46
 399,    0,   51,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55
 400,    1,   40,   10,   36,    0,   40,   10,   64,   10,   56,   11,   55
 401,    0,   40,   10,   45,    1,   58,   10,   53,   11,   61,    1,   21
 402,    0,   42,    0,   42,   11,   58,   11,   63,   11,   58,   10,   55
 403,    0,   26,   10,   57,    0,   41,    1,   34,   11,   65,    0,   62
 404,   10,   47,    0,   46,   10,   64,   11,   63,   11,   62,   11,   60
 405,   10,   49,   11,   64,   11,   57,    0,   47,    1,   33,   11,   62
 406,   11,   63,    1,   17,    1,   54,    1,   57,    1,   56,   11,   62
 407,    0,   62,    1,   16,    0,   59,    1,   43,   11,   65,   10,   57
 408,   10,   48,    0,   27,    1,   23,   11,   56,    0,   51,   11,   61
 409,    1,   56,    0,   49,    1,   52,    1,   45,    0,   58,   10,   41
 410,   11,   65,   10,   61,   11,   57,    0,   33,   11,   57,    1,   57
 411,    0,   39,    1,   34,   11,   59,    0,   60,   11,   58,    0,   41
 412,   10,   49,    0,   22,   10,   52,   10,   44,    1,   30,   10,   49
 413,    0,   50,   11,   58,    0,   44,   10,   46,   11,   65,    1,   39
 414,    1,   48,    0,   32,   11,   56,   10,   42,    0,   37,   10,   43
 415,    1,   36,   10,   40,   10,   53,   11,   61,    1,   38,   10,   51
 416,   10,   44,    0,   64,   11,   62,   11,   65,    1,   30,   11,   62
 417,    0,   55,    0,   27,   10,   42,    1,   20,   10,   54,   11,   55
 418,   11,   57,    0,   34,   11,   57,    1,   26,   10,   47,   11,   55
 419,   10,   65,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 420,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33,    1,   58
 421,    0,   53,   10,   53,    1,   53,   10,   48,    1,   34,   10,   43
 422,   11,   64,    1,   40,   10,   50,    0,   48,   10,   53,   10,   50
 423,   11,   55,   11,   54,   11,   59,   10,   37,   11,   56,   11,   65
 424,   11,   61,    0,   46,   10,   63,   10,   40,    0,   56,    1,   30
 425,    1,   61,   11,   63,    1,   65,   10,   62,   11,   61,   10,   64
 426,    0,   43,    0,   57,   11,   60,    1,   60,    0,   55,    0,   55
 427,   11,   63,   10,   41,   11,   56,   11,   61,   11,   60,    0,   62
 428,   10,   49,    1,   42,   11,   57,    1,   22,    1,   53,    0,   58
 429,    0,   25,    0,   53,   10,   61,    0,   61,    0,   25,    1,   30
 430,   11,   62,    0,   23,   10,   39,   10,   57,   10,   36,   11,   57
 431,    1,   40,   11,   57,   10,   61,   10,   42,    1,   19,   10,   50
 432,    1,   61,    0,   24,   10,   47,    1,   43,   10,   36,    0,   20
 433,    0,   28,   11,   54,    0,   45,    1,   47,    0,   51,    0,   34
 434,    1,   45,    0,   19,    0,   46,    1,   49,    1,   12,    0,   62
 435,   11,   63,    1,   50,    1,   13,    1,   49,    0,   65,    1,   45
 436,    0,   22,   11,   61,    0,   36,   10,   60,    1,   36,   11,   61
 437,   11,   60,   10,   60,   11,   56,   10,   57,    1,   28,    0,   63
 438,   10,   63,   10,   45,   11,   64,   11,   60,    1,   56,   10,   38
 439,   11,   63,   10,   42,    1,   38,   11,   59,   11,   59,    0,   37
 440,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65,   11,   56
 441,    1,   46,    0,   37,   10,   61,    0,   33,    1,   20,    1,   65
 442,    1,   15,   11,   65,   11,   61,    1,   56,   10,   41,   10,   50
 443,   10,   42,    1,   28,    1,   49,    1,   47,    0,   19,    1,   61
 444,    0,   22,   11,   57,    0,   21,    0,   28,   10,   37,   11,   65
 445,    1,   56,   10,   36,   11,   65,   10,   57,    1,   58,    0,   35
 446,   11,   56,    0,   20,    0,   60,   11,   60,   11,   55,   11,   62
 447,   11,   57,    0,   47,   10,   63,    0,   28,   10,   60,    1,   33
 448,   10,   38,    1,   26,    0,   35,    1,   60,   10,   43,    1,   40
 449,   11,   57,    1,   18,    0,   27,   10,   56,   11,   63,    1,   32
 450,   11,   60,   10,   57,   11,   58,   11,   59,    1,   51,   10,   45
 451,   10,   39,   11,   54,    0,   51,   11,   65,    1,   62,   10,   38
 452,    1,   38,   11,   54,   10,   52,   11,   58,    1,   47,    0,   48
 453,    1,   24,    0,   46,   10,   44,    1,   64,    1,   43,    1,   34
 454,    0,   35,   11,   59,   11,   65,    1,   19,   10,   37,    0,   32
 455,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43,   11,   58
 456,    1,   28,   11,   60,   11,   62,    1,   32,    0,   20,   11,   61
 457,   11,   56,   10,   52,    0,   57,   11,   65,    0,   46,   11,   65
 458,    1,   59,   11,   64,   10,   64,   10,   39,    0,   28,    0,   42
 459,    1,   27,    1,   19,    1,   59,   10,   58,    1,   65,    1,   28
 460,   10,   56,    1,   34,    0,   47,    1,   40,    0,   41,   11,   58
 461,   10,   41,    0,   30,    0,   57,    1,   64,   10,   61,    0,   37
 462,    1,   23,   11,   63,    0,   46,   11,   58,   11,   60,   10,   60
 463,    0,   55,    1,   57,    0,   32,   10,   55,    1,   48,   11,   58
 464,    0,   35,    0,   25,   10,   44,    0,   61,    0,   34,   10,   61
 465,   11,   61,   11,   60,    0,   41,    1,   33,    1,   56,   10,   57
 466,   11,   55,   10,   59,   10,   57,    1,   17,    0,   58,    1,   21
 467,    1,   40,    1,   13,    0,   46,    1,   53,    1,   54,   10,   45
 468,    1,   33,    0,   55,   11,   61,   10,   59,    0,   53,   10,   40
 469,   10,   60,    0,   21,    0,   32,    1,   57,    1,   53,    0,   51
 470,   11,   58,   11,   54,    0,   19,   11,   63,   10,   62,    1,   53
 471,   11,   61,   11,   64,   10,   59,   11,   56,    0,   47,   11,   63
 472,   11,   55,    1,   62,   10,   57,   11,   62,    1,   59,    1,   63
 473,   10,   41,   11,   63,   11,   61,    0,   21,    0,   43,    1,   43
 474,    1,   50,   10,   55,   11,   55,   11,   56,   11,   59,    1,   64
 475,   10,   37,   11,   57,    1,   19,   11,   61,   11,   61,   11,   64
 476,   11,   63,   11,   62,   10,   63,   11,   65,    0,   46,   11,   61
 477,    0,   25,    1,   40,    1,   31,    0,   48,    1,   39,    0,   65
 478,    1,   50,   11,   56,    1,   31,    0,   49,   11,   61,   10,   38
 479,    1,   38,   11,   59,   10,   51,    0,   18,   11,   65,    0,   25
 480,   11,   60,    0,   43,   11,   57,    1,   51,    1,   12,    1,   41
 481,   10,   48,    1,   50,   11,   64,    1,   18,   10,   42,    0,   48
 482,    0,   52,   10,   48,   11,   59,   10,   54,   10,   62,    0,   50
 483,    0,   28,   10,   45,    0,   44,   11,   60,    0,   32,    0,   33
 484,    0,   49,   10,   39,    0,   25,   11,   65,    1,   35,    0,   52
 485,   10,   36,    0,   18,    1,   59,   11,   61,   11,   64,   10,   47
 486,    1,   21,   10,   50,    0,   19,    0,   30,    1,   60,   11,   57
 487,   10,   52,   11,   57,    1,   44,    1,   34,    0,   53,   11,   61
 488,   10,   62,   11,   54,   10,   36,    1,   22,    0,   38,    0,   52
 489,    1,   59,    1,   64,   11,   58,    0,   24,    0,   20,   11,   58
 490,    1,   35,   11,   58,    1,   48,    1,   47,    1,   42,    1,   25
 491,   11,   61,   10,   44,   10,   52,   10,   52,    1,   47,    0,   32
 492,    1,   35,    0,   27,   11,   63,    0,   47,   10,   38,   10,   46
 493,    1,   31,   10,   61,   11,   57,   11,   54,   10,   57,   11,   59
 494,    1,   45,    1,   64,    1,   19,    1,   25,   11,   64,   10,   44
 495,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31,    0,   31
 496,    0,   35,   11,   61,   11,   59,    0,   25,    1,   24,    0,   30
 497,    1,   34,   10,   64,   10,   38,    0,   37,    0,   44,   10,   44
 498,   10,   65,    0,   62,    1,   59,    1,   61,   11,   63,    1,   26
 499,    0,   55,    1,   37,    0,   21,   11,   60,    0,   27,    1,   26
 500,    0,   18,   11,   59,   10,   52,   10,   62,    1,   47,    0,   32
 501,    0,   39,   11,   64,   10,   61,    1,   16,    1,   50,    0,   24
 502,   11,   59,   10,   65,   10,   48,   10,   50,    1,   42,    1,   18
 503,   11,   64,   10,   49,   11,   59,   10,   63,    0,   54,   11,   58
 504,   10,   45,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14
 505,   10,   44,   11,   65,   10,   63,   11,   58,   10,   36,   10,   65
 506,   10,   44,   10,   47,    1,   36,    0,   40,    0,   18,    0,   38
 507,    1,   14,   11,   55,    1,   56,   10,   48,   11,   57,    1,   55
 508,    1,   55,    1,   49,    0,   39,    0,   45,    0,   63,   11,   57
 509,    1,   12,   11,   60,    1,   65,    1,   47,    1,   18,    1,   50
 510,    0,   33,    0,   19,    0,   27,    0,   50,   11,   59,    1,   39
 511,   10,   54,    0,   55,   11,   60,   10,   53,    0,   36,   11,   54
 512,   11,   61,   10,   50,    0,   47,   11,   60,   11,   62,    0,   57
 513,    0,   63,    0,   37,   11,   58,   10,   55,    1,   33,   10,   51
 514,   11,   62,    0,   50,   10,   51,    1,   53,   11,   57,    1,   50
 515,   11,   57,   10,   62,    0,   57,   10,   60,   11,   62,   10,   38
 516,   10,   37,    1,   16,   10,   36,   10,   55,    0,   24,   11,   62
 517,   11,   58,    0,   63,    1,   42,    0,   56,    0,   63,    1,   20
 518,   10,   43,    0,   41,   10,   57,   11,   56,   11,   59,    0,   54
 519,    1,   42,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55
 520,    1,   15,   11,   62,    0,   29,   10,   44,    0,   58,    1,   49
 521,    1,   24,   11,   62,    1,   45,    0,   64,   11,   63,    0,   58
 522,    1,   30,   10,   62,   10,   44,   11,   55,   11,   62,   10,   42
 523,    1,   34,   10,   58,   11,   59,   10,   60,   10,   53,    1,   15
 524,   11,   56,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14
 525,    0,   51,   11,   65,   11,   59,   10,   38,   10,   58,   11,   54
 526,    1,   26,    0,   29,   11,   60,   10,   42,   11,   59,   11,   59
 527,    0,   28,   10,   41,    1,   44,    1,   13,    0,   56,    1,   17
 528,    0,   33,    0,   47,   10,   59,    1,   41,   11,   63,    1,   17
 529,   11,   63,    0,   20,   11,   58,    0,   45,   11,   65,    0,   53
 530,    0,   57,   10,   60,   10,   60,    0,   30,    0,   23,    0,   22
 531,    1,   30,    0,   27,   10,   37,    0,   59,   11,   54,    1,   31
 532,   10,   54,   11,   57,    1,   32,   11,   56,   11,   61,    1,   50
 533,    0,   20,   11,   58,   11,   61,   10,   62,    1,   32,   11,   64
 534,   11,   65,   10,   41,   11,   64,    1,   48,    0,   62,    1,   42
 535,   10,   60,   10,   45,   11,   56,   10,   51,    1,   39,    1,   40
 536,    0,   30,    0,   59,    1,   58,    1,   29,   10,   48,   11,   61
 537,   10,   65,   11,   58,    1,   58,   11,   60,   10,   38,    0,   23
 538,    1,   12,   10,   36,    1,   17,    0,   49,    1,   12,   11,   60
 539,   11,   57,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59
 540,   11,   58,    0,   38,   10,   60,   10,   38,   11,   55,    0,   28
 541,    0,   27,    0,   43,   11,   60,   10,   59,   11,   57,   11,   56
 542,    0,   56,    0,   61,   11,   62,   10,   50,    0,   34,   11,   61
 543,    1,   21,    0,   43,   10,   64,   11,   62,   10,   65,   10,   59
 544,    1,   19,    1,   54,   10,   50,    0,   35,   10,   48,    0,   64
 545,   11,   64,    1,   65,    0,   49,    0,   34,   10,   50,    1,   62
 546,   11,   64,   11,   56,   10,   47,   11,   58,   10,   60,    1,   18
 547,    1,   26,    1,   64,   11,   61,   11,   60,   11,   57,   11,   60
 548,    0,   40,    1,   23,   11,   56,   10,   52,   10,   41,   10,   50
 549,   10,   63,   11,   61,   10,   65,    0,   25,   10,   45,    1,   45
 550,    1,   43,    1,   20,   10,   40,    0,   58,   11,   55,   10,   60
 551,   11,   61,   10,   54,    1,   43,   11,   59,    0,   58,    1,   35
 552,   10,   60,   10,   47,    0,   64,    1,   35,   11,   62,   10,   65
 553,   11,   61,    0,   57,   10,   53,   10,   42,   10,   50,   11,   65
 554,   11,   60,    1,   17,    0,   31,    0,   52,    1,   56,   11,   59
 555,    1,   40,   10,   50,   11,   57,    0,   64,    0,   27,    1,   57
 556,    1,   47,   11,   60,    0,   42,    0,   35,    0,   37,    0,   50
 557,   10,   60,   10,   39,    0,   65,   10,   55,    1,   29,   11,   65
 558,    0,   34,    1,   65,   10,   58,    1,   29,   10,   60,    0,   60
 559,   10,   45,    0,   63,   10,   49,    1,   47,    0,   61,   10,   36
 560,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44,   11,   54
 561,    0,   61,   10,   62,   11,   62,   11,   58,   10,   63,    0,   18
 562,   10,   48,    1,   32,   10,   51,    1,   48,    1,   38,    1,   40
 563,   11,   55,   10,   41,   11,   63,    1,   63,    0,   47,    1,   54
 564,   11,   57,   10,   55,    1,   28,    0,   63,    1,   49,   11,   57
 565,    0,   35,   10,   51,    0,   65,   11,   64,    0,   38,   11,   65
 566,   10,   41,   11,   57,   11,   61,    1,   44,    1,   44,   11,   62
 567,   10,   57,   11,   58,    0,   51,    0,   49,   10,   46,    0,   53
 568,   11,   63,   11,   59,    0,   23,    0,   31,   11,   55,   11,   54
 569,   10,   53,   10,   40,    1,   57,    1,   31,    1,   33,   10,   51
 570,   11,   59,    1,   12,    1,   56,   11,   60,    1,   32,    1,   30
 571,   11,   58,   10,   40,   11,   57,    1,   25,    0,   63,   10,   63
 572,    0,   44,   10,   64,   10,   55,    1,   60,   10,   36,   10,   61
 573,    0,   27,   10,   37,    1,   43,    0,   58,    0,   56,    0,   58
 574,   10,   58,   10,   60,    0,   54,    0,   30,    0,   39,    1,   59
 575,    0,   54,   11,   61,    0,   18,    0,   57,   10,   63,   10,   39
 576,   10,   45,   10,   41,   11,   62,   10,   54,    1,   39,   10,   46
 577,    1,   32,    0,   18,   11,   64,    1,   27,   10,   62,    0,   26
 578,    0,   35,   11,   54,    1,   62,   10,   45,   11,   63,    0,   60
 579,   11,   59,   10,   48,    1,   46,   11,   59,   10,   40,    1,   35
 580,   11,   61,    1,   55,    0,   45,   11,   54,   10,   59,   10,   43
 581,   11,   61,    1,   35,   11,   62,   11,   62,    0,   41,   10,   36
 582,    0,   48,    0,   52,    0,   38,   11,   61,    0,   44,   10,   42
 583,    0,   25,   11,   56,   11,   65,   10,   60,   11,   62,   10,   36
 584,    1,   33,   11,   63,    1,   51,    0,   59,    0,   40,    1,   57
 585,    1,   18,   10,   41,   11,   62,   10,   45,   11,   58,    1,   47
 586,   11,   65,    1,   51,    0,   62,    0,   43,    1,   33,    1,   38
 587,   11,   59,   10,   36,    1,   56,    1,   59,    1,   27,    0,   29
 588,   10,   42,   11,   64,    1,   63,    0,   49,    1,   14,   10,   54
 589,   10,   42,    0,   29,    1,   47,   10,   45,   11,   61,    0,   64
 590,   11,   63,   10,   44,    0,   30,   10,   48,    0,   50,   10,   40
 591,    1,   31,    1,   62,    0,   56,    0,   46,    0,   30,   11,   54
 592,    1,   35,    1,   50,   11,   62,    1,   41,   11,   58,    1,   51
 593,    0,   52,    1,   56,   11,   59,    1,   31,   11,   55,    1,   25
 594,    0,   54,   11,   63,    0,   31,   10,   43,    1,   40,   11,   61
 595,   11,   58,   11,   60,    0,   23,    1,   22,    1,   14,    1,   32
 596,    1,   55,   10,   45,    0,   24,   10,   62,    1,   34,   10,   39
 597,   11,   59,    0,   61,    0,   19,    0,   44,    1,   15,    0,   40
 598,    0,   27,   10,   45,    0,   63,   11,   61,   11,   65,    1,   45
 599,   11,   54,   11,   59,   11,   58,    0,   42,   11,   60,    0,   50
 600,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24,    1,   64
 601,   11,   62,   10,   48,   10,   58,    0,   21,   10,   50,   10,   44
 602,   10,   61,   10,   36,   11,   56,    1,   16,    1,   60,    1,   50
 603,    1,   38,    1,   48,    0,   61,   11,   57,   10,   64,   11,   55
 604,    1,   32,   11,   65,   11,   61,    1,   26,    1,   34,   10,   48
 605,   11,   55,    0,   54,   11,   60,   10,   53,   11,   64,    1,   33
 606,   10,   56,   10,   45,   10,   59,   10,   63,    0,   29,    0,   27
 607,    0,   49,   10,   41,   10,   44,   11,   62,    1,   49,   11,   61
 608,    1,   21,    1,   12,    1,   40,   10,   41,    1,   37,   11,   56
 609,    1,   61,    1,   41,   10,   63,   11,   57,   10,   58,    0,   54
 610,    1,   47,    1,   22,   10,   37,   10,   51,    0,   50,    1,   25
 611,   10,   55,   10,   57,    0,   62,    1,   26,   10,   38,    0,   30
 612,   11,   55,   10,   58,   10,   42,    1,   34,    0,   34,   11,   54
 613,    0,   58,   11,   55,   11,   64,    1,   21,    1,   13,   11,   56
 614,    1,   43,   10,   43,    1,   43,    1,   58,   10,   55,   11,   54
 615,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52,    0,   21
 616,   10,   65,    0,   30,    0,   57,    0,   52,    1,   40,    1,   23
 617,   11,   54,    1,   54,   10,   51,    0,   28,   10,   45,   10,   53
 618,   10,   44,    1,   57,    0,   21,   11,   64,    0,   57,    0,   56
 619,   10,   49,    1,   58,    0,   46,    0,   62,    0,   62,   11,   65
 620,   10,   64,    0,   35,   10,   52,    0,   59,    0,   24,    0,   60
 621,    0,   47,   11,   62,   10,   60,    0,   49,    1,   50,   10,   45
 622,   10,   58,   11,   64,    0,   37,   11,   61,    0,   29,    1,   50
 623,    1,   34,   11,   54,    1,   65,   11,   63,    0,   23,    0,   20
 624,   11,   65,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55
 625,    0,   49,    0,   49,   11,   64,   11,   60,   10,   46,   10,   54
 626,    1,   32,    1,   62,   11,   54,   11,   58,   11,   55,   11,   59
 627,    1,   61,   10,   59,    1,   29,   11,   58,    0,   49,   10,   63
 628,   10,   45,    0,   46,   11,   55,   11,   64,   10,   54,   11,   62
 629,    1,   55,   10,   46,   11,   58,   10,   65,   11,   65,    1,   25
 630,   10,   41,   11,   57,   11,   65,   11,   58,    1,   45,    0,   65
 631,    1,   35,    1,   62,   11,   60,   10,   64,    0,   21,    0,   20
 632,   10,   46,   11,   54,    0,   45,    0,   54,    0,   43,   10,   44
 633,   10,   52,    0,   28,    0,   41,    1,   12,   11,   57,    1,   65
 634,    0,   33,   10,   61,    0,   34,   10,   60,   10,   44,    0,   18
 635,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57,    1,   28
 636,    1,   59,   10,   61,   11,   65,    0,   39,    0,   46,   10,   41
 637,    0,   62,    0,   60,    1,   54,   11,   59,   10,   37,    1,   35
 638,   10,   53,    1,   34,    0,   51,    0,   49,   11,   56,    0,   37
 639,    0,   43,   11,   57,    0,   36,   10,   62,    1,   12,   11,   55
 640,    1,   23,    1,   54,    0,   41,    1,   21,    1,   49,    0,   57
 641,    0,   39,   10,   48,   10,   49,   10,   56,    0,   31,   10,   63
 642,    1,   22,    0,   19,    0,   46,    0,   25,    1,   28,   11,   55
 643,   10,   46,   10,   62,    0,   34,   11,   56,    1,   12,    1,   54
 644,   10,   55,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65
 645,   10,   56,    1,   26,    1,   22,   10,   38,    1,   16,   10,   61
 646,    1,   30,   11,   59,    1,   19,    1,   51,    0,   24,   11,   60
 647,    1,   44,    1,   24,    1,   55,   11,   56,   11,   57,   11,   56
 648,   11,   63,   11,   61,    1,   48,    0,   58,    1,   47,    0,   18
 649,    1,   24,   11,   62,   10,   60,    0,   60,    0,   38,   11,   61
 650,   10,   37,    0,   60,   10,   39,    1,   53,   11,   56,    0,   32
 651,   10,   56,   10,   57,   10,   63,    1,   44,    0,   41,   10,   63
 652,   10,   54,    1,   43,    0,   55,   11,   60,   10,   53,   11,   54
 653,   10,   48,   11,   56,    1,   35,   10,   65,    1,   56,   10,   44
 654,   10,   39,    1,   49,    0,   53,   11,   60,   10,   47,    0,   24
 655,   11,   59,    0,   56,    0,   29,    1,   61,    0,   54,   10,   46
 656,   11,   54,    0,   49,    1,   51,    0,   44,    0,   41,    1,   47
 657,    0,   43,   11,   56,    1,   35,   11,   54,    1,   65,   11,   59
 658,    0,   36,   11,   55,   11,   63,    1,   28,    0,   52,    1,   52
 659,    1,   19,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37
 660,    1,   53,    0,   46,   11,   54,   10,   52,   11,   61,   11,   55
 661,    0,   37,   10,   58,   11,   54,    1,   43,    1,   12,   10,   47
 662,   10,   64,   11,   54,    1,   21,    1,   63,   10,   38,   10,   41
 663,   11,   59,    1,   18,    0,   24,    0,   55,    1,   56,   10,   49
 664,   11,   63,    0,   21,    0,   54,   11,   59,   11,   60,   11,   60
 665,   11,   65,    1,   25,    1,   47,   10,   38,   10,   38,   11,   54
 666,    1,   15,    1,   26,    1,   28,   10,   53,    0,   32,    0,   27
 667,    1,   48,   11,   62,    1,   57,   11,   65,   10,   53,   10,   56
 668,    1,   29,    0,   38,   11,   54,    0,   50,   10,   46,    1,   31
 669,    0,   45,    1,   65,    1,   36,   11,   62,   10,   58,   10,   61
 670,    0,   53,    1,   42,   11,   62,   10,   64,    1,   13,   11,   58
 671,   10,   60,   11,   56,    0,   53,    1,   45,   10,   56,   10,   45
 672,   10,   64,    0,   65,    1,   27,   10,   42,    0,   51,   10,   55
 673,   11,   54,    1,   27,   11,   58,    1,   44,   10,   39,   11,   65
 674,   11,   57,    1,   17,    0,   59,    0,   39,    0,   50,    0,   56
 675,    0,   32,    0,   43,    1,   45,   10,   45,    0,   33,    0,   65
 676,    1,   56,   11,   60,    1,   42,   11,   56,    1,   47,   10,   36
 677,   10,   50,   10,   58,    0,   18,    0,   35,    1,   41,   11,   58
 678,   11,   63,   11,   63,   10,   49,   11,   58,    0,   60,    1,   58
 679,    1,   57,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45
 680,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59,    1,   41
 681,   10,   36,   11,   62,   10,   63,    0,   42,    0,   29,    0,   49
 682,   11,   64,   11,   61,   11,   58,    1,   29,   10,   37,   10,   50
 683,   10,   63,   10,   45,    1,   39,   11,   61,    1,   59,    0,   26
 684,    1,   63,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65
 685,    0,   30,   11,   64,   11,   62,   11,   59,    0,   52,    0,   47
 686,   10,   47,   10,   47,    0,   59,   11,   57,   10,   40,   10,   49
 687,    1,   62,   11,   64,   11,   62,   11,   57,   11,   58,   11,   58
 688,    1,   25,    0,   33,    0,   33,    1,   16,   10,   61,   10,   39
 689,    0,   32,    1,   51,    1,   15,   10,   42,   11,   54,   11,   60
 690,    1,   20,    0,   31,    0,   59,    0,   21,    1,   19,    1,   59
 691,   11,   65,   10,   62,    1,   45,   10,   64,   11,   65,   11,   56
 692,   11,   54,    1,   54,   11,   55,    1,   37,    1,   22,    0,   56
 693,    0,   57,    1,   48,   11,   61,    0,   51,   10,   63,    1,   13
 694,    0,   64,   10,   48,   10,   45,    0,   46,   11,   54,    1,   37
 695,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21,    0,   55
 696,    0,   51,   11,   65,   11,   63,   11,   58,    0,   23,    0,   25
 697,    1,   42,    0,   54,   11,   54,    1,   26,   11,   63,   10,   52
 698,    0,   34,   11,   54,    1,   55,   10,   56,    1,   16,   10,   51
 699,   10,   37,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 700,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18,   11,   64
 701,   10,   64,   10,   64,   11,   64,    1,   17,    0,   48,   11,   59
 702,   11,   62,    0,   27,    0,   30,    1,   41,    0,   45,   10,   59
 703,   10,   58,    1,   13,    1,   45,    1,   61,    0,   19,    1,   23
 704,   11,   60,   10,   55,    0,   37,   11,   56,   11,   63,   10,   52
 705,   10,   57,   10,   60,   10,   62,    0,   55,   11,   63,    0,   42
 706,    0,   49,   10,   57,   10,   52,   10,   64,    1,   27,   11,   61
 707,    0,   33,    1,   37,   10,   44,    0,   40,   11,   56,   11,   55
 708,   10,   51,    0,   45,   11,   64,   11,   57,   10,   59,    0,   61
 709,   10,   58,    0,   24,   10,   65,    1,   62,    1,   36,    1,   52
 710,   11,   57,   11,   56,    0,   24,    0,   38,   10,   38,   10,   43
 711,    1,   55,   11,   62,   10,   64,   10,   61,    0,   59,    0,   19
