nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6
 460,     1,  -6,  -6,  -6,  -6,  -6, -26,  74
 461,     1,  88, -12,  -4,  -4,  -8,  -4,  -4
 462,     1,  -2,  90,  -2,  -2,  -2,  -6,  -6
 463,     1,  -9,  -9,  -9,  59,  -9, -21, -41
 464,     1,  -9, -37,  71,  -9,  -9, -33, -33
 465,     1,  -4,  -4,  -4,  80,  -4,  -4,  -4
 466,     1,  -5,  -5,  -5,  -5,  -5,  91,  -5
 467,     1,  -8, -28, -40,  -8,  -8,  68,  -8
 468,     1,  70, -18, -10, -10, -26, -10, -14
 469,     1,  -4,  -4,  -4, -12,  -4,  -4,  88
 470,     1, -26,  -6,  74, -26,  -6,  -6, -26
 471,     1,  -7, -31, -35,  81,  -7, -11, -23
 472,     1,  -9,  -9, -21,  63, -41, -25,  -9
 473,     1, -14,  54, -10, -38, -18, -10, -22
 474,     1, -26, -26,  -6,  74,  -6, -14, -14
 475,     1,  -7, -31, -23, -23, -15,  77, -19
 476,     0, -14, -38, -30, -14, -26, -14, -10
 477,     1,  78,  -6, -10,  -6,  -6,  -6,  -6
 478,     1, -10, -34, -10, -46, -42, -42,  62
 479,     1, -11, -11, -15, -31,  81,  -7,  -7
 480,     1,  -9, -17, -17,  -9,  -9, -29,  75
 481,     1,  62, -10, -18, -42, -10, -10, -10
 482,     1, -22,  -6,  86, -10,  -6, -26, -10
 483,     1,  79,  -9,  -9,  59, -41, -29,  -9
 484,     1,  89,  -7, -31,  -7,  -7,  -7,  -7
 485,     1,  65, -11, -11, -11, -11, -11, -31
 486,     1,  -7, -27,  -7,  89,  -7, -19,  -7
 487,     1, -13,  -5,  91,  -5,  -5, -13,  -5
 488,     1,  -8,  -8,  -8,  72, -24,  -8,  -8
 489,     1,  -5,  79,  -5,  -9,  -9,  -5,  -9
 490,     1, -17, -37,  -9,  -9,  -9,  79, -33
 491,     1,  -8, -24, -32,  -8,  88, -32,  -8
 492,     1,  -9,  -9,  -9, -21, -41,  79,  -9
 493,     1,  66, -34, -10, -10, -10, -10, -10
 494,     0, -11, -11, -23, -31, -43, -11, -11
 495,     1,  -8,  -8,  -8,  -8,  72, -16, -16
 496,     0, -15, -11, -11, -15, -23, -11, -11
 497,     1, -41, -33,  -9,  -9,  67,  -9, -25
 498,     1, -22, -10, -10,  66, -10, -10, -10
 499,     0, -43, -11, -11, -11, -15, -35, -23
 500,     1,  -9,  63,  -9, -41, -21, -29, -33
 501,     1, -19,  -7,  -7,  -7,  69,  -7,  -7
 502,     1,  71, -41,  -9, -17, -37, -17,  -9
 503,     1,  90, -22, -26,  -6,  -6, -30, -10
 504,     1,  -6, -10, -18,  -6,  -6,  -6,  74
 505,     1,  83,  -5,  -5,  -5, -13,  -5,  -9
 506,     0, -11, -11, -19, -23, -11, -11, -43
 507,     1,  -7,  -7, -15,  -7,  89,  -7,  -7
 508,     0, -31, -43, -11, -39, -11, -43, -11
 509,     1,  -7,  -7, -15,  -7,  73,  -7, -27
 510,     1, -16,  -8, -12,  -8,  -8,  -8,  80
 511,     1,  -5,  -5, -17,  87, -21, -17,  -5
 512,     1,  84, -12,  -4,  -4,  -4,  -4,  -8
 513,     1, -26, -14,  -6,  -6,  -6, -18,  82
 514,     1,  -5,  -5,  -5,  83,  -5,  -5,  -5
 515,     1, -20,  -8,  64, -24,  -8, -12,  -8
 516,     1, -24,  -8, -24, -20,  88,  -8, -40
 517,     1, -11, -19, -11,  57, -11, -23,  65
 518,     1,  -7, -15,  -7,  69,  -7,  -7,  -7
 519,     1, -35,  53, -19, -15, -39, -47, -11
 520,     1,  -5,  79,  -5,  -5,  -5,  -5,  -5
 521,     1,  -9,  -5, -17,  -5, -13,  91, -13
 522,     1, -40,  -8,  -8, -12, -40,  80, -32
 523,     1, -25,  -9,  59,  -9,  -9,  -9, -17
 524,     1, -12,  80, -16,  -4,  -4,  -8,  -4
 525,     1,  -3,  -3,  -3,  -7,  -3,  -3,  93
 526,     1,  -7, -27, -35, -27,  81,  -7, -11
 527,     1,  -7,  -7, -27, -23,  89, -19, -15
 528,     1,  -5,  87,  -5, -13, -13,  -5,  -9
 529,     1,  -8,  -8,  -8,  -8, -16,  -8,  84
 530,     1,  -7, -27,  -7,  -7, -27, -27,  81
 531,     1, -42, -38,  70, -10, -22, -10, -10
 532,     1,  -8, -16,  -8, -24, -16,  76,  76
 533,     1,  -9,  67,  -9,  -9, -41, -17, -33
 534,     1,  -4,  -4,  -4,  -4,  92,  -4,  -8
 535,     1,  -7,  -7,  -7,  -7, -23, -19,  85
 536,     1, -13,  -9, -29, -41,  -9, -37,  67
 537,     1, -21,  67,  -9,  -9, -41, -29,  -9
 538,     1,  -9, -41,  -9,  -9,  63,  -9,  -9
 539,     1, -27, -31,  73, -11, -27,  -7,  -7
 540,     1, -33,  63, -41,  -9,  -9, -29,  -9
 541,     1, -16,  -4,  -4,  88,  -4,  -4, -16
 542,     0, -43, -11, -11, -39, -23, -11, -11
 543,     1,  -5, -17, -21,  79,  -5,  -5,  -5
 544,     1,  69,  -7,  -7, -31,  -7, -27, -27
 545,     1,  92,  -4,  -4,  -4,  -4,  -4, -20
 546,     1, -26,  -6,  -6, -22, -26,  82,  -6
 547,     0, -43, -11, -11, -11, -11, -11, -31
 548,     1,  -3,  -3,  -7,  -3,  85,  -3,  -3
 549,     1, -12,  76,  -8, -32,  -8,  -8, -28
 550,     1,  -3,  -3, -11,  89,  -3,  -7,  -3
 551,     1, -16,  -8, -36, -36, -28,  -8,  84
 552,     0, -51, -43, -35, -11, -11, -15, -11
 553,     1, -34, -22, -14, -14, -10, -10,  58
 554,     1,  -3,  -7,  93,  -3, -11,  -3,  -3
 555,     1, -10, -10,  58, -10, -42, -38, -42
 556,     0, -42, -38, -14, -10, -10, -14, -10
 557,     1, -41, -25,  83,  -9, -13,  -9, -13
 558,     1,  -7, -15, -19,  77, -31, -11, -27
 559,     1, -41,  -9, -25,  63, -37, -25,  -9
 560,     1,  -7, -35, -31,  65,  -7, -19,  -7
 561,     1,  -5,  -9,  -5,  -9,  -5,  83,  -5
 562,     1, -28, -20,  72, -32, -40,  -8, -16
 563,     1,  -7,  77,  -7, -35, -15, -15,  -7
 564,     1,  78,  -6,  -6,  -6, -22, -22,  -6
 565,     1,  -7,  -7,  -7, -19,  -7,  -7,  89
 566,     1, -25, -13,  -9,  71, -13,  -9,  -9
 567,     1,  -3, -11,  -3,  -3,  -3,  89,  -7
 568,     1, -12, -16,  -8,  -8, -20,  88, -36
 569,     1,  -4,  -4,  84, -16,  -4,  -8, -12
 570,     1, -16,  80, -20, -16,  -4,  -4,  -4
 571,     1,  -4,  92,  -4,  -4,  -4, -20,  -8
 572,     0, -15, -11, -35, -11, -35, -31, -11
 573,     1,  -4,  -4,  92,  -4, -20,  -4,  -4
 574,     1, -10,  62, -10, -10, -10, -34, -10
 575,     0, -35, -11, -11, -11, -43, -23, -11
 576,     1, -27,  -7,  -7,  65,  -7,  -7,  -7
 577,     1,  -6,  -6,  90,  -6, -22,  -6,  -6
 578,     1,  -5, -13,  -9, -13,  91,  -5,  -5
 579,     1,  -9, -17,  -9,  75,  -9, -21,  -9
 580,     0, -11, -11, -11, -11, -11, -11, -11
 581,     1,  -8,  -8,  -8,  64, -36, -24, -16
 582,     1,  -7,  -7, -31, -11,  89,  -7, -31
 583,     1,  91,  -5,  -5,  -5,  -5,  -5,  -5
 584,     1,  -4,  -4,  84,  -4,  -4,  -8,  -4
 585,     0, -43, -11, -11, -11, -11, -43, -11
 586,     0, -11, -27, -11, -11, -15, -11, -15
 587,     1, -24, -12, -20,  -8,  -8,  76, -28
 588,     1,  72, -32, -32, -28, -16,  -8, -32
 589,     1, -25,  -9,  63,  -9,  -9,  -9, -17
 590,     1, -11,  85,  -3,  -3,  -3, -11,  -3
 591,     1,  -3,  -3,  -3,  89,  -3,  -7,  -3
 592,     1,  85,  -3,  -3,  -7,  -3,  -3,  -3
 593,     1,  71,  -9,  -9, -41,  -9, -33, -33
 594,     0, -43, -23, -11, -43, -47, -11, -43
 595,     1,  73,  -7,  -7,  -7, -35, -11,  -7
 596,     1, -36,  -8,  -8,  -8,  76, -32, -28
 597,     1,  -9, -13,  -9,  -9,  75, -25,  -9
 598,     0, -30, -10, -10, -26, -10, -10, -22
 599,     1,  63,  -9, -13,  -9,  -9,  -9, -33
 600,     1,  -6, -18,  -6,  74,  -6,  -6,  -6
 601,     1, -10, -34, -14, -10,  66, -10, -10
 602,     1, -19,  -7,  85, -27,  -7,  -7, -23
 603,     1, -41,  -9,  -9,  -9, -25, -41,  59
 604,     1, -41,  -9,  -9,  71, -13, -33, -29
 605,     1, -11, -43, -47, -11,  49, -11, -27
 606,     1, -15, -35,  69,  -7, -15,  -7, -19
 607,     1, -13,  -9,  71, -41,  -9, -37,  -9
 608,     1,  -6,  -6,  82, -14,  -6, -10,  -6
 609,     1,  78, -14, -26,  -6,  -6,  -6,  -6
 610,     1, -13, -25, -33, -33,  -9,  -9,  67
 611,     1,  73, -23, -23,  -7,  -7, -31, -19
 612,     1,  -7, -27,  -7,  -7,  -7,  -7,  69
 613,     1, -12,  -8, -32,  -8, -20,  -8,  68
 614,     1, -26, -10, -10, -10, -10,  54, -10
 615,     1,  92, -16,  -4,  -4,  -4,  -4, -16
 616,     1,  85,  -3,  -3,  -3,  -3,  -3,  -3
 617,     1, -13,  -5,  -5,  -9, -13,  79,  -5
 618,     0, -27, -11, -11, -31, -27, -43, -43
 619,     1,  -4,  84,  -4,  -4, -16,  -4,  -4
 620,     1,  -9, -21,  -5,  -9, -25, -21,  83
 621,     0, -11, -11, -31, -11, -11, -11, -19
 622,     1,  -5, -17,  -5,  -5,  -5,  83, -25
 623,     1, -21, -13,  79,  -5, -25,  -5, -17
 624,     1, -15, -35,  77,  -7, -23,  -7,  -7
 625,     1,  -3,  -3,  -3, -11,  -3,  -3,  89
 626,     1, -12,  -8, -36,  76,  -8, -32, -32
 627,     1,  -6,  -6,  78,  -6,  -6,  -6,  -6
 628,     1,  -7,  -7,  -7,  -7,  -7,  -7,  77
 629,     1,  85,  -3,  -3, -11,  -3,  -3,  -3
 630,     1,  -4,  -4,  -4,  84,  -8,  -8,  -4
 631,     1,  -9,  -9, -29, -17,  -9, -33,  67
 632,     1,  -9,  -5, -21,  -5, -13,  79,  -5
 633,     1, -16,  -4,  -4,  92, -20,  -4,  -4
 634,     1,  -2,  -2, -10,  -2,  -2,  -2,  94
 635,     1,  -5,  -5,  -5,  -5,  -5,  83,  -5
 636,     1, -11, -15, -31,  -7,  77, -27,  -7
 637,     1, -32,  -8, -28, -24,  -8, -16,  84
 638,     1,  -6,  -6, -22,  86,  -6,  -6,  -6
 639,     1,  90,  -6,  -6,  -6,  -6, -26,  -6
 640,     1, -41,  79, -41,  -9, -25,  -9,  -9
 641,     1,  -8, -36, -40, -20, -16,  68, -28
 642,     1, -20,  -8,  -8,  88,  -8, -28, -36
 643,     1, -16,  88, -32,  -8,  -8, -16,  -8
 644,     1, -36, -12,  -8, -20,  -8,  68,  -8
 645,     1,  -5,  -5,  -5,  -5,  87,  -5, -17
 646,     0, -31, -31, -19, -11, -11, -11, -35
 647,     1,  -3,  -3,  -3,  85,  -3,  -3,  -3
 648,     1,  -5, -17,  -5,  -5,  87, -21,  -5
 649,     1,  -5,  -5,  -5,  -5,  79,  -5,  -5
 650,     1,  89,  -7, -11, -15, -31, -27,  -7
 651,     1,  84,  -4,  -4,  -8,  -4, -16,  -4
 652,     1, -25,  -9,  -9,  -9,  -9, -41,  63
 653,     0, -11, -11, -39, -11, -11, -11, -11
 654,     1, -14,  -6,  -6,  86,  -6,  -6, -10
 655,     1,  -8,  -4,  80,  -4, -16,  -4, -16
 656,     1,  -3,  -3,  -3, -15,  93,  -3,  -3
 657,     1,  -4,  -4,  -4, -16,  -4,  -4,  84
 658,     1, -16, -20,  -4,  -4,  84,  -4,  -4
 659,     1,  71, -21, -13,  -9, -13, -17, -25
 660,     1, -36, -12, -32,  68, -36,  -8,  -8
 661,     1,  -7,  -7,  -7,  65, -15, -15, -19
 662,     0, -11, -43, -15, -11, -11, -11, -11
 663,     1,  -9,  -9,  67, -17, -21,  -9,  -9
 664,     1, -21,  83,  -9,  -9,  -9, -13, -29
 665,     1, -22, -22, -38, -34, -26, -46,  66
 666,     1, -10, -10, -34, -10, -30, -34,  58
 667,     1,  -5, -17, -17,  -5,  83,  -5, -17
 668,     0, -27, -47, -11, -11, -15, -11, -19
 669,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5
 670,     1, -37,  -9,  59, -33,  -9, -33,  -9
 671,     1, -17,  -9,  -9, -25,  83,  -9,  -9
 672,     1, -35, -11,  -7,  81,  -7,  -7,  -7
 673,     1,  -5,  -5,  -5,  87,  -5,  -5,  -5
 674,     1,  -7,  65,  -7,  -7, -11,  77,  -7
 675,     1,  -7,  69,  -7, -31, -31, -11,  -7
 676,     1, -25,  -5,  -5,  -5,  -5,  79,  -5
 677,     1,  -8,  -8,  -8,  -8,  64,  -8, -20
 678,     1,  -4, -12,  -4,  80, -12,  -4,  -4
 679,     1,  -3,  -3,  -3,  -7, -15,  -3,  93
 680,     1,  -5,  -5,  -5,  -5,  -5,  87,  -5
 681,     1, -20,  -8,  -8,  -8,  60,  -8,  -8
 682,     1, -24,  -8,  60,  -8, -24,  -8,  -8
 683,     1,  -9, -17, -41,  -9,  63,  -9, -41
 684,     1,  -6, -18,  90,  -6,  -6,  -6, -14
 685,     1, -27,  -7, -27,  -7, -31,  85,  -7
 686,     1,  90, -10,  -6,  -6,  -6, -18,  -6
 687,     1,  -6, -14,  -6,  -6,  -6,  -6,  78
 688,     0, -19, -43, -31, -11, -19, -11, -11
 689,     1,  66, -18, -42, -10, -10, -10, -10
 690,     0, -19, -11, -23, -11, -47, -11, -11
 691,     1, -16, -12,  -8, -24,  -8,  84,  -8
 692,     1, -26,  -6,  -6,  90,  -6,  -6, -30
 693,     1, -22,  -6,  -6, -10,  -6,  -6,  70
 694,     1, -18,  -6,  -6,  -6,  -6,  -6,  74
 695,     1,  77, -27,  -7,  -7,  -7,  -7,  -7
 696,     1, -13,  -9,  63,  -9,  -9,  -9, -41
 697,     1,  -4,  84,  -4, -12,  -4, -16,  -4
 698,     0, -11, -11, -19, -43, -11, -11, -27
 699,     1,  79, -25,  -9,  -9, -41, -21, -17
 700,     1,  -8, -12,  -4,  -4,  -4,  -8,  84
 701,     1,  -4, -16,  -4,  -4,  -4,  -4,  84
 702,     1,  -7,  77,  -7,  -7, -31,  -7,  -7
 703,     1, -21,  91,  -5,  -5, -21,  -5,  -5
 704,     1,  -6,  -6, -14,  78,  -6,  -6,  -6
 705,     1, -10, -42, -10,  66, -18, -10, -10
 706,     1, -33,  -9,  -9,  -9,  67, -29,  -9
 707,     0, -43, -11, -31, -11, -11, -47, -31
 708,     0, -19, -31, -31, -11, -31, -43, -11
 709,     1,  -8, -12, -32, -32,  -8, -32,  60
 710,     1,  -5, -21,  -9,  -5,  -5,  -9,  91
 711,     1, -16,  -8,  -8, -32, -36,  68,  -8
 712,     1,  -3,  -3,  85, -11, -11,  -3, -11
 713,     1,  -4,  -8,  -4,  -8, -16,  92,  -4
 714,     1,  -4, -20,  -8,  -4,  -4,  92,  -4
 715,     1,  -6,  -6,  -6, -30,  -6,  -6,  82
 716,     1, -13,  -9,  -9, -37,  63, -25, -17
 717,     0, -11, -43, -19, -23, -11, -11, -43
 718,     1,  -6, -18,  78, -18,  -6,  -6,  -6
 719,     1, -13,  -9,  -9,  -9,  63, -13, -29
 720,     1,  -9,  -9,  -9,  71,  -9, -41, -41
 721,     1,  67, -25, -37,  -9,  -9,  -9, -25
 722,     1,  78, -14,  -6, -18,  -6,  -6,  -6
 723,     1,  -8, -12,  84, -20, -36,  -8, -12
 724,     0, -11, -31, -51, -43, -43, -11, -11
 725,     1,  -6, -10,  -2,  -2,  94,  -2,  -2
 726,     1, -21,  -5, -21, -25,  -5,  87, -25
 727,     1, -31, -19,  -7,  -7,  -7, -19,  77
 728,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2
 729,     1,  88,  -4,  -4,  -4,  -4,  -4,  -4
 730,     0, -19, -11, -15, -31, -43, -11, -19
 731,     1,  85,  -7, -19,  -7,  -7, -31,  -7
 732,     0, -11, -43, -11, -43, -11, -19, -35
 733,     1,  -9, -13,  -9,  -9, -29,  -9,  63
 734,     0, -47, -35, -15, -47, -11, -23, -19
 735,     1,  69,  -7,  -7, -19,  -7,  -7, -31
 736,     1, -33, -41,  63, -37,  -9, -41,  -9
 737,     1,  65,  -7,  -7,  -7,  -7,  -7,  -7
 738,     0, -23, -11, -43, -15, -27, -11, -31
 739,     1, -13,  -5,  -5,  91,  -5, -21,  -5
 740,     1,  71, -41,  -9,  -9, -41,  -9, -17
 741,     1, -34, -10, -10,  58, -10, -26, -46
 742,     1, -33,  71, -25,  -9,  -9, -33, -29
 743,     1, -13,  -5,  -5, -25,  83,  -9,  -9
 744,     1,  -7,  -7,  77,  -7, -31,  -7, -15
 745,     1,  -9,  -9,  71,  -9, -41, -33,  -9
 746,     0, -11, -11, -15, -11, -27, -11, -31
 747,     1,  -5,  83,  -5,  -5,  -5, -13, -17
 748,     1, -41, -25, -41,  -9,  -9, -41,  63
 749,     0, -43, -31, -11, -31, -35, -27, -11
 750,     1,  76,  -8,  -8,  -8, -32,  -8, -28
 751,     1,  -9,  -9, -17,  -9, -17,  67,  -9
 752,     1, -10, -18,  70, -10, -42, -10, -10
 753,     1,  -2,  -6,  -2,  -2,  -2,  -2,  94
 754,     1, -10,  -6,  -6,  86,  -6,  -6,  -6
 755,     1,  -9, -21, -17, -25, -25,  -9,  67
 756,     1,  -9,  71,  -9,  71,  -9, -37,  -9
 757,     1, -10, -10, -10, -26,  62, -42, -34
 758,     0, -11, -11, -31, -31, -11, -15, -23
 759,     1, -16,  -4, -12,  84,  -4,  -4,  -4
 760,     0, -43, -11, -43, -43, -11, -27, -11
 761,     1,  -9,  63,  -9, -17, -21,  -9, -21
 762,     1,  -5,  -5,  -5,  -5,  79,  -5,  -5
 763,     1,  -8, -16,  -8, -36,  -8,  -8,  80
 764,     0, -11, -39, -47, -23, -11, -11, -19
 765,     1,  -6,  -2,  -2,  94,  -2,  -2,  -2
 766,     1,  -8,  84, -24,  -8, -32,  -8,  -8
 767,     0, -11, -11, -15, -27, -39, -11, -11
 768,     1, -41, -37,  -9,  -9, -17,  67, -21
 769,     1, -40,  -8,  -8, -36,  60, -32,  -8
 770,     1,  -6,  86,  -6, -18,  -6, -26,  -6
 771,     1,  -3,  -3,  -3,  85,  -3,  -7,  -3
 772,     0, -35, -11, -11, -43, -43, -15, -19
 773,     0, -27, -11, -11, -11, -31, -11, -11
 774,     1, -21,  -9, -13,  -9,  83, -17,  -9
 775,     1,  -5, -21,  -5,  -5, -13,  79,  -5
 776,     1, -10, -14, -10, -18, -42,  58, -10
 777,     1, -21, -25,  -9,  -9,  67, -13,  -9
 778,     1, -30, -18,  -6, -10,  -6,  -6,  90
 779,     0, -26, -26, -10, -22, -10, -10, -10
 780,     1,  -6,  -6, -22,  -6,  90, -26,  -6
 781,     1,  79, -33, -21, -25,  -9,  -9,  -9
 782,     1,  -8,  -8,  -8,  88,  -8,  -8, -28
 783,     0, -11, -43, -11, -43, -11, -11, -11
 784,     1,  -5,  -5, -25,  79, -17,  -5,  -5
 785,     1,  -4,  -4,  -4,  -4,  -4,  84,  -4
 786,     1,  -6,  70,  -6,  -6,  -6,  -6, -26
 787,     1,  -4,  -4,  -4,  88, -12,  -8,  -4
 788,     0, -10, -10, -42, -10, -10, -34, -10
 789,     1,  66, -10, -10, -14, -10, -14, -14
 790,     1,  88,  -4, -16,  -4,  -4, -12,  -4
 791,     1,  89,  -3,  -3,  -7,  -3,  -3,  -3
 792,     1,  -9, -25,  67, -41,  -9,  -9,  -9
 793,     0, -11, -11, -27, -47, -11, -11, -39
 794,     1,  -7,  -7,  -7,  -7,  73, -31, -35
 795,     1, -37, -25,  -9,  59, -21, -41, -21
 796,     0, -11, -11, -15, -11, -43, -31, -11
 797,     1,  -9, -25,  -9,  -9,  -9, -41,  67
 798,     1,  78,  -6,  -6,  -6,  -6,  -6, -22
 799,     1,  -2,  -2,  -2,  -6,  -2,  90,  -6
 800,     1,  76,  -8, -36,  -8,  -8, -28, -36
 801,     0, -11, -11, -19, -11, -19, -27, -23
 802,     1,  -9,  75,  -9,  -9,  -9,  -9, -37
 803,     1,  -8,  64, -32,  -8,  -8, -32, -28
 804,     1, -18,  -6, -14,  78, -30,  -6,  -6
 805,     1,  -3,  -3,  85,  -3, -11,  -3,  -3
 806,     1, -37, -41,  67,  -9,  -9,  -9,  -9
 807,     1,  -7,  -7,  -7,  -7,  89,  -7, -23
 808,     1,  93,  -3,  -3,  -3,  -7, -11,  -3
 809,     1, -16,  -4,  84,  -8, -16,  -8,  -4
 810,     1, -29,  71, -25,  -9, -13,  -9,  -9
 811,     1,  77,  -7, -15,  -7, -23,  -7, -35
 812,     1, -41, -21,  -9,  -9,  63, -17,  -9
 813,     1,  -9, -41, -21,  -9, -25,  83, -41
 814,     1, -11,  -3,  -3,  85,  -3,  -3,  -3
 815,     1,  -5,  -5,  -5,  -5,  -5,  -5,  79
 816,     1,  -4,  -4,  -8, -16,  -4,  88,  -4
 817,     1,  80,  -8, -28,  -8, -20, -28,  -8
 818,     1, -12,  -4,  -4,  -4,  84,  -4,  -4
 819,     1,  -5,  -5,  -5,  -5,  -5,  91,  -5
 820,     1,  77, -11,  -7, -27, -19,  -7, -31
 821,     1,  -5,  87,  -5,  -5,  -9,  -5,  -5
 822,     1,  -8, -16, -20,  -8,  -8, -24,  72
 823,     0, -11, -11, -11, -11, -11, -11, -11
 824,     1,  -2,  -2,  -2,  -2,  94, -10,  -2
 825,     1,  -6,  -6,  74, -14,  -6, -18, -14
 826,     1,  -8,  -8, -24, -28, -20, -36,  88
 827,     1,  -7,  -7,  -7,  -7,  -7,  77, -27
 828,     1, -34, -38, -10, -10,  62, -10, -10
 829,     1, -19,  73,  -7,  -7, -35,  -7, -15
 830,     1,  -7,  -7,  -7,  -7,  85,  -7, -15
 831,     0, -11, -39, -31, -43, -11, -11, -11
 832,     1,  -5,  -5,  -5,  -5,  91,  -5,  -9
 833,     1, -10,  82,  -6,  -6,  -6, -26,  -6
 834,     1,  79,  -9, -37, -37,  -9,  -9,  -9
 835,     1,  75,  -9,  -9,  -9, -37,  -9,  -9
 836,     1,  86,  -6, -26,  -6,  -6, -30, -10
 837,     1,  71,  -9, -13, -41,  -9,  -9, -21
 838,     1,  -9,  -9,  -9, -17,  79, -41,  -9
 839,     1,  62, -10, -26, -10, -42, -10, -34
 840,     1,  -4,  -4,  -4,  -4, -16,  88,  -4
 841,     1, -29,  -9,  71,  -9, -33, -13,  -9
 842,     1, -15,  -7,  -7,  -7, -23,  -7,  81
 843,     1,  -5,  -5,  87,  -5,  -5,  -9,  -5
 844,     1,  -7,  89, -15,  -7,  -7,  -7, -23
 845,     1, -36,  -8, -16,  -8, -32, -12,  64
 846,     1,  -2,  -2,  -2,  -2,  94,  -2,  -2
 847,     1, -10, -14, -10,  62, -10, -10, -42
 848,     0, -11, -19, -43, -11, -43, -35, -51
 849,     1, -51, -43, -11, -11, -39, -11,  53
 850,     1,  -6,  -2,  -2,  -2,  -2,  -2,  90
 851,     1, -29, -41, -13,  -9,  63, -37, -33
 852,     1, -30, -10,  58, -22, -22, -14, -10
 853,     1, -37,  83, -33,  -9, -21, -17,  -9
 854,     1, -16,  88,  -8,  -8,  -8, -16,  -4
 855,     1,  -6,  -6,  -6,  86,  -6,  -6,  -6
 856,     1,  -3,  -3,  -3,  89,  -3,  -3, -11
 857,     0, -11, -35, -19, -31, -11, -11, -11
 858,     1,  -7,  65, -23, -23,  -7, -23,  -7
 859,     1,  -2,  -2,  -6,  -6,  90,  -2,  -2
 860,     1,  -6, -18, -26,  82, -18,  -6,  -6
 861,     0, -31, -15, -47, -23, -11, -51, -43
 862,     1,  -7,  -7,  89,  -7,  -7, -11,  -7
 863,     1, -19,  81, -23, -27, -15,  -7, -19
 864,     1,  -2,  -2,  -2,  -2,  94,  -6,  -2
 865,     1,  64,  -8, -20,  -8, -20, -28, -40
 866,     1, -17,  -5,  -5,  -5,  87,  -5,  -5
 867,     1, -10, -10, -10,  66, -10, -38, -10
 868,     1,  93,  -3,  -3, -11,  -7, -11,  -3
 869,     1, -27,  -7,  -7,  -7, -11,  65,  -7
 870,     1,  -6, -10,  -6,  -6,  -6,  74,  -6
 871,     1, -18, -10, -10, -10,  62, -10, -26
 872,     1, -22, -34, -10, -10, -38, -10,  62
 873,     1,  -5,  -5, -17,  -5, -13,  -5,  79
 874,     1, -13,  -5,  79,  -5, -21,  -5,  -5
 875,     1, -13,  -9, -37,  -9, -17,  63, -41
 876,     1,  -8,  -4,  -4,  80, -16, -20,  -4
 877,     1, -13, -17,  91,  -5, -17,  -5,  -5
 878,     1,  -9,  -9, -13,  -9,  -9,  63, -33
 879,     1,  59,  -9, -21, -41, -33,  -9, -21
 880,     1,  -5,  -5,  -5, -17,  87,  -9,  -5
 881,     1, -10, -22,  -6,  -6,  -6,  78,  -6
 882,     0, -11, -15, -43, -11, -11, -27, -23
 883,     1, -18, -14,  -6,  -6,  90,  -6,  -6
 884,     1, -24,  64,  -8, -32, -36,  -8, -12
 885,     0, -22, -10, -30, -42, -30, -10, -10
 886,     1, -11, -31, -39,  57, -27, -15, -35
 887,     1, -10, -10, -10,  58, -10, -10, -30
 888,     1, -35,  -7, -11,  -7,  -7,  81, -31
 889,     1, -27, -11, -43,  53, -11, -27, -15
 890,     1, -11,  -3,  -7,  -3,  -3,  89, -11
 891,     1, -23, -39, -43, -43, -27,  53, -47
 892,     1, -13, -13,  -5,  -9,  -5,  -5,  87
 893,     0, -10, -22, -10, -10, -22, -10, -18
 894,     1, -25,  -9, -25,  75,  -9,  -9, -25
 895,     1, -10, -42, -38, -34,  62, -14, -10
 896,     1,  -9, -29,  -9,  -9,  -9,  63,  -9
 897,     1,  90,  -6,  -6,  -2,  -2, -10,  -2
 898,     1,  -8, -36,  72, -24, -20, -20,  -8
 899,     1,  -2, -10,  -2,  -2,  -2,  90,  -2
 900,     0, -31, -11, -11, -35, -11, -39, -43
 901,     1, -13,  -5,  -5,  91,  -5,  -5,  -5
 902,     1, -20,  -8,  84, -40, -12,  -8, -20
 903,     1, -16,  88,  -4,  -8, -12,  -4, -16
 904,     1,  79,  -5,  -9,  -5,  -5, -13,  -5
 905,     0, -43, -11, -39, -23, -31, -11, -11
 906,     1, -26, -10,  -6, -30,  -6,  86, -18
 907,     1,  -7,  65,  -7, -11, -31,  -7,  -7
 908,     0, -11, -11, -11, -47, -27, -11, -11
 909,     1,  -7,  -7,  -7, -11, -15, -27,  69
 910,     1,  -4,  -4,  -4,  -4,  88,  -4,  -4
 911,     1, -10, -10, -10, -38, -10, -26,  58
 912,     1,  -9,  -9, -33,  67,  -9,  -9, -41
 913,     0, -43, -43, -11, -43, -31, -23, -43
 914,     1, -42,  58, -10, -30, -10, -10, -42
 915,     1, -10, -10, -10, -10, -10,  58, -10
 916,     1,  -7,  -7,  85,  -7,  -7,  -7,  -7
 917,     0, -11, -11, -11, -11, -47, -15, -11
 918,     1,  -6,  -6, -18, -22,  74,  -6,  -6
 919,     1, -13,  63,  -9, -41,  -9,  -9, -37
 920,     1,  -8, -32, -12,  -8,  -8,  84, -16
 921,     1,  80, -32,  -8,  -8, -36,  -8, -12
 922,     1, -41,  -9,  -9, -25,  -9,  79, -41
 923,     1,  -2,  94,  -2,  -2,  -2,  -2,  -2
