nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y 
 515,    0,   27,    0,   62,   11,   55,    0,   49
 516,   11,   56,   11,   59,   11,   54,   10,   48
 517,   11,   65,    0,   54,    1,   59,   11,   65
 518,   10,   50,    0,   20,   11,   55,    1,   17
 519,    0,   33,    0,   31,   11,   56,   11,   63
 520,    0,   36,    0,   33,    0,   24,   10,   37
 521,    1,   41,    1,   25,   10,   38,    0,   32
 522,    1,   22,   10,   43,    1,   55,   10,   54
 523,   11,   58,    1,   33,    0,   46,    1,   55
 524,   10,   46,   11,   57,    1,   58,   11,   56
 525,    0,   45,    0,   57,    1,   51,    0,   56
 526,   10,   36,    0,   37,   10,   49,   10,   63
 527,    1,   34,   11,   54,    1,   15,   10,   56
 528,   10,   54,   10,   36,   10,   54,   11,   63
 529,    0,   46,    1,   27,    0,   23,    0,   29
 530,    1,   44,    1,   23,   10,   50,    0,   28
 531,    1,   62,    1,   25,   11,   65,    0,   59
 532,    1,   25,   11,   60,   10,   56,    1,   49
 533,   10,   60,    0,   32,   10,   55,   10,   60
 534,    1,   46,   10,   61,    1,   40,    0,   62
 535,   11,   57,   11,   59,    1,   32,   10,   65
 536,   11,   64,    1,   22,    0,   63,    0,   28
 537,   11,   64,    0,   43,    1,   58,   10,   50
 538,   10,   65,   10,   60,   11,   57,    1,   22
 539,   10,   59,    1,   29,    1,   50,    0,   62
 540,   10,   53,    0,   22,    0,   47,   10,   40
 541,   11,   57,    0,   32,   11,   59,   10,   44
 542,   10,   43,    0,   52,    1,   28,   10,   47
 543,   11,   65,   10,   37,   10,   36,    1,   16
 544,   11,   54,   10,   49,   10,   43,    1,   35
 545,    1,   38,   11,   61,   11,   60,   10,   54
 546,   10,   58,   10,   47,    1,   51,    0,   63
 547,   11,   64,   11,   65,   10,   61,    0,   40
 548,    0,   35,    1,   21,   10,   41,    0,   53
 549,   11,   65,   11,   56,   10,   51,    0,   29
 550,   10,   61,   11,   63,    1,   63,   10,   44
 551,    1,   32,    0,   48,   10,   60,    0,   25
 552,    1,   23,    1,   31,    1,   39,   10,   51
 553,   11,   54,   10,   55,   11,   60,   10,   49
 554,    0,   22,    1,   45,    1,   21,   11,   65
 555,    1,   27,    0,   64,   10,   52,    1,   55
 556,    0,   49,   10,   64,   11,   59,   10,   51
 557,    0,   43,   10,   63,   10,   43,   10,   56
 558,    1,   19,    0,   32,    0,   32,    0,   38
 559,   10,   36,    0,   22,    1,   59,    1,   33
 560,    1,   20,    0,   28,    0,   36,   11,   57
 561,   11,   60,   11,   60,   10,   59,   11,   56
 562,    0,   26,    0,   21,    0,   37,   10,   36
 563,   10,   57,   11,   61,   10,   44,    1,   45
 564,   11,   58,   10,   46,   10,   37,    0,   49
 565,   11,   57,   10,   59,    0,   50,    1,   22
 566,    0,   57,   10,   48,    1,   20,   11,   60
 567,    0,   37,   11,   57,   10,   38,   11,   61
 568,    1,   22,    1,   54,    0,   30,    1,   27
 569,   10,   63,   10,   55,    1,   37,   10,   56
 570,    1,   37,    0,   32,   11,   65,    1,   35
 571,    0,   51,   11,   54,   10,   42,    0,   49
 572,    1,   16,   10,   62,   10,   59,   10,   52
 573,    1,   41,    1,   12,   10,   63,    1,   35
 574,   10,   36,    0,   54,   10,   37,    1,   44
 575,    0,   63,    0,   47,    0,   30,    0,   54
 576,   11,   64,    0,   48,   11,   61,    0,   39
 577,    1,   46,    0,   49,    0,   20,    0,   59
 578,   11,   57,    0,   30,   11,   60,    0,   52
 579,   10,   61,   11,   64,   10,   62,   10,   42
 580,   10,   44,    0,   26,    0,   31,   11,   60
 581,   10,   39,   11,   55,   11,   56,    0,   63
 582,    0,   31,   10,   53,   10,   45,   11,   54
 583,    0,   29,   11,   55,   10,   64,   11,   55
 584,    1,   15,   11,   59,    1,   60,   10,   65
 585,   10,   39,    0,   23,    1,   54,   11,   54
 586,    1,   62,   11,   57,   11,   55,    1,   23
 587,    1,   40,    0,   26,   10,   61,    0,   63
 588,   10,   59,    0,   35,    1,   42,   11,   60
 589,   11,   65,   11,   58,   11,   57,   10,   56
 590,   10,   63,   11,   63,    1,   59,   10,   45
 591,    1,   24,   11,   58,    1,   32,   10,   44
 592,   11,   62,   11,   54,    1,   23,    0,   34
 593,   11,   58,    0,   58,   11,   60,    0,   25
 594,    1,   34,    1,   53,   11,   59,    0,   39
 595,    0,   40,    1,   65,    1,   18,   11,   62
 596,   10,   45,    0,   52,    1,   45,    0,   39
 597,   10,   52,   10,   42,    1,   15,    0,   27
 598,   10,   59,   10,   46,    0,   51,   11,   54
 599,   10,   46,    1,   51,    1,   41,   10,   55
 600,    1,   40,   10,   36,    0,   40,   10,   64
 601,   10,   56,   11,   55,    0,   40,   10,   45
 602,    1,   58,   10,   53,   11,   61,    1,   21
 603,    0,   42,    0,   42,   11,   58,   11,   63
 604,   11,   58,   10,   55,    0,   26,   10,   57
 605,    0,   41,    1,   34,   11,   65,    0,   62
 606,   10,   47,    0,   46,   10,   64,   11,   63
 607,   11,   62,   11,   60,   10,   49,   11,   64
 608,   11,   57,    0,   47,    1,   33,   11,   62
 609,   11,   63,    1,   17,    1,   54,    1,   57
 610,    1,   56,   11,   62,    0,   62,    1,   16
 611,    0,   59,    1,   43,   11,   65,   10,   57
 612,   10,   48,    0,   27,    1,   23,   11,   56
 613,    0,   51,   11,   61,    1,   56,    0,   49
 614,    1,   52,    1,   45,    0,   58,   10,   41
 615,   11,   65,   10,   61,   11,   57,    0,   33
 616,   11,   57,    1,   57,    0,   39,    1,   34
 617,   11,   59,    0,   60,   11,   58,    0,   41
 618,   10,   49,    0,   22,   10,   52,   10,   44
 619,    1,   30,   10,   49,    0,   50,   11,   58
 620,    0,   44,   10,   46,   11,   65,    1,   39
 621,    1,   48,    0,   32,   11,   56,   10,   42
 622,    0,   37,   10,   43,    1,   36,   10,   40
 623,   10,   53,   11,   61,    1,   38,   10,   51
 624,   10,   44,    0,   64,   11,   62,   11,   65
 625,    1,   30,   11,   62,    0,   55,    0,   27
 626,   10,   42,    1,   20,   10,   54,   11,   55
 627,   11,   57,    0,   34,   11,   57,    1,   26
 628,   10,   47,   11,   55,   10,   65,    1,   40
 629,   11,   55,    1,   58,   11,   60,   11,   60
 630,   10,   60,    0,   22,    0,   61,    0,   42
 631,    1,   33,    1,   58,    0,   53,   10,   53
 632,    1,   53,   10,   48,    1,   34,   10,   43
 633,   11,   64,    1,   40,   10,   50,    0,   48
 634,   10,   53,   10,   50,   11,   55,   11,   54
 635,   11,   59,   10,   37,   11,   56,   11,   65
 636,   11,   61,    0,   46,   10,   63,   10,   40
 637,    0,   56,    1,   30,    1,   61,   11,   63
 638,    1,   65,   10,   62,   11,   61,   10,   64
 639,    0,   43,    0,   57,   11,   60,    1,   60
 640,    0,   55,    0,   55,   11,   63,   10,   41
 641,   11,   56,   11,   61,   11,   60,    0,   62
 642,   10,   49,    1,   42,   11,   57,    1,   22
 643,    1,   53,    0,   58,    0,   25,    0,   53
 644,   10,   61,    0,   61,    0,   25,    1,   30
 645,   11,   62,    0,   23,   10,   39,   10,   57
 646,   10,   36,   11,   57,    1,   40,   11,   57
 647,   10,   61,   10,   42,    1,   19,   10,   50
 648,    1,   61,    0,   24,   10,   47,    1,   43
 649,   10,   36,    0,   20,    0,   28,   11,   54
 650,    0,   45,    1,   47,    0,   51,    0,   34
 651,    1,   45,    0,   19,    0,   46,    1,   49
 652,    1,   12,    0,   62,   11,   63,    1,   50
 653,    1,   13,    1,   49,    0,   65,    1,   45
 654,    0,   22,   11,   61,    0,   36,   10,   60
 655,    1,   36,   11,   61,   11,   60,   10,   60
 656,   11,   56,   10,   57,    1,   28,    0,   63
 657,   10,   63,   10,   45,   11,   64,   11,   60
 658,    1,   56,   10,   38,   11,   63,   10,   42
 659,    1,   38,   11,   59,   11,   59,    0,   37
 660,   11,   61,   11,   62,   10,   63,   10,   52
 661,   11,   65,   11,   56,    1,   46,    0,   37
 662,   10,   61,    0,   33,    1,   20,    1,   65
 663,    1,   15,   11,   65,   11,   61,    1,   56
 664,   10,   41,   10,   50,   10,   42,    1,   28
 665,    1,   49,    1,   47,    0,   19,    1,   61
 666,    0,   22,   11,   57,    0,   21,    0,   28
 667,   10,   37,   11,   65,    1,   56,   10,   36
 668,   11,   65,   10,   57,    1,   58,    0,   35
 669,   11,   56,    0,   20,    0,   60,   11,   60
 670,   11,   55,   11,   62,   11,   57,    0,   47
 671,   10,   63,    0,   28,   10,   60,    1,   33
 672,   10,   38,    1,   26,    0,   35,    1,   60
 673,   10,   43,    1,   40,   11,   57,    1,   18
 674,    0,   27,   10,   56,   11,   63,    1,   32
 675,   11,   60,   10,   57,   11,   58,   11,   59
 676,    1,   51,   10,   45,   10,   39,   11,   54
 677,    0,   51,   11,   65,    1,   62,   10,   38
 678,    1,   38,   11,   54,   10,   52,   11,   58
 679,    1,   47,    0,   48,    1,   24,    0,   46
 680,   10,   44,    1,   64,    1,   43,    1,   34
 681,    0,   35,   11,   59,   11,   65,    1,   19
 682,   10,   37,    0,   32,    0,   40,   11,   59
 683,    1,   21,   10,   36,    0,   43,   11,   58
 684,    1,   28,   11,   60,   11,   62,    1,   32
 685,    0,   20,   11,   61,   11,   56,   10,   52
 686,    0,   57,   11,   65,    0,   46,   11,   65
 687,    1,   59,   11,   64,   10,   64,   10,   39
 688,    0,   28,    0,   42,    1,   27,    1,   19
 689,    1,   59,   10,   58,    1,   65,    1,   28
 690,   10,   56,    1,   34,    0,   47,    1,   40
 691,    0,   41,   11,   58,   10,   41,    0,   30
 692,    0,   57,    1,   64,   10,   61,    0,   37
 693,    1,   23,   11,   63,    0,   46,   11,   58
 694,   11,   60,   10,   60,    0,   55,    1,   57
 695,    0,   32,   10,   55,    1,   48,   11,   58
 696,    0,   35,    0,   25,   10,   44,    0,   61
 697,    0,   34,   10,   61,   11,   61,   11,   60
 698,    0,   41,    1,   33,    1,   56,   10,   57
 699,   11,   55,   10,   59,   10,   57,    1,   17
 700,    0,   58,    1,   21,    1,   40,    1,   13
 701,    0,   46,    1,   53,    1,   54,   10,   45
 702,    1,   33,    0,   55,   11,   61,   10,   59
 703,    0,   53,   10,   40,   10,   60,    0,   21
 704,    0,   32,    1,   57,    1,   53,    0,   51
 705,   11,   58,   11,   54,    0,   19,   11,   63
 706,   10,   62,    1,   53,   11,   61,   11,   64
 707,   10,   59,   11,   56,    0,   47,   11,   63
 708,   11,   55,    1,   62,   10,   57,   11,   62
 709,    1,   59,    1,   63,   10,   41,   11,   63
 710,   11,   61,    0,   21,    0,   43,    1,   43
 711,    1,   50,   10,   55,   11,   55,   11,   56
 712,   11,   59,    1,   64,   10,   37,   11,   57
 713,    1,   19,   11,   61,   11,   61,   11,   64
 714,   11,   63,   11,   62,   10,   63,   11,   65
 715,    0,   46,   11,   61,    0,   25,    1,   40
 716,    1,   31,    0,   48,    1,   39,    0,   65
 717,    1,   50,   11,   56,    1,   31,    0,   49
 718,   11,   61,   10,   38,    1,   38,   11,   59
 719,   10,   51,    0,   18,   11,   65,    0,   25
 720,   11,   60,    0,   43,   11,   57,    1,   51
 721,    1,   12,    1,   41,   10,   48,    1,   50
 722,   11,   64,    1,   18,   10,   42,    0,   48
 723,    0,   52,   10,   48,   11,   59,   10,   54
 724,   10,   62,    0,   50,    0,   28,   10,   45
 725,    0,   44,   11,   60,    0,   32,    0,   33
 726,    0,   49,   10,   39,    0,   25,   11,   65
 727,    1,   35,    0,   52,   10,   36,    0,   18
 728,    1,   59,   11,   61,   11,   64,   10,   47
 729,    1,   21,   10,   50,    0,   19,    0,   30
 730,    1,   60,   11,   57,   10,   52,   11,   57
 731,    1,   44,    1,   34,    0,   53,   11,   61
 732,   10,   62,   11,   54,   10,   36,    1,   22
 733,    0,   38,    0,   52,    1,   59,    1,   64
 734,   11,   58,    0,   24,    0,   20,   11,   58
 735,    1,   35,   11,   58,    1,   48,    1,   47
 736,    1,   42,    1,   25,   11,   61,   10,   44
 737,   10,   52,   10,   52,    1,   47,    0,   32
 738,    1,   35,    0,   27,   11,   63,    0,   47
 739,   10,   38,   10,   46,    1,   31,   10,   61
 740,   11,   57,   11,   54,   10,   57,   11,   59
 741,    1,   45,    1,   64,    1,   19,    1,   25
 742,   11,   64,   10,   44,    1,   20,   10,   42
 743,    0,   61,    1,   45,    0,   31,    0,   31
 744,    0,   35,   11,   61,   11,   59,    0,   25
 745,    1,   24,    0,   30,    1,   34,   10,   64
 746,   10,   38,    0,   37,    0,   44,   10,   44
 747,   10,   65,    0,   62,    1,   59,    1,   61
 748,   11,   63,    1,   26,    0,   55,    1,   37
 749,    0,   21,   11,   60,    0,   27,    1,   26
 750,    0,   18,   11,   59,   10,   52,   10,   62
 751,    1,   47,    0,   32,    0,   39,   11,   64
 752,   10,   61,    1,   16,    1,   50,    0,   24
 753,   11,   59,   10,   65,   10,   48,   10,   50
 754,    1,   42,    1,   18,   11,   64,   10,   49
 755,   11,   59,   10,   63,    0,   54,   11,   58
 756,   10,   45,   11,   58,    0,   36,    0,   25
 757,    0,   52,    1,   14,   10,   44,   11,   65
 758,   10,   63,   11,   58,   10,   36,   10,   65
 759,   10,   44,   10,   47,    1,   36,    0,   40
 760,    0,   18,    0,   38,    1,   14,   11,   55
 761,    1,   56,   10,   48,   11,   57,    1,   55
 762,    1,   55,    1,   49,    0,   39,    0,   45
 763,    0,   63,   11,   57,    1,   12,   11,   60
 764,    1,   65,    1,   47,    1,   18,    1,   50
 765,    0,   33,    0,   19,    0,   27,    0,   50
 766,   11,   59,    1,   39,   10,   54,    0,   55
 767,   11,   60,   10,   53,    0,   36,   11,   54
 768,   11,   61,   10,   50,    0,   47,   11,   60
 769,   11,   62,    0,   57,    0,   63,    0,   37
 770,   11,   58,   10,   55,    1,   33,   10,   51
 771,   11,   62,    0,   50,   10,   51,    1,   53
 772,   11,   57,    1,   50,   11,   57,   10,   62
 773,    0,   57,   10,   60,   11,   62,   10,   38
 774,   10,   37,    1,   16,   10,   36,   10,   55
 775,    0,   24,   11,   62,   11,   58,    0,   63
 776,    1,   42,    0,   56,    0,   63,    1,   20
 777,   10,   43,    0,   41,   10,   57,   11,   56
 778,   11,   59,    0,   54,    1,   42,    0,   29
 779,   10,   36,    0,   43,    0,   51,   11,   55
 780,    1,   15,   11,   62,    0,   29,   10,   44
 781,    0,   58,    1,   49,    1,   24,   11,   62
 782,    1,   45,    0,   64,   11,   63,    0,   58
 783,    1,   30,   10,   62,   10,   44,   11,   55
 784,   11,   62,   10,   42,    1,   34,   10,   58
 785,   11,   59,   10,   60,   10,   53,    1,   15
 786,   11,   56,   10,   42,    0,   37,   10,   43
 787,    0,   55,    1,   14,    0,   51,   11,   65
 788,   11,   59,   10,   38,   10,   58,   11,   54
 789,    1,   26,    0,   29,   11,   60,   10,   42
 790,   11,   59,   11,   59,    0,   28,   10,   41
 791,    1,   44,    1,   13,    0,   56,    1,   17
 792,    0,   33,    0,   47,   10,   59,    1,   41
 793,   11,   63,    1,   17,   11,   63,    0,   20
 794,   11,   58,    0,   45,   11,   65,    0,   53
 795,    0,   57,   10,   60,   10,   60,    0,   30
 796,    0,   23,    0,   22,    1,   30,    0,   27
 797,   10,   37,    0,   59,   11,   54,    1,   31
 798,   10,   54,   11,   57,    1,   32,   11,   56
 799,   11,   61,    1,   50,    0,   20,   11,   58
 800,   11,   61,   10,   62,    1,   32,   11,   64
 801,   11,   65,   10,   41,   11,   64,    1,   48
 802,    0,   62,    1,   42,   10,   60,   10,   45
 803,   11,   56,   10,   51,    1,   39,    1,   40
 804,    0,   30,    0,   59,    1,   58,    1,   29
 805,   10,   48,   11,   61,   10,   65,   11,   58
 806,    1,   58,   11,   60,   10,   38,    0,   23
 807,    1,   12,   10,   36,    1,   17,    0,   49
 808,    1,   12,   11,   60,   11,   57,    1,   13
 809,   10,   62,    0,   45,    0,   50,   11,   59
 810,   11,   58,    0,   38,   10,   60,   10,   38
 811,   11,   55,    0,   28,    0,   27,    0,   43
 812,   11,   60,   10,   59,   11,   57,   11,   56
 813,    0,   56,    0,   61,   11,   62,   10,   50
 814,    0,   34,   11,   61,    1,   21,    0,   43
 815,   10,   64,   11,   62,   10,   65,   10,   59
 816,    1,   19,    1,   54,   10,   50,    0,   35
 817,   10,   48,    0,   64,   11,   64,    1,   65
 818,    0,   49,    0,   34,   10,   50,    1,   62
 819,   11,   64,   11,   56,   10,   47,   11,   58
 820,   10,   60,    1,   18,    1,   26,    1,   64
 821,   11,   61,   11,   60,   11,   57,   11,   60
 822,    0,   40,    1,   23,   11,   56,   10,   52
 823,   10,   41,   10,   50,   10,   63,   11,   61
 824,   10,   65,    0,   25,   10,   45,    1,   45
 825,    1,   43,    1,   20,   10,   40,    0,   58
 826,   11,   55,   10,   60,   11,   61,   10,   54
 827,    1,   43,   11,   59,    0,   58,    1,   35
 828,   10,   60,   10,   47,    0,   64,    1,   35
 829,   11,   62,   10,   65,   11,   61,    0,   57
 830,   10,   53,   10,   42,   10,   50,   11,   65
 831,   11,   60,    1,   17,    0,   31,    0,   52
 832,    1,   56,   11,   59,    1,   40,   10,   50
 833,   11,   57,    0,   64,    0,   27,    1,   57
 834,    1,   47,   11,   60,    0,   42,    0,   35
 835,    0,   37,    0,   50,   10,   60,   10,   39
 836,    0,   65,   10,   55,    1,   29,   11,   65
 837,    0,   34,    1,   65,   10,   58,    1,   29
 838,   10,   60,    0,   60,   10,   45,    0,   63
 839,   10,   49,    1,   47,    0,   61,   10,   36
 840,    0,   46,    0,   33,   11,   63,   10,   62
 841,   10,   44,   11,   54,    0,   61,   10,   62
 842,   11,   62,   11,   58,   10,   63,    0,   18
 843,   10,   48,    1,   32,   10,   51,    1,   48
 844,    1,   38,    1,   40,   11,   55,   10,   41
 845,   11,   63,    1,   63,    0,   47,    1,   54
 846,   11,   57,   10,   55,    1,   28,    0,   63
 847,    1,   49,   11,   57,    0,   35,   10,   51
 848,    0,   65,   11,   64,    0,   38,   11,   65
 849,   10,   41,   11,   57,   11,   61,    1,   44
 850,    1,   44,   11,   62,   10,   57,   11,   58
 851,    0,   51,    0,   49,   10,   46,    0,   53
 852,   11,   63,   11,   59,    0,   23,    0,   31
 853,   11,   55,   11,   54,   10,   53,   10,   40
 854,    1,   57,    1,   31,    1,   33,   10,   51
 855,   11,   59,    1,   12,    1,   56,   11,   60
 856,    1,   32,    1,   30,   11,   58,   10,   40
 857,   11,   57,    1,   25,    0,   63,   10,   63
 858,    0,   44,   10,   64,   10,   55,    1,   60
 859,   10,   36,   10,   61,    0,   27,   10,   37
 860,    1,   43,    0,   58,    0,   56,    0,   58
 861,   10,   58,   10,   60,    0,   54,    0,   30
 862,    0,   39,    1,   59,    0,   54,   11,   61
 863,    0,   18,    0,   57,   10,   63,   10,   39
 864,   10,   45,   10,   41,   11,   62,   10,   54
 865,    1,   39,   10,   46,    1,   32,    0,   18
 866,   11,   64,    1,   27,   10,   62,    0,   26
 867,    0,   35,   11,   54,    1,   62,   10,   45
 868,   11,   63,    0,   60,   11,   59,   10,   48
 869,    1,   46,   11,   59,   10,   40,    1,   35
 870,   11,   61,    1,   55,    0,   45,   11,   54
 871,   10,   59,   10,   43,   11,   61,    1,   35
 872,   11,   62,   11,   62,    0,   41,   10,   36
 873,    0,   48,    0,   52,    0,   38,   11,   61
 874,    0,   44,   10,   42,    0,   25,   11,   56
 875,   11,   65,   10,   60,   11,   62,   10,   36
 876,    1,   33,   11,   63,    1,   51,    0,   59
 877,    0,   40,    1,   57,    1,   18,   10,   41
 878,   11,   62,   10,   45,   11,   58,    1,   47
 879,   11,   65,    1,   51,    0,   62,    0,   43
 880,    1,   33,    1,   38,   11,   59,   10,   36
 881,    1,   56,    1,   59,    1,   27,    0,   29
 882,   10,   42,   11,   64,    1,   63,    0,   49
 883,    1,   14,   10,   54,   10,   42,    0,   29
 884,    1,   47,   10,   45,   11,   61,    0,   64
 885,   11,   63,   10,   44,    0,   30,   10,   48
 886,    0,   50,   10,   40,    1,   31,    1,   62
 887,    0,   56,    0,   46,    0,   30,   11,   54
 888,    1,   35,    1,   50,   11,   62,    1,   41
 889,   11,   58,    1,   51,    0,   52,    1,   56
 890,   11,   59,    1,   31,   11,   55,    1,   25
 891,    0,   54,   11,   63,    0,   31,   10,   43
 892,    1,   40,   11,   61,   11,   58,   11,   60
 893,    0,   23,    1,   22,    1,   14,    1,   32
 894,    1,   55,   10,   45,    0,   24,   10,   62
 895,    1,   34,   10,   39,   11,   59,    0,   61
 896,    0,   19,    0,   44,    1,   15,    0,   40
 897,    0,   27,   10,   45,    0,   63,   11,   61
 898,   11,   65,    1,   45,   11,   54,   11,   59
 899,   11,   58,    0,   42,   11,   60,    0,   50
 900,   10,   52,    0,   28,    0,   64,   11,   64
 901,    1,   24,    1,   64,   11,   62,   10,   48
 902,   10,   58,    0,   21,   10,   50,   10,   44
 903,   10,   61,   10,   36,   11,   56,    1,   16
 904,    1,   60,    1,   50,    1,   38,    1,   48
 905,    0,   61,   11,   57,   10,   64,   11,   55
 906,    1,   32,   11,   65,   11,   61,    1,   26
 907,    1,   34,   10,   48,   11,   55,    0,   54
 908,   11,   60,   10,   53,   11,   64,    1,   33
 909,   10,   56,   10,   45,   10,   59,   10,   63
 910,    0,   29,    0,   27,    0,   49,   10,   41
 911,   10,   44,   11,   62,    1,   49,   11,   61
 912,    1,   21,    1,   12,    1,   40,   10,   41
 913,    1,   37,   11,   56,    1,   61,    1,   41
 914,   10,   63,   11,   57,   10,   58,    0,   54
 915,    1,   47,    1,   22,   10,   37,   10,   51
 916,    0,   50,    1,   25,   10,   55,   10,   57
 917,    0,   62,    1,   26,   10,   38,    0,   30
 918,   11,   55,   10,   58,   10,   42,    1,   34
 919,    0,   34,   11,   54,    0,   58,   11,   55
 920,   11,   64,    1,   21,    1,   13,   11,   56
 921,    1,   43,   10,   43,    1,   43,    1,   58
 922,   10,   55,   11,   54,   11,   57,    0,   50
 923,    1,   52,    0,   48,    1,   52,    0,   21
 924,   10,   65,    0,   30,    0,   57,    0,   52
 925,    1,   40,    1,   23,   11,   54,    1,   54
 926,   10,   51,    0,   28,   10,   45,   10,   53
 927,   10,   44,    1,   57,    0,   21,   11,   64
 928,    0,   57,    0,   56,   10,   49,    1,   58
 929,    0,   46,    0,   62,    0,   62,   11,   65
 930,   10,   64,    0,   35,   10,   52,    0,   59
 931,    0,   24,    0,   60,    0,   47,   11,   62
 932,   10,   60,    0,   49,    1,   50,   10,   45
 933,   10,   58,   11,   64,    0,   37,   11,   61
 934,    0,   29,    1,   50,    1,   34,   11,   54
 935,    1,   65,   11,   63,    0,   23,    0,   20
 936,   11,   65,   11,   60,    0,   22,   11,   60
 937,   11,   56,    0,   55,    0,   49,    0,   49
 938,   11,   64,   11,   60,   10,   46,   10,   54
 939,    1,   32,    1,   62,   11,   54,   11,   58
 940,   11,   55,   11,   59,    1,   61,   10,   59
 941,    1,   29,   11,   58,    0,   49,   10,   63
 942,   10,   45,    0,   46,   11,   55,   11,   64
 943,   10,   54,   11,   62,    1,   55,   10,   46
 944,   11,   58,   10,   65,   11,   65,    1,   25
 945,   10,   41,   11,   57,   11,   65,   11,   58
 946,    1,   45,    0,   65,    1,   35,    1,   62
 947,   11,   60,   10,   64,    0,   21,    0,   20
 948,   10,   46,   11,   54,    0,   45,    0,   54
 949,    0,   43,   10,   44,   10,   52,    0,   28
 950,    0,   41,    1,   12,   11,   57,    1,   65
 951,    0,   33,   10,   61,    0,   34,   10,   60
 952,   10,   44,    0,   18,   11,   57,   10,   48
 953,    1,   47,   10,   51,    0,   57,    1,   28
 954,    1,   59,   10,   61,   11,   65,    0,   39
 955,    0,   46,   10,   41,    0,   62,    0,   60
 956,    1,   54,   11,   59,   10,   37,    1,   35
 957,   10,   53,    1,   34,    0,   51,    0,   49
 958,   11,   56,    0,   37,    0,   43,   11,   57
 959,    0,   36,   10,   62,    1,   12,   11,   55
 960,    1,   23,    1,   54,    0,   41,    1,   21
 961,    1,   49,    0,   57,    0,   39,   10,   48
 962,   10,   49,   10,   56,    0,   31,   10,   63
 963,    1,   22,    0,   19,    0,   46,    0,   25
 964,    1,   28,   11,   55,   10,   46,   10,   62
 965,    0,   34,   11,   56,    1,   12,    1,   54
 966,   10,   55,    0,   51,   11,   54,    1,   33
 967,   10,   59,   10,   65,   10,   56,    1,   26
 968,    1,   22,   10,   38,    1,   16,   10,   61
 969,    1,   30,   11,   59,    1,   19,    1,   51
 970,    0,   24,   11,   60,    1,   44,    1,   24
 971,    1,   55,   11,   56,   11,   57,   11,   56
 972,   11,   63,   11,   61,    1,   48,    0,   58
 973,    1,   47,    0,   18,    1,   24,   11,   62
 974,   10,   60,    0,   60,    0,   38,   11,   61
 975,   10,   37,    0,   60,   10,   39,    1,   53
 976,   11,   56,    0,   32,   10,   56,   10,   57
 977,   10,   63,    1,   44,    0,   41,   10,   63
 978,   10,   54,    1,   43,    0,   55,   11,   60
 979,   10,   53,   11,   54,   10,   48,   11,   56
 980,    1,   35,   10,   65,    1,   56,   10,   44
 981,   10,   39,    1,   49,    0,   53,   11,   60
 982,   10,   47,    0,   24,   11,   59,    0,   56
 983,    0,   29,    1,   61,    0,   54,   10,   46
 984,   11,   54,    0,   49,    1,   51,    0,   44
 985,    0,   41,    1,   47,    0,   43,   11,   56
 986,    1,   35,   11,   54,    1,   65,   11,   59
 987,    0,   36,   11,   55,   11,   63,    1,   28
 988,    0,   52,    1,   52,    1,   19,   11,   54
 989,    0,   51,    0,   22,    0,   50,   10,   37
 990,    1,   53,    0,   46,   11,   54,   10,   52
 991,   11,   61,   11,   55,    0,   37,   10,   58
 992,   11,   54,    1,   43,    1,   12,   10,   47
 993,   10,   64,   11,   54,    1,   21,    1,   63
 994,   10,   38,   10,   41,   11,   59,    1,   18
 995,    0,   24,    0,   55,    1,   56,   10,   49
 996,   11,   63,    0,   21,    0,   54,   11,   59
 997,   11,   60,   11,   60,   11,   65,    1,   25
 998,    1,   47,   10,   38,   10,   38,   11,   54
 999,    1,   15,    1,   26,    1,   28,   10,   53
