nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
 228,     1,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -8,  -4,  88,  -8,  -4,  -4,  -4,  -4
 229,     1,  -6,  -6, -26, -14,  74,  -6,  -6,  -6,  -6, -14,  -6,  -6,  -6,  -6,  -6
 230,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7, -11,  -3,  -3, -11
 231,     1,  -9, -17,  -5,  91,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5, -21, -17
 232,     1,  -7,  -7, -31,  -7, -27,  73,  -7, -31, -27, -23,  -7, -23, -31,  -7,  -7
 233,     1, -13, -13,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  83, -21,  -5,  -5, -17,  -5
 234,     1,  -5,  -9,  -9, -13, -17,  -5,  -5, -13,  -5,  -5,  83,  -5,  -5,  -5,  -5
 235,     1,  -2,  -2,  -6, -10,  -6,  -2,  -6,  90,  -2,  -6,  -2,  -2,  -2,  -2,  -2
 236,     1,  -5,  -5,  -5, -25,  -5,  -5, -21,  -5,  -5,  -5,  87,  -5,  -5,  -5,  -5
 237,     1,  -8,  -8,  80, -24, -40,  -8,  -8,  -8, -16, -24, -36, -16, -12,  -8,  -8
 238,     1,  -3, -11,  -3,  85,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3, -11,  -7,  -3
 239,     1,  -5,  -5,  -5,  87, -25,  -5, -21,  -5,  -5,  -9,  -5,  -5, -21,  -5,  -5
 240,     1, -12,  84,  -4,  -4,  -4, -12,  -8,  -4,  -4,  -4, -12,  -4, -12,  -4,  -4
 241,     1,  -5,  -5, -17, -17, -17,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5,  91, -17
 242,     1, -22, -42, -10, -34, -10, -42,  54, -10, -42, -30, -10, -22, -10, -18, -30
 243,     1,  -5,  -5,  -5,  -5,  -5, -17, -25,  83, -13,  -5,  -5,  -5, -13, -25,  -5
 244,     1,  -8,  84,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -8, -12,  -4,  -4,  -4
 245,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 246,     1,  -5,  -5,  -5, -21, -21,  -5,  -5,  87,  -5, -13,  -5,  -5,  -5,  -5, -17
 247,     1,  -7,  65,  -7,  -7, -27,  -7, -23, -31, -11, -15, -15,  -7, -19,  -7, -27
 248,     1, -17,  91, -17,  -9,  -5,  -5,  -5,  -5, -17,  -5, -25,  -5,  -5,  -5, -13
 249,     1, -11, -11, -43, -27, -19, -11,  57, -31, -11, -43, -11, -11, -11, -11, -43
 250,     1,  -7,  -7,  -7, -31,  65,  -7,  -7, -15,  -7, -15,  -7,  -7, -23, -15, -19
 251,     1,  -8,  -4, -16,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -12,  -4,  92
 252,     1, -17, -21,  -5,  -9,  -9,  -9,  87,  -5,  -5, -21,  -5,  -5,  -9, -17,  -5
 253,     1, -15,  89, -31, -19,  -7,  -7, -19, -31, -11,  -7, -23, -31,  -7, -35,  -7
 254,     1,  -6,  -6,  -6,  -6, -22,  -6, -22, -14,  -6,  -6, -26,  70,  -6, -10,  -6
 255,     1, -26, -10,  78, -30,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 256,     1, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3, -11,  -3, -15,  -3,  -3,  -3
 257,     1,  -5,  79,  -5,  -5, -25,  -5,  -9,  -5, -17,  -9,  -5, -13,  -5,  -5,  -5
 258,     1,  -4,  80,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 259,     1, -31, -15, -23,  -7,  -7,  89, -31, -31,  -7,  -7, -19,  -7, -19,  -7,  -7
 260,     1,  -7,  -7, -19,  -7,  -7,  -7,  -7, -27,  -7,  -7, -31,  -7,  -7,  81,  -7
 261,     1,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  84
 262,     1,  -6,  -6,  -6, -18,  -6, -26, -26,  -6,  -6,  -6,  -6, -22,  86, -18,  -6
 263,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3, -11,  -3,  -3,  -7
 264,     1, -19,  85,  -7, -31,  -7, -19,  -7, -31,  -7,  -7, -27,  -7, -27, -15,  -7
 265,     1,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4, -16, -12,  84,  -4,  -4,  -4,  -4
 266,     1,  -4,  -4,  -8,  -8,  -8,  -4,  -4,  80,  -4, -20,  -4,  -4, -20, -12,  -4
 267,     1, -13,  59,  -9,  -9,  -9, -41,  -9,  -9, -41,  -9, -29,  -9,  -9,  -9, -41
 268,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -22, -14,  90,  -6,  -6,  -6,  -6, -10
 269,     1, -30, -10,  -6,  -6,  -6,  -6,  -6,  -6, -26,  -6,  -6,  -6,  90, -26, -26
 270,     1,  -6,  -6, -30, -14,  -6,  -6, -26,  -6, -22,  -6, -10,  74,  -6,  -6,  -6
 271,     1,  -8,  -8,  -8,  -8,  -8,  -8,  -8, -36,  -8, -24, -24, -16,  -8,  80,  -8
 272,     1,  -6,  -6,  -6,  -6,  -6,  86,  -6,  -6,  -6, -22, -14,  -6,  -6, -26,  -6
 273,     1,  -6,  -6,  -6,  -6,  -6,  82,  -6, -22,  -6,  -6,  -6, -14,  -6, -26,  -6
 274,     1,  -8,  -8, -36, -12, -28,  -8,  -8, -28, -36,  -8,  -8,  60,  -8, -16,  -8
 275,     1,  -5,  -5, -13,  -5,  83,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13
 276,     1,  -5,  83,  -5, -13,  -5,  -5,  -5,  -5,  -5,  -5, -17, -21,  -5, -13, -17
 277,     1,  -4,  88,  -4, -16,  -4,  -4,  -4,  -4,  -8,  -4, -12,  -4,  -8,  -4, -12
 278,     1, -11,  -7, -35, -15,  -7, -11,  89,  -7, -19, -19,  -7,  -7, -35, -15, -19
 279,     1,  -3,  -3, -15,  -3,  -3, -15,  -3,  -3,  -7,  -3,  -7,  -3,  85,  -3,  -3
 280,     1,  -5,  -9,  -9,  -5,  -5,  -5,  -5,  -5, -17,  -9,  -5,  -5,  -5,  -5,  87
 281,     1, -41, -37, -21,  71,  -9,  -9, -41,  -9,  -9,  -9, -41, -41,  -9, -13,  -9
 282,     1, -28,  -8, -24,  84, -20, -12,  -8, -40, -24, -12,  -8,  -8, -20,  -8, -12
 283,     1,  -8, -16, -28, -16,  -8,  -8, -16,  -8, -20,  -8,  -8,  -8,  -8,  -8,  76
 284,     1, -31, -15,  -7,  -7, -19,  73,  -7,  -7, -19,  -7, -31,  -7, -27,  -7, -19
 285,     1,  -8,  -8, -20,  80, -20,  -8, -36,  -8,  -8, -12, -20,  -8,  -8, -28,  -8
 286,     1, -15,  -7, -35,  -7, -27, -27,  -7, -31, -31,  89, -11, -27,  -7, -27, -15
 287,     1,  -6,  82,  -6,  -6,  -6,  -6, -26,  -6,  -6, -14,  -6,  -6, -26,  -6,  -6
 288,     1,  -5, -17,  -5,  -5,  -5, -13,  87, -25,  -5,  -5, -13,  -5,  -5, -13, -13
 289,     1,  -3,  -3, -11, -15, -15,  85,  -3,  -7,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 290,     1,  -5,  -9,  -5, -21,  -5,  -5, -17, -13,  -9,  -5, -13,  -5,  -5,  79, -21
 291,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4
 292,     1,  -7,  -7,  -7,  -7,  -7, -27,  -7, -27,  -7, -23, -27,  -7,  -7,  77,  -7
 293,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 294,     1,  -6,  -6, -10,  -6,  -6, -18,  -6,  -6,  86,  -6,  -6,  -6,  -6,  -6,  -6
 295,     1, -13,  -9,  -9, -33, -29,  63, -41, -37,  -9,  -9, -41, -33, -29,  -9, -21
 296,     1, -25,  -5,  -5,  -5,  -5,  -5,  -9, -13,  -5, -25,  -5,  -5,  91,  -5, -21
 297,     1,  -6,  -6,  -6, -26,  -6,  -6,  -6,  -6,  -6, -14, -14,  -6, -22,  -6,  82
 298,     1, -13, -29, -17,  -9,  -9, -37,  -9, -29, -13, -37, -37, -29,  67, -17,  -9
 299,     1,  -6,  -6,  70,  -6, -18,  -6, -18, -22,  -6, -14, -26, -26, -18, -26,  -6
 300,     1,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4
 301,     1,  -6, -14,  -6,  -6,  -6,  82,  -6,  -6, -22,  -6, -18,  -6, -26,  -6,  -6
 302,     1,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  89
 303,     1, -31,  -7,  -7,  -7, -15,  85,  -7,  -7,  -7,  -7, -19,  -7,  -7, -23,  -7
 304,     1,  -6,  -6,  -6, -14, -18,  -6, -18,  82,  -6,  -6, -26,  -6, -14, -30,  -6
 305,     1,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4
 306,     1,  -3,  -3,  -3,  -3,  -3,  -7,  93,  -3,  -3, -15,  -3, -11,  -3, -15,  -7
 307,     1,  -4,  -8, -16,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4, -12, -16, -12
 308,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  84, -20,  -4
 309,     1, -30, -30,  90, -14, -26, -22, -22,  -6,  -6, -10,  -6, -10, -26,  -6, -14
 310,     1,  -8, -20,  -8,  -8,  84,  -8,  -8,  -8, -16, -16,  -8,  -8, -12,  -8, -32
 311,     1,  -4,  -4, -20,  -4,  88,  -4,  -4,  -4,  -8,  -8,  -4,  -4,  -4,  -4,  -4
 312,     0, -11, -23, -43, -15, -19, -35, -11, -11, -43, -11, -11, -43, -11, -11, -11
 313,     1,  -8,  -8,  -8, -16,  -8, -28,  -8,  60, -28,  -8, -28, -36, -32, -16, -28
 314,     1,  -3,  -3, -11,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -3, -11, -11,  -3,  -3
 315,     1,  -4,  -8, -20, -12, -20,  -4,  -4,  -4, -12, -20, -20,  -4,  -4,  88,  -4
 316,     1, -16,  -4, -20,  -8,  -4,  -4,  -4,  -4, -16,  84,  -4,  -4,  -4,  -4,  -4
 317,     1,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -3,  -3,  89, -11,  -3, -15
 318,     1,  -4, -20, -12,  -4, -12,  92,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 319,     1, -29,  -9, -17, -21, -21, -25, -37,  -9,  -9,  -9,  -9, -33,  -9,  59, -21
 320,     1, -11,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 321,     1,  -9,  -9, -41,  -9, -17,  -9, -33,  -9,  -9,  -9,  71, -29,  -9,  -9,  -9
 322,     1,  -6,  -6,  -6, -30,  -6, -22,  -6,  -6,  -6,  82, -10,  -6,  -6,  -6, -22
 323,     1, -26,  -6,  -6,  -6, -26,  -6,  -6,  -6,  -6,  -6, -14,  -6,  70,  -6, -22
 324,     1,  -5,  83,  -9,  -5, -17,  -5, -21,  -5, -21, -21,  -9,  -5,  -5,  -5,  -5
 325,     1,  92,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4
 326,     1,  -5, -21,  -5,  -5,  -9,  -5,  -5, -21,  -9,  91,  -5,  -9,  -9,  -5, -13
 327,     1,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3, -11, -11,  -3,  -3
 328,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14,  -6,  78,  -6,  -6,  -6
 329,     1,  -4,  -4, -12,  -4,  -4, -12,  -4,  -4,  -4, -16,  -4,  -4,  92,  -4,  -4
 330,     1,  94,  -2,  -2,  -6,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2
 331,     1,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -7
 332,     1,  -7,  -7,  -7,  -7,  -7, -31,  -7,  77, -11, -11,  -7,  -7, -23, -19,  -7
 333,     1,  -5,  -5,  -5, -25,  -5,  -5,  -5, -21,  -5,  83,  -5,  -9, -25, -17, -17
 334,     1, -17, -13,  -9,  -5,  -5,  -5,  -5,  -5,  -5, -21,  83,  -5,  -5,  -5,  -5
 335,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80, -16,  -4,  -4,  -4,  -4,  -4,  -4
 336,     1, -21, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9, -25,  -5,  87
 337,     1,  -8,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4
 338,     1, -10, -10, -10, -22, -10, -38, -10,  58, -10, -34, -10, -10, -42, -30, -38
 339,     1, -14,  -6,  -6, -26,  -6,  -6, -30,  -6,  -6, -30,  -6,  -6,  -6,  -6,  86
 340,     1,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2
 341,     1,  -3,  -3,  -3,  85,  -3, -11, -11,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -3
 342,     1,  -4,  -4, -16, -12,  -4,  -4,  -4,  -4, -20,  88,  -4,  -4, -20,  -4,  -4
 343,     1, -10,  -6,  -6,  -6, -22,  78, -26,  -6, -10,  -6,  -6, -10, -30,  -6,  -6
 344,     1, -12,  -4,  -4,  -4, -16,  -4,  -8, -12,  -4,  88,  -4, -12,  -4,  -4,  -4
 345,     1, -25, -41,  -9,  -9,  -9,  -9,  -9, -25,  63,  -9,  -9,  -9,  -9, -13, -25
 346,     1,  -8,  -8,  -8,  -8, -12,  -8, -12,  72,  -8, -32, -20,  -8,  -8, -12, -40
 347,     1, -12,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -16,  80,  -4,  -4,  -4,  -4,  -4
 348,     1,  -4,  -4, -12,  -4,  92, -20,  -4,  -4, -12, -16,  92,  -4,  -4, -20,  -4
 349,     1,  -5,  -5,  -5, -17,  -9,  -5,  -5,  -5, -25,  -9, -21,  91,  -5,  -5,  -5
 350,     1,  75,  -9,  -9, -25, -17,  -9, -17,  -9, -33,  -9, -29,  -9,  -9, -33, -21
 351,     1, -13, -21,  -9,  -9, -41,  63, -13,  -9,  -9,  -9,  -9,  -9, -37,  -9,  -9
 352,     1,  -6,  -6, -30,  -6,  -6,  -6,  -6,  -6,  82,  -6, -30,  -6,  -6, -14, -18
 353,     1,  -5,  87,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -9,  -5
 354,     1,  -3, -15,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -7
 355,     1,  -3,  -3,  -3, -11,  -3, -11,  -3,  89,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 356,     1, -13,  63,  -9, -17,  -9,  -9, -13, -37,  -9,  -9, -13,  -9,  -9,  -9,  -9
 357,     1,  -8,  -8, -36,  -8, -32,  -8, -20,  -8,  76,  -8,  60, -36,  -8,  -8,  -8
 358,     1, -21,  -5, -17, -17, -13,  -5,  87,  -5, -13,  -5,  -5,  -5,  -9,  -5,  -5
 359,     1,  -4,  -4,  -4,  -4,  -4,  -4, -16, -12,  -4,  -4, -16,  -4,  -8, -20,  84
 360,     1,  -9,  -9,  -9, -41,  -9,  -9, -17, -41,  -9, -41, -29,  -9,  -9,  67, -13
 361,     1,  -9, -37,  -9,  67,  -9,  -9, -29,  -9,  -9, -13,  -9,  -9, -17,  -9, -41
 362,     1,  -4,  92,  -4, -12, -12,  -4,  -4,  -4,  -4,  -4, -12, -16,  -4,  -4,  -4
 363,     1,  -5,  -5,  -5,  -5, -21,  -5,  -5,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 364,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  88,  -4,  -4
 365,     1,  -5,  -5,  -5, -17,  -5,  -5,  -5, -21, -21,  -5, -25,  -5,  -5,  -5,  87
 366,     1, -20,  -4, -12,  -4,  -4,  -4,  -8,  -8,  -4,  -4,  84,  -4, -16,  -4,  -4
 367,     1, -25,  -9,  -5, -25,  -5, -17, -21,  -5, -13,  -5,  -5,  91, -25,  -5,  -5
 368,     1,  -6,  -6, -30,  -6,  -6,  -6,  90,  -6,  -6,  -6,  -6, -26,  -6,  -6,  -6
 369,     1, -11, -27,  -7,  -7,  -7,  65,  -7,  -7,  -7, -23,  -7,  -7, -23, -27, -27
 370,     1,  71, -25,  -9, -37, -17,  -9, -21,  -9,  -9,  -9, -41,  -9, -33, -29,  -9
 371,     1,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -3,  -3, -15
 372,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3
 373,     1, -10,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2
 374,     1,  -9, -13,  -9, -25, -17,  -9,  -9,  -9,  -9,  -9, -41, -13,  59, -37, -17
 375,     1,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12, -12,  -4,  -4,  80
 376,     1,  -6,  -6, -14,  -6,  -6, -26,  -6, -26, -14,  -6,  -6,  -6, -26,  86, -26
 377,     1,  -8,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -8,  -4,  88, -20,  -4,  -4,  -4
 378,     1,  89,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 379,     1,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4,  -4
 380,     1, -11,  -7,  -7,  -7, -19,  -7,  -7, -11,  -7, -19, -19,  -7,  69,  -7,  -7
 381,     1,  -4, -12,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 382,     1,  79,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 383,     1,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 384,     1, -10, -10,  70, -26, -10, -34, -10, -10, -10, -10, -22, -10, -10, -10, -10
 385,     1,  -9,  -9, -21, -17,  -9,  63,  -9,  -9, -41,  -9,  -9, -17,  -9, -41, -41
 386,     1,  -6, -10, -14, -22,  78, -26,  -6,  -6,  -6,  -6,  -6,  -6, -18,  -6, -26
 387,     1,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  93,  -3, -11
 388,     1,  -3,  89,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3
 389,     1, -19,  -7,  -7,  -7, -19,  85,  -7,  -7, -11,  -7, -19, -35,  -7, -11,  -7
 390,     1,  -7, -35,  -7,  -7,  69,  -7, -31,  -7,  -7,  -7, -11, -23, -35, -31,  -7
 391,     1,  -8,  -8,  -8,  -8, -16, -12, -36, -20, -32, -12,  -8, -24,  -8, -24,  72
 392,     1,  -4,  -4, -12,  92,  -4,  -4,  -4, -16, -20,  -4,  -4,  -4,  -4,  -4,  -8
 393,     1, -17,  -5,  79,  -5,  -5,  -9,  -5,  -5, -25, -21,  -5, -13,  -5,  -5,  -9
 394,     1,  -9,  -9,  -9,  -9, -33,  -9, -21, -21, -33,  59,  -9, -13, -37, -37,  79
 395,     1,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 396,     1, -30,  -6,  -6,  82,  -6,  -6, -14, -14, -18, -26,  -6, -18,  -6, -18,  -6
 397,     1, -34, -34, -10, -42, -18, -42, -10, -22, -10, -10, -30, -10, -14,  58, -10
 398,     1, -17,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -5,  83, -21
 399,     1, -11,  -7, -11,  -3,  -3, -11, -11,  89,  -3,  -3,  -3, -11,  -3, -11,  -3
 400,     1, -20, -32,  -8,  72, -32,  -8,  -8,  -8,  -8, -16,  -8, -20, -16,  -8, -16
 401,     1,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2
 402,     1, -20,  -8,  -8, -12,  -8, -20,  88, -24,  -8,  -8,  -8,  -8, -32, -12,  -8
 403,     1,  68,  -8,  -8,  -8,  -8, -12,  -8,  -8,  -8, -28,  -8, -24,  -8,  -8,  -8
 404,     1, -30,  -6, -30, -14,  -6,  -6,  78, -14,  -6,  -6,  -6, -26,  -6,  -6,  -6
 405,     1, -20,  -4,  -4,  -4,  -4,  -8,  -4,  92,  -4,  -4,  -8,  -4,  -4, -20,  -8
 406,     1,  -4,  -4,  -4,  -4,  -4, -20,  -8,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4
 407,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  92,  -8,  -4
 408,     1,  -8,  -8, -12,  -4,  -4, -16,  -4, -20,  -4,  -8,  -4,  -4, -16,  88,  -8
 409,     1, -10, -10, -30, -30, -10, -10, -10, -10,  66, -10, -14, -10, -10, -10, -10
 410,     1,  -3,  -3, -11,  -3,  -3,  -3,  -7,  -3,  -7, -11,  93,  -3,  -3,  -3,  -3
 411,     1,  -4,  -8,  -4,  -4,  -4,  84,  -4, -16,  -4,  -8, -12,  -8,  -4,  -4,  -4
 412,     1,  -8, -32, -36,  -8, -12,  -8,  76, -28, -36,  -8, -28, -36, -32, -16,  -8
 413,     1, -17,  -5,  -5, -25,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 414,     1,  -5,  -5,  -5,  -5,  -5,  -5, -25,  -5,  79,  -5,  -5,  -5,  -5, -17,  -5
 415,     1, -17, -33,  -9, -29,  -9, -25, -41,  -9,  -9,  -9,  -9, -17, -41,  79, -13
 416,     1, -16, -16,  -4,  -8,  -4,  -4,  -4,  -4, -12,  -4,  -4, -16,  92,  -4,  -8
 417,     1,  -6, -10,  -6, -30,  -6,  -6, -26, -26,  -6, -10, -26,  78, -26, -30,  -6
 418,     1, -12,  -4, -12, -12,  -4, -16, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80
 419,     1, -22, -10,  -6,  -6,  -6, -26, -30, -14,  -6,  78, -26,  -6, -26, -10, -26
 420,     1,  89,  -3,  -3,  -3,  -3,  -3, -15,  -3, -11, -11,  -3,  -3,  -3,  -3,  -3
 421,     1,  -7,  -7,  -7,  -7, -15, -31, -23,  -7,  -7,  85,  -7,  -7, -31,  -7, -19
 422,     1,  77, -31,  -7,  -7,  -7, -27, -31,  -7, -15,  -7,  -7, -27,  -7, -19,  -7
 423,     1,  -4,  -4,  -4,  -4,  -4, -12,  -4,  92, -16, -12,  -4,  -4, -16,  -4,  -4
 424,     1,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  88,  -4,  -4,  -4
 425,     1,  -4,  -4, -16, -16,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4
 426,     1,  -6, -14,  -6,  78, -14,  -6, -10, -22,  -6, -18, -10,  -6,  -6,  -6, -10
 427,     1,  -4,  -4,  -8, -16,  -4,  -4, -12,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4
 428,     1,  85, -35,  -7,  -7,  -7,  -7,  -7,  -7, -31, -27, -11,  -7,  -7, -11,  -7
 429,     1,  -4,  -4, -20, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4,  -4,  -4
 430,     1,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  88, -12,  -4,  -4
 431,     1,  -6, -18,  -6,  -6, -26, -18,  -6,  -6,  -6, -22,  -6,  -6,  -6,  82,  -6
 432,     1,  -7,  -7, -31, -11,  -7,  -7,  -7,  -7,  -7,  85, -15, -11, -11,  -7, -23
 433,     1,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -8,  -4
 434,     1,  -3,  -3,  -3, -11, -11,  -3, -11,  -3,  89,  -3, -15, -11,  -3,  -3,  -3
 435,     0, -43, -19, -31, -11, -43, -11, -43, -43, -15, -11, -51, -11, -19, -11, -43
 436,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  85,  -3
 437,     1,  -4,  -4, -16, -20, -16,  -4,  -4, -16,  -8,  -4,  -4,  -8,  92,  -4,  -4
 438,     1,  -5,  -5,  -5, -21, -13, -13,  79, -25,  -5,  -5, -25,  -5,  -5,  -5,  -5
 439,     1,  -7, -19, -19,  -7,  77,  -7,  -7,  -7,  -7, -23, -19,  -7, -23, -15,  -7
 440,     1,  -9, -41,  -9,  -9, -37, -41,  -9, -29,  -9,  -9,  -9, -21,  59, -21,  -9
 441,     1,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -7,  -3
 442,     1, -13,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  91, -25,  -5,  -5,  -5,  -9
 443,     1,  -9, -41,  -9,  -9,  -9, -37, -41, -37,  -9,  67,  -9, -37, -29,  -9, -13
 444,     1,  -2, -10,  -6,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2
 445,     1,  -4, -12,  88,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4
 446,     1,  -2,  -2,  94,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 447,     1,  -9,  59, -25, -25,  -9,  -9, -17, -33,  -9,  -9, -41,  -9,  -9,  -9, -21
 448,     1,  -3,  -3,  -7, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  93
 449,     1,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3
 450,     1, -16,  -8, -32,  -8,  -8, -32,  -8, -24,  -8,  -8,  -8,  -8,  60, -32,  -8
 451,     1,  89,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3
 452,     1,  -7,  -7, -23, -15,  77,  -7,  -7,  -7, -19, -23,  -7,  -7,  -7,  -7,  -7
 453,     1,  -6, -22, -26,  -6, -22,  -6,  -6,  -6,  82, -26,  -6,  -6, -10,  -6,  -6
 454,     1, -14,  -6,  -6,  -6,  -6, -10, -10,  -6, -10, -10, -26,  -6,  -6,  -6,  78
 455,     1,  -8,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16
 456,     1,  89,  -7,  -7,  -7,  -7,  -7, -23,  -7,  -7,  -7, -11, -27, -15,  -7, -15
