nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
 420,    0,   45,    0,   57,    1,   51,    0,   56,   10,   36
 421,    0,   37,   10,   49,   10,   63,    1,   34,   11,   54
 422,    1,   15,   10,   56,   10,   54,   10,   36,   10,   54
 423,   11,   63,    0,   46,    1,   27,    0,   23,    0,   29
 424,    1,   44,    1,   23,   10,   50,    0,   28,    1,   62
 425,    1,   25,   11,   65,    0,   59,    1,   25,   11,   60
 426,   10,   56,    1,   49,   10,   60,    0,   32,   10,   55
 427,   10,   60,    1,   46,   10,   61,    1,   40,    0,   62
 428,   11,   57,   11,   59,    1,   32,   10,   65,   11,   64
 429,    1,   22,    0,   63,    0,   28,   11,   64,    0,   43
 430,    1,   58,   10,   50,   10,   65,   10,   60,   11,   57
 431,    1,   22,   10,   59,    1,   29,    1,   50,    0,   62
 432,   10,   53,    0,   22,    0,   47,   10,   40,   11,   57
 433,    0,   32,   11,   59,   10,   44,   10,   43,    0,   52
 434,    1,   28,   10,   47,   11,   65,   10,   37,   10,   36
 435,    1,   16,   11,   54,   10,   49,   10,   43,    1,   35
 436,    1,   38,   11,   61,   11,   60,   10,   54,   10,   58
 437,   10,   47,    1,   51,    0,   63,   11,   64,   11,   65
 438,   10,   61,    0,   40,    0,   35,    1,   21,   10,   41
 439,    0,   53,   11,   65,   11,   56,   10,   51,    0,   29
 440,   10,   61,   11,   63,    1,   63,   10,   44,    1,   32
 441,    0,   48,   10,   60,    0,   25,    1,   23,    1,   31
 442,    1,   39,   10,   51,   11,   54,   10,   55,   11,   60
 443,   10,   49,    0,   22,    1,   45,    1,   21,   11,   65
 444,    1,   27,    0,   64,   10,   52,    1,   55,    0,   49
 445,   10,   64,   11,   59,   10,   51,    0,   43,   10,   63
 446,   10,   43,   10,   56,    1,   19,    0,   32,    0,   32
 447,    0,   38,   10,   36,    0,   22,    1,   59,    1,   33
 448,    1,   20,    0,   28,    0,   36,   11,   57,   11,   60
 449,   11,   60,   10,   59,   11,   56,    0,   26,    0,   21
 450,    0,   37,   10,   36,   10,   57,   11,   61,   10,   44
 451,    1,   45,   11,   58,   10,   46,   10,   37,    0,   49
 452,   11,   57,   10,   59,    0,   50,    1,   22,    0,   57
 453,   10,   48,    1,   20,   11,   60,    0,   37,   11,   57
 454,   10,   38,   11,   61,    1,   22,    1,   54,    0,   30
 455,    1,   27,   10,   63,   10,   55,    1,   37,   10,   56
 456,    1,   37,    0,   32,   11,   65,    1,   35,    0,   51
 457,   11,   54,   10,   42,    0,   49,    1,   16,   10,   62
 458,   10,   59,   10,   52,    1,   41,    1,   12,   10,   63
 459,    1,   35,   10,   36,    0,   54,   10,   37,    1,   44
 460,    0,   63,    0,   47,    0,   30,    0,   54,   11,   64
 461,    0,   48,   11,   61,    0,   39,    1,   46,    0,   49
 462,    0,   20,    0,   59,   11,   57,    0,   30,   11,   60
 463,    0,   52,   10,   61,   11,   64,   10,   62,   10,   42
 464,   10,   44,    0,   26,    0,   31,   11,   60,   10,   39
 465,   11,   55,   11,   56,    0,   63,    0,   31,   10,   53
 466,   10,   45,   11,   54,    0,   29,   11,   55,   10,   64
 467,   11,   55,    1,   15,   11,   59,    1,   60,   10,   65
 468,   10,   39,    0,   23,    1,   54,   11,   54,    1,   62
 469,   11,   57,   11,   55,    1,   23,    1,   40,    0,   26
 470,   10,   61,    0,   63,   10,   59,    0,   35,    1,   42
 471,   11,   60,   11,   65,   11,   58,   11,   57,   10,   56
 472,   10,   63,   11,   63,    1,   59,   10,   45,    1,   24
 473,   11,   58,    1,   32,   10,   44,   11,   62,   11,   54
 474,    1,   23,    0,   34,   11,   58,    0,   58,   11,   60
 475,    0,   25,    1,   34,    1,   53,   11,   59,    0,   39
 476,    0,   40,    1,   65,    1,   18,   11,   62,   10,   45
 477,    0,   52,    1,   45,    0,   39,   10,   52,   10,   42
 478,    1,   15,    0,   27,   10,   59,   10,   46,    0,   51
 479,   11,   54,   10,   46,    1,   51,    1,   41,   10,   55
 480,    1,   40,   10,   36,    0,   40,   10,   64,   10,   56
 481,   11,   55,    0,   40,   10,   45,    1,   58,   10,   53
 482,   11,   61,    1,   21,    0,   42,    0,   42,   11,   58
 483,   11,   63,   11,   58,   10,   55,    0,   26,   10,   57
 484,    0,   41,    1,   34,   11,   65,    0,   62,   10,   47
 485,    0,   46,   10,   64,   11,   63,   11,   62,   11,   60
 486,   10,   49,   11,   64,   11,   57,    0,   47,    1,   33
 487,   11,   62,   11,   63,    1,   17,    1,   54,    1,   57
 488,    1,   56,   11,   62,    0,   62,    1,   16,    0,   59
 489,    1,   43,   11,   65,   10,   57,   10,   48,    0,   27
 490,    1,   23,   11,   56,    0,   51,   11,   61,    1,   56
 491,    0,   49,    1,   52,    1,   45,    0,   58,   10,   41
 492,   11,   65,   10,   61,   11,   57,    0,   33,   11,   57
 493,    1,   57,    0,   39,    1,   34,   11,   59,    0,   60
 494,   11,   58,    0,   41,   10,   49,    0,   22,   10,   52
 495,   10,   44,    1,   30,   10,   49,    0,   50,   11,   58
 496,    0,   44,   10,   46,   11,   65,    1,   39,    1,   48
 497,    0,   32,   11,   56,   10,   42,    0,   37,   10,   43
 498,    1,   36,   10,   40,   10,   53,   11,   61,    1,   38
 499,   10,   51,   10,   44,    0,   64,   11,   62,   11,   65
 500,    1,   30,   11,   62,    0,   55,    0,   27,   10,   42
 501,    1,   20,   10,   54,   11,   55,   11,   57,    0,   34
 502,   11,   57,    1,   26,   10,   47,   11,   55,   10,   65
 503,    1,   40,   11,   55,    1,   58,   11,   60,   11,   60
 504,   10,   60,    0,   22,    0,   61,    0,   42,    1,   33
 505,    1,   58,    0,   53,   10,   53,    1,   53,   10,   48
 506,    1,   34,   10,   43,   11,   64,    1,   40,   10,   50
 507,    0,   48,   10,   53,   10,   50,   11,   55,   11,   54
 508,   11,   59,   10,   37,   11,   56,   11,   65,   11,   61
 509,    0,   46,   10,   63,   10,   40,    0,   56,    1,   30
 510,    1,   61,   11,   63,    1,   65,   10,   62,   11,   61
 511,   10,   64,    0,   43,    0,   57,   11,   60,    1,   60
 512,    0,   55,    0,   55,   11,   63,   10,   41,   11,   56
 513,   11,   61,   11,   60,    0,   62,   10,   49,    1,   42
 514,   11,   57,    1,   22,    1,   53,    0,   58,    0,   25
 515,    0,   53,   10,   61,    0,   61,    0,   25,    1,   30
 516,   11,   62,    0,   23,   10,   39,   10,   57,   10,   36
 517,   11,   57,    1,   40,   11,   57,   10,   61,   10,   42
 518,    1,   19,   10,   50,    1,   61,    0,   24,   10,   47
 519,    1,   43,   10,   36,    0,   20,    0,   28,   11,   54
 520,    0,   45,    1,   47,    0,   51,    0,   34,    1,   45
 521,    0,   19,    0,   46,    1,   49,    1,   12,    0,   62
 522,   11,   63,    1,   50,    1,   13,    1,   49,    0,   65
 523,    1,   45,    0,   22,   11,   61,    0,   36,   10,   60
 524,    1,   36,   11,   61,   11,   60,   10,   60,   11,   56
 525,   10,   57,    1,   28,    0,   63,   10,   63,   10,   45
 526,   11,   64,   11,   60,    1,   56,   10,   38,   11,   63
 527,   10,   42,    1,   38,   11,   59,   11,   59,    0,   37
 528,   11,   61,   11,   62,   10,   63,   10,   52,   11,   65
 529,   11,   56,    1,   46,    0,   37,   10,   61,    0,   33
 530,    1,   20,    1,   65,    1,   15,   11,   65,   11,   61
 531,    1,   56,   10,   41,   10,   50,   10,   42,    1,   28
 532,    1,   49,    1,   47,    0,   19,    1,   61,    0,   22
 533,   11,   57,    0,   21,    0,   28,   10,   37,   11,   65
 534,    1,   56,   10,   36,   11,   65,   10,   57,    1,   58
 535,    0,   35,   11,   56,    0,   20,    0,   60,   11,   60
 536,   11,   55,   11,   62,   11,   57,    0,   47,   10,   63
 537,    0,   28,   10,   60,    1,   33,   10,   38,    1,   26
 538,    0,   35,    1,   60,   10,   43,    1,   40,   11,   57
 539,    1,   18,    0,   27,   10,   56,   11,   63,    1,   32
 540,   11,   60,   10,   57,   11,   58,   11,   59,    1,   51
 541,   10,   45,   10,   39,   11,   54,    0,   51,   11,   65
 542,    1,   62,   10,   38,    1,   38,   11,   54,   10,   52
 543,   11,   58,    1,   47,    0,   48,    1,   24,    0,   46
 544,   10,   44,    1,   64,    1,   43,    1,   34,    0,   35
 545,   11,   59,   11,   65,    1,   19,   10,   37,    0,   32
 546,    0,   40,   11,   59,    1,   21,   10,   36,    0,   43
 547,   11,   58,    1,   28,   11,   60,   11,   62,    1,   32
 548,    0,   20,   11,   61,   11,   56,   10,   52,    0,   57
 549,   11,   65,    0,   46,   11,   65,    1,   59,   11,   64
 550,   10,   64,   10,   39,    0,   28,    0,   42,    1,   27
 551,    1,   19,    1,   59,   10,   58,    1,   65,    1,   28
 552,   10,   56,    1,   34,    0,   47,    1,   40,    0,   41
 553,   11,   58,   10,   41,    0,   30,    0,   57,    1,   64
 554,   10,   61,    0,   37,    1,   23,   11,   63,    0,   46
 555,   11,   58,   11,   60,   10,   60,    0,   55,    1,   57
 556,    0,   32,   10,   55,    1,   48,   11,   58,    0,   35
 557,    0,   25,   10,   44,    0,   61,    0,   34,   10,   61
 558,   11,   61,   11,   60,    0,   41,    1,   33,    1,   56
 559,   10,   57,   11,   55,   10,   59,   10,   57,    1,   17
 560,    0,   58,    1,   21,    1,   40,    1,   13,    0,   46
 561,    1,   53,    1,   54,   10,   45,    1,   33,    0,   55
 562,   11,   61,   10,   59,    0,   53,   10,   40,   10,   60
 563,    0,   21,    0,   32,    1,   57,    1,   53,    0,   51
 564,   11,   58,   11,   54,    0,   19,   11,   63,   10,   62
 565,    1,   53,   11,   61,   11,   64,   10,   59,   11,   56
 566,    0,   47,   11,   63,   11,   55,    1,   62,   10,   57
 567,   11,   62,    1,   59,    1,   63,   10,   41,   11,   63
 568,   11,   61,    0,   21,    0,   43,    1,   43,    1,   50
 569,   10,   55,   11,   55,   11,   56,   11,   59,    1,   64
 570,   10,   37,   11,   57,    1,   19,   11,   61,   11,   61
 571,   11,   64,   11,   63,   11,   62,   10,   63,   11,   65
 572,    0,   46,   11,   61,    0,   25,    1,   40,    1,   31
 573,    0,   48,    1,   39,    0,   65,    1,   50,   11,   56
 574,    1,   31,    0,   49,   11,   61,   10,   38,    1,   38
 575,   11,   59,   10,   51,    0,   18,   11,   65,    0,   25
 576,   11,   60,    0,   43,   11,   57,    1,   51,    1,   12
 577,    1,   41,   10,   48,    1,   50,   11,   64,    1,   18
 578,   10,   42,    0,   48,    0,   52,   10,   48,   11,   59
 579,   10,   54,   10,   62,    0,   50,    0,   28,   10,   45
 580,    0,   44,   11,   60,    0,   32,    0,   33,    0,   49
 581,   10,   39,    0,   25,   11,   65,    1,   35,    0,   52
 582,   10,   36,    0,   18,    1,   59,   11,   61,   11,   64
 583,   10,   47,    1,   21,   10,   50,    0,   19,    0,   30
 584,    1,   60,   11,   57,   10,   52,   11,   57,    1,   44
 585,    1,   34,    0,   53,   11,   61,   10,   62,   11,   54
 586,   10,   36,    1,   22,    0,   38,    0,   52,    1,   59
 587,    1,   64,   11,   58,    0,   24,    0,   20,   11,   58
 588,    1,   35,   11,   58,    1,   48,    1,   47,    1,   42
 589,    1,   25,   11,   61,   10,   44,   10,   52,   10,   52
 590,    1,   47,    0,   32,    1,   35,    0,   27,   11,   63
 591,    0,   47,   10,   38,   10,   46,    1,   31,   10,   61
 592,   11,   57,   11,   54,   10,   57,   11,   59,    1,   45
 593,    1,   64,    1,   19,    1,   25,   11,   64,   10,   44
 594,    1,   20,   10,   42,    0,   61,    1,   45,    0,   31
 595,    0,   31,    0,   35,   11,   61,   11,   59,    0,   25
 596,    1,   24,    0,   30,    1,   34,   10,   64,   10,   38
 597,    0,   37,    0,   44,   10,   44,   10,   65,    0,   62
 598,    1,   59,    1,   61,   11,   63,    1,   26,    0,   55
 599,    1,   37,    0,   21,   11,   60,    0,   27,    1,   26
 600,    0,   18,   11,   59,   10,   52,   10,   62,    1,   47
 601,    0,   32,    0,   39,   11,   64,   10,   61,    1,   16
 602,    1,   50,    0,   24,   11,   59,   10,   65,   10,   48
 603,   10,   50,    1,   42,    1,   18,   11,   64,   10,   49
 604,   11,   59,   10,   63,    0,   54,   11,   58,   10,   45
 605,   11,   58,    0,   36,    0,   25,    0,   52,    1,   14
 606,   10,   44,   11,   65,   10,   63,   11,   58,   10,   36
 607,   10,   65,   10,   44,   10,   47,    1,   36,    0,   40
 608,    0,   18,    0,   38,    1,   14,   11,   55,    1,   56
 609,   10,   48,   11,   57,    1,   55,    1,   55,    1,   49
 610,    0,   39,    0,   45,    0,   63,   11,   57,    1,   12
 611,   11,   60,    1,   65,    1,   47,    1,   18,    1,   50
 612,    0,   33,    0,   19,    0,   27,    0,   50,   11,   59
 613,    1,   39,   10,   54,    0,   55,   11,   60,   10,   53
 614,    0,   36,   11,   54,   11,   61,   10,   50,    0,   47
 615,   11,   60,   11,   62,    0,   57,    0,   63,    0,   37
 616,   11,   58,   10,   55,    1,   33,   10,   51,   11,   62
 617,    0,   50,   10,   51,    1,   53,   11,   57,    1,   50
 618,   11,   57,   10,   62,    0,   57,   10,   60,   11,   62
 619,   10,   38,   10,   37,    1,   16,   10,   36,   10,   55
 620,    0,   24,   11,   62,   11,   58,    0,   63,    1,   42
 621,    0,   56,    0,   63,    1,   20,   10,   43,    0,   41
 622,   10,   57,   11,   56,   11,   59,    0,   54,    1,   42
 623,    0,   29,   10,   36,    0,   43,    0,   51,   11,   55
 624,    1,   15,   11,   62,    0,   29,   10,   44,    0,   58
 625,    1,   49,    1,   24,   11,   62,    1,   45,    0,   64
 626,   11,   63,    0,   58,    1,   30,   10,   62,   10,   44
 627,   11,   55,   11,   62,   10,   42,    1,   34,   10,   58
 628,   11,   59,   10,   60,   10,   53,    1,   15,   11,   56
 629,   10,   42,    0,   37,   10,   43,    0,   55,    1,   14
 630,    0,   51,   11,   65,   11,   59,   10,   38,   10,   58
 631,   11,   54,    1,   26,    0,   29,   11,   60,   10,   42
 632,   11,   59,   11,   59,    0,   28,   10,   41,    1,   44
 633,    1,   13,    0,   56,    1,   17,    0,   33,    0,   47
 634,   10,   59,    1,   41,   11,   63,    1,   17,   11,   63
 635,    0,   20,   11,   58,    0,   45,   11,   65,    0,   53
 636,    0,   57,   10,   60,   10,   60,    0,   30,    0,   23
 637,    0,   22,    1,   30,    0,   27,   10,   37,    0,   59
 638,   11,   54,    1,   31,   10,   54,   11,   57,    1,   32
 639,   11,   56,   11,   61,    1,   50,    0,   20,   11,   58
 640,   11,   61,   10,   62,    1,   32,   11,   64,   11,   65
 641,   10,   41,   11,   64,    1,   48,    0,   62,    1,   42
 642,   10,   60,   10,   45,   11,   56,   10,   51,    1,   39
 643,    1,   40,    0,   30,    0,   59,    1,   58,    1,   29
 644,   10,   48,   11,   61,   10,   65,   11,   58,    1,   58
 645,   11,   60,   10,   38,    0,   23,    1,   12,   10,   36
 646,    1,   17,    0,   49,    1,   12,   11,   60,   11,   57
 647,    1,   13,   10,   62,    0,   45,    0,   50,   11,   59
 648,   11,   58,    0,   38,   10,   60,   10,   38,   11,   55
 649,    0,   28,    0,   27,    0,   43,   11,   60,   10,   59
 650,   11,   57,   11,   56,    0,   56,    0,   61,   11,   62
 651,   10,   50,    0,   34,   11,   61,    1,   21,    0,   43
 652,   10,   64,   11,   62,   10,   65,   10,   59,    1,   19
 653,    1,   54,   10,   50,    0,   35,   10,   48,    0,   64
 654,   11,   64,    1,   65,    0,   49,    0,   34,   10,   50
 655,    1,   62,   11,   64,   11,   56,   10,   47,   11,   58
 656,   10,   60,    1,   18,    1,   26,    1,   64,   11,   61
 657,   11,   60,   11,   57,   11,   60,    0,   40,    1,   23
 658,   11,   56,   10,   52,   10,   41,   10,   50,   10,   63
 659,   11,   61,   10,   65,    0,   25,   10,   45,    1,   45
 660,    1,   43,    1,   20,   10,   40,    0,   58,   11,   55
 661,   10,   60,   11,   61,   10,   54,    1,   43,   11,   59
 662,    0,   58,    1,   35,   10,   60,   10,   47,    0,   64
 663,    1,   35,   11,   62,   10,   65,   11,   61,    0,   57
 664,   10,   53,   10,   42,   10,   50,   11,   65,   11,   60
 665,    1,   17,    0,   31,    0,   52,    1,   56,   11,   59
 666,    1,   40,   10,   50,   11,   57,    0,   64,    0,   27
 667,    1,   57,    1,   47,   11,   60,    0,   42,    0,   35
 668,    0,   37,    0,   50,   10,   60,   10,   39,    0,   65
 669,   10,   55,    1,   29,   11,   65,    0,   34,    1,   65
 670,   10,   58,    1,   29,   10,   60,    0,   60,   10,   45
 671,    0,   63,   10,   49,    1,   47,    0,   61,   10,   36
 672,    0,   46,    0,   33,   11,   63,   10,   62,   10,   44
 673,   11,   54,    0,   61,   10,   62,   11,   62,   11,   58
 674,   10,   63,    0,   18,   10,   48,    1,   32,   10,   51
 675,    1,   48,    1,   38,    1,   40,   11,   55,   10,   41
 676,   11,   63,    1,   63,    0,   47,    1,   54,   11,   57
 677,   10,   55,    1,   28,    0,   63,    1,   49,   11,   57
 678,    0,   35,   10,   51,    0,   65,   11,   64,    0,   38
 679,   11,   65,   10,   41,   11,   57,   11,   61,    1,   44
 680,    1,   44,   11,   62,   10,   57,   11,   58,    0,   51
 681,    0,   49,   10,   46,    0,   53,   11,   63,   11,   59
 682,    0,   23,    0,   31,   11,   55,   11,   54,   10,   53
 683,   10,   40,    1,   57,    1,   31,    1,   33,   10,   51
 684,   11,   59,    1,   12,    1,   56,   11,   60,    1,   32
 685,    1,   30,   11,   58,   10,   40,   11,   57,    1,   25
 686,    0,   63,   10,   63,    0,   44,   10,   64,   10,   55
 687,    1,   60,   10,   36,   10,   61,    0,   27,   10,   37
 688,    1,   43,    0,   58,    0,   56,    0,   58,   10,   58
 689,   10,   60,    0,   54,    0,   30,    0,   39,    1,   59
 690,    0,   54,   11,   61,    0,   18,    0,   57,   10,   63
 691,   10,   39,   10,   45,   10,   41,   11,   62,   10,   54
 692,    1,   39,   10,   46,    1,   32,    0,   18,   11,   64
 693,    1,   27,   10,   62,    0,   26,    0,   35,   11,   54
 694,    1,   62,   10,   45,   11,   63,    0,   60,   11,   59
 695,   10,   48,    1,   46,   11,   59,   10,   40,    1,   35
 696,   11,   61,    1,   55,    0,   45,   11,   54,   10,   59
 697,   10,   43,   11,   61,    1,   35,   11,   62,   11,   62
 698,    0,   41,   10,   36,    0,   48,    0,   52,    0,   38
 699,   11,   61,    0,   44,   10,   42,    0,   25,   11,   56
 700,   11,   65,   10,   60,   11,   62,   10,   36,    1,   33
 701,   11,   63,    1,   51,    0,   59,    0,   40,    1,   57
 702,    1,   18,   10,   41,   11,   62,   10,   45,   11,   58
 703,    1,   47,   11,   65,    1,   51,    0,   62,    0,   43
 704,    1,   33,    1,   38,   11,   59,   10,   36,    1,   56
 705,    1,   59,    1,   27,    0,   29,   10,   42,   11,   64
 706,    1,   63,    0,   49,    1,   14,   10,   54,   10,   42
 707,    0,   29,    1,   47,   10,   45,   11,   61,    0,   64
 708,   11,   63,   10,   44,    0,   30,   10,   48,    0,   50
 709,   10,   40,    1,   31,    1,   62,    0,   56,    0,   46
 710,    0,   30,   11,   54,    1,   35,    1,   50,   11,   62
 711,    1,   41,   11,   58,    1,   51,    0,   52,    1,   56
 712,   11,   59,    1,   31,   11,   55,    1,   25,    0,   54
 713,   11,   63,    0,   31,   10,   43,    1,   40,   11,   61
 714,   11,   58,   11,   60,    0,   23,    1,   22,    1,   14
 715,    1,   32,    1,   55,   10,   45,    0,   24,   10,   62
 716,    1,   34,   10,   39,   11,   59,    0,   61,    0,   19
 717,    0,   44,    1,   15,    0,   40,    0,   27,   10,   45
 718,    0,   63,   11,   61,   11,   65,    1,   45,   11,   54
 719,   11,   59,   11,   58,    0,   42,   11,   60,    0,   50
 720,   10,   52,    0,   28,    0,   64,   11,   64,    1,   24
 721,    1,   64,   11,   62,   10,   48,   10,   58,    0,   21
 722,   10,   50,   10,   44,   10,   61,   10,   36,   11,   56
 723,    1,   16,    1,   60,    1,   50,    1,   38,    1,   48
 724,    0,   61,   11,   57,   10,   64,   11,   55,    1,   32
 725,   11,   65,   11,   61,    1,   26,    1,   34,   10,   48
 726,   11,   55,    0,   54,   11,   60,   10,   53,   11,   64
 727,    1,   33,   10,   56,   10,   45,   10,   59,   10,   63
 728,    0,   29,    0,   27,    0,   49,   10,   41,   10,   44
 729,   11,   62,    1,   49,   11,   61,    1,   21,    1,   12
 730,    1,   40,   10,   41,    1,   37,   11,   56,    1,   61
 731,    1,   41,   10,   63,   11,   57,   10,   58,    0,   54
 732,    1,   47,    1,   22,   10,   37,   10,   51,    0,   50
 733,    1,   25,   10,   55,   10,   57,    0,   62,    1,   26
 734,   10,   38,    0,   30,   11,   55,   10,   58,   10,   42
 735,    1,   34,    0,   34,   11,   54,    0,   58,   11,   55
 736,   11,   64,    1,   21,    1,   13,   11,   56,    1,   43
 737,   10,   43,    1,   43,    1,   58,   10,   55,   11,   54
 738,   11,   57,    0,   50,    1,   52,    0,   48,    1,   52
 739,    0,   21,   10,   65,    0,   30,    0,   57,    0,   52
 740,    1,   40,    1,   23,   11,   54,    1,   54,   10,   51
 741,    0,   28,   10,   45,   10,   53,   10,   44,    1,   57
 742,    0,   21,   11,   64,    0,   57,    0,   56,   10,   49
 743,    1,   58,    0,   46,    0,   62,    0,   62,   11,   65
 744,   10,   64,    0,   35,   10,   52,    0,   59,    0,   24
 745,    0,   60,    0,   47,   11,   62,   10,   60,    0,   49
 746,    1,   50,   10,   45,   10,   58,   11,   64,    0,   37
 747,   11,   61,    0,   29,    1,   50,    1,   34,   11,   54
 748,    1,   65,   11,   63,    0,   23,    0,   20,   11,   65
 749,   11,   60,    0,   22,   11,   60,   11,   56,    0,   55
 750,    0,   49,    0,   49,   11,   64,   11,   60,   10,   46
 751,   10,   54,    1,   32,    1,   62,   11,   54,   11,   58
 752,   11,   55,   11,   59,    1,   61,   10,   59,    1,   29
 753,   11,   58,    0,   49,   10,   63,   10,   45,    0,   46
 754,   11,   55,   11,   64,   10,   54,   11,   62,    1,   55
 755,   10,   46,   11,   58,   10,   65,   11,   65,    1,   25
 756,   10,   41,   11,   57,   11,   65,   11,   58,    1,   45
 757,    0,   65,    1,   35,    1,   62,   11,   60,   10,   64
 758,    0,   21,    0,   20,   10,   46,   11,   54,    0,   45
 759,    0,   54,    0,   43,   10,   44,   10,   52,    0,   28
 760,    0,   41,    1,   12,   11,   57,    1,   65,    0,   33
 761,   10,   61,    0,   34,   10,   60,   10,   44,    0,   18
 762,   11,   57,   10,   48,    1,   47,   10,   51,    0,   57
 763,    1,   28,    1,   59,   10,   61,   11,   65,    0,   39
 764,    0,   46,   10,   41,    0,   62,    0,   60,    1,   54
 765,   11,   59,   10,   37,    1,   35,   10,   53,    1,   34
 766,    0,   51,    0,   49,   11,   56,    0,   37,    0,   43
 767,   11,   57,    0,   36,   10,   62,    1,   12,   11,   55
 768,    1,   23,    1,   54,    0,   41,    1,   21,    1,   49
 769,    0,   57,    0,   39,   10,   48,   10,   49,   10,   56
 770,    0,   31,   10,   63,    1,   22,    0,   19,    0,   46
 771,    0,   25,    1,   28,   11,   55,   10,   46,   10,   62
 772,    0,   34,   11,   56,    1,   12,    1,   54,   10,   55
 773,    0,   51,   11,   54,    1,   33,   10,   59,   10,   65
 774,   10,   56,    1,   26,    1,   22,   10,   38,    1,   16
 775,   10,   61,    1,   30,   11,   59,    1,   19,    1,   51
 776,    0,   24,   11,   60,    1,   44,    1,   24,    1,   55
 777,   11,   56,   11,   57,   11,   56,   11,   63,   11,   61
 778,    1,   48,    0,   58,    1,   47,    0,   18,    1,   24
 779,   11,   62,   10,   60,    0,   60,    0,   38,   11,   61
 780,   10,   37,    0,   60,   10,   39,    1,   53,   11,   56
 781,    0,   32,   10,   56,   10,   57,   10,   63,    1,   44
 782,    0,   41,   10,   63,   10,   54,    1,   43,    0,   55
 783,   11,   60,   10,   53,   11,   54,   10,   48,   11,   56
 784,    1,   35,   10,   65,    1,   56,   10,   44,   10,   39
 785,    1,   49,    0,   53,   11,   60,   10,   47,    0,   24
 786,   11,   59,    0,   56,    0,   29,    1,   61,    0,   54
 787,   10,   46,   11,   54,    0,   49,    1,   51,    0,   44
 788,    0,   41,    1,   47,    0,   43,   11,   56,    1,   35
 789,   11,   54,    1,   65,   11,   59,    0,   36,   11,   55
 790,   11,   63,    1,   28,    0,   52,    1,   52,    1,   19
 791,   11,   54,    0,   51,    0,   22,    0,   50,   10,   37
 792,    1,   53,    0,   46,   11,   54,   10,   52,   11,   61
 793,   11,   55,    0,   37,   10,   58,   11,   54,    1,   43
 794,    1,   12,   10,   47,   10,   64,   11,   54,    1,   21
 795,    1,   63,   10,   38,   10,   41,   11,   59,    1,   18
 796,    0,   24,    0,   55,    1,   56,   10,   49,   11,   63
 797,    0,   21,    0,   54,   11,   59,   11,   60,   11,   60
 798,   11,   65,    1,   25,    1,   47,   10,   38,   10,   38
 799,   11,   54,    1,   15,    1,   26,    1,   28,   10,   53
 800,    0,   32,    0,   27,    1,   48,   11,   62,    1,   57
 801,   11,   65,   10,   53,   10,   56,    1,   29,    0,   38
 802,   11,   54,    0,   50,   10,   46,    1,   31,    0,   45
 803,    1,   65,    1,   36,   11,   62,   10,   58,   10,   61
 804,    0,   53,    1,   42,   11,   62,   10,   64,    1,   13
 805,   11,   58,   10,   60,   11,   56,    0,   53,    1,   45
 806,   10,   56,   10,   45,   10,   64,    0,   65,    1,   27
 807,   10,   42,    0,   51,   10,   55,   11,   54,    1,   27
 808,   11,   58,    1,   44,   10,   39,   11,   65,   11,   57
 809,    1,   17,    0,   59,    0,   39,    0,   50,    0,   56
 810,    0,   32,    0,   43,    1,   45,   10,   45,    0,   33
 811,    0,   65,    1,   56,   11,   60,    1,   42,   11,   56
 812,    1,   47,   10,   36,   10,   50,   10,   58,    0,   18
 813,    0,   35,    1,   41,   11,   58,   11,   63,   11,   63
 814,   10,   49,   11,   58,    0,   60,    1,   58,    1,   57
 815,    0,   20,    1,   56,   11,   55,    0,   49,    0,   45
 816,    0,   38,    1,   32,    1,   62,    0,   23,   11,   59
 817,    1,   41,   10,   36,   11,   62,   10,   63,    0,   42
 818,    0,   29,    0,   49,   11,   64,   11,   61,   11,   58
 819,    1,   29,   10,   37,   10,   50,   10,   63,   10,   45
 820,    1,   39,   11,   61,    1,   59,    0,   26,    1,   63
 821,   11,   56,   10,   44,   11,   61,   10,   63,   11,   65
 822,    0,   30,   11,   64,   11,   62,   11,   59,    0,   52
 823,    0,   47,   10,   47,   10,   47,    0,   59,   11,   57
 824,   10,   40,   10,   49,    1,   62,   11,   64,   11,   62
 825,   11,   57,   11,   58,   11,   58,    1,   25,    0,   33
 826,    0,   33,    1,   16,   10,   61,   10,   39,    0,   32
 827,    1,   51,    1,   15,   10,   42,   11,   54,   11,   60
 828,    1,   20,    0,   31,    0,   59,    0,   21,    1,   19
 829,    1,   59,   11,   65,   10,   62,    1,   45,   10,   64
 830,   11,   65,   11,   56,   11,   54,    1,   54,   11,   55
 831,    1,   37,    1,   22,    0,   56,    0,   57,    1,   48
 832,   11,   61,    0,   51,   10,   63,    1,   13,    0,   64
 833,   10,   48,   10,   45,    0,   46,   11,   54,    1,   37
 834,   10,   64,   11,   65,    1,   34,   11,   56,    1,   21
 835,    0,   55,    0,   51,   11,   65,   11,   63,   11,   58
 836,    0,   23,    0,   25,    1,   42,    0,   54,   11,   54
 837,    1,   26,   11,   63,   10,   52,    0,   34,   11,   54
 838,    1,   55,   10,   56,    1,   16,   10,   51,   10,   37
 839,    0,   62,   11,   60,    1,   17,   11,   63,   10,   60
 840,    1,   57,    0,   21,   10,   52,   10,   42,    1,   18
 841,   11,   64,   10,   64,   10,   64,   11,   64,    1,   17
